starttime, endtime,message
time,11:08,message Morning everyone hope you had a lovely weekend. the games are about to start so tighten your belts as the plane is about to take off @dee dee cocroft ...I thought SAA is on their usual strike? hahahahaha Sound buzz Interfered in Rhodesia too low sound quality Morning ppl this man is a man of integrity like his parents true 
11:39,16:07, not at all sheep lol more like a goat ; ) Adam don't be dilutional Manuel is not corrupt everything here is about the Guptas and their international scamp players ma bruh who isnt corrupt in SA lol @Adam Louw ....Please direct me to where I can read and agree with you . Wow looks very interesting today. Watch you will hear bad thing by corporates and government. read what u mos kno I am not going entertain you further Adam u sound like planted theorist 
17:17,21:50, adam is on a roll here : ) let him do his thing lol adam I will do that sir @Adam Louw ....No link received. Perhaps youtube doesnt allow links. Just tell me where to look "In following the political trials and arms and energy shenanigans in the USA pastor j some people have been given a task to divert attention wonder who pays them @Adam Louw Nothing hahaha @Elvis Malakoane .......seems so this is highly classified info 
22:29,26:34, Canary is singing loudly now... highly classified hahahaahahahahah yeb actually he regards this commision quite very high nvm this boring ; ) peace out ppl this is not gossips it is facts and figures excise learned pple will bore you if u a educated fascinating ! @eleanor indeed 
29:32,35:26, I curse Polokwane ANC conference because it's results nearly collapsed this country "It's worth your time to listen to this man I think the devil works for the Guptas I bet the Guptas are watching this for sure "I find it curious that he seems to have intimate knowledge of their methods. But ke We are nearly to close down the options of Zuma and Guptas now we will get them The intricacies and complexities of this or in the grand scheme of things are so fascinating. Stunning cooperation and cohesion from multiple parties who's this man 
35:43,37:50, yes it interesting indeed 1.5 trillion lost @ Mchunu this man take time to investigate them with assistance from whistleblower @Bianca ok... He's gt a British accent... whats his role in State Capture... Peter Hain w @makhosi nobhatyi I will give him the benefit of the doubt for now. Although I would like to know how he accumulated his wealth at some point. If you follow the independent reporters overseas you will see how Russia and China are sweeping the middle east and Africa to grab uranium and oil and governments and banks and intelligence enable. Bitcoin is the future of money exchange and will negate the controle that Bank have. Amen. He headed up the organisation HART during Apartheid 
37:54,39:44, he is a former uk minister "i don't trust any white person who live in britain born in Kenya and grew up here in SA before they left to UK ok This foreigner has recolonized the rot going on in this country by Government officials. Our own people could not see this. They were too blinded by the millions flying into their faces "The biggest payen in the ars of the old National Government. Cricket Rugby etc thapelo I trust white people Tapelo get help for your colour priblrm "Thelsa 
39:46,41:34, @Siyabonga Mchunu..... he accumulated his wealth in the UK.... you sound like a EFF voter problem "he knew about these things but did nothing at that time that looks must see a doctor fast "thapelo If you own bitcoin you have the power of a Bank and nobody controle Bitcoin. @Robert Russell Stop being childish. I am merely pointing out that somebody with such an intimate knowledge of how these dodgy financial systems work arouses some level of suspicion himself. Thapelo get your facts right before you attempt to spin things did corruption start with zuma 
41:50,44:11, "\Yip he has.... all the way back to the 1960""s @elaine norris" "He is not a South African. He is a British citizen. He was only born in South Africa. He went to the UK from South Africa as a teenager "Tapelo thapelo yes it started with Zuma actually he is the bible of corruption "No "If you are born here you are a South African "we can't talk about anything in this country and not include race Trust and charitable foundations are often the most effective funnels for illicit financial flows. Lord Peter Hain is involved in many of those. I am just curious as to why he is here... thats why this country will remain in the poverty it is in because of people with your bad attitude Thapelo 
44:12,46:19, Why do we have a Brit testifying? what was his role in State Capture? i think he's here to fulfill 'the plan' that uBaba was talking about Thapelo you are becoming a negative energy this morning "Tapelo "Yes we can "I agree Elvis He was born in Nairobi Kenya. This guy didn't have to give up his time and come here for us!! "@Elvis Malakoane  elvis carry on u at least have your head screwed on well done 
47:09,48:49, again Elvis u are soo right well done and thank u "The moment he mentioned HSBC and Standard Chartered thanks Raymond "Sorry Thapelo some people don't understand the effects of corruption in this country and are still trying to cover for ubaba kaduduzane. yes corruption did not start with zuptas yet they have escalated corruption Is this racism nonsense necessary or is it just being ventilated to irritate and/or frustrate us folks who are interested in the testimony? what woo pastor j you are quite the only reason this guy came here is because JZ didn't take orders from britain like some of our puppet leaders 
48:51,51:35, The amount generalization here is shocking!! Why are you guys attacking Thapelo agreed Pastor J @Elvis Malakoane ....Watching and listening. Will respond at the right time bro> "Eliot because he is attacking us Thapelo must be blocked. racism it acceptable. sharp pastor j "@Person of interest  "Racism unacceptable. sorry 
51:44,54:04, "Thapelo just listen first and then comment whether negative or positive dont block him... engage him... tolerate those who hold a different view "I don't tolerate idiots i guess at the end of the day is still a witness in a state capture. "every country in the world that has shares in this country "Thapelo lol Sir Elliott it's not a different view it's straight dumbest view Please let us stop insulting each other 
54:14,1:02:00, "James Godloza Godloza ​ I think you are correct... if we just listen to each other and give each other a chance to talk "the problem @Person of interest you leak information Thapelo blocked sorry @Noxolo we should just call a spade a fork @Leizl Eykelhof please 🙏🏾 @james calling a spade a shovel or spade is neither here nor there... you aught to always reflect your best humanity to the world... this guy is a member of parliament in England... how is he linked to state capture... En jou punt is ???? "Even banks in South Africa (Stander bank) wont help you if you were swindled and money payed in to the crooks account 
1:02:21,1:06:38, @Elneamo.... he doesn't have a point "Yes "@ Eliot Chauke he done investigation with international bank how money flow @redriger ✌🏿✌🏿danki The real capture is happening as we speak!! This Gupta one is a smoke screen. Makhosi danki "Easy D exactly @ Stronger togather.. Yes a new one to me also @ Person of interest.. 
1:07:36,1:10:13, bull! "@ Eliot Chauke thanks bro @Stronger together .....so are you on the square? "I know this is @Charel Gmail ...Absolutely agree with you. But...I chose to ignore some of the nonsense. Tom Moyane Oeps Moyane! Oom Tom was an Iceboy 😂😂they were telling him what to do "Stronger together 
1:10:17,1:12:15, @Stronger together ....Please take your nonsense elsewhere and dont impose it or yourself on decent and intelligent people. If you cant then just whisper to yourself. Pleeeeeeeez Better to ignore some of these ignorant comments I am not surprised why they hate Gordhan so much because he caught them @makhosi LOL Deep state independent reporter uncovering global crookery in intelligence. makhosi yes he was very close African National Criminals... African National Corruption... African National Charlatans... makhosi u are soo well advertised to this thank u soo much proof is all that matters .... 
1:13:01,1:15:43, "Do not forget this is a British Politician it explains why Zuma was nervous and removed Gordhan when he was in England it explains Des Van rooyen weekend special "its easy to spot a smere campaign. If som1 is accused of stealing and another of giving som1 early pension Lord Peter Hain anti-apartheid campaigner in the 1970s. @Eliot Chauke ...AN Crooks @Sthakathi Please... "I recommend George Webb for the bigger fraud picture and capture of oil pipelines Tjoo guys I am the one who stands for Gordhan in support of his work to clean up the state but Zuma allies has sweet mouths to blind people that they were fighting for us which is not true it there system they know it 
1:15:53,1:18:18, "there is maybe 20 or less "Pravin hired David Mabuza who has since made a loss of 25billion and counting under a year at Eskom I love the block function "when this guy goes back to britain mbulelo so mbulelo you say Zuma is stupid he was taught corruption he was not born a thief "@Mbulelo Maquba ...And who taught Zuma that the ""shower"" prevents HIV and AIDS?" Bingo Pastor 🙏😂 "Lord Peter Hain who?..the amout of insight knowledge this old man from Enland has for our country for me its kinder awkward and scary "@ pastor J 
