starttime, endtime,message
time,0:41,message "Lets hope here is a sitting today mornings guys why they dont even inform us if no sitting. "Morning guys mrng everyone yaaay there we go we are ready hehehehehe - yah no postponements 
0:46,8:32, two days no hearings... Morning everyone dam load shedding hang in there this commission who is in the hot seat today???? what's this guys claim to fame. just tuned in its a continuation from last week Mr Sodi does not look happy. 
10:20,26:13, This state capture nonsense its nothing but cash cow 🐄 for the lawyers he does not have the same level of confidence this week where is Adv Hofmeyer And where is adv Leah "why us this man with his 100 miljoen ag greed "Can’t these guys calculate in their heads? R300 profit per house for 250 Is that the net profit Could be eleventy 
29:29,34:50, It looks like the witness is confused by figures now where are his reports with actual numbers... everything is a thumbsuck am i really listening to this guesswork? EUR/USD little changed on the day but buyers stay on the hunt towards 1.2000 "Zondo is confused our country is mess OUR COUNTRY IS SOLD GOODMORNING FELLOW SOUTH AFRICANS 
35:51,37:43, Morning. Everyone is too babalas for this inquiry LOL lol YES TOO MUCH BABALAS such an incompetent director. 18 Aug should become a national alcohol day! PLEASE LETS GET THE ACTUAL INVOICES DROP THE BOMB PLEASE I cannot immagine the thickness ..... 
37:49,43:52, LITSEN CAREFULLY NOW HOW MUCH MILLIONS R BEING LOOTED Once you mention consulting then is a problem PLEASE SCRAP BEE AND WE CAN ALL START ON A CLEAN SLATE ACTUALLY ALL THE PEOPLE IMPLICATED ALL THEIR BANK ACCOUNTS MUST BE FROZEN INCLUDING THEIR ASSETS unfortunately the slate has been stolen lol Load shedding Lol YES DEFINETLY LOAD SHEDDING I still have a slither of hope though... 
43:54,47:14, THEY DONT HAVE GENERATORS SOMEONE LOOTED THE MONEY TO BUY GENERATORS Use Jacob Zuma generator Come on guys it can’t be load shedding TRUST ME ITS LOAD SHEDDING dont think so... lol surely a project of this magnitude should be backed up with documentation.... or am I crazy THIS GUY FORGOT EVERYTHING TRUST THOSE EMPOLYEES WERE EXPOLOITED 
47:24,48:48, THEY WERE UNDERPAID You wouldn't know when you are caught THESE BEE GUYS R EXPLOITERS ? THEY PAY SLAVE WAGES i dont understand i'm from Indonesian greed lol YES ADJUN WHT R U DOING HERE 
48:50,50:51, 🤣🤣🤣 WE R WATCHING LOOTING HERE ADJUN UR IN A WRONG PLACE MY FRIEND THIS IS CORRUPTION 101 "maybe ajun wants some tips Legal people and numbers 🙂 OK ADJUN TAKE NOTED THIS IS HOW YOU MASTER IN LYING doubled the number of houses and still made the same profit... morning every1 HES LYING 
50:59,52:41, U C THAT LAUGH withholding the truth mawnin cheap material and underpaid workers resulted to the same profit hehehehe please These fools take people out of shacks and put them in nicer shacks! i don't think you need to make any comments you need to correct things as they happen in Indonesia true jail him 
53:04,55:46, I DONT LIKE THESE WITNESS was nomvula makonjane chief over this department at that time? "Yeah very bad businessman that dsnt know what his expenses and profits are. Why would you do the work if its not profitable I DONT LIKE THIS WITNESS """you know did you listen to malema's address outside the state capture enquiry THIS WITNESS DONT KNOW ANYTHING ABOUT HIS WORK THE LEVEL OF INCOMPETENCE DISGUST ME HOW DO U GIVE A MILLION RAND PROJECT AS A LEARNING EXPERIENCE 
56:16,57:59, General Salute """100million profit fir 2months work""" lol took a chance ayeye....some will just dissappear without trace. These procecutor is key mrp it's South Africa typo bro typo BUT I DONT FEEL SORRY FOR HIM I FEEL SAD FOR HIS CHILDREN 
58:43,1:00:50, How do you perform something you are not sure of? Does not work in business cool then PLEASE BRING BACK ZUMA HERE HES READY TO SING THIS COMMISSION MUST BE CLOSED hi "i agree zakhele DATA IS VERY EXPENSIVE No tender will give you a price Imagine how many houses could b built or ppl fed with one hundred million !! 
