starttime, endtime,message
time,11:30,message ms dlamini related to dr nkosazana dlamini Are you asking or stating a fact? asking you @Anne M😃 I don't know. Dlamini is quite a common surname in KZN. Revenue improvement by SAA ??? Just from vetting alone? hahahah please please please please in light of her testimony let the eskom employees be vetted to increase renue 
11:30,12:38, She just made that up. She can't back it up The judge has had it with this lady😂😂😂🤣 😂😂😂 😀😂 Just jail this woman He's totally fed up kkk "this witness is not that smart hey but she's being blamed for things that she is not responsible for 
12:44,14:38, This aunti’s comments will not help Zondo. Her idea of higher turnover at SAA is shocking. Forget about building a nation SAVE our nation from fools like this funny thing is that some SAA executives and possibly Gov officials believe her "chair already has an opinion on her I would have been in tears by now if I were here I am now convinced that this is a 20% Graduate. No doubt whatsoever This lady reminds me of SARS protect me from yourself executive I am sorry to say but Ms Dlamini is wasting the Commission's time She's trying to protect Dudu's decision to do the vetting that used iffy questions 
14:43,15:42, they vetted the pilots and turnover went up😂😂😂😂. Moerskont well now we know why we have such useless people in SOEs if she is the one vetting these ones that worry about there nails more than there jobs are really scary..just lik PP Mkwebane @ - agree there is simply NO way this tart has an MBA! Dudu needs to be in orange overalls sje's skipping pages using those kong nails.. The Gupta's initiated this so they can figure out who will be a treat "How do they do there everyday ""work"" with nails lik that? do they really go to their offices to work?" 
15:42,17:10, Total incompetence and misguided Findings were that Dudu got hold of intensely private information on her managers. @Mbizo Slash Dudu definitely needed to know where the threats were. Why is this lady lying for Mashobo? that former minister how do people text with the nails? happily taking a salary for 16 years at the SSA This lady did her job according to a mandate and information she was given. She analysed her findings according to verbal conversations. @funicanz - . I don't think she's lying All the Elite studied at the same Uni..........and great brainwashing success........ 
17:11,18:38, incompetent with a master's degree. so the university must be useless as well she's over a barrel there were no risks period. @Dominic Przybylski..It is called Dunning-Kruger Effect.. @Jacqui Baumgardt Between a rock and a hard place. She doesn't want to cross Dudu Myeni. How com the Zulu guy yesterday never stammered or stuttered around..he was crisp and clear? whos lying is sooo clear I hope the vetting included stool sampling also.. @ - agree "@Jacqui Baumgardt  
18:53,20:54, On that passing her masters dilema we have. I've seen people with no knowledge at all getting their degrees off other student's hard work. Students are encouraged to work in groups "Unprepared but not defensive Grossly unfair "Jacqui Myeni is under two buses now @Jabu Malinga She probably doesn't want death threats. why does she look to her right every now and then. is it because he lawyer is giving her signs Zondo is gatvol now According to SteenHuizen - there will be no arrests before next year. 
20:56,22:17, "ahhh this lady @Ishaad Mohammed Somebody is giving her signs "Jacqui "sad thing about this stAte capture it focus on small fish  @Dominic - not before the Commission completes its work. I can see a great exodus to states that cannot send these people back How can somebody in state security be so naive? @Anne M I am certain of that she flips the hair😀 she is annoyed now shame "Dudu 
22:28,23:42, "But I guess u need the small fish to bring down the big fish tell us the great success ms Dlamini please fake her thats why she cant think Geeez........remember one thing....all the birds of a feather flock and studied together....true ne........ @fuzile dazana I think all the small fish will lead to the big fish this is the result of appointment on basis of race What kind if great success is this?? mmm even the worst fool can see that she's lying i dont think we will find big fish is in cuba 
24:11,24:57, Dudu is hiding under a rock - no court appearances dlamini is missing the point here please give her chance to think more about I believe there is a whole shoal of big fish Big fish are in Cuba and Dubai - only sardines left here. on the turn - come on DCJ Eeeesh...there some big fish in Zumatjie Fire Pool....... there is no way you forget to put all your paper /memo work she lies I think this is one of the worst witnesses so far 
25:49,27:22, she must take out the nails mybe she will know the success Corrupt government human resources departments and the UNIONS are the reason why this country is stuffed. i think she did not prepared well but she defense her self.she has to have more reports "Jacqui @Jabu Malinga - she was acting on orders "Sthakathi "Jacqui she must speak the truth or this day will be like 10yeas "@Jacqui Baumgardt  
27:23,28:16, Is this chop still talking Bull "Whenever i was pulled in to lead a project the first question I asked was ""Why are you doing this?"" The first answer is almost always a lie. Project cannot succeed if leader doesn't know truth." the problem is like the advocate the other day - explaining only makes it worse But there was corruption nje Telll her DCJ.....nail this Gucci one... Pilots association would never allow this intuition Im sorry but Vetting will stop stop the looting "Eish  After our DCJ told that lawyer to sit down it looks like he has adopted a much stronger approach with witnesses. 
