starttime, endtime,message
time,-1:19,message eish what now 👀👀 whats happening was it adjourned for the day or just for lunch? Lunch util 14:15 Till 14.15 African time... We are waiting for sabc Always late. 
-0:38,1:10, Hi all people from a spring day here in Voronezh Lets not be supprise . They are always late. In the time of Stalin NOBODY was late "yor zondo is eating for days Who is this Adv she looks lik my race HOT! "@Ozzy Ozzy Zondo is a very bright advocate 
2:19,4:29, So what? She's hot \who is she now? We are now delaying the process with this mess up files. I just read in Mail and Guardian that Dukwana will testify on Friday...in the article they refer to R80m found in a car boot linked to Ace The lovely adv will look like she disorganized she looks like Mia K who's she guys think Zondo had spaghetti..he is deurmekaar 
4:42,7:04, This so unprofessional. yes tell them "He likes pork Sound please confusion reigns sound again indeed chair they must b prepared hahah lol earthquake at the commission 
7:15,8:35, @SABC Digital News Please sort out the sound proof that being well educated means nothing "So maybe it's just me that is a bit anxious and want to see people either getting arrested or questioned by police. my understanding is if I murdered and someone pointed me out We Pay Them for NOTHING who is the lady on the stand now The sound person Please Do Your WORK JUST like DSTV YES WE DO USELESS 
8:36,9:32, I hardly could hear "not just technical problem  hiabo how can u say we must pay TV licence for this Sound sounds like its reaining on a sinc roof sounddddddd technical prblm again hahahahaha see i told you Zondo is going te take a break "Thando Nkutha 
9:36,10:15, @SABC Digital News Seriously? Can't you check the mics before the proceedings start? Zondo out again..runny tummy SABC this is your faulty. Look now the chair is taking a break again. Should you have read our comments we would have never had such thing. Zondo want to be taken seriously. We are dealing with State Capture in the true sense. oi vey.... aisha Mzantsi chair didn't finish his lunch 😀😀 I told you guys Zondo likes breaks 
10:18,10:53, The file and technical problems seems to be a norm every week. @Anne true..basics of sound engineering 101..failed These obstacles need to be investigated. Zondo went AWOL They should have fix this before. Zondo went to finish his curry from the Guptas "@Abel Manyedi  who is Ndahoo now Vhavhenda fix the sound pls 
10:56,11:42, the building is under attack I AM OK HOW ARE hee mda @Thando Nkutha 😂😂😂😂we ok ndah vhavhenda is hungry now she is stealing files "@Grayboy how  zondo fell ill just now @mandla motsoeneng. Not mdaa but Ndha😂😂😂 
11:56,12:24, lady is calling me turning into a circus after lunch "Zondo ate spices food "Zondo should fire theses camera and sound guy not fixed plizzzzzzzzzzzzzzzzzzzzz something funny about the food "@Livhuwani Rapfumbendzani hahaaha we are watching her these sound guys are captured "how much time has been wasted on resolving issues that are supposed to be basic. have the right files in place 
