starttime, endtime,message
time,1:11,message "Time is now Molo "morning all "morning Kenneth Mampa  Wish it could be Mr Watson Gorning guys Zondo needs to start summoning the guys "Mrng 
1:16,5:00, morning all No no Agrizzi guys mrng i wish he could testify many ppl we tired of lies Are you all guys experiencing this noise I hope miss Afro will not lead today Sounds please Shoots fired I hope there will be no tea time because the adv is drinking tea Morning everybody. 
5:24,9:30, Can't wait for Zuma to testify 🤣 this guy is nervous hey Am waiting for the master mind GW G’morning South Africa. Who is testifying today? The big fish @val Speirs Zuma has no ground here this commission is highly professional "Did Moody downgraded South Africa? no because Anc protect them. EFF is taking over who is testifying today? whose house is he talking about. Morning all! 
10:03,13:49, This noise is irritating me really is she an advocate?i wana be mentored by her.😊 the sound guys must be summoned 😃 "It's Mr Mlambo whose house is he talking about? Gwede Mantashe why he gave wrong answers how mr Leroux knows where monitor is if it was not installed by Bosasa "this is Mr Mlambo the Commission's investigator on the ""special projects"" undertaken by Le Roux of Bosasa he is talking about the installation done in Gwede Mantashe's house in Eastern cape" Who's this guy giving evidence now? Thanks @Gabisile Mabuza 
14:03,16:52, @Gabisile Mabuza. Than you Gabi. nice clarity. "Eish this Adv Molefe oa nketse yong "oh ok Thanks Gabi. His forehead has more info and the water on the table are shaking 😲 *Siyabonga Dladla* this is one of the STATE CAPTURE investigator giving the evidence of what he has seen during their investigation But Gwede Mantashe rejected all this allegations against him. Morning😘 "@masilela 
17:15,19:23, The adv make up today looks much better than before. morning Anc again?😎😎 Who she? @Millicent morning to you too Mantashe will refute this evidence Gwede must step down HE is captures In one online photo Mantashe was present with Bosasa staff *captured @Cameron Kim . Gwegwe rejected all this. I even remember he show us an old house here in Boksburg. 
19:26,22:14, "@Bogartman Mntlane Oh yes "@Desmond Masilela for sure He even gave an interview saying he don't know who paid for it I saw now evidence will be given about Ace getting 80million ...and the ANC defends him the CR17 faction is now vulnerable @Cameron Kim. Do you have any idea who are they referring to when the witness say 'She? Grayboy link please or is it only allegations "@Quintin Jacobs CR17 and all are in the same boat @Quintin Jacobs but those guys are sly..they know how to fool the electorate 
22:47,25:05, "@Desmond Masilela it is the lady running the house - I have her name in my file @Quinton check news24 Cameron Kim might be but using your analogy then DA is also corrupt cause here in the CAPE they orchestrated the water crisis @Cameron Kim. thank you Cameron. "@Desmond Masilela ""She"" is not involved in the corruption" It is beyond my understanding how anyone can think that Judge Zondo would allow illegal inspections... @Cameron Kim. I thought it was Mantashe's wife? @Quintin Jacobs The water problem is the result of the useless ANC and DA politician . The last proper dams were build in Apartheid "@seguin 
25:35,28:27, This lady has most beautiful voice im gonna marry this women who is asking question 😍 Grayboy i dont go near news24 as it only reports corruption of 'you know who' "@Desmond Masilela NO this house is nothing more than a 2 nd or 3 rd ""holiday home" I could listen to her the whole day @Erwin Sprangers. Eishh... Erwin that voice. I imagine. @Cameron Kim. thank you Cameron @Quintin Jacobs did you ever vist the Tweewaterskloof dam to see for yourself the crises we were in???... guess not... you sound like a BLF supporter who says that WHITES caused climate change "@seguin. it's not DCJ Condo who allowed it. he is an astute judge. the legal team lead by SC Pretorius did. he rebuked that behaviour. it's this kind of errors that make ""suppose criminal"" free" 
28:41,30:41, ​@Quintin Jacobs In 1992 the NP planned a water pipeline from the Orange river to 3 WD . The ANC then said it was wasting money @Desmond Masilela no problem Robert please dont label ppl if they not sheep ppl @peter pott you really think an entire team of prosecutors and investigators will open themselves up to illegal activity? Please don't speculate I did visit the dam Russ Adv. Molefe is my all day every day crush... 😍 Steenbras is full So you think the DA pulled the plug in the dam to manufacture a crises???? @Quintin Jacobs Steenbras dam full? that will be cool. 
30:43,32:35, Robert so tell me why did the DA charge ordinary folk more water than business in the Cape "@Quintin Jacobs the WC is short of water since 1996 after the mass emigration from the EC  I remember in Mr Mlambo's previous testimony he alluded to implicated people being notified It's not only the voice. .. but she is just beautiful. She deserves a marriage certificate. Send the address. .... "@seguin Robert if you think there is a plug in the dam then you would be the only one @Quintin Jacobs The DA is same as ANC and EFF Cameron Kim you so right but the DA led government here used the water crisis the milk the ordinary person @kim and the same as you 
32:49,34:37, "@African Refugee Don't warry ALL implicated people are kept abreast of all proceedings that affect them...The onus is on them to respond...TIMEOUSLY...not like Mama Action who waited more than a month to respind And who is patrick Mlambo? how can the DA charge me R 130 for a 500 mm copper pipe from the mains into my property every month - a connection fee @Millicent Shozi NO I am Leninist I get upset when people are trying to protect ANC thieves @African Refugee In China the takeover of SA is long time in plan and panning out everyday "Quintin... refer to your first statement where you said "" the DA created the water crises"" that is what I am debating with you.... how did the DA create the water crises????" With technicalities...nogal 
