starttime, endtime,message
time,11:33,message 🤸‍♂️🤸‍♂️🤸‍♂️ Zondo is learning a lot were "True. He asks so many questions zondo in anything else Zondo will be implicated in this commission Zondo was spotted in the Gupta weeding enjoying currry😂😂😂😂😂😂😂 @mbuso. You serious Everyday Zondo reports back to the guptas instead of Cyril...so they can plan there next move 
11:49,16:18, "🤣 at the ""event of the millenniu""" We are tired of this commission. When will criminal case begin??????? Taxpayers Cash Lock up Zuma Now!!!!😤😤😡😡😡 😡😡😡😡😡😡🤬🤬 "Since his previous appearance @brutos17 Locking Zuma will not solve the problem. We need all the monies payed back I think the department's deliberately allowed the Tender validity period to expire in order to run away with the money. No criminal case is going to follow. They will recommend tighter checks and balances. Just improve the tender system. Forget about anyone being charged with a crime 😩 
16:32,20:56, trying his best!!!! he tried his best to loot from our tax money Zuma must be hand cuffed to the Witness chair. @Mbuso Ndlovu every month they push back the trial!!! locking up Zuma is the first step to getting back the U$ 29 billion he stole!!!!!😡 Zuma's must be handcuffed to a super maximum prison and key thrown away @Chad Aimes i am with you on the looting but my point is he is nowhere near the likes of Nomvula in trying to cover his a$$ Nah Zuma doesn’t have that kind of money unless you can prove it beyond any reasonable doubt lol nkosiyami lobaba kodwa Corrupt officials spend the loot quickly akazizwa nokuthi uthin uyahema nje 
21:18,23:50, the money is spread across many countries And it’s usually CASH transactions "Lying we all do not understand either The money is being used for covid relief in America 😡😩😳 @L Ll South African news will never tell you how much money Zuma stole!! think about govt spending for South Africa and the Guptas... its usually hidden in a Deutsche Bank account in Switzerland!!! "The Chair can't understand Brutos yes you are right about that What we need to understand is what is this commission going to do with all this evidence 
24:13,26:21, Nothing lol Foreign Bank accounts must be investigated. "There is no acceptable answer :pog Malema was once a Tenderprenuer before Zuma fired him Swiss banks are actually using the money to improve their economy while SA people are suffering I don't understand prisons are full with petty thieves...so the law is actually to steal big to avoid prison "Why does nobody mention Porsche SA "If I knew so little of the department that I was appointed to 
26:45,30:48, Cyril must just make more copies of R200 notes then we we all be rich😂🤣😂🤣 lol my contractor also disapeared into qwa qwa and then i was asked to complete the project after an amendment was made how much was needed to complete the work "@Canis Africanis Its still a start. If ""Cloudy"" was still at SABS *SABC Everything is yes from the lame duck Mr. Mokhesi 😂🤣🤷 these are our leaders SAA must be sold "@A Luta Continua Mokgetsi has given up. He has already seen that he has been caught by hard facts. He is now voluntarily complying with everything 🤣🤷😂 
31:58,36:12, he doesn't need to hide..he is rich and he knows nothing is going to happen to him Lets sign the petition then to change the voting system then that maimane is advocating! "Correct "@canis Africanis I am getting the feeling the ANC itself is captured and rotten from inside. even if we vote for a honourable person..its more about who the person is going to be surrounded by...the people around them "I am waiting for a moment where is going to mention his principal it aint the light bothering him. its these sins bothering him 😂😂😂😂 
36:29,40:34, 🤣🤣🤣 we said the same for previous president @Chad Aimes 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 @Blake Yogi the irony of the light and the sins🤣🤣🤣🤣🤣🤣 canis Cyril is just another face to the ANC..but the same outfit Commissions are part of accountability. So I will vote ANC again because they account through Commissions and other gatherings @Masego 🤣 "@A Luta Continua "@Canis 
40:51,48:02, "To get SA back we need to eradicate the ANC from every decision making office in our land this is commission does not deal with accountability they just showing us responsibilty of all involved @Bonang Sithole accountability without justice is not accountability. taxpayers have been funding this commission to run for a long time and who is in jail now? true "@KgaitseweM Exactly Chad. the commision is an inquiry. they bring facts. They will send a report + recommendations.NPA will take it from there to bring accountability. So glad someone finally understands the word which goes against every definition of what a democratic country is "since the banks are clearly refusing to finance black owned emerging businesses "If only everyone understood this is an inquiry only 
48:40,53:06, "Mokgetsi is collaborating positively "@Thabo "@Fred true..its a loophole for corruption "@Eric Sithole "All in all a Tender system must be scrapped "@Thabo "@Fred "@Eric Sithole thats my problem with the ANC 
