starttime, endtime,message
time,18:10,message Molweni molo fish phume nin etinin @Derrick saperstein your wife married you for money "Leeroy did she ask it in xhosa/ "Negative. I'm 72 & still learning Xhosa. She said as Nkunzi says @Derrick saperstein my apoligies have a great day further 
18:45,46:19, "I was blessed molweni "The currency debate " "redriger Look Des was qualified & had relevant experiences. Thing is he was on the wrong side of deployment. Look at Jabu Mabuza at Eskom was hired by Jamnandas @Sthakathi Khumalo ....yes Des had relevant experience..... he bankrupted the Klerksdorp municipality just before he was appointed as FM.....and his brief was to bankrupt the country.... Jamnandas and Cyril are busy looting and setting up state capture... while people are still obsessed with Guptas and Zuma. No stone will remain unturned @Eliot Chauke ...Is what you saying true? any evidence at all of your allegations.? Have you reported any of this to the authorities as yet? Just interested 
47:53,50:52, or possibly both and more "@redriger .....Too true......Now I wonder which of the ""Gangsters"" new that would happen.......another way the crooks to coin the bucks...." "wena Pastor... when Zondo commission concludes @Eliot Chauke ...Mfuwethu wam....Still no evidence etc? "redriger Look the finance sector is controlled by a certain cabal @Elvis Malakoane ...thank you Elvis.... but the facts remain the same The evidence is in North Gauteng High Court... Cyril said it must be sealed... yes facts are correct "Robert Russell My point was selective treatment bro 
51:28,53:06, Eskom was a going concern @Redriger i said I support an African Child... and i vote EFF. dnt misrepresent the facts Evidence is sealed when it comes to holier goats "you poke holes in the ship then want to point at the crew after you jump ship @redriger ...The prevalent confusion pertaining to the individual is conclusive and evident. The higher standard in my language is intentional to create confusion to the reader. Elliott Chauke you are ryt bro Pastor J is ignoring the truth which is happening now..CR emails..rogue..judges paid money..etc "pls @Hloniphani Ndlela ...Be brave.Give me a single name of a Judge who has been paid money illegaly or in a corrupt manner. 
53:28,55:46, I do concede Zuma had his issues but we should maintain fairness when it comes to these things. "@ Khumalo you not stating the fact sir Gordhan and Eskom executives try to fix the damage left by Guptas Narcissistic people remain strong in their point of view and like decoy "@pastor the name of the judges "They denied rogue unit @Eliot Chauke ...sealed where baba.? "but dont worry @Pastor J i said North Gauteng High Court... Just saying a fact.....Eskom WAS othe best run and profitable state entity PRE 1994......now think aboot that......ne 
55:48,57:55, @Eliot Chauke ...Eff must first release the VBS money for the poor to enjoy Christmas first. Skelms "makhosi nobhatyi The Zuma cabal refused to sign IPPS thats the actual truth bro pastor J Google Peit Rampedi now..he was talking live on TV if there is no such Y can't they challenge him..being quiet is da proof he even said they must challenge him he's a available pastor j Pravin Gordhan is hated because he chose the country over corruption and Cyril Ramaphosa can be called names but he stole no money @redriger u trying hard to be funny. "@ Khumalo yes we need to be fair but take away politics so you will see problem we are in as a country "Pravin Gordhan is a real problem @pastor u expect me to take u serious? vbs song😂😂. how much did eff steal from vbs and how Piet Rampedi is a clown that works with Iqbal Survy they looted money from PIC 
58:13,1:00:19, Alex Industrials You deserve to be blocked wena!! @Hloniphani Ndlela ...I agree with you that bribery of judges may have happened. You say it as a fact so give us a name. @ Khumalo you are too defensive brother as if you get your share 😂😂😂 but mna I am sober if CR is found guilty of wrongdoing we will deal with it later I cannot run around look what he has done can we all pray for our country which is destroyed by politicians anybody who is clean gets vilified by most corrupt people no judge has been bought here that is a lie Hebana! @Eliot Chauke ....Currently...VBS are the biggest thieves at the moment. Read Daily Maverick etc. Julius is going to Tronk in the next 3 months.4sure Mbaks Cyril is stealing through WMC nd Pravin chose his business interests over the country..he was against corruption bcoz Gupta's were closing their..das how it works. 
1:00:30,1:02:29, @Pastor J. im saying the info is sealed. wat more do u want. the name of judges and amount received is sealed... @Pastor J ....don't forget the thug FLOYD next to him in tronk as well I dont read Daily Maverick "@Eliot Chauke ...And when they unseal it and the page is blank "makhosi nobhatyi The CR17 GOV has made more expenditure AND LOSSES than Zuma UNTIL today Cyril Ramaphosa spoilt the stealing fun now crooks are possess off with him You don't seal anything without incriminating evidence hehe @Robert Russell ..My apologies for seemingly having left him out. I normally call him Vetboy i read all newspapers because i don't want to bias my views. 
1:02:35,1:04:43, "@Pastor j b patient daily marverick is for discrediting black leadership who wants to transform economy Zuma cannot afford his children school fees "@Eliot Chauke why is eff not publishing it now wait nd see da day Moyane cross examine Pravin Government is judged after 5 years sir what you see so far is Zuma administration not yet CR17 all he tried now to save our economy not to fall so stop lying here @ Khumalo @Hloniphani Ndlela .....you talking crap...Bra......they report on the truth...facts "@khumalo this is politics @Lorraine Naidoo ...Its difficult to send children to school when you have 24 of them and then stealing tap is closed. How did he afford it when the Gupta uncles where still here? 
1:05:13,1:07:37, 🤣 Paster he isloaded @Lorraine Naidoo ...Thats what I thought Kanna leaders are born and arise to their position by virtue of the unselfishness of their actions. I'm not sure what strange concept of leadership you have He should ask Duduzane to send some of his money from Dubai. "if your position is strong @Pheladi Lamola ...yes he did chow... he and his family had all expenses holiday to Dubai to the value of almost R700k...paid for by the Docrat family who won the tender... make of that what you want of thought. "This Zuma and EFF nonsense is frustrating. Whilst they where and are busy stealing 
