starttime, endtime,message
time,2:41,message 🙋‍♀️🙋‍♀️🙋‍♀️ "Where's everyone Valencia hallo😘😘 enca toe Valencia @Valencia J Probably sitting on the page that is not working. hahahahaha hey @Alta waars die mense @Pastor J.J do you see me 🤦‍♀️🤦‍♀️🤦‍♀️ 
3:02,3:52, Valencia hul gaan nou kom😁😁 SABC pic out of focus @ALTA I do and you look as lovely as usual feels so great without trolls😂😂 let me not speak to soon Long live the spirit of Juju Long live 🙄🙄🙄🙄🙄 @Valencia J 🤫🤫🤭🤣🤣 FIRE EFF FIRE @Pastor J.J 😁😁😁thank you feeling much better now😁😁 
3:53,5:10, me and my jinx TRUMP 2020 @Valencia J Lets start praying for their data to run at 10xnormal speed @Sanfran Arnold hi😘😘 @Pastor along. with their fire 😂😂🔥🔥🔥 Big daddy I'll speak to u today @Valencia J always wait 10 seconds and then say it. We are cursed today. hehehehe @Rip Reeper im here Move Red bus move 
5:27,5:59, big daddy did you see what people say about you in the enca chat group? @Zinhle Big Daddy Dee Hi. my people aer ignoring me Tatha Red Sea Tatha volume chair thula trolls thula volume chair @zip reeper Greetings my friend @Zip Reeper now u see how they are??? volume chair 
6:00,7:14, @zip reeper hallo daar volume chair Fire Brenkfell Fire brenkfell 😂😂😂😂😂 yesses THE RED BUS IS MOVING 'indeed' Morning Everyone @Pastor J.J @ALTA @Zinhle Big Daddy Dee Hi you all Brenkfell we are coming for u 
7:14,8:07, cadre ZiZi kodwa ebanna cadre ZiZi kodwa ebanna cadre ZiZi kodwa ebanna @kevindbn007 GM where is brenkfell cadre ZiZi kodwa ebanna "big daddy go to Mitchell's plain 45K to Zizi. Joh Whos on the stand today 
8:14,8:44, @srini naicker gm zizi the buzzing bee Zizi k wow @Pastor J.J thanks @Zinhle Big Daddy Dee Blessed are the outcasts Morning Arnold B sien jy my @Zinhle Big Daddy Dee GM Zuma again 
8:59,10:13, @ALTA ek sien jou my skat:virtualhug: Hope you all are safe and well not anybody can be put in positions of power. people must learn Thanks Mr A @Valencia J @SanFran Arnold @ALTA @zip reeper WOAH We follow the money "Adv. M Chaskalson SC well done sir "Just joined @Heather Durr hi True heather follow the money 
10:13,11:28, "@Heather Durr YES 😲😲😲😲😲😲😲 I sure could use some money @ALTA @Sakhile Shongwe its just getting hot in here @zip reeper oh yes lets share the money The Hawks is arresting everyone but they leave Mr Zizi kodwa behind BOOM BOOM BOOM BOOM x 1000 Payments made for????? @zip reeper ad @Zinhle Big Daddy Dee did you see that I greeted you both?? 
11:35,12:03, Alta 🙈🙈😂😂😂😂😂 @SanFran Arnold Maybe a Valentines Day gift.hehehehe the state capture inquiry is exactly the reason Thabo Mbeki did not want Zuma and Ace who is this witness Mornings @SanFran Arnold Hiya. Apologies @Pastor J.J 🤣🤣🤣 Dumelang @Kieron Sinewave GM 
12:04,12:25, Who is this? payments for what exactly and from who? 🤯🤯🤯🤯 Mr Powell forensic investigator Who's making these payments?? Kodwa has been collecting the R50k's Zizi Kodwa @zip reeper no prob. Sometimes it a ht and miss affair on this chat @Mpho lekai? 
12:26,13:11, srini what... it seems money talks😁 Money flying here o Zizi was also eating???lol Loan to who??? "The subtitles are so unnecessary ANC people ta-ra-ra-ra boem-de-ry oompie het 'n vark gery..... @Valencia J Payment for Tithes and Love Offerings. All around 10%. hehehehehehe "@Valencia J 
13:12,14:01, I'll make it up to you@SanFran Arnold There we go now all the names @zip reeper 😉 Zizi was also eating lol!!! "@Pastor Zizi usuthi anc is just a criminal syndicate @Mpho 😊😊sorry I don't understand "Hello Everybody 
