starttime, endtime,message
time,23:23,message "what's up sound please thanks mzilikazi must account for his role How can they be independent when they are trying to dig up the truth? Only the judge has to be independent in this commission as far as I know what's the difference between this black government and the white regime because money is wasted hence majority a getting even worse politics are abusing south Africans same like before if not worse "Gee Peex1 Gee Peex the word democracy and the act of election but works the same if not worse affecting the same black majority and it's getting bad every second........ 
27:29,49:14, to me before corruption was hidden but nowadays is daily occurence affecting the same back majority guys we need to arise like Japanese not so we will be refugees soon guys....... to say it was hidden is not better it was still the same so democracy does not bring what we expect so it can't carry on like this this politicians are playing us more since Zuma admin...... I hope Paul Osullivan comes to the commission very any ideas which channel on DSTV? check out EWN for drunk policeman on duty...sis! Couldn't agree more with you... @Gee peex1 I would love to know what Arch Bishop Tutu knows about State Capture... "Sharing These YouTube Ch. Amazing Facts TV 
49:46,54:23, only for interest sake... "@William Pieters yes with a lot of deeper insight. "After this commission 😯😯#sapsnc the Commision may only end when ANC is out of office... Archbishop Tutu was not in government and he was not looking for tenders I think we should blame corruption on Adam and Eve... ok 
55:13,59:43, @William 😂😂😂 how? @Gee Peex1 ....Sorry Bra.......that's when the this country started to be developed......etc..etc...etc.... "Gee Peex1 Its called command and conquer This is nonsense!!! @de.........that's the truth.......some of da people just don't get it..... That's called...History....ne Shocking!!!!!! humans are floored from concept.. @Gee Peex1 .......No...not totally etc........ 
1:00:20,1:03:59, they also brought trains a lot earlier for Africa... road wild guy chase d's proble leigh anton quality vodacom benz you xoxo guy who new quality in olin road cargo zone "we speak of colonialism disenfranchising the masses Like I say.........we All would not be so advanced in todays society....if it were not for those explorers..etc etc @ Gee...not so......they educated..traded.....bartered...with the local peoples...etc etc "Gee Peex1 Its called war. Command and conquer "@Gee Peex1​ "MIKE LOCK true Mike  @de.....true....that is how it was done....in those days.... 
1:04:10,1:08:05, Corrupt individuals were put in positions of power to frustrate law abiding people from doing their jobs. The 9 wasted years really set us back as a country and it's effects will be felt for years @ Mike lock that's absolute nonsence.... Easy D perhaps some history reading @Easy D .....it's true....... Easy D Because it offends you doesnt make it not true History is history........can't change it......we can only live.....Going Forwards.......true ne.. MIKE LOCK problem is people are offended by history and want to erase the bits that they dont like The colonialist looked out for their own interest and the idea of bartering with the locals is laughable... @Will Granzier ...that's the truth....... 
1:08:32,1:13:13, Gee Peex1 if it wasnt for him you would be living under brittish rule at least one person know our history.. well said @Will Granzier l wonderwhen is the first prosecution .and who will be first "Gee Peex1 Indeed he was I hate Red... This is costing the tax payer a lot of money - will there be any prosecutions ? never "We need to respect each others culture. We have heroes in both cultures this Commission is worth the R200mil a year to act as Correctional Service for the ANC... 
1:13:25,1:36:30, Lies all lies 200milion a year is a lie wedont have evidence. it's more than that they need more but fine... 🙏 "poor Retief found out how  lol As I understand it......Piet and his party tried to make peace with the local african's.........but were defenceless and were slaughtered....... Let's stick to one war at a time. This one we can hope to win!!!! Gee Peex1 Curruption has been around since biblical times. Judas was corrupt 
1:37:31,1:42:41, "Yes "We are still corrupt Zondo is dealing pastor of the church @ Gee Peex1 Gee Peex1 Judas was currupt he stole from the disciples purse. Read again @Gee Peex1 ... Rubbish... come on now Bra........let's go back to the original sin.....when Cain killed Abel........ "Gee Peex1 Corruption is through out the bible Gee Peex1 true that Turns and Turns of Condoms sent to Russia were returned because they could not fit the men there too small.😀😁😂😀😁😂😀😁😂 m g 
1:44:11,2:00:00, Eeeeesh ...Guys.......you'all forgetting our caveman bra's...they started all this land conquering thing......blame them...ok @Gee Peex1 ....really sems you think u a smart cookie...ne When are they bringing back death penalty? Can't wait @Gee Peex1 ....mmmmmm....you one of those...Know It All fella's....ner @Gee Peex1 =...only a pleasure Bra.... "...Yes yes hii "Khuba was the lead investigator in the so-called Zimbabwe rendition matter and was 
2:00:29,2:06:53, Who is telling the truth? @Jane - lots of ducking and diving whosa dis guy pls guys this old white lady is always asking favours from the chair ok thank u "...OK olsmd white lady😪another woman abuser😭 """The handing-over of someone wanted for justice who has fled a given jurisdiction; extradition""...." How i wish the SARB can change our currency .🤣🤣 
2:07:44,2:27:59, Zondo is interjecting😠 Thats where he learnt stealing!! "...Africa finance globally Goodbye and Blessed evening to all of you bye bye😎 😁😁😁😁im still here...was saying bye bye to Pastor aysh "@ I Am Free  Funny 
2:28:13,2:40:36, "Are you people listening to anything that is being and has been said "Following on "...Moreover; The New Testament: not verified "We will surely reap what we have sown. Grow up thank you Jesus Gee Peex1. Don't talk nonsense. Your whole argument is nonsense. You are playing the dummy. "...""We""must identify as individuals "Well 
2:43:39,2:58:45, "Like I said "...Note: ""something""-else exited the Ark with Noe/Noah and Family Gee Peex1 Why not concentrate on the real issues that are being ventilated in the commission today. "@David Tuer​ even in that 1652 der was a farmer stealing sheep or cattle from another farmer @I Am Free. Were they persecuted for their religion? "...Evidently "If what you say is true atleast 
3:00:48,3:13:07, You may also google Benjamin Freedman 1961 speech. He was part of Jewish delegation to Treaty of Versailles "the rendition meaning with the DA the Guptas behaved "...the Kabbalah is a hypothetical branch of the Tree of Life This rendition issue is confusing. I hope the DCJ understands him because nna🤷‍♀️ @I Am Free The contemporary Jews are actually Khazars and it has been proven. Loool "@I Am Free The real Jews can be found in Iran 
