starttime, endtime,message
time,-11:17,message Goog day all Can anyone plz tell me when does whos line is it anyway start....ha ha ha ha @Zaahier Adonis Dont understand your question lost Terribly "i ways away on business and watch it late night Pastor @Zaahier Adonis I perfectly understand. Enjoy the day you mean n Afrikaans drop 
-9:43,-4:08, "@Andrew Marshall I think in that part of the world the word""Dop"" is more appropriate than ""Dorp"". hahahaha" Dankie Pastoor sal dit geniet en jy moet ook die gesprekke geniet yes dear he was a big laugh i rely enjoy him I felt sorry for the interpreter. Let the translations begin hot seat 💺 yes my friend I was really concerned at the poor interpretation yesterday. Wow. Is this a common problem in our courts? Officers became offices...and then it just got worse. "Dit is so jammer dat iemand glo dat enigiets of werk wat 'n Afrikaan doen 
-3:44,-0:24, I loved the interpretor..so sorry he wasnt up to legal scratch..the ultimate irony. "Anti Suz The guy could speak and understand english..was likely just making a point..hilarious to see the interpreter..only in SA! Then Mr Zondo knows better to stop it he was waisting the witness sis time The time is corrupt Hello.... Ofcos we are running out of it.. Mr is black listed "Yes my friend  Morning peeps. Be patient we will be live shortly 
0:20,2:04, You are right my dear.......X STEM here we go! Molweni landless masses "@Yin yang Dit is tyd dat swart mense werk We are now live Someone buy the commison a clock HA..HA...HA This is not Mr he is Meneer translation will be proper today 
2:05,4:46, I will bring it...from Lesotho...no problem! 😂🤣😂😂 sorry Smart move DCJ Peace ✌️ Yin Yin Yang give him appair of specs I wonder y the comments were disabled yesterday😏 😂😂😂😂TOLOKI "@Faith Mathebula  @ Thapelo 😁😁😁 
4:47,6:52, Of the interpretor HALALA KE MANG O He doesnt know English So we starting all over again Zaahir what makes you think that one should believe any profile pic to be the identity of the person showing? halala state capture wow you are rich mos mfe 5000 rand 
7:01,8:41, Hard working man "He has come from nothing gonna learn today Just joking TG Swarlane sorry my bad Oom Willie appears to be quite an entrepreneur. Started saying something about delivering R1m of feed to the Vrede Dairy Scam. This Guy looks like Johan Rupert ✌️ Please don't kill this boer we are learning "The problem with many of these farmers 
8:41,10:05, Haahahaaa Cassius... maybe they are brothers YEs farms wer taken from ethnic farmers after group areas act ANTON RUPERT @Mbulelo Nala Ntlabati kaManona You are correct. It is also a problem because police must take all statements in English. It does not always reflect accurately what the complainant wants to declare. bring back the black dude broer is a farmer🤔. He Liquor stores aish and Its FRIDAY "Masked K - that does not apply for ALL areas in South Africa 
10:11,11:35, the black translator Owns No he said Greyling it applys Yes Lunje it applys because the land was never owned by them it belongs to the people of the land zaahier that guy made my day . his direct translation And who took the land from the Picts in 800 BC in Scotland? 
11:40,13:10, Boer my bass only u knw coz u scottish the land and who took the land from the San? And who took the land from the Romans? This can go on and on and on - Adam and Eve is then the ONLY people in the world that has a right to land? Over 900 people watching..I am sure Jacobistos and ACE included Ask him if he knows Malema its typical raid strategy like tge vikings and roman rule Does the translator works for the state or they consult? we dont care about Scottish. this is the black land of our Gogos 
