starttime, endtime,message
time,6:47,message anyone watching senzo court ? is it on YouTube? i don't know am looking for it please check on your side we still waiting on newsroom Is Senzo court case being televised? The cumlocutive snouts are about to sniff out the incendiary! Zondo drinking some redbull first we knew all along that the killing of Senzo was planned an the obvious reason is we knew who killed him just after the day after his death so please NPA arrest that madam we know about it 
7:06,9:40, Link for the Meyiwa case Dear All Hello It was great to see Gerrie Nel again He should be taking on Malenema and Zupta Almost Gerrie? where Gerrie put his foot on the truth will always relieved come on Nel This evidence leader is lacking in evidence leadership skills "@Heather Durr his scared of the man 
11:37,15:18, Who is on the confession boothe With respect this lady has a trying name arrest ramaphosa There is clear evidence that the criminal board members moved from one SOE to another together with criminal executives. Gm my lovely people how are you Zondo keep on reminding evidence leaders of procedures salaam Salmaan moooooorning😁 This leader is blind 
15:32,17:28, It is also clear that some board members did not know what the Guptas & their proxies were up to for example Ms Madindi @ the Denel Board. kwa lumi. 🌄 Hey people i hope all is well with everyone yesterday we had Mervin the Goat who was on FIRE!!!! Morning San Fran Court on at news 24 Where did they find this man @Zinhle Big Daddy Dee hello I want to see big fish here not this small things @Johannes uMamabolo uzakuwukhomba umzi onotywala uzakuphendula ngakuthethileyo. 
17:51,21:11, 😁 @SanFran Yesterday was too hot So it's obviously not all corruption. Some very competent young black professionals have served well in difficult circumstances. Bhotani mawethu there is a disturbing echo coming out of the sitting Wipe malema of the media podium. He is really only bad news for the people of this country. "Adv. Paul Kennedy Was Senzo assassinated like Gerrie said Denel has always been the gem in SOEs. 
21:13,24:21, Adv. Paul Kennedy: He has acted on various occasions as a judge in the High Court and the Labour Court and regularly sits as an arbitrator. that woman is beautiful you have an LLB degree but you're taking our jobs at LOGISTICS NXA "@potwana potwana Yes Level 3 waits for us I want hard lock down So the cigarettes smuggling can strt Answer please-Was Senzo assassinated adv Paul Kennedy 
24:35,26:50, the evicence/court will decide "@Moss I can get it for you DCJ is not impressed with her offhand matter @san fran for human rights issue SanB hi😘😘 LEVEL 0 LOCK DOWN COMING SOON Oh Lord she is driving us all crazy Volume pleas some of us are deaf @ALTA morning skat :virtualhug: 
26:56,28:30, I dont trust Cele ...200 Million $ OR Rand ; the values are indifferent? Ok now I need a tequilla @Moss It is on the website - The Bridge group of Associates "Morning Salmaan and where can I get bulk sigarette for selling You must stock up this week "@Bulelani Archie be happy that you are at least hearing something am late 😇😇 RAMAPHOSA MUST REMOVE THIS LOCK DOWN REGULATIONS BECAUSE THEY WANT TO CRIMINALISE PEOPLE 
28:47,33:06, @Paul Buchel But Gerrie has nothing to do with the case . africa as one country I would like to know her connections Look at DCJ madam Oh for heavens sake-get new glasses Morning folks :buffering: you mast class alcohol big poremlie 
34:07,39:11, the Freedom Charter that OR is holding in that statue says 'South Africa (mother land) belongs to all who live in it both black and white. It doesn't say the land is only for blacks now you want to start fire because of your total misundertanding on land matters EFF HERE! PLEASE DON`T START Heya @mervin harrison ! How are you this morning? GET NEW GLASSES EVIDENCE CONFUSER Mervin please behave today:goodvibes: @Naledi Barron Hi Naledi 😉 'South Africa belongs to all who live in it' (Freedom Charter). That clause is not anti-land reform. 
