starttime, endtime,message
time,6:40,message "The in-camera This is a much anticipated evidence by cln Naidoo "Does everyone know exactly what we are expecting with an in-camera interview is that not only happening on Monday? "No "We will only hear his voice. He is another place thanks JS LOL see our luck...the Colonel is AWOL 
7:37,9:26, Where is Mr Naiiido in out of camera??? "@Tatuoachica and @Joanita Hilton ...can you hear anything? My screen says ""Started strearming 7 minutes ago"" but there is nothing going on?" @SABC Digital News Not live. Please stream. Naidoo under witness protection @JS Bach I cant hear nothing on my side either nothing has happened as of yet... probably sorting out logistics @Ewald Kruger can you hear anything? "There is no audio people @Ewald Kruger where are you listening to the stream? 
10:02,12:27, Haven't started they haven't started yet "hahahahahah @Ewald Kruger I think so too his gone missing Its either protection levels too high or the state aint got no data to stream the colonel live or even his voice hahah #DataMustFall I don't know if is only my phone is not back yet or others also "@lorraine Naidoo not yet 
12:51,14:29, my bro gone with the wind Just noticed no other channel has a live stream going hahahahahahhahahah @SABC Digital News Please update us on what is happening. Tholukuthi Loraine is the wife checking out where the snitches are hehe in hiding "ok so fess up cannot wait to hear from him Maybe Naidoo should send Zondo his answers via WhatsApp. Then nobody will even be able to recognise his voice! 
14:40,16:00, This Naidoo suspense is killing me LOL @Musa Mabunda "we wanna go talk about Mr Naiddoo over I agree with you this guy is a lier uphi Naidoo ngoku LOL @Ewald Kruger I was googling like a pro too Zondo and delays🙆🏿‍♂️🙆🏿‍♂️🙆🏿‍♂️ colonel KFC. 
16:05,18:35, Eish Naidoo the Naidoo'S are waiting Sabc must do something live streaming is off The judge is still in his Chambers frustrating This protection bs is exactly that ...bs. So far all we have learnt is calssification of documents is done to protect the evil ones He must be from Durban "Judge Z "we Phoenix 
19:15,20:45, @Thabiso Itumeleng Do you know for sure that DCJ is still in chambers? hello mr zondo are you there??? 🤣🤣😚😚 but how he ended up in the protection program and who threatened his life anyway? I'm assuming. he spilled the beans on looting within state intelligence @Kay Kay Dylan fed hut heh hehe DVD visa owners CBS kids value quite than Dhabi mpu not aqua win everyone bhai live stream pls That rouge grabber must be working overtime now can smell the smoke ? 
20:55,23:42, okeh @Nakrito Nakrito cold feet What happened to these Zuptas now "well I hope he hasnt done any websurfing on advertisments Mr Zondo please start I have no sound Pay your bills...they always find you when you owe ...haha "Yes I am here "@Joanita 
24:09,26:00, The camera equipment got stolen during the mutton bunny break. "Is Zondo aware that we are not hearing anything All of them including former minister of police Naidoo Naidoo are you there over nd out Are they going to stream Col Naidoo audio live? Beam me up Scotty no life here Lauraine are you a Durbannite "I just saw a tweet from City Power regarding an outage effecting Rosebank let's check news 24 
26:05,28:16, agents are using blockers "@John Martin @SABC NO LIVE STREAMING? ENCA? Zondo and Naidoo are off to Durban beach. Silent witness! "@John Martin According to the statement issued by Judge Zondo Why are we kept in the dark SABC? nothing on news 
28:27,29:38, it says started streaming 27 mins ago but my question is where witness will be testifying via Whatsapp I give up. 😕😕😕😕 Gee you sound like a 10 year old lytjie En nou? Come on @SABC Digital News . Tell us what's going on. "maybe the food had indian peanut Institutions that work properly are rare in SA yass 
29:39,30:00, There we go live now Hooray|!! There we go Zondo already breathing hehe hello DCJ! SABC sound please 1. 2 mike check witness testimony to stream on CNN😂😂 
30:01,33:31, yippee Naido Naidoo Naidoo Colonel NAIDOO.. Agrizzi us with information heheh what does this Naidoo Naidoo is in the toilet at Tiso building🤣🤣🤣 Paul Joseph Pretorius would have taken up this cross examination i dont have confidence with this white woman Me too pretorius or hofmeyr 
33:34,35:26, "@Nyasimi Geoffrey I'm not particularly impressed with her Even Ms Thandi Norman has some nice legal application "This should be given to the veteran Folks lets for nce not bring in race Pretorius this commission was gona be interesting if Adv Mpofu was there to ask serious questions esp to Pravin and Cyril Where's advocate Pretorious or Maleka to deal with this critical witness? No one is brining race sir actually we are rooting Paul Joseph Pretorius who is as white as it can be @Kay Kay Even Adv Gcabashe 
35:39,37:05, Maleka left long time ago. I Maleka "Then say the name of the person and not ""this white women""" it's a pity he left Geoffrey are we clear Yho! Zondo wanted to say Rodger that haha EFF 'em THank you 
37:23,38:41, Naidoo is loud nd clear Is advocate Maleka done with the commission or what? heheheh jamnanda had his 3 days last november @Gee Peex1 hahahhahahaha If I were Naidoo I would have asked them to distort my voice. Just in case somebody recognises my voice. avoid the name NAIDOO is it the real name if i may ask i guess no Aggrizzi accent 
38:43,40:41, yo aaaaaaaaaaaaaaaaaaaaaa full names?? "Nyasimi Are the names fake or his real names i cannot even pronounce his name Fake names I hope colonel Naidoo has adjusted his voice Moses please go on a dating site so we can leave things real here. Expect you now to sign out 
40:57,43:41, Afrikaans speaking accent. Full name: Dhanajaya Gangulu Naidoo according to Newzroom405 Tweet "Naaaah he is Indian Yolo O no already t indian You are welcome. I got rid of her a long time ago @Yolo Indian. Moses no ways his accent is indian This country is a mess 
43:58,45:50, Priority Crime Investigation Imediately moses go back to Congo we are not from India .S.A. thank you Sandile is an awb troll anyone from india?? :gar: ANC are the worst skunks this country has ever been cursed to endure Hi @Nielan Nagan many people have blocked him we have been having an issue with him for some time 
46:53,48:39, TRUMP MUST GO HE MEESED UP THE STATE Now his identity will be traced through his family with these break-in story. @Mbuso Ndlovu i think he will...Its a shame really for that most powerful office int he free world to have a clown like him we are going live. Hear us our Kay Kay you right out..oops its a shame....Steven colbert travor conon are having a field day @Nyasimi Geoffrey Money is everything 
