starttime, endtime,message
time,4:02,message On time danny Mansel worked also for the CIA Dudu Myeni Agrizzi is back the Boss is back 👀 What did he say on Mokonyane "Everytime Agrizzi says ""If I may add chair"" 
4:13,6:03, 👀 "That tummy seems to be fully loaded of secrets @luzuko masoka thanks mate but I am not the boss anymore - I sold everything Who gave them report from siu?? She is still safe for NOW @Joel Mzayidume i salute this dude we need ds kind of pple in our society Mokonyani's been receiving R50k per month..... 😨😨😨😨😨 She is toast!! then later on we are going for anc criminals Someone whispered in my ear that GW is on holiday in Asia 
6:03,8:44, A vote to ANC is a vote for corruption eff is de wat eff is de way u mean tickets? how do you transfer furniture lol? @Khalid Mather by container on a ship Now is the time fo Names :::1.;;;; "this guy must give us the names Overseas furniture transfer can be done by eg Stuttafords or other removal companies 
9:20,11:17, Mr Agrizzi came forward on his own..he is a whistleblower Mr Agrizzi politics I like the way Agrizzi always is the one who is advising the other gangsters that what they are doing is not right......... lol true he is a walking menu we don't need your history Mfoka Agrizzi let's talk about Busasa money please "@Thando Luckas It's no wonder Agrizzi is a racist.. doing all these favours for these crooked people. "guys 
11:31,13:09, he volunteered Volunteered "Anyone can go forward with information so is he protected volunteered after he woke from a comma and he decided to come clean yes he volunteered Agrizzi presented himself of his own accord...he was not summonsed was he in a coma from over eating this man's brain is just phenomenal. .. very impressive. 
13:21,15:59, @Khalid Mather 😂😂😂😂😂 his conscious was troubling him a lot..he couldnt sleep i guess "he was going to summoned. it's not honorable at all that he is here. They ruined "@L L he is not too bad at he is coming clean unlike some corrupt comrate of anc mxm @cameron.. 😊 "i think south African should see this and start to think about voting for a new party that will lead us. but there is one thing i wish we can all keep in mind This commission has shown that not many people has the guts to come forward with info on corruption...quite a few state employees resigned instead of revealing the rot lets vote eff 
16:00,17:54, At least he has a consceince unlike the leaders and co-conspirators of this country. @bongumusa ellon we need to scap all parties and have a internatal organasation ruling SA for a minumum 10 year cool down period so guys do you think the Gupta brothers will ever come to testify in this commission or chances are high that it might end without them telling their sides of the story???? No I will not vote for the thugs in red berets not ever. I am so happy I could see through GW from day one @King Stash Never ever "yes myb that will help us "The Guptas are in hiding in Dubai "but we now know 
18:04,19:58, lol we a nt thugs we face thngs head on thats eff for u EFF is a disgrace @peter pott 100% can't say that any party is clean..... Please Elaborate Agrizzi "@bongumusa ellon brother -- NOBODY will help you . YOU MUST HELP YOURSELF  I have personaĺ knowledge of some of his extended family all from the Free State.... all cut from the same cloth... IT IS SO SOFT "yes somewhere somehow i think malema can do it to this country "Not even hater of EFF will deter me from voting for the red berets. like it or not 
20:20,22:08, fearless daredevil Agrizzi . much respect to him Government and Busasa same Whats app Group mnxn "If you could follow up this individual is greedy guys bare in mind that SA has jst signed an extradition with AUE(dubai) meaning Zondo can order for the arrest of the Guptas for them to be deliverd in SA within a week!!!! meaning its up to zondo now "@bongumusa ellon If you think a political party will help you and the rest of the 50 million Africans where will the money come from  What about EFF and VBS would you let a convicted pedophilia work at a school of young children......then why would you vote EFF when Malema has already done corruption. and some of the other leaders in EFF too. "that is true i have to help my self this guy is forever fearless 
22:13,23:22, @King Stash The Guptas is well secured in India What about their open inflammatory remarks that are obviously meant to stir up the masses The extradition order will still take time..it has already been signed a few months ago VBS money started EFF @bongumusa ellon start from the bottom and build you up - normally it takes a live to do that I used to love the EFF now I will never vote for them Bandit why i take that advice thank you Im voting EFF 
