starttime, endtime,message
time,17:13,message Why was all our police ministers corrupt? The guy is so full of himself where is the musk sir FredBKevin to become a minister you need to be corrupt. when you try to answer too cautiously you make room for suspicion So true Arthur Kwenzakalani lana? A General is a Clerk??? 
18:34,29:14, he's getting irritated I want some Oros Shem Nhleko .He is cracking "Lieutenant General used to be called commandant in old SADF serious clerk then.... lets here this one It's so freaking annoying and disrespectful for Nhleko to respond nonsensically bullish to Hulley SC just to respond nicely to the Commissioner DCJ Zondo. This guy is a liar 🙆🏻‍♀️🙆🏻‍♀️ n think he is smart this man needs to see a doctor! Has accountability issues """All governed by principles of accountability"" Eh?" 
29:15,34:24, "body language tells such a awesome story......I was not actually listening I wonder WHICH principles of accountability he and his political party are governed by? ...has he done a breath test yet? Think he is on planet 'papsak'! here it comes this guy are up to mischief An analysis is a view Ha ha ha what a Mampara....talking gibberish! "Nhleko is lecturing DCJ Zondo about law Usile 
34:46,38:13, it only works his way prima facie @jwarha21 u are delusional Acting clever to the wrong person. How do you lecture DCJ Zondo on what a report is? arrogance won't affect Adv Hulley What is this minister's Educational background?? he certainly could not have passed English logic! I must Say Adv Hulley is doing exceptionally well here... "'An Investigative Report is not based on views Can't believe that Nhleko as former minister of police doesn't understand the fundamentals of what a view/allegation/view/anaylysis is! 
38:23,41:11, zumas buddy He coughs like zuma. I don't trust him we want facts Every case in court is a contest between two different VIEWs. this guys and his examples Best this guy just shurrrrup...he is digging his hole and may pop up in China. oh his a traffic director now lol @Mandy the guy is stubborn and wasting commission times. "First truth he said ""i am not an expert in this""" 
41:12,46:46, "I'm gonna start a tv channel @Godfrey Mama True This is hilarious. his too opinionated Slam dunk! Eish mara ANC. Look and listen to leaders that are given Ministerial position. No idea at all. Its really a shame. Cry my beloved country Democracy for the ANC was all about stealing ...sad but true!!! Why is Zondo answering for him? Zondo used to play dices with Zuma during their youth days. 
47:06,50:42, "DCJ seem to be answering for Nhleko especially when the evidence leader probe him Yes they got him now 😂😂🤪🤪 @hunter lol "@R hunter I lost them the evidence leader going to loose his patience playing for time. bla boa bla so far he hasn't Batohi must take this fool to court 🙄 He is hanging himself😂😂😂 
50:48,52:57, This bustaad must leave the commission now what a wasted day No wonder ANC meeting go on for hours and they don't agree to anything fruitful. They talk about irrelevant things. wasted three days. what is right then? Wasting Tax Payers Money We Will Stop Paying Taxes immediately the most boring testimony ha ha what an idiot! Welcome to Planet Nlecko "@The Hidden Realms we don't pay tax This was a MINISTER 😂😂😂😂 
53:03,55:49, Liars Thieves murderers arrest them all and Seize the Assets what was the occurance Correct they take the tax for sure after we've paid it this guy doesn't need a lawyer The ANC must be so embarrassed with this guy...but do they actually care ? Time waster yessssss he want him to repeat the question to allow him to think of an answer. This guy acts dumb 
56:03,57:31, Can't believe that so much time is being wasted to protect wrong doing. Why would someone who was not involved in investigation have interest in changing a report there you go😂😂 Evidence leader is the one wasting time playing two parts. dumb and dumber He is Exposed he victimized McBride..leave the rest! Why is Zondo helping this guy?? 🚽 samuel i also wonders and then Zondo keng ka yena? 
57:38,59:06, Precisely Sam "They are so polite wooow Anc & ZanuPF will always look like two twin Bros #Arrogant think think my understanding Zondo is avoiding this guys long answers. Zondo definitely seems to be blocking Hulley at critical moments in his questioning. McBride was employed three or more years after the crime had been committed. He surely had nothing to do with the investigation. He should have stayed away and allow legal processes to unroll Harley came with an agenda Remember Nkandla report was challenged by Adv Madonsela and dismiss by Concourt 
59:16,1:00:30, MR Zondo go give the poor guy a hug😚 he said nothing😂😂 Former Minister Nhleko is on top of this and this shall end badly for the new Director of Foreign Intelligence. the authority he has because he is a minister @Godfrey Mama Eh? Why is the judge putting words in the mouth of the witness? He should let the witness answer the question and allow him to contradict himself if he is not telling the truth. this is the minister who brought us the fire poooool remember is Harley really a lawyer EVERYONE is WRONG 
1:00:44,1:02:08, Denial is not a river in Africa... Lying through his teeth! he got him there you are you missed nothing @thomas Bypass Mcbride ...he is😂🤣 caught out! bla bla bla... Minister has the oversight responsibility of the Portfolio he manages. May speak to anyone anytime within that Portfolio. Why is time being wasted How many more of Ministers of Police are going to be guilty of misconduct. It's shameful. 
1:02:36,1:04:20, Oh yes even when you are guilty you are not guilty.... what a low life uncleRay should insist in respect 😅🤣🤣🤣 Wipe your tears revolutionary parties a joke esp in SADC How on earth are we having such clueless barbarians as leaders Why do you by pass McBride sir? It's not Hulley who has been wasting time. Harley is wasting time on non-important issues. @Leon Lebangwa I agree let's agree that we disagree 
1:04:30,1:06:03, this arrogant guy wasted time. Dcj also waffles too much "uncle Ray Adv is also beating about the bush... Hahahaha.....Hulley just showed them a finger now for talking to much. Three ringed circus "TEKKEN - ""FINISH HIM""" this commission is just a huge farce... wonders what Lea and Kate would have reached with this witness 
1:06:17,1:07:18, is this cross eximanition? haibo this lawyer Give us a break Zondo. Please don't interrupt again within the next 10 minutes. am losing faith in Chief Zondo at a rapid rate! nhleko going to waffle to get out of answering as per norm....sad This witness is useless. You can't get anything from him. They must bring Bheki Cele instead😂😂😂😂 The witness knows his staff. Sorry if you don't like him. he isn't going to make it... this guy going to waste time on purpose Leon Mbangwa you're right 
1:07:48,1:09:10, I miss Hlaudi😁😁😁 "we beggex uncle to stop interrupting i bet u he wouldnt have had this attitude to Ms Hofmeyer what a stupid question never!!! he would be out on his ear Feel sorry for the people who cannot see through the lies!!! Hulley uyozela ngok i stillll have silence 
1:09:23,1:12:15, that tiny voice becomes a sting with substance @quest....guess you'd have done a better job:-) see you all 2morrow sometime i cant agree with u more The former minister is Guilty based on how he answers the question Hulley is feeling @Mandy Phillips I'm too busy love lol ewe ebezokwenza umsebenzi omhle. bajonge bazayobuza ndithini oonontombi Giv him 2 adv.Maleka den yul c🤔 
1:13:26,1:15:31, Lecturing an Adv neh this ? the likes of adv maleka have quit this farce. . they didn't back you either did they? "He run away now Answer the question. it's record. Hulley lies Lol... So does this mean McBride used a technicality to evade accountability? "it's record that Hulley said 
