starttime, endtime,message
time,38:24,message All the leaders need to be jail to many a times they go free make and example of them 💪 "Heyy "This counsel will get married now Technical Director is sleeping on the job! Camera please @makhosi nobhatyi who will handle such a talkative woman? "@ Felix Muyoba @Tich Ziny yeah..she will shred the man into pieces..i wont lie..i cant take her.. 
38:40,44:35, they usually have issues with women who knows what they're doing. The cameraman likes to focus on this lady advocate...😜 "@Felix Muyoba mmmm Oh my word.. I just saw some of you noticed the same thing...the cameraman's focus.. this is sickening greedy official "these people were eating money but how much was the saving? Brian molefe must be arrested as soon as possible 
44:56,59:39, he was supposed to be arrested long time ago 78mill400 thousand "@Lucky123 Thwala I will go and hide Dubai like his friends did that money was just sent to regiment but at the end they go and share it among themselves What would happen to the board chairman and all other members? "After the findings jirrrrrrrr seems like Molefe stole money everewhere all these figures for nothing is disheartening guys 
1:00:15,1:03:48, @Granny Mokwena i conquer with you and apparently there's no money to build school toilets the money is in the personal accounts.. all state funds looters must pay back and serve jail terms for their crimes accordingly @Granny Mokwena I agree with you. quite alarming and disheartening. All this dishonesty even this hedging thing is it allowed? The looters stole many billions and that is why SA is in trouble .... They should also be charged with Treason.. 
1:06:04,1:21:38, This is so disheartening and depressing! These guys absolute greedy vile crooks? And now the President has been cornered by the Zupta faction and cannot appoint his own cabinet. Eishh New cabinet tomorrow "Its time for the people to take back their country from these thieves.... Everyone implicated needs to be arrested those Gupta's must be banned from all countries and sit in prison and no more lavish wedding for them to marry their cousins and deformed babies yes .... there is enough evidence to start proceedings against Molefe Singh Guptas etc etc etc ... This guy and his company seem to have done a great job in this investigation! the people of south Africa demand justice It is MNS attorneys Well done boy Molefe and singh must be arrested now on 
1:22:42,1:44:53, The Chair is ANNOYED..due diligence might have been compromised here "MNS attorneys did great is Singh and company still in SA though? The ANC P The ANC president has started on the round foot there for a vote of no confidence motion should be place against him There have been calls by some to support the president of the country. My view is that he has to earn that support. What he does with the findings of this and other current commissions is key. This is the last chance for South Africa to resurrect itself. "@watson mutanga I agree! The first test is if he has a credible cabinet. No 2 is if he facilitates the action to address all the findings of the State capture "If President CR does not positively act 
1:45:14,1:55:37, "@Cerebis I agree 100%. I am not familiar with his cabinet witness name Alista Chabi "MNS Mncendidi Ndlovu & Sedumedi Attorneys Mncedisi Ndlovu & Sedumedi Attorneys (MNS Attorneys) thanks a million "Mncendisi Ndlovu is the gentleman with glasses who is this guy sound extremely smart 
1:56:28,2:00:38, guys please help who is this guy tlheee just got on line Young man is is promising to cement more evidence over Molefe and Singh. They will be the first one NPA will gunning for easy target We will be finds the heads bathong who is he "@Yvonne Morudu Alistair... working for trasnet THE ACCENT HERE!! He studied in UK and Wits 
2:01:06,2:06:01, black excellence.. working for trasnet We are not aware of the REAL educated and talented people are in why now and not 25 years ago Alistair is a consultant employed by MNS. Not working for Transnet "Yes "@ Lee Hendrix For the benefit of all He's working for ALL5 Advisory Company. One 'positive' thing about this corruption enquiry is that we've discovered what great and educated B Executive Director 
2:06:20,2:12:04, Profile: BEconScie (University of Witwatersrand)/ Chartered Enteprise Risk Actuary (CERA)/ Fellow of the Institute and Faculty of Actuaries (FFA) A Mmusi Maimane blanket in white companies My fingers messing up my messages...sorru ALL5 Holding Company was founded in 2017. Too young to be implicated like this... @Tshepo More: the gentleman or the company he works for aren’t implicated. What are you trying to say? according to him all is above board? He's not implicated. They come to give evidence regarding the acquisition of the trains.. Implicated or Involved? 
2:13:37,2:25:50, Involved with work for MMS attorneys.. The latter invited them into investifation Investigation... "Only contingencies are making sense but why were the procurement prices not fixed over period to avoid inflation Oh yippee getting an education on Forex.. something I need @Thabang Aphane: It’s certain that the Rand will weaken over time. If you fix prices the seller will lose out in regards to future transactions. The transactions involved are long term. @Thabang Aphane It looks like the hedge was put in place but then Brian & Anoj out of their cleverness manipulated the figures. Zonda looks confused true😀😀 Just as I am 
2:27:12,2:41:10, Aah they changed the rates?? this boy looks smart.. Absolutely and he speaks English fluently definitely the guy is so clever and is confusing most of us including the judges themselves well the figures may be right but the locomotives were not made for the tracks. This guy confusing my older brother DCJ Zondo😂😂 😂😂 😎😎😅 "understandable 
2:42:09,2:53:41, I do the same with my glasses... We CAN see near...but need glasses to see far... This is common. Near-sightedness and far-sightedness depend often on form of the eye and other factors... interesting I am blind in one eye and can't see out the other so closer items become blurry when using glasses "Yes "Me too "Yes Yes Margareth we could never swop glasses.. my eyesight is the opposite to yours. Waiting on MNS? 
2:53:47,3:03:45, Judge Zondo QUIET... 😀😆 Yes haha Can he start over? I don't understand anything he said yeah right 🤣🤣🤣 Will have to replay this testimony next time i cannot go to sleep let him even from the start it was not undertable. continue I am a Neuro Surgeon and I am battling to concentrate 😂 I'm adjourning my brain... 
