starttime, endtime,message
time,13:09,message umoshile lomlungu? "Thulani Bukani no but engathi uthukile y kulula abelungu baxele but abakuthi befihla(yindlala na?) Ijaji liyothusa vele. Uma ubhek'ijaji ucinga ngetrongo. ibafanele Ukhangeleka ehlukumezekile yena. kodwa engathi basenxakini abaveza inyani I wonder uyavikelwa na 
13:29,19:10, Amasela ayahlukumeza. cacisa Thando thanks @Yolo More kulungile ukuyithetha inyani kuselithuba Yona yiyo Thando Nkutha qha khandifune kunaba ngayo ngoba izobangathi siyamcukuceza ngoku singenangxaki qha sibeka izinto ngononina. Hahaha what lies have I missed today? Hahahaha@ ngemva. 😂🤣 bani yena lo amanye amasela 
19:45,29:09, "Thando Nkutha @Goat all politicians lie. no exception. #NoLivesMatterToAnyGovernment so today's topic is the value for money regard 'the new age' / Gupta spin channel and money washing house contracts page 666 .... oh the devil is in the details... "@André du Plessis​ @André du Plessis Correct "Zuma might come back I doubt we will ever see Zuma again at this commission. he will duck & dive who is on the stand 
29:22,31:33, I want ramaphosa more than Zuma "And rob nel he will perish next to airport Zuma the artful Dodger @nkanyiso #RememberMarikana "ukuba angehliswa uRamaphosisa this whole state capture is like a mafia movie #LackOfAccountability that's the failure of a party political electoral system of democracy he was the deputy president he is more active more Dan a president 80%of his time was local leadership 
32:21,35:15, "I agree I just get angry every time when I'm listening to these culprits.... mabuza is not a presidential material "If Zuma does not come back to the commission Zuma must be cuffed to the chair when he returns on the 11th Nov. His attorneys as well born free you mean? @Born Free I bet Zuma will be out of the seat by 11am Ucingo lwehla mhla kwaphatha uZuma. Xa noHlaudi bezibona bengaphatha ngubani ongenophatha? 
35:35,40:07, Elvis.. Zuma wants to run away ooooo Mr Gigaba... said something worth noting.... please continue born free I hear you people is Gigaba still around or Dubai oh so about the business breakfasts.... I cant believe no one noticed till now... who ever sat through one of those? "let's blame dem fair let's not do its with racism. Zuma is nothing more adriss He is at his tailor @André du Plessis The business breakfasts were noticed by the press and one of the parliamentary committees. Very smart. 
40:07,43:57, shameless person Gigaba @Thando Nkutha 😂🤣😂 ayiko kodwa enye indlela. and then predictive text akancedi tu sbari 😂🤣 SAA AND ATLSA THEY DON'T ADVERTISE ALL TENDERS BUT THERE EXTEND DEM . I'd love to read this guys report which guy andre ? the guy in the hotseat... he wrote a report that was rejected andre du plessis OK I admire people like Pretorius who do not waste our time and data on ducking. He is straightforward. "I agree yolo 
44:04,47:37, n yolo more you are right but my problem is that people who make sense like him are not fun like yesterday i never heard of the 49M campaign.... I agree sorry for asking but what were they meant to have informed me about? Thando maybe he is not used to this Tsotsi is coming later in the week. This week is rich. that will be fun cos there is few things on him """BREAKING NEWS ""The U.S .Federal has shown interest in the Scottish. m" 
47:52,50:52, Yes Elvis. "Section 195 of the constitution 1 Thando he must drive far from airport roads How did they fail Section 195(1)g ? Brexit on 31st.... Brexit will happen the day Zuma sists a whole day in front of a judge Thuli Madonsela will go down in history as one of the heroes who rescued us from the iron fist of the crooks. @Thando yup Donkey court 
51:16,53:44, "300 00 UK emigrants came to SA Thando. I can believed that Ja your fave #Jointbreak Ms Hofmeyer!!! how ive missed you my sister!!!✊🏿👊🏿 the darling is back..... ☕ "Yay @Abel Matshidiso Adv Mbikiwa 
54:02,58:06, "I love her so much but id never date her even if she asked. Friday ...Let's migrate too the US impeachment issue brought up at a baseball game ⚾ Can y'all clam down please!! I still fav Maleka more than anyone hehe @Thulani Bukani😎😂😂😂 Adv Refiloe molefe "@ Sthakathi Khumalo ​ "The USA Secretary of state I am still imagining Zuma tight to the chair yes @sthakathi khumalo i like maleka too. only reason I like Hofmeyer more is she has a way with the DCJ 
59:59,1:04:17, Maleka hot favourite... but Hofmeyr my sweetheart 💕 person of interest I hear you "Elvis Zuma I know what you mean exactly what is on the tea break menu? Still full from breakfast yolo More do know perhaps know which day is tsotsi coming A Lot of Breakfast... 
