starttime, endtime,message
time,8:21,message what's time they are starting what time are they starting? "Supposed to be now Supposed to be 10 am here we go "Morning everyone i like this lady Beautiful American accent south African accent well spoken English 
9:30,26:15, We should go after the Guptas amazing 🦏🥛 "Mr Tsotsi "This Lady again @Bedazzled Quite a fitting name for an ANC member. my favourite advocate is back 🤗🤗 New evidence leader. He looks confident. I like it. Adv bae 
27:14,30:04, The bae of law has arrived. definitely bae hey hey hey "Lets give her dat name Hopefully witness will not burst into tears Adv bae with a soft voice. Yummy thang. "All these baeble baes are too young for me. 10 years too early speak up "@He lives in you I had to look it up 
30:13,33:05, IS THAT THE RUNNING MANS PAPA "this guy 31 years at Eskom sound @sabc please? Different surname @Mikey Likesit I assume you're referring to Oscar Pistorious. This man's surname is Pretorius. this guy must speak up we need to bring som guys out of retirement and who have emigrated to other countries to run Eskom. you cannot take a guy out of school really sound is too soft sounds the SAME we might now really find out why we getting Load shedding 
33:14,35:26, doubt the qualifications I don't think they wanted help to eat the money. "@Jabu Malinga I stand to be corrected "Times have changed @SABC Digital News Please check the sound level. Volume seems a bit low. Voluuuuuuuuuuuuuuuuuuuuuuuuume is this not about EWN chanel @Jabu Malinga Agree - it should be all hands on deck to try and sort out the problem. "nope Dannie 
35:58,38:28, Can this guy maybe direct us to the saxonwold shebeen >? "@Danie Nilsen It's about TNA wow PEOPLE GET PAID TO BE ON FACE BOOK @Anne M. thank you i thought i heard that it was a media thing today it is Danni TNA compare Thabethe giberish yesterday to this guy today..night and day The New Age advertising maybe it is gupta owned? 
38:37,41:07, @He lives in you - you always have negative stories about white people being turned down. Stories that only yourself can confirm. Thabethe came to just talk nonsense to try and avoid responsibility. Im sure the chair has already made findings against him It was Gupta owned @Danie Nilsen lol WHY ADVERTISING FOR A POWER COMPANY THAT OWNS 98% of market share??? the guilty ones evidence is all over you compete with yourself money laundering between eskom and guptas is this abour apartheid? 
41:12,43:55, Volume please otherwise we will leave you for the loud ENCA. @Mikey Likesit Exactly my question. GUPTA FAMILY IS SANCTIONED Yup I WOULDN'T WANT OUR TREASURY AFTER ME Trump is the antichrist. THEY GET PAID WITH BRIBERY "Strategic Marketing Dept advertised special programmes. Eg The bulb swap programme (you could swap your normal bulb for efficiency bulbs) why on earth would Eskom need to advertise. They are the only service provider and electricity is an absolute need amongst all South Africans. 
44:04,45:01, It is a valid and necessary function @Jesse Mix FO to USA democrat The problem is the corruption which occured they all liers Jesus will defeat antichrist Trump and his space force. YUP... BUT WHO ELSE SANCTIONED THE GUPTA FAMILY?? The Advocate and witness look like they’re conversing between themselves. They’ve forgotten they need to massage the Chair’s ego every now and again. i am going over to ewn where you can hear "I myself 
46:08,48:00, TRUMP JUST DELETED THE KING OF ISIS i am thinking of sactioning this guys from ASIA u know them "shouldn't Eskom want us to use more elc to make more money. they work in reverse When the chair is happy with the evidence leader he keeps quite and listen more especially when the witness is not one of the implicated ones. Trump did 911. ASia?? no not TRUMP Bush "Ndivhuwo "The CIA said that they killed him ""in spite"" of Trump not because of Trump. They said Trumps actions in the past few weeks made the job harder and dangerous.Almost as if he didn't want him killed." 
48:34,49:38, i mean those guys who looted our Tax revenue bad audio "Anyways can they fix the volume? "Hamza @Hamza CIA did not "Trump is going to hear these words soon: ""YOU'RE FIRED!!!"" 🤣" Those were soldiers already captured and in Prison. Trump let them go. @Hamza CIA did not stop lying. 
49:54,51:52, DELETING GADAFI WAS A HUGE MISTAKE @Derek Main on the trol train again grow up derek do you believe that ISIS leader is really dead? Well the CIA and Military killed him not Trump. Trump was actually playing golf at the time. When Osama was killed at least Obama was in the control room. MOST LIKELY NOT hmmmmmm and OSAM? I mean OSAM BIN LADEN osam is dust by know marketing 101 lesson given 
51:56,53:40, yea OK 1ST TIME I HEARD BARRY WHITE TODAY... "Trump was shown a Call of Duty video his son also bite the dust are free from ISIS MAYBE "@Hamza You must have reference of what you discuss here THEY ARE COO COO FOR COCO PUFFS 
