starttime, endtime,message
time,-9:41,message yip the fall guy who became a an ambassador for taking fall "Waterfkloof landing we will have to see who is next Why Abel... Where is Adv. Maleka? I haven't seen him in a long time I miss advocate Maleka tooooo brought him back what happened to him 
-9:27,-4:50, i think after giving zwanele manyi hard time it must be chair gave him long time off i miss him big time I’m also missing Adv Maleka. Haven’t seen him for ages and I’m praying that he hasn’t left the team 😭 Preparing fot the big fishes.... "Come on you had half a day off yesterday all those who are not paying their TV licenses are the cause of this delay 🤣🤣🤣 Is the Judge late Having watched this a lot i think the Adv are selected with how difficult it would be to handle witness. Do we not want to save him for the 15th.... Precisely! 
-3:38,1:56, The chairman is going to ask most of the questions sabc please we don't want system glitches from the 15 upward @L.P. then they should have selected someone else for Ben Martin's to wipe the smug arrogance but clearly something did not add up are they late in starting or is this sabc glitch? sabc at it again i think is the SABC problem Morning Thank you SABC Digital for failing us once again. Proof of why you're going down. u see it is SABC problem we didn't even the name of the woman 
4:34,9:12, This SABC is useless. @SABC Digital News ..... because you cocked up the start can you please give us the info on this witness where is the volume Mabhena Anyone know who this witness is? IS MISS NONKULULEKO MABENA FORMER DG OF JUSTICE DEP Anyone can give madam witness corenza c NONKULULEKO SINDANI FOR DG OF JUSTICE DEP Who is this witness? who is this 1 
9:27,12:30, Yes @Owen Nyilika. @Mhulungisi I like the way you say this 1 Volume is low mos @Thando Nkutha lol i am with you also justice department was captured Former DG of Justice @Finicanz and @Mulungisi Mulungisi. She led the inter ministerial investigation on the Waterkloof landing of the Guptas How ANC made SA a Banana republic. ALL THIS PEOPLE THEY DESTROY THERE CAREERS IN SOUTH AFRICA volume 
12:34,16:04, volume it was a polite way to say check yourself Khomba khomba yedepartment zika Rhulumente 🙆🏻‍♀️🙆🏻‍♀️ NDAA! "Clearly we are very weak on everything when using a foreigner language like English "@Sindiswa Moolman too bad there is no sound... Please rectify it... Yaa @Thando Nkutha 
16:08,21:44, SA have 11 official Language it will be a problem to us as NATION to use Mother Tongue @SABC Digital News please fix sound. the sound is not balanced correctly "Our Govt officials mess up Tony Gupta told former transport minister Ben MArtin that the Guptas are president Zuma's guests and friends concerning the wedding plane so zuma knew NO AUDIO? Somebody sounds very sick there "If anyone seriously & honestly look at the manner we think & do things in general don't these take a listen to the audio they are transmitting 🤔 I'm with you @Ibo 
22:03,25:47, You cant justify these things in our native languages "As a white man but you can argue nonsense in court and still win "@Nelson Musoliwa I think former Minister Ramathlodi best summed up Zuma's conduct:""He had peddled his executive authority to the Guptas (and also any takers)like a street girl peddles her backside" @Ibo Thabo speaking a different language from yours wont make you dishonest or affect your reasoning capacity why? "so they have similar hairstyle Ja Mr Zwane the Guptas got hold over Zuma "@nelson musoliwa yes Zuma know about that 
25:48,31:05, @carnoth ngomane can you differentiate between speaking a language and living on an adopted language. I am not saying if you speak in a foreigner language you must be a liar goeiemorge heb ik wat gemist? To me the best testimony was that of Ngoako Ramathlodi so far @Thando Nkutha it will make your wording laughable as we are currently experience all over Probable he knew they will land at Waterklof or he gave permission thereof or they used his proxy to land there see smile ? is she fibbing Agree @Thando Nkutha "I am just tuning in now See? coughing now... signs of a liar! 
31:07,32:46, Shame this witness is not feeling well is malema a vbs looter? Keith you could more sympathetic bra "this commission wil tak years @Nelson Musoliwa Zuma (the #1) knew everything but like all crooks he was playing smoke and mirrors and the ANC obliged by blaming such on a lowly Ambassador Koloane (he would later be rewarded) @Siyamcela Nxathi Maybe i should Siya @Thando Nkutha LOL Thief #1 "None wise nation in history ever lives in a foreigner language and no nation ever developed via using a foreigner languages 
33:21,34:41, "Watson how aboit united states? @Thando Nkutha We aint trust no one hey @Ibo Thabo I hear you. How do you propose we resolve that issue? this is a waste of our money "if they wer serious its a joke Number always on the run wat r they waiting for that they havnt already heard? 
35:15,36:37, all the guys who went to Dubai on guptas account r walking free with there millions all the old evidence is being forgotten as ter is too much evidence daily @Thando Nkutha a wise person? "@Ibo Thabo you're wrong @Ibo Thabo using a foreign / different language wont make you non-rational "years ago was waterkloof @Jabu if you say it is a waist of money how could you have been in the knowledge of how deep the looting was? "npa bafana getin 320000 for makin the 2nd round. our money 
36:46,38:25, back door bafana "when is the commission on safa "@Thando Nkutha Guess you slept with a wrong side. I will never be allowed to be censored in any public platform buddy. If you're wiser than i am  Ministers were defending the president not telling us the truth "..if one looks at the centered-ness of ""number one"" in the looting of S.Africa "@Thando Nkutha And i tend to laugh she is not ok @Fello Mkhize A STRATCOM president I agree Norman ANC was severely compromised by Zuma's foolishness. 
38:31,39:31, 😂😂😂 malema takes money from criminal cigarete cartel. mazzoti not her too @Zeekat like ???? da is getin money somwer too Clasicaly this witness has just demonstrated how Zuma kept being protected by an ANC which today wants us to believe it has a capacity to reform itself. Sadly they are doing the same with Cyril. every1 has d small nyara skeletons If she was a teacher she would have July off Maybe from Trump @Jabu Malinga 
40:11,41:24, Just because JZ didn't have the authority to authorise landing doesn't mean he didn't put pressure on officials. "@Derek Main Be real & honest Agreed @Derek Main see trust nobody.only u can mak it for yourself. this commission is not savior to sa. "Clearly they asked a wrong question to get a wrong answer and when they did corruption is still rife. may be worse than before name 1 tender which has been given without a bride? just 1. u cant @Ibo Thabo Yes - I agree that's important and necessary. But how do we all communicate? Surely we need to choose a common language in order to do that? 
41:36,42:58, "@Ibo Thabo well if you can't think of any Sounds like that @Jabu Malinga. Why didn’t they interview Number 1? even a tender to supply toilet paper needs a bribe I believe children should be able to read and understand in any language she speaks beautifully number 1 wil com and say he did not no he was number 1. deny deny duck dive. zuma not goin to say anytin on this comision who is this person? "zuma wil com ter. laugh Hahaha@Jabu Malinga 
44:18,46:09, @Ibo Thabo I'm not saying that common language has to be English but it has to be one language we must all learn. Now reporting these fake accounts fail... Yes.. Fail!! "She is confused they wanted to interview zuma even after the ministers have given their statements mos Why they did not ask this Mr Koloane as to whom Nohe was refering to as 1. SABC sound plz sound is very low yall have no sounds either? zuma was too stupid with numbers.that was his crime "when they told him billions 
