starttime, endtime,message
time,13:31,message hi People started drinking already? How disgusting!!! Sies man 😉 Where’s everybody? We here... present People watching Watson live 😀 here who's this witness? he looks guilty 
14:02,17:12, @Ewald Kruger with politics the way they are if you don't drink i don't trust you "@mxolisi buthelezi m Chief Risk Officer of the Industrial Development Cooperation (IDC) 😀 😀 😀 I won't blame you @Sam Monkoe ​ @Ewald Kruger with politics the way they are if you don't drink i don't trust you "@Anne M.  Thanks Anne M. What are the allegations against this man It's about the SA Express tenders 😀 that's unfair comment @mxolisi buthelezi ​who's this witness? he looks guilty IDC gave a loan to one of the companies who got the tender That is corruption 
17:25,30:57, That I understand. Sometimes they give loans to their friends...like they did Khanyi Dlomo and Minni Dlamini "Yup "@Ewald Kruger  "😀 😀 😀 I treat them all with great suspicion too @mxolisi buthelezi ​@Ewald Kruger  3. when will we see arrests...? it's looking like a soap here cause no one is going in jail Fraud and corruption cases never see the light of the day because mostly they are committed by politicians please Mr President do something. 
31:36,38:05, You are rit no one can tell the correct answer @david cele brother where have you been that man kicked the bucket a few days ago. @Sindiswa Moolman I shall wait to be seen @Sindiswa Moolman I agree with you. "hi everyone "2017 was the year of CR 17 "@Thami Nobela m Chief Risk Officer of the Industrial Development Cooperation (IDC) "if that will be 
38:08,44:08, thanx Ann It’s coming @Amos Thisbe. We need to be a bit patient. We don’t want to mess up cases. The NPA wants build watertight criminal cases where ppl will certainly go to jail. @Amos Tjiane pipe dreams the fight back is already ousting cr 17 what invoice are referring to wat invoice are they referring too @david cele And your dog died toooo @david cele But no stress David. U and I are still alive there is nothing that the anc Wil do to the anc 
44:20,48:57, il be be back I'm going to download the memorial service of Gavin Watson hello yes but his between a rock and a train must get support from his mps "Ramaphosa is the weakest ANC President Bcos he doesn't have control of ANC NEC "Crime; Corruption ANC is so decided under Rama even Mp's are divided Floyd Shivambu must pay the 1.5 Million he stole from VBS pension funds haha 
49:01,51:31, 1.8* we can not blame Ramaphosa cause all the Mps who surrounding are corrupt agree @Amos Tjiane Ramaphosa himself is also corrupt. agree @david cele Not floyd? then must be a fake article no one is blaming anyone here I was just stating the truth @Thami Nobela why are the mp's divided? "those Mp's belong to ANC 
51:36,53:46, this country wil take long time to recover but remember they can point you if they see that their plans are failed "ANC as a whole is decided. from Branches divided Apollo Grand available on the Google Play Store. Go have a look! that's the problem you should be asking why ANC members are devided because they were never United @david cele I can get you a brand new dog. Its a pitbull 
54:02,56:44, there was never Unity to begin with They are devided because after all the commissions..DOG eat DOG..hehehehe @Thami Nobela Clearly you cant substantiate you facts let leave you to it brb just pray for a better sa Ngomane is the ANC United? no @david cele We can name him Ryan ja 
57:35,59:45, the culture @Thami Nobela no it is not and JZ & ACE are the principal reasons for the disunity this live chat reminds me of mig33 😏 zuma tries to steal the copper in the cables to sell it to pay Hanekomr this things go long back hahaha. the copper thingy is funny South Africa is a mafia state under the leadership of a corrupt president and corrupt anc. agree spoton Onkabetse !! 
1:00:38,1:03:34, "not just ANC who wil come after if they fall @Raven Penny i have been grappling with that question as well what monster wil arise Then we all are moertoe..we are not far from that anyway DA and EFF could have neutralized the ANC but both parties have too much pride. "Pastors are corrupt Do we really have an Honest Political Party and/or Politician? Not too many by the look of things 
1:03:39,1:07:27, Now this witness voice is getting away humble to lie i "@Bedazzled DA & EFF have no policies except to insult the ANC Just dismantling the power like they have done in taking over the metros he's to young to be the main guy just a fall guy "@Josias Maluleke thats their major drawback Judge Zondo is showing that this man was not fit to do his job. no hang on there's more money to steal Please name one anc policy that they have implemented and change the lifestyle of black people 
1:08:10,1:11:53, dololo spot on cele our people must stop to vote this useless corrupt anc @david celle. It’s the law. they wil never stop voting for anc "I am voting anc next time Yes we will not stop voting ANC . We need the daily entertainment!!! ANC people vote for the anc and then strike and set everything alight and destroy infrustructure and then again vote for anc. The ANC really run this country to the ground with incompetent thieves 
1:11:57,1:15:18, "@Carnoth Ngomane They simply do not have anything to say about the country's issues hence the insults the anc was once a glorious movement just greed anc does a better job than apartheid...viva anc i support your view cele this inquiry waste time and taxpayers money as nothing will happen to those who are exposed by the inquiry what is better "Onkabetse "Insulting my parents won't assist you with anything wena David Cele  yes i agree @David cele you sound like ben10 now I guess you were born in this democracy so you don’t understand 
