starttime, endtime,message
time,11:12,message more ducking and diving and here I was looking forward to Monday :elbowcough: one really angry chair she has done her self no favours some witnesses the show no respect for this commission "as a judge @bongile sango agree they show no respect 
11:26,13:05, @ Bev Judge Makhubelo she has ignored a direct order by DSJ and the commission She was counting on the normal court procedure where it would have been struck off the rolls which would have given a long time before she had to appear I am signing off on a Warrant of Arrest on this Thug Judge as we speak DCJ set a example mr chair Her delays are because she wants to get her lies in order. @ Roza too true issues a warrant Judge Maqobele is messing around with DCJ and the nation.Cannot continue Waste of taxpayers money 
13:10,14:52, If not there on Monday it is clearly contempt Contempt already you are being to soft how are you going to write ur reports going on like this It’s judge Makhubela @Roza that's what I've been preaching thank u bongile ok thanks she dont need nothing she had her papers for 6months WTFlip!!! 
15:17,17:50, He is taking all her excuses for Monday away but clearly he wants to see her pretty face chair I don't understand why you soft like this @Jenny. He is keeping the doors half open and I dont know why on Monday the lady is ill everytym they adjourn nobody shud be paid no work no pay sorry I think he is removing all charges that the evidence given was under duress if the things said here are to be used in criminal court @Barbara Sattler Or has another puncture "I am still waiting to see what her car looks like after the ""so-called"" accident she had" how is chair going to give arrest warrants 
17:53,19:47, It is clear people do not know how to properly use the mask. @Mike Durban that's what she is doing laughing and having a glass of wine another postponement is bs. Zondo is too accommodating to these thugs. Waiting for her to have a positive Covid If so I volunter to go and take the confirmation swabs I am disappointed with the way people would delay such things they are wasting our tax... cry my beloved country "Watch closely An innocent person doesn't behave this way. Maybe she is busy in court and when were you appointed as a judge? 
19:47,22:15, "@Gina deW Then the team must send her a message via this chat @Ann you rite I'm really wonder about DCJ Zondo........reckon he's showing weakness....now the other accused will take advantage etc.... She would have known she was booked to work in court days ago she could have picked up the phone to excuse herself The commission has also developed a slow puncture @Mike...totally agree i think they need us there Next is going to happen to all these they don't want to appear they going to say they afraid of Covid19. @Pastor J On it. 
22:18,24:14, I think they need Judge Judy "Lets look at this sequence. Int & Nat laws violated "@Anne....and if she is cheeky Gotto respect Judge Judy........tells it like it is hey..... Pastor Pk @Roza...my bad Aunty It will only be interesting if the DCJ puts his foot down and authorises an arrest warrant for her non appearance. This level of contempt on top of the indications of dishonesty she is mocking DCJ Ha ha ha Highest paid person on TV j 
24:16,27:07, Have you noticed Zuma has not been sick or in Cuba recently? But when it's his turn to give evedience he'll be in critical condition. Circumstantial at best - what are you actually saying? @Collen that is true "@Cplleen...we will make sure that he is in a critical condition if he tries to evade us again "He said If JZee is innocent.........then why he gotta worry.....makes you think hey....... SA is not even my country but my heart bleeds for you. !@@$$ f. lock the lot up :yt: 
27:14,30:19, "The commission is looking for answers "Interesting times Roza they all crooks and bleeding the country Beginning to think if all this will ever reach the courts....i'm losing faith big time....... wake up mr hulley "@MIKE DURBAN Now that the amendment has been signed allowing the NPA access to the legal & investigative teams documents "...A postulation; SA will evolve into a model government This oke is spinning big time Shame .....Hulley is sick and tired of all this crap.....heheh 
30:25,35:44, "This report is boring now @Anne M. ....Geeeez....i sure hope so......SA needs that....badly...... "Yup I can't remember how this whole rendition saga ended. Any one with info? @Granny...Badly sadly. 2 that was returned to Zim was killed. I think there will only be the small fry in court They will be thrown under the bus by the real criminals Too much money to hire best lawyers and play in Staringrad Starlingrad It's not the first rendition and it won't be the last. Happening internationally And if anybody says otherwise.......they bloody brainwashed.... 
36:32,41:02, He Can't we arrange for something like this for the Guptas? Werksmans can defend them and cry for months but it will be great for the country you cant think for mcbride Factual arguments always speak louder than noise. The evidence leader is on McBride side. He is not here to assist the Chair. He has taken side already He's singing from the song book as Nhleko @dennis oldude ...People won't corporate with the people of SA. They should take this matter to court. The commission should proceed with corruption "Guyz the real movie is coming on Monday when a judge takes the stand 
41:21,44:49, if rendition is not an option - how about kidnapping "No sir. He is stating his case @Sal SA you are correct. This matter must be taken to court "Skilish I am so happy about your observation sanibonani! bathini ? ubani owadla lemali? Deep Cherry who is the judge? On what matter. ...ZONDO IS THE ONLY PERSON ACTING AS THE PEOPLE OF SA. The investigators are acting for the people of SA. Thanks Dennis "@Phillip Cwazibe Judge Makhubele 
