starttime, endtime,message
time,1:01,message there is no sound nor activity. may you please activate the inquiry recordings STARTING AT 10H00 I wonder who's going to testify today?..does anyone know? there's going to to be 4 or 5 of them. Who's the witness for today? Morning morning Agrizzi please come back and name the churches that received the money from bosasa Morning everyone 
1:22,2:57, I'm not sure if his from Bosasa this guy. Joyrnerlusts are testifying today sound quality? SABC please sound is not clear I mean journalists adriaan basson is a journalist sound is still bad poor sound! he has written on bosasa for a long time 
3:08,10:50, There are many mics that are not muted @velaphi msimang. Thank you Velaphi Youre welcome Desmond May you please fix sound "Adriaan Basson Dumelang bana ba Papa... Eish Dennis Bloem was too loud on the sound on Friday. Mara SABC please sound is not okay eNCA is in too if SABC messes up sound lol 
12:41,21:40, "Adriaan No Truecaller 10 years ago @Gilbert Lawrence it's sarcasm 😃 True caller only came in now. true that true caller is not 10 yrs old For us to believe his version the witness must give us the names of the people who threatened him. also the name of the Bosasa Boss. Mr Pretorius must allow the witness to talk as much as he can. Fun Fact - True caller was established in September 2009 wait for it' 
21:51,23:21, @rohan barnard. Really?? I only knew true call since 2016 Benedicta Dube Just got here. Who are we talking about "Let me just check Google @Desmond Masilela ^^ Hi Advocate Moloko @rohan barnard. I'm also not sure when it was established. will also google. 😂😂😂😂😂😂😂😂 "Truecaller is a mobile app developed that finds mobile number details globally given a telephone number 
24:28,29:02, Thank you @rohan barnard forever steel keep it up guys and will win election by far😂😂😂😂😂 I can't help but wonder has anyone been arrested so far? Or will this investigation be flushed down the same avenue as the arms deal... Is that all?? only 20 min That was fast according to google TrueCaller was rolled out to SA 2015 Next person please who's next 
29:14,32:04, ok.....soo much noise about Adrian and it took only 2o minutes Who’s next Thank you @Gilbert Lawrence 😀 His investigative journalism articlessonce 2009 speaks for itself basically came to deny going to agrizzi's with his baby what was the purpose of this Adrian testimony wait who's this ? "@James Godloza Godloza my question exactly..... He did NOTHING "Every lid is important people 
32:20,33:32, Lawrence the champion Gilbert Lawrence what is his involvement ? Who is this guy and where is he from? "Yoh The witness is now gilbert lawrence hes about to drop bombs Who's the witness? no yes no yes no yes 
33:36,34:32, Who is he exactly? Where does he fit in? ebana In a nutshell Adriaan received threats from Bosasa Is he from Bosasa? he confirmed being threatened by the female journalist that agrizzi said was taking bribes. he also said part of agrizzi evidence was false. How knows too much. Owner of Afri Trade I see arrogance in his face Gilbert Lawrence "Yes sir 
34:33,35:26, He is scared man ! His body language speaks words he gonna have soft face soon Doesn't want to incriminate himself... I don't trust this one...nah nah I don't trust him at all. It's like he's Andrew Spillar He is scared. Looks very red in the face. @velaphi msimang Not related 😃 🙄🙄🙄 This guy gosh! this guy is sarcastic 
35:28,36:10, 😂 This guy will first explode then cry... "we wanna hear names... and he looks like he's going to drop names Answer very quick Some people are more corrupt than others. hes is scared I think he is also angry with Bosasa Mmm Bazomphoxa kungekudala lo Its going to fade as he gets red 
36:12,37:24, Why is he rolling his eyes??? This guy is gonna LIE!!!! jeeezy this guy @ Horrible He must not sit there for nothing after they stole everything .... don't waste our time yes/no /yes/no man ! @Amanda Bentsile. 😂😂😂 Pretorius is coming to him hehehehe he wants to finish and leave the stand Wow what a rude person he must respec the the DCJ and say Yes Chair Yes Sir speedy gonzales ! 
37:28,39:05, I think he sleeps with a snake at night... @Desmond Masilela lol lol lol @aviwe xhala I completely agree with you.... This guy looks like someone from a mafia "@Sofia Sofia exactly...no pause @rohan barnard 😂😂😂😂😂 I think this guy was supplying food to Mokonyane Cozy middle man job True I see FEAR in this ones eyes ! 
39:10,40:39, Cash? What He's lying!!! Look at him playing with his fingers! he is powerful Fear.. yes. Lets give this guy a chance He definitely was dodging SARS The guy will throw more bins. remember he came of his own accord to be a witness Bins?? 
