starttime, endtime,message
time,6:06,message Oh we back yes we are is this live "Lathi sikhona just to observe yes I’m back Let’s come up with ways we can minimize corruption . Yah neh 
6:53,10:34, @King Snitch let the young ones rule. we tired of the old people leading us at the front True but still corruption can be carried out young or old @king snitch true bro young or old Something than can minimize corruption full proof solutions Corruption = Radical Economical Transformation Van Tonder is very slow I'm not sure weather he is telling the truth or what? NEXT Different link every time they take a break His recount of events shows he knows what was happening inside BOSASA. 
10:41,14:08, @King Snitch that is true broe. Onething that i will say here from Zimbabwe i think these ruling parties that do not want to handover power are the cancer causing Corruption.prob having them out Zimbabwe should also consider an inquiry Njalo adjourn adjourn ay maaan Another break @Julia Mabula I think he is just very fearful and nervious "They are close to retirement  are they still on lunch They should be back by now what happens 
14:09,16:59, @Noreply Internet KKK the people who would preside the inquiry in Zimbabwe are also captured. kkk South Africans you should stand firm cause you myt find your selves in wher we are. They adjourned for 10 min radical economical transformation=corruption This is Africa’s problem with the so called liberation movements Independent movement when will they call Watson @Bongani Dube South Africans always think we special that it can't happen to us. It's election time people are gonna be fed all sorts of lies and believe without reasoning whats being said. "They have stollen  sangoma is working hard for Watson not be called 
17:33,20:45, the wicked don't care about the rights of the poor (proverbs 29v7) as long siphathwa ngabangena Christ can be youth kuyafana. No Pic - still at lunch? whats happening? guys do you think land expropriation without compensation will damage our country.if so why not now? @david cele when your house is burning you don't stand in the blaze of fire . ok its back @Rushay Booysen true that my brother i think some of our fellow brothers in south africa think that we are dump. i love South african people but believe me no one of you could survive living in ZIM. the rundown economy of Zimbabwe is due to poor governance and curruption and kicking farmers off land. "This woman 
20:49,21:49, She must not come talk sh.. this lady In person once said if we could close all borders we would have direction It’s not an excuse for corruption but we would have some space she better be awake Had her before and she was so timid ....poor dear Wow Big Boy He has eaten too much corrupt food. neither do i let's give her chance guys Who's this now ? 
21:49,22:25, i now know where the Profits went Wos these guys are huge That guy ate all the labola money from Bosassa @Kevin OConnell lol Who is this guy now? Is a bossasa employee? Die maag 😂😂😂😂😂 I know many in the ANC are passed off by those who expelled malema’s This lady's previous performance was sub-standard. Nick I EFF are just teens with a microphone 
22:32,24:01, @Jane .Blamire need to be over 100kgs to work there so after oath cannot lie hahaha @Van Lier Dreyer heheheheh You see discrepancies already. 👀 "These Bosasa people were well fed hey. Steak for breakfast after oath they can hold you accountable for lying Statement no properly commissioned. I feel I cant listen to this woman 
24:01,24:41, "This is my man "Frans Vorster what vorster ijoooo Mr Chait 😂😂😂 Another Agrizzi guys. Another Agrizzi!! @david cele why is it like you are here everyday lol Who's this woman now??? 🤔🤔 Agrizzi Part 2 
25:07,25:41, accountable to who hahahahahahaha Agrizzi Junior They have that Afrikaans racists thing in those bellies!! Bosasa and Watson were feeding this guys very well. Octoberrrrr @Yandi Masina. This woman is part of Advocates. He can carry big fill bags of money to the cars full @Jane .Blamire are you an artist? 
25:54,26:44, broer vos This guy is heavy yong!!!! "This guy That s why the witnesses are being told that they may need to testify in court I seriously cant listen to this woman Mxm Frans Vorster is giving me Oubaas vibes #7deLaan woooow goes back to his father ...these are the WUPTAS This one is written racism all over!! 
26:48,27:55, common girl be confident! RepresentBo fat not all easy okkkkkkkkkkkkk @Doom Ruler His dad 😂😂😂 This is deep. i don't see any word racism Sofia lets give her a chance @Sthakathi Khumalo. hahahahaa.... you think is racist is written in his face?/ Oktober. "Kuyatyiwa eBosasa both COO and CFO are ""healthy""" After Bossasa contract terminated I will forward tendentious 
27:56,29:05, I know @Nthabiseng Malebo but ... ok let me try "Father was corrupt Guys is Andries done? Andries was a waste of time Poelies Station So why does it seem like the corruption ran in these white dudes' families??? I can hear him 😂😂😂😂 like freely ran corruption in the families michael ntwasa you watch 
