starttime, endtime,message
time,15:39,message Bad sound who is testifying today? "no testimonies Thank you former Bhusasa employee Bosasa - that should be interesting. Let's see if the ANC is on trial or not. "lol Moyani was involved trust me 
16:03,31:53, Better sound indeed @Thando Nkutha Many ANC cadres involved in Bosasa corruption - it was their piggy bank Moyani was and is a thief and then become a cry baby M&M's (Moyani & Molefe) = 2 x cry babies Hi guys! What's the lates? Yhooooooooooo! what's the update? Ey this commission is gonna be lit! Agrizzi's son worked for the ANC as researcher and left when he saw how much corruption was taking place in the ANC.... he must come to the commission and tell us what he saw 
37:27,47:18, We are tired of these brutal nonsense No matter what comes out in the commission.... the stupid ANC supporters will see no evil and vote the crocks back into power to continue stealing from the poor and then protest for no service deliver South Africa is a mafia state! We are ran by the mafia! Italy has the Mafia...South Africa is the Mafia do you drink madlemon @thando cezula ? Only when sick! follow ur boy... DTwisted sounds.. best music 💜 "Is anyone else finding this to be riveting 
47:42,50:11, Yep - can't wait for the testimony to start A vote for the ANC is a vote for more of the same "Buckle up Yay.... 38 people being chucked under the bus.... the start of the exposure of ANC crooks """You can't handle the truth""" please don't mislead ppl. it was not ANC but individuals """You want the truth? You can't handle the truth!""" BS What about collective responsibility? "Ya 
50:25,57:33, @Derek Main Exactly Bye Theresa! n i c 💜 @peter sikoshule For eg - the whole of SA knew that Zuma was corrupt to the core but the ANC cadres saved him time and time again subjecting us all to his misrule. We now have to pick up the pieces. "ULTIMATE KNOWLEDGE Let's buckle up... OK - there might be one or two innocents but by far the majority of the ANC are corrupt. A huge patronage network. "Advocate Pretorius (Sp) is a little disrespectful 
58:57,1:05:53, "when we talk of majority we talk about the voters  What rock have you been hiding under? Not a day goes past without us hearing of yet another corruption scandal involving the ANC yeah there is no ANC without voters and voters are majority All those voters are hoping for their time at the trough. Otherwise why would they support clearly corrupt office bearers? Let's move on from politics and have some fun with this. Somebody has to enlighten the ANC voters ANC Sheepel voters have been complaining about allegations of corruption in the ANC which doesn't make them corrupt. some even left the party due to their unhappiness. WE AGREE AND WE FIXING Not fast enough - our country is drowning in ANC corruption 
1:06:21,1:08:52, The people of South Africa are blind and being mislead by the ANC. The Anc is corrupt. Is anyone else thinking of eating Tumbles? This is a subliminal ad for Cadburys Tumbles. The ANC voters make the mistake of thinking that the ANC leaders actually care about them individuals in the ANC not ANC. we fixing that . this state capture we watching forms part of cleaning "The next person who types ""ANC"" has to take a drink!!!" haha haha hahaha "This commission is only happening because the PP ordered that it should happen. If it was left to the ANC And the EFF are no different.. glad I didn't mention the name. let's focus on the evidence 
1:09:24,1:11:31, I'm just wondering... will there be justice against all these corrupt government officials including JZ. Now we can go for that drink "If the ANC has anything to do with it for now let's say allegation of corruption cos it is alleged until proven "LOL Derek This is what we call democracy at work @peter sikoshule The Inquiry wasn't formed by the ANC. It's all thanks to Madinsela and Mogoeng Mogoeng Collective corruption = ANC I dont think that there is meant to be any volume during the break. 
1:11:49,1:14:01, madonsela said president must do what? which president ? "Tax payers money is waited by this inquiries "They will be back at 11:35am @Shortversion Mtswala true. let me go on tea break as well😂😂😂😂 "@Shortversion if anyone is arrested and thrown into jail for 10 years Madonsela said that a commission of inquiry must be established to investigate state capture but Zuma couldn't choose judge. Don't you remember? 🔈 WHEN IS MS ZONDI CASE COMING UP 
1:14:06,1:18:19, 🔊 But Bossasa wins for feeding them.... funny that .... 🔊🔉 🔊👍 Dumb and Dumber working the sound it seems Can the people working the sound read this comment? "If you like I will tell you when we can hear you okay "Tsala ANC WAS a nice organisation 
1:19:01,1:22:32, what is anc? "I think that they will only get better I'm a alcoholic ANC ANC ANC ANC ANC ANC ANC...hic!!! Vote 2019 LOL Robert E @Thando Nkutha who are you? "Just googled @Derek Main I think they might but they have to move away from cadre deployment jut like they have at Dennel.... the best person for the job who is above reproach is the only way... lets hope and see Ufofu is a rock band from Texas 
1:22:37,1:25:24, Blind @South Africans in Paris😀😀 what time is it Right now? It is 11:35am 👍 Time to vote the ANC out Ungasayithinti I'm with you on that score.... Derek Viva eff Eff 
1:25:30,1:30:08, Eff eff LOL Thank you @Toni john Oh here we go.... the three letter typist are with us again..... FFS ENTRY DA UP YOU MMUSI "@Jack Sparrow u haven't learned how South Africans are "If they are not looking after our interests "@Thando Nkutha 
1:31:45,1:33:59, Is anyone elses streaming off LOL it's time to braai they break for a technical issue when we had none now they have one It just goes to show Nou gaan ons braai Braai Army ? buffering again anyone else having the issue Waste of time trying to follow stream. SABC we need cache cache cache Stream not working 
1:34:04,1:35:03, wait it's back Or much of the conversation it seems Maybe they are jamming signals at the inquiry because this is ridiculous SABC lackeys getting pressure from seniors to disrupt somebody in the video team is purposefully updating his windows over the same connection as this stream @Ian 😂🤣😂🤣 Probably down loading torrents. Why do they need windows? Is there maybe someone from the SABC monitoring the stream that can attend to our concerns ? The livestream feed is not working! 
