starttime, endtime,message
time,-4:19,message GM guyz morning Hi @Diane Louw @Thando Mgodeli Hi. Diane how was the dentist and did you see the McKinsey offering. I think they can afford much more they removed a piece of root and new denture as she doesnt know what she did with it grrrr what da morning everyone. Molweni. cooked potatoes in microwave and was not done so i put it in for longer. when i took it out the cloth got caught on the microwave catch and rest is history 
-4:18,-1:36, Hello there everyone. Sanibona bahlali abane data Guten Tag @Lynn Barnard @Tommygun @Mfundo @Nkosinathi ngidi @Barbara Sattler Hi Goodmorning everyone Molo @Mfundo nabanye abahlali @Gray Lawrence Hey there morning akk "Goodmorning Miss Heather Durr 
-1:22,0:21, all i mean morning who is in the box today Molo Lerato M with friends "@Heather Durr <<<<< read heading under live stream Hello fellow law-abiding citizens. Are you's ready for the fun. @Gray Lawrence Its all mental @Lynn Barnard Hi there "@Reyaad Joseph Commission hears Eskom related evidence Today we will hear testimony from former Trillion employee Mosilo Mothepu. The inquiry will also hear from three McKinsey senior partners about money flows in relation to the consulting company. 
0:34,1:46, Welcome to the second wave and ZAR 650 million offering from Mckinsey ALL RISE tx Mfundo @Kelly 💐 hunny "SanFran Arnold holiday makers please stay in your Province!!!!!!! R650m from McK is too low @Mfundo GM @SanFran Arnold Hey there 
1:57,4:16, I really want to hear from the brilliant management consultants SanFran Arnold🌹 ☕ OR🍵 SanFran Arnold ? morning @Heather Durr always nice to be seen 🙂 Im a bit slack myself. CFO? morning ladies and gents who is this young lady on the platform @Mfundo ☕ 😉 "@Thami Mhlomi Commission hears Eskom related evidence @Quinton van Eeden GM 
4:19,6:21, @Quinton van Eeden -Hi @Tommygun hello there is she HR? can't wait for McKinsey to try and spin their way with consultant speak @SanFran Arnold u too 🙂 @Heather Durr @SanFran Arnold 🌹🌹🌹 Tokyo was ex Trillian director? Well Mckinsey has agreed to pay ZAR 650 mil back in light of their dubious dealings will all gauteng kyk daar folk stay @ home for Xmas 
6:46,9:19, @Tommygun yes he was the Chair of the Boars "Heather Durr @Tommygun Sexwale was pocketing insane director's fees as a BEE front @Mfundo I think they owe in the Billions to be honest "@Tommygun Yeah "She is so CUTE and confident  "She is so CUTE and confident  lol the smile "She is so CUTE and confident  
9:23,10:36, "She is so CUTE and confident  "@Heather Durr yes So McKinsey pays back the money and that's it? She is a bit nervous @Heather Durr I agree.....much much more. "She is so CUTE and confident  That Jason Ngubeni dude is shady too then he was parachuted from CoJ to Tshwane municipality They appointed her as a director on a strategic basis she was still junior "i agree R1 
10:51,13:00, associate director "we gonna have a lot of comfort breaks here hello beautiful and handsome ppl:virtualhug::virtualhug::virtualhug: "@Maryann Diamond GM "She's drinking too much water this one she is nervous See how the eyes run around skelm I was an associate director at Deloitte legal there is the water again 
13:04,13:26, she seems scared Singing like a canary why she's drinking water too much :yt::yt:this one its a tsotsi Blank cheque She is worse than Nadull with her water she's nervous turn down her mike drinking water every few seconds 
13:35,14:00, @Kelly Mpande Nerves and lying she's nervous:stayhome::stayhome::stayhome::stayhome::stayhome: nkare she's wants to laugh or something @Rob hahaha "Zondo shld watch this on youtube "dominic mabe @dominic mabe hehehehe give her some chance she wll cry this lady Yhooooo this one is going to IMPLICATE A lot of people...... Let's watch 
14:01,14:48, "@Rob @Phakamile Khuzwayo you think there is something in the water drinking? this is interesting She will want to go to the ladies very soon "Don't be to close I think she'll be dropping files :yt::yt:victor 🤣🤣🤣🤣🤣 wow 1.75m "1 
14:53,15:26, yoooh expensive window dressing Mfundo she's nt comfortable u v phakamile we will have alot of comfort breaks here due to water cosumptions R145k a month for someone who has honors plus change to buy a car This one won’t cry educated "Kelly Mpande 
15:30,15:58, "A bit of luck and some education can get you there Transformed black advisory firm Something unsettling about her menerisms.... More water too much waters lol .. That salary !!!!!!!!!!! Please get her a lager water bottle vota again🤣🤣 More water 🤣🤣🤣🤣 
16:01,16:20, Eish l fell sorry for her helooooo everyone:yougotthis::yougotthis: "alowis musodza side chic for EW @victor nervousness Reece🤣🤣🤣🤣 hi valencia j "the mouth is dry So she was Eric's sidekick 
16:20,17:16, @Valencia J Hi She played in the big league Yeah she's nervous there beans:yt::yt::yt::yt:are coming now @Phakamile Khuzwayo why would she be nervous? skeletons in the cupboard maybe??? "Lerato Moleke This won't end well:goodvibes::goodvibes::goodvibes::goodvibes: Salary not bad she could do better😂🙈🙈 She is going to expose a lot of rubbish very soon. It wont take long before she cries. 
17:27,18:00, @victor let's wait and see shame she is very nervous......and proud of her accomplishmeng early birds Not sidechic @Mfundo sideKICK Private stories file dropped 26 Oct 2015 beans beans beans Her she go 
18:03,18:39, "Lerato Moleke Boom Goeiemore goeie mense :yt::yt::yt::yt::yt:beans a more pliable spill the beans wena Get her another water bottle Your taxes paid her salary kabooom 
18:39,19:08, pliable like dough 😂😂 She is singing tjooooooo here comes more water now zip reeper exactly Koo Beans should sponsor the Commission I would ....... She's singing too much this one she is going to need more water talk nana:oops::oops:you're tsotsi:oops::yt::yt::yt::yt: 
19:08,19:52, The leader is not leading her properly She is determined to tell her story and is determined to get it out-hence the water everytime she is asked a question "Lerato Moleke The lady will need Vodka not that water! Whose daughter is this one 🤣 we have a tweety bird in the building. @Victor I agree @Hosia Modiga Like all useless civil servants "@Mfundo 
19:53,21:24, sing mokgadi sing @Heather Durr - agree - Seleka is leading her nicely Sign on bonus! We need water on tap here.🤣😂😁 Blank cheque! Howdy @Elias Breathe lady breathe sing😂😂nana😜😜😜sing sing that songs!!!! 
