starttime, endtime,message
time,5:02,message "Is the entire WORLD world IGNORING GODS REQUIREMENTS? Or is social media being STRATEGICALLY CONTROLLED "I said WORLD PEACE yes guys m waiting this thing isn't audible ummmmmm hahahahhahahaha ummmmmm lols 
5:07,10:21, ehhhhhh hahahahahaha so this guy is speaking the oppressors language n refuses to speak the ppls language which is Afrikaans mwari vanenyasha dzakawanda all south africans love Afrikaans Fils de l'homme​ - where do you come from? all the bantus love the ppls language "hi thabo Just answer my question 
10:32,12:44, wr shouldn't promote english it is the oppressors language kkkkk i come from zuid afrika we must make die stem our national anthem Where? Orania? You’re boring us Fils. "does it matter u fils uyagula ningamnaki "thulani 
14:14,18:10, "Julius will make you more poor than you could ever imagine "Bantu can run a country i think he is a russian agent! a loser no doubt Let’s not answer his stuff. there is no country which is successfully run by Bantu Julius malema said that since apartheid bantu government has not built a city done...cant handle any more stupid ! TNX Thando! 
18:11,19:06, they have not put any water pipea 😉 Thanks Thando. He’s gone. "G man "The Gupta Zuma crowd had accumulated so much wealth through corruption that they will frustrate the Legal Process for the next 10 years bu which time NXA..you are so disrespectful wena fils "wooohoo block him! elia why is it disrespectful to say the truth 
19:21,22:11, name a successful black country Block him. also blocked him we hope to have the same level of transparency bantus seem to refuse to elevate their reasoning keep hoping nothing will go right here watch! im hopeful g man let's wait and see the money is gone guys😂 yes let's restore the dignity of our country back and criminals be arrested 
22:36,25:21, Reading is not sufficient. They want R100m guarantee before why is he speaking english instead of the ppls language which is Afrikaans "hence we need FBI to come investigate this is a joke in progress South Africa is at dinner table eaten by the political elite no one will pay "Fils the money is sitting in Dubai and India english is a neutral language thats why 
25:26,27:55, there should also be a commission of inquiry into the so called collusion "@Peet Venter lel "joe I would like to see an inquiry into the ANC and what role it has played in all the fruitless and wasteful expenditure in the country. ANC is the only common factor in ALL corruption in the country. What must be done? 50/50 rule must apply. whites can win. and the remaining 50 percent remains with the community "Fils an independent investigator is the only solution to state capture hoekom? "I get you @Peter 
28:37,33:04, "mbombela people wouldn't be striking today peet imagine if we all spoke in our native languages no one will understand anybody haha this guy is funny what is he saying "You see as he explained And replace it with What @Thando Nkutha? We cant operate at a vacuum. he wants us to go to the Caribbean for solutions 😂 "ebenezar We are happy with the N1 expansion. sanral must tell us who won the tender and we follow how he plowed that back into the majority of African people "that's where you problem is acting procurement officer. "" I just send it back"" open a police case. that's fraud. don't tickle our ears here" 
33:23,37:16, the problem is the system it allows for looting.this system was put by the white regime for looting resources haha this guy mastaas well done Judge 😂😂 "Fils national treasury itself needs an overhaul. They are the problem now they play victim "Peet - voor jy kritiseer ANC must be voted out 
37:16,41:15, "Here is the answer guys if a SouthAfrican company and or person who employ a majority or all South African citizens with so much process of tender rewarding why is the so much corruption on that clearly no compliance "Francois! jammer Follow the money will lead you to Dubai @Rabatseta money is gone this is a waste of time and resources true moolman! it will tell also where steinhoff took Pic money too More like these two having conversations what we need is to go to a country like germany and use their governing model we dont need new ideas there are ideas out there that already work 
43:37,51:49, are we listening to these two guys talk to each other ...😂 "I wanna know "This witness is not adding great value. I said earlier waste of time how much stolen who was it criminal charges next give every black family in this country R1m for the hardship they suffered as a start. that's reconciliation Stadig seun the two of them planning in front of us a nee state capture 19 months given to the commission after this they will be rich this is surely a Lot of rubbish zuma smiles now 
51:59,56:15, I think Mathebula must visit the judge at his home in Kzn. They can discuss this over a glass of lemonade around the camp fire true Hahaha...@peter pott Jou Gat @ PeterPott if you think this fellow is taking time. wait until pravin come. he is gonna come with slide presentation of 500pages the former minister have testified na? ministers its the people's fault. You need to make the way your State money move so transparent and public that one can't steal. how is it a usable report when you just said its not usable?😒 
57:12,1:05:03, people ministers have testified yet ? "Can anyone explain to me If you are the commission of inquiery and you dont know where the problems are then you are part of the problem. this show is worse than watching Santa Babara episodes. if you keep watching this you have no life. Republic of Africa (RA) we will unite the judge yesterday pleaded with those with information. where are those journalists who reported widely on this. are they on the witness list? bull swat most people do complain about ccma bribery "nkutha 
1:05:12,1:14:07, Lol This is one of the guys whom Des van Rooyen was supposed to fire when he had a stint in Treasury. "This Inquiry is really Boring why has this fellow being Acting for such a long time. not yet appointed permanently @Pott ANC happening "I am waiting for Mentor type 2 if you're watching from Dubai 2 2 
1:14:49,1:20:46, critics of govrnment structures but not a single word about who did what with regard to state capture. namasela "foolish is anyone who doesnt newspapers saying everything in them is false STATE CAPTURE INQUIRY NOT TALK BULL TABLE a certain Carl nehaus said that the enquiries must back dated to before 1994 without thinking that there were no competent people like 2li madonsela who are not scared of exposing anyone Most of us relied on what they have seen on newspapers. "I respect Thuli Madonsela ARE YOU GUYS FOLLOWING THE INQUIRY OR YOU ARE JUST CHATTING HERE????????????????? This inquiry should clarify and investigate newspaper statement but now is just another state lunch party discussing everything except what they are appointed too 
1:21:46,1:26:16, we follow Can you play our tracks on local radios because international adio recognizes us but our YFM's and Metro's are jst fumbling. "@ngcobo These state capture thingz are important but not to everyone "They should be important to everyone He knows nothing: No active at all I just wanna here from a person who can refuse to take 600000000 rand😑 Multitalented!!!Kudos😝.Expect an assessment at the end of day5... "Have to exit 
1:26:18,1:30:29, Nami @ Thukwana Duduzile "If Jonas and Mentor can testify tomorrow ….hit the ground running baba... 🤣 Panel of: EEEEee "educate the masses starter pack 1m. i say yes!!! "but government thus far have no money to offer "mentor and Jonas are know and their declarations are in public but interesting to come are those implicated in particular the following KILO 
1:30:43,1:33:45, KOKO yebo "kotsedi! my simple arithmetic tells me we are only 55 million in this country. reduce that figure by those filed as millionaires in this country "@ Wesley that is doable  wonder how this witness manages to quickly work out what the chair is actually asking... ...as for me..totally lost... "South Africa has completely ran out of money Note: There's no honour amongst criminals someone will talk if not all doing us a favour to directly implicate ubana "Toolo with CR wealth 
