starttime, endtime,message
time,8:33,message are we live Yes Sir niyaxoka nina man Yes dear Live where is other people Lol🤣🤣🤣 thank u Sobulelo denial 
8:47,26:01, live Corrupt official must go to Jail I think these people were trying to sobotage you chair Mabuza too long corruption is going on must lock all corrupt officials because in New Zealand if the officials used tax payers money to buy a cup of tea for a family member it is a big thing. ADV Maleka for President..... @kabelo prince rather for DCJ when zondo moves CJ level.. maleka is getting bored⚠️😂 "Pravin Gordans name keeps propping up @Sthakathi Khumalo EFF has said all these but you people dont believe them.. 
29:17,32:18, "Felix Muyoba Its not that we don't believe @Sthakathi Khumalo i hear you.. they should ask mabuza about dirk herman and the rest of white people who are still benefiting them only while blacks continue to suffer at eskom @Thapelo Motabogi i hope all those issues will come out.. i just joined now uthini lo baba? mabuza is feeding us false information awu! uyaxoka? @Thapelo Motabogi he will try his best to protect his interests 
32:34,35:07, and you got paid for all those meetings and he has failed we can kill the ANC by not voting for it just board sitting fees..thats what these guys go for.. Jabu Mabuza this is not a Banana State Capture Mmmm...this Eskom is really something else.....I'm totally shocked at the way they operate.... "Thapelo motabogi do you have evidence? If you know something go to the commission why are we just focusing on declarations? it's high time that President to disbound all the boards in government they useless just money spenders through meeting. 
35:48,37:59, privatize eskom disolve saa "makhosi don't ever question things you know nothing off because you sound like a fool now This Jabu fella...is just another ANC replacement.....my opinion yes "true eskom will send the country broke Rama...knows exactly what he is doing......think about it.... exactly Grant Wilkinson 
38:50,45:46, The ANC keeps on feeding us with the same wine in a different bottle. "and the sad part is that they target black people but whites continue to benefit and do as they please Thapelo motabogi you make me you know making too much noise here as I said go open a case this guy finds these things there done already so what sinne he did? im lost "Mabuza is doing his job to save Eskom Listen carefully about this evidence "you must send me text one's he gets exposed we don't wait to be told what is true and what makes sense. use your brains bra and think Pres Rama Bra....you better wake up if you want this country to go forwards and prosper.....but then your dollars are in Dubai.......my opinion.. 
47:29,50:51, Heck Mike. differing opinions are great but put your brain in gear first. @Jake.......makes one think etc... "I am listening to the guy whose bringing changes at Eskom just say pathetic! they wanted double payments (normal salaries and board sitting fees)..greed! Am starting to like mabuza.. Let us appreciate black peoples who has successfully to their career such as this guy "MAKHOSI ARE YOU LISTENING "@makhosi nobhatyi You can't fault this guy 
50:55,54:38, LOL This Mabuza looks like a township tsotsi. @Theo Bhengu no man "@Theo Bhengu yeah bra The Zuma's administration brought so many problems and damages to the country in so many ways. "500 million is half a billion Guys...Rama was/is a big business man make huge amounts of dollars......gonna give it up for politics.....never.....he has ANC and his own agenda.....think about it..... @Theo Bhengu Mr Mabuza is a reputable man - lNo maan..lol "@keith sindile am surprise people attacking Mabuza for what? He is no nonsense guy 
54:41,1:04:06, The country is bleeding heavily from the state capture project "Theo Bhengu He is a product of the taxi business haha.. and you know what they say Ramaphosa is serving people of SA. By implementing Anc policy not like Zuma hides himself from our struggle to enrich himself "please ANC GUYS I reckon...if you knowingly vote for corruption...then you are also corrupt......my opinion.. "HI Guys @Mike Lock my sentiments exact Just buy more data Selecta "As ANC member I am not here to defend any corrupt officials  
1:04:39,1:06:26, Punish the ANC..... Nobody in the ANC has yet been arrested or even suspended The choice between post-colonial corruption and colonial corruption is like asking goats to choose between hyenas and jackals @Magda Seguin noone unless you want to jail everybody Parliament had given the ANC 8 chances to remove Zuma but they protected him while knowing he's corrupt Many corrupt people are still there... Anoj Singh The ANC had 25 years to prove colonists wrong That one is corrupt Anoj Singh 
1:06:34,1:08:22, @Felix I ignore insults.... @Magda....and they screwed it up horribly... And I block those who insult me @Magda Seguin what insults? ANC prides themselves as clean but defend corruption. who forgets Nkandla!!!!!! You can't turn around 400 years in 25 years. Especially if you are eating together with the past beneficiaries of corruption "This corruption is too much. To think we pay so much for everything but others just take away like they are taking vet koekies. This government must just fall @Va.....they were handed this beautiful country on a platter Bra.....and they screwed NNNNNNNNNNNNkannnnnnnnnndla 
