starttime, endtime,message
time,4:56,message Awaiting in anticipation for the proceedings snap @bongani so waiting Here we go guys Then the volume goes up Eskom testimony kuzoba lit File you too This is gonna be madness 
5:10,9:08, Maleka is already drinking water. who is mabuza? I think he is board chairman @felix Fourth is mentioned twice @Thulani Bukani of eskom? Yes. I would like Qooma to come to this inquiry. He testified last year. hope i spelled his name correctly. thank you @goolamv Qooma testified against Lynn Brown at the time 
9:17,16:18, @goolamv he resigned this morning? 😱👀 does that mean today is gonna be explosive? "..fasten your seatbelts guys and girls @Dmitry Nikashin i have put my belt at this rate justice will never be served It's going to be a a short and long day at once @goolamv for money laundering purposes..what else! Gusy are we expecting any witness today? Help Me Guys am Lost Which Mabuza he is Talking about? 
16:39,21:18, @Desmond Masilela Mr Mabuza is on the witness stand already @Felix Muyoba. Thank you very much Desmond the witness is waiing for evidence leader to finish explaining documentation to the chair Jabu Mabuza is here to testify about disciplinary action taken for Matshela koko Felix Muyoba 👍 yeah @goolamv the R23bn wasn't enough i suppose😅😅 he is already forgetting his background.. drove taxis with a PhD? 
21:36,24:16, true hustler MR Maleka Command ex taxi driver is going to fix Eskom He dropped out uBani lobhuti kaZondo whose testifying vele🤷🏽‍♂️? from Taxi Driver to Director Eskom chairman of Telkom....no wonder is called open serve now. Jabu Mabuza Txi driver? ...Lol 
24:18,25:20, TELKOM OR ESKOM? He drove taxis with a Matric @Felix Muyoba "HI guys ive got 100MB left This guy is talking about 43 Billion but this advovate though...His English 😍😍😍 Advocate Bae Why Telkom Now? So a taxi driver who dropped out of uni is Eskom's savior it's worth watching ....go and buy data Drove taxis in the early 80s. No privileges come with being black 
25:45,28:05, This guy is saying not that i am aware off "Yes it's worth watching @Njabulo Khuzwayo You chose to ignore his long business leadership experience "there were no mini bus taxis in the 80s THE PAST DOES NOT DETERMINE YOUR FUTURE THR HE CAME @njabulo Khuzwayo no privileges... he was a taxi driver and unionist. Kerzner made his CEO of Tosogo Sun. @Mark Dijon He did not jump from taxi driver to CEO. Bad contarcts that gone bad in Nigeria? 🙆 then inform us! 
28:07,30:40, "He done nothing Zuma was not interested in telkom "He may not have been captured by the Guptas Telkom the only SOE that showed profit Agreed. "@Selecta Jabu voice too high Telkom is doing great becouse it's Information Technology......hala to coding hello Big up to Tech 
30:51,32:14, @ Makhosi Taxi Driver's Voice big up to tech indeed Shareholders......obviously Former mageza Telkom uses EBITDA. This is a questionable accounting practice. "@Selecta Mayer Kahn and Sol; Kerzner are Jewish "A university dropout turned Telkom around Problem is that we still rely on Electricity.....it's time to implement our own solar systems. Eskom can keep their bad management behaviour 
32:36,34:52, Exactly @michael mbatha . Bill Gates is also a dropout From being a taxi driver to holding a PhD. All of you guys can get there. Work hard! @tebogo Prince muavha 😃😀😀😀😀 @ Bonke Dayan.. Search Victron Energy. It works. Brilliant Mzalwane! It's not about completing DEGREE OR MASTER NOR PHD IN TECH. It's all about what is that you can invent or develop. will invest. Exactly @Mr Jones Parker - and nobody cares about it after he is world's wealthiest but for Jabu blah blah blah how do we expect a drop out to turn Eskom around VPN Networks has been abused? no wonder we got slow connection. "Bonke for me it's about everyone becoming a contributive member of society and where every human being has value to the country and adds value 
