starttime, endtime,message
time,4:46,message chair may I made a statement There will be a great deal of amnesia today how long has this start? let the game begin "I don't know His voice is gone already Seems he already has a potato in his mouth I would like adv Kate here 
5:02,6:25, """If I know "I'm trying to be like ' ahh "Mr. ""You will walk next to your shoes""." "@Connie Mose Pretorius is fine I am not dealing with operational issues I cant lie I really did not think he would pitch up Amani suit BMWX5 and all - but there he is ! Douglas Masuku that must be the fist question Hahahahahaha @Douglas Masuku We still waiting for Pravin Gordon as well 
6:54,8:53, "Mornings woowu Musa I agree Kate must rest for big showdown Hope he will tell the truth "Dont you worry babout Pravin "@OS Muzik sorry to disappoint you chair GM guys and Mr Zwane "Zwane is a fake heartless comrade @Connie Mose I understand Kate is on aviation stream but I so wish she can be given Brian Molefe and Anoj Singh this guy Zwane is here to remember nothing as Novula 
8:58,10:15, He is so scared shame Morning.. hopefully Mr. Zwane will remember something today because it seems like all the skelems don't remember anything soke sizwe i so wish NPA can speedly arrest this people wow we have another guest Mosebenzi "These guys are heartless He will probably suffer from amnesia all day long. but I'm excited his here for sure all the truth is not going to remember 
10:17,12:27, "@Connie Mose at Last cde mangethe watholakala "I really want to see how the DCJ deals with him I hope them Chair also to turn on the heat on zwane this will be such an anticlimax Mosebenzi Zwane I don't remember. It was not me. That's not True. etc.... @OS Muzik DCJ should have kept that speech for Zwane Zwane must be arrested immediately after his testimony. 
12:29,13:42, I sense another Ndzeku Zwane is stubborn Kickoff "Incorrect the signature is mine but i dont remember I wonder who is paying for the invitees lawyer fees :elbowcough::elbowcough::elbowcough: the truth will be amnesiaed 🤭 Can I greet all the liars & thieves watching at Lootfreely House - enjoy - although you have stolen SA blind & destroyed our SA😠 -at least we the poor have some satisfaction in watching you squirm😀 
13:51,15:03, Guys please research this and the work he did for the Chines Government in retrieving stolen money. WILLIAM ROBERT MAJCHER "@Thabo Modumaela Unfortunately truth is going to be forgotten Can someone give him a 2 litre of water. Zwane sounds choked and looks intense and nervous. 😂😂 Another Ndzeku on stand today... do they even check these people for covid 19 because my guy sounds sus the best one was the witness who could not even remmember his wedding anniversary 
15:16,16:30, Eish kwaqala kwashuba Mangethe Ziyamnetha "Gatsheni a mafia and a person roten to the core appeared before zondo commision today so mak soos lammetjie nou hello friends Zwane's voice has always Bern like that guys. Remember he at the most of the Gupta hot curry perspiring- Trust Ace is watching- not me- it was him Can someone prepare diapers for Zwane please 
16:46,18:24, What position does Zwane hold currently? mafia Chair of transport Portfolio Zwane should be treated as a hostile witness. THIS IS GOING TO BE A BIG 1⃣ ONE. @Lindani Moyo 🤣 Order comrade! Odwa 😂 as I was told Gupta hot curry doesn't play... You can hear from that voice ate too much of it. Tx 
18:31,19:30, who told him @Thobani Mkananda He is going to need them ASAP CR removed him from a ministerial position why? Zuma told me Chair I foresee another Nomvula trickery too much curry ate this one Saxonworld curry messed up his voice but further messed up the memory "Gupts please come back Eish... work work work. I'm gonna have to rewind this. 
19:30,20:26, oya waseya radaaaaaa🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 today they get a real test of how politicians respond to questions in South Africa 😂😂😂 #As_I_was_told 🍻 @The Truth It's his normal voice though @Lindani Moyo You're hereby warned 😂🤣 Saxonword sjebeen "1. Throat clearing A less seasoned fibber may still experience stress when faking the truth "That's because moisture Zwane is already scared!🤣😂 I don't know there we go "Here we go 
20:35,21:01, There should've been a lie detector at this commission @Thobani Mkananda I withdraw Honorable Chair. He is professionally advised how to answer as I was told shifty eyes The amnesia has kicked in This guy is going to deny everything I can see 🤞 As I was told chair 😂 memory loss in action so early 
21:01,22:22, viva Zwane viva #As_I_was_told 🥃 "Oooh told by whom? "Somebody scared already? Morning everyone @Connie Mose As i was told🤣🤣🤣🤣🤣 teacher by profession imagine being taught by him looks like a rabbit caught in headlights as he was told...by who:buffering:.... hey comrades come on 
22:26,23:39, I may not know the details I was told "What's with ""As I was told"" It sounds like one exit he's creating for himself @Lindani Moyo Thanks 🤣😂🤣" "Is ""as I was told"" the new ""I do not recall""???" "When the poor continue in live in poverty I was gonna say that this guy's gonna get cooked... but it sounds like the curry already cooked his throat for us... state capture started in Free state after A was made a premier @Fred Desrosiers Eish 🤔 I joined the orientation late what was the start? Tumelo. sad but true 
