starttime, endtime,message
time,24:06,message "I love how a broadcasting company such as the SABC with millions of rands and technology Seems they've never heard of Stereo sound "I also love the soft picture "SABC was captured by Hlhaudi...another Zuma appointee yes We are not safe Annoying very 
24:16,26:38, should probably just hide chat Gutpa Bots are very busy today Very Gutpa robots are very busy today i dont know if thats a virus or what😂😂 yeah but they just come in with new names Its probably Tony Gupta himself..... probably duduzane Thanks Thando - they are showing as blocked this side too now. 
32:48,35:09, 😂😂😂 "He is not making up story "with Zuma's voice .what is state heee? did the guptas captured the legislature 😂😂 WHAT'S GOING ON HERE? "The guy can talk models Tired blocking models 
35:42,36:57, yerr is this a hostile take over ? Why are people’s comments in codes now What’s happening🙆🏽‍♀️ Very hostile indeed you tube must act now This is sad Guys it’s not the same without the comments . 
37:15,44:13, Sabotage...SABC please act on the hackers Those who have Twitter please do send SABC Digital News a tweet SABC Digital please control the invasion of these bots "This is not ANN7 Aptul "guess who said this ?did the guptas captured the judiciary What’s this rubbish here Someone mentioned yesterday that the IEC was captured too Zuma infiltrated and corrupted each and every institution he could in SA @hilton module I remember very well when Zuma said that 
45:35,51:07, Someone cast aspersions on the new CEO of the IEC...and it may be correct This testimony about the OEC is a bombshell...watch the fallout soon nothing will happen to these crooks and zuma continues to laugh he he All have smallanyana skeleton says soo bathabile dlamini guys The elections were a farce...what about the boxes found and the bad ink etc...nothing was investigated The rotten 🦈ANC stinks from the head down Anyone who voted for the ANC cannot complain who said we are complaining? "Anc doesn’t send any one to corruption 
51:22,52:23, indeed makhosi Oh so you are not complaining that the country was stolen? do we have to await completion of the hearings /closure of the commission for justice to be seen to be done.? Complain for what exactly\ Not complaining is complicity any party is capable of doing such and even worse. But what is wrong if you want to have a different platform that will show a different version? Is zuma still refuting his special relation with the guptas You should be happy that you were propping up a corrupt party with your vote Zikhona Zindani 
52:40,55:06, "we are far from complain Future generations will be amazed of how some people flocked to the ANC in spite of state capture bunch of dumbasses here eeeeeeeh eeee "They will be no justice served after this ANC till jesus comes back. Being part of the solution and putting pressure on the NPA to do its job is crucial Oh I am very happy about my vote. very pleased with it. The right organisation is leading. now our hurdle is to deal with the aftermath of the zuma maladministration Spice Zondo haha Zokhona Zindani your ignorance is amazing to think anyone will be dealt with 
55:13,56:26, This commissions is an other wasteful and unaccounted expenditure. we must take law into our own hands and deal with dis criminals I also dont think this guy is telling the Trueth? The ANC owe us as citizens apology for what they did and also pay back the money they stole from our fiscas Focus on your party?What party?South Africa belongs to ALL who live it... This is guy knows his telling the truth "But you still vote for your Mafia leaders Doing same thing all over again is a sign of stupidity.ANC leaders are corrupt to the core People in ALEXANDRA are evicted just less than a month after voting for the ANC is the shame for Africans "i believe in traditional courts "Most of the implicated are still in the ANC 
56:31,59:13, "I am supporting all NPA what they will do "@Thando Nkutha How many years will this state capture last What happens if Zondo dies Tommorrow 4 years could be enough I really dont know how many more years this will continue. we kept asking urselves that last week "@makhosi nobhatayi that is exactly what Shamila Batohi said in her presser "Hai State Capture is honestly long dragging these people wll be dead by the time its time to act on them 
59:14,1:00:33, "NPA is useless .do u think if the guptas did this in China they would b in Dubai laughing like that . look at this churches in South Africa .will they operate like this if it was in Kenya  "It’s not just ANC leaders that can’t tell the difference between state & party "Ramaphosa might not even be president by then Evidence still remains @Cassius Mngomezulu zondo must be rush this thing we dont have another 10 years "Zondo's line of interrogation on quotes is trying to intimidate the witness  bushiri and this bo alph lukau pays the same people we elected to rob the poor with their evil ways of manipulating the poors But who will put the pieces together like how zondo is asking questions now 
