starttime, endtime,message
time,5:04,message Morning everyone morning This lady is cute yerrr Molefe baby you cute yeah Allan she is beauty with brains i hope guys who's that advocate yeah must be @siya Xaba Defintely beautiful! a teddy bear is cut 
5:09,6:52, cute* Eishhh mara this lady... Who is woman Jesu Look at her eyes @Desmond Masilela Eish man refiloe Molefe Who is this man bafethu? Thus lady should be declared a National Keypoint @Musa Maluleke Eish bra... 
6:57,9:19, Predators on this thread "That is why there was no transformation Hhay bo weMadoda! Lalelan iCommission. Izoze iwe ingane yabantu okanye idideke😂 Zizi Kodwa again... Mr Camera man please dont show the lady to me. Im losing focus 😂😂😂😂 her articulation is on point. "Ngivumelana nani madoda 
9:25,14:00, @Thoko Molefe 😂😂😂 This guy was summons??? "Mr Camera man This guy never stayed in Limpwompwo guys her Instagram is private 😁 nepotism 🙆🏽‍♂️ Whats her name vese refiloe molefe don't understand way the it take long like it do this is proof that Zuma a theft it must proof that he must go to tail 
14:05,18:57, Mangu Lowo sisi HI ALLLL who's this uncle ? I have a crush on Refiloe Molefe😍 someone please help me track her down. I need all her details🤔 can Gavin Watson be summoned as well? "His reading this guy @siya Xaba. Yes the chair has power to summon him. i cant wait to see buti Gavin Watson....the big fish the lady leading the evidence...what an improvement...thanks tata Zondo 
19:10,22:16, my people molweni. why mokgoro Enquiry not broadcast today The chair is getting all info about Gavin Watson. Once all has been gathered they we can expect the big fish. what is up with Vodacom anyone? then.. the pls call function @mandisi ntauzana didn`t they adjourn yesterday till next week perhaps? No guys Magoro inquiry just started Im not sure if this guy will give the truth!!!!! "Morning Yall 
22:17,24:22, Le Roux is confused "@Desmond Masilela  This evidence doesnt seem to be explosive 🙄🙄🙄 "SABC Digital News streams has better sound adjustments compared to ENCA. S/O the guys who setup the sound. I work with sound and entertainment I see we have the nations bae on the stand today 😊 this guy and his reading MR LE ROUX WILL LOOSE HIS JOB N HIS FAMILY WILL BE ON THE STREETS IF HE IS NOT CAREFULL Vodacom is doing the most things "i cannot wait to see the big himself mr Gavin Watson and mama action  
24:32,28:48, Mfundo why ??? 😂😂😂😂😂😂 Nkutha 😂😂😂😂 hes probably not getting the big bucks 😂😂😂😂😂🤣🤣🤣🤣 ku shubile e vodacom today 😎 "So that folk Angelo HEY VODACOM IM OUT OF NETWORK I WANNA MAKE A CALL @Thando Nkutha. 😂😂😂 "shes quite well spoken 
29:08,30:28, The Chair's volume is going low I think well prepared as to Ms Buthelezi Great to see young ladies taking on a big stage with such gutso @mawabo mazwi ...and she' cute. Who is Mr Le Roux and why is he significant? I am envying this RSA process... Vodacom shutdown: Where's the EFF Lebo Pie Ms Buthelezi was also pretty nervous.this one has been around the block Yasss Thiza 
30:53,33:19, interesting my wife is in court again having cooked no lunch 😑🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿 hade @Thiza we didn't get the memo @Thiza why excited about young ladies are they not human like any human being. I reckon they are not reserved or special but human beings My favourite evidence leader is back 😍😍 ANC 😛😛😛😴 get on with it lady comon shes confident Ey she's out of my league eisssshhhh 
33:42,35:04, "Not only confident thando cezula..you never know hey..try your luck brothers in the comment section please respect my wife Lol Thando "Uyabona-ke manje ngitayi njengenja ixhakathise ikati Mr Bean 😂😂😂😂 Beauty with brains😋 Hayi khame Thando wow who is this evidence leader yol? 
35:11,35:59, But now she's not organized She hasn't even gotten going yet give her a chance thando please she was busy with my children whats her name please who is this lady? Her confidence is amazing Refiloe molefe AS I mentioned earlier that this guy will never give us truth info about Watson. His purpet of Mr Watson. missed calls are usually in red 
36:06,37:32, Jiba and Mrhwebi commission is more tasty ppl be behaving like they've never seen a girl before 😆 @Doom Ruler Thembeka​Refiloe molefe nontando you are a great lawyer @Dave these is an inquiry we discuss everything in it Not like this girl... @sipho cebo Yazi comon Thando She she is better than yesterdays one ... But shame will give yesterdays one a high 5 for trying 
37:42,39:11, she's fly😍😍😍 @sipho cebo we ve seen girls that with such brain and beauty i never We see regular girls... We don't see exceptional girls With Beauty and brains its rare in our community lol @Naho Hayibo She's leading evidence in one of the biggest enquiries this country has ever had...that's not child's play i think she is@thando @sipho not on commission of inquiry 
39:34,40:57, zondo is trying very hard to help Thanks @Peggy Masilo and @Nozipho Thembeka ... lets see how she manages Mr Bean I hear you Phathu justice please dont stalk my family and wife 🏋️‍♀️💪🤺 Just give her a chance guys she'll get into it... hahaha @Thando Nkutha Lol Mr Bean ok lets see @thando cezula Profession knows no gender guys one excels or fumbles not because is a man or woman but because is a human being 
41:02,43:52, Ja please c'mon guys... "@Thando Nkutha  When is Jiba enquiry starting? 🤣🤣🤣 @Thando Nkutha 😂😂 Chair dont need to ask. This guy must tell us what happened. @Thando 😂😂😂 ya Le Roux must get to the point This guy is lying. 
44:06,44:51, lol he is following the evidence leader Desmond i think so too 🤔 What is this guys purpose of being here ? Whats his role here ? What evidence does he have to share ? "true that So the lady is Miss Molefe??? @Desmond why do you think he's lying He came to confuss the equiry @Lebo Pie. Hi building his version. as it continue. 
44:57,46:49, Mr Chair looks agitated I think the witness is scared the fact that he was summoned means we won't get the whole truth @MASIPA ITUMELENG he does not recall anything but refers to documents chickens are coming home to roost le roux is so scared uyaz @MASIPA ITUMELENG. His contradicting himself. witness not confident something nasty is hitting the fan 
46:55,48:54, that is why the chair ask him to repeat his answer. "he is just protecting himself over nothing "Haaai suka "@Desmond Mr Bean @Lebo Pie. Yes you right. "@Naho it's because his statement is prepared properly with legal help Zondo to the rescue Lebo Pie i think the chair doesn't see the point of this evidence per the statement provided 
49:03,51:01, Can this beautiful girl allow Zondo to lead!! I can’t twke it anymore Ist my eyes or whta but i think Mr Bean borrowed Angelo agrizz suit Actually this guy was not willing to testify. So what truth are we expecting. This to him is by forced. Desmond u are right @Thilivhali Naho whaaaa-hahaha-hahaha Corruption is the most profitable industry in South Africa 😂 So sad to see the potential of this country being left baron @MASIPA ITUMELENG i agree this woman is flames!!!!!!!! chizos!!!!! @Flakka Goat Focus on the questions man.....hahahaha 
51:06,52:05, Mawabo i see so. But it seems to be coming together. lol And she is single hehe lol it's bosasa uniform Looks like Agrizzi's suit @JS Bach aint easy Remember he was forced @MONEXUS Yip! Agrizzi is smart 
52:05,53:47, lol @Michael Setlaku she is married what if justice zondo is implicated?is he going to recuse himself and they start afresh Maybe he lost wait just after he was summoned to the commision @grant wilkinson yeah @Noreply Internet. You right he was forced. So do you think is there any truth answer will get out of him? Never!!!! this guy is still working for Bosasa. weight "Amanda @Desmond Masilela 100% I agree. 
53:56,55:37, Now he says he has ask Agrizzi. but just recently he said Angello Agrizzi made the statement. come on. @Michael Setlaku LOL hay Especially for the fact that He was helped legally. why Njalo are these witnesses claiming duress!!! bebazi kahle what the F they were doing for 10 years mos stutter stutter 🤣🤣🤣😂😂😂 @Thando Nkutha am not sure if i breath but i was told i breath by watson Agrizzi opened a can full of worms 😃 Le Roux so nervous can u see him 
55:40,56:49, @Thando Nkutha @Thilivhali Naho....😂😂😂😂😂 @MONEXUS indeed .. Im sure he's peed his pants hahaha "I think this lady for now should have given this witness to the other guy and the chair ever so cool """Chair""" "Ist neccesary for him to drop the glasses to his nose Anyone else noticed that Zuma has not denied the allegations by Agrizzi that he was given R300 000 "What if this one is related to JC Leroux🤔 
56:58,58:20, Yoh @Noreply Internet 😀😀😀😀 what they need to do is to keep him relaxed a bit .. then Pretorius will pounce In 2017 people were very stressed at bosasa "This wittness was still looking forward to steal the money Please show us the Prosecutor face not the witness face please please @Nozipho Thembeka bayanya kungoku this pig is a liar "looking at the previous witnesses Lol Jah @ Amanda 
58:28,59:47, bathong now who is this one...??????? @Teboho Thebe 😂😂😂😂 "Loools as for no😂😂😂😂😂 @Teboho Thebe 😂😂😂😂 get this man off the stand cause he is going 5obsplitbon his friends Will Watson ever take the stand ? who is this I would REALLY like to see Mr Gavin Watson here !!! This man is scared to drop names 
59:54,1:00:44, "how can you not remember VVIPs though This guys testimony is full of loopholes. No concrete evidence whatsoever😥😥 he's scared that's it Agrizzi the best witness so far "he is lying  South Africa is setting the best and perfect example on ho0w to clean a country of corruption. We are the envy of the world on how we respect our constituion and country. I love RSA. I hope other African countries follow our example. If they can leave this guy now and not arrest him. Forget it we wont see this guy anymore. "Maybe Mr watson is an imaginary Boss you know 
1:00:45,1:01:25, @Derick Mampuru True... he cant just do things without even asking in general who the visitors were who are vvv ips names kaloku Just like the Guptas Please Richards you start lying if you delete you see what you delete I need to submit my cv to Mr Watson "What ever Agrizzi disclosed here was the truth Zondo is grooming this kid @Thando Nkutha Yes the racist part on Agrizzi is damning but we mustn't dwell on that in order to sway away from the real issue here...State capture... 
1:01:27,1:02:52, "This is the man "How do u delete a footage without looking at it This commission is fun but useless as no one will be punished or held accountable Where did the VVIP buy the tickets? exactly nini Another thief sitting behind. "@viktombi he's lying 😂 😂 😂 😂 Bheki cele 
1:03:18,1:03:54, Lol Haibo. Haibo Dudu Myeni and JZ and Cele Bheki Cele 😳😳😳😳 tjoooo lier The entire ANC is dirty to the core "Smolanyana skeletons aaariigjte kodwa "Jakop 
1:03:56,1:04:34, he has anger issues bheki cele "@Yose Human By him (Agrizzi) admitting that he is racist The entire ANC cabinet is involved mos @Amanda Bentsile 100% Again I repeat all are criminals yhoo Bheki Cele was present Cele Aaaaaagh 
1:04:38,1:05:58, another one is zizi kodwa Special projects se gat man He must give us the names of Ministers "There is a picture on the net were Dudu  This guy cant recollect anything Tea break please @Sipho Mogolegang And Bheki Cele as well. Define special project in your view Mr bean "This lovely lawyer lady  
1:06:04,1:07:01, chair i think its the best time @ 😂😂😂 Bheki Cele kopa osntshwara monate Mpolaye heeyiii "doubt that he is lying @Sipho true that we need to where is the pic on the net Thats why Nomvula Mokanyane was so bold in saying let the rand fall and they'll pick it up. She was showing us that she's powerfull not defending just saying.. @Sipho Owen Ndhlovu I've seen that pic as well. 
1:07:01,1:09:04, arite ineffective J zuma. Need to put in prison now Nomvula is a foooòl without a fullstop I see Zizi 😂😂😂😂 yea now I see this witness is lying 😣😣😣😣 Bheki Cele must be put on special leave. I would like to see the Video footage and why would Gavin Watson want the footage destroyed if he had nothing to hide. 
1:09:25,1:11:47, uzuma uzuma ilizwelethu Those who are implicated they must be on special leave and give another people the opportunity to enjoy salary Gavin ke tsotsi I can't wait for Watson to be summoned Watson is no longer in SA can anybody help with the connection to the one who is asking others questions today i think is the one only standing up in the room.. pls Did Bheki Cele received gray bags???? ไอ้ทักษิณ ไม่สามารถสั่ง ให้ใครทำอณาจารดาวเทียม ถูกเณรเทศออกนอกประเทศไทย no chinese here 
1:12:02,1:13:26, @Bridgette are you serious? yhoo he probably rolling with the guptas in Dubai Obviously they got him already The chines is lost Watson is in Kandla @Sicelo Roger 😂😂 😂😂😂😂😂 SOUND @ Itumeleng yes l m serious ไอ้สัตว์เวียตโกหก ถูกพาไปสอบสวนที่โต๊ะทหาร ถ้าไม่เลิกพูด ทำร้ายครอบครัวกู จะพาไปยิงเป้า 
1:13:27,1:14:16, This guy is a cog in a network under mining and actively spying on gov officials. He should be detained and lodged in jail until a thorough inquiry is complete ADV REFILWE MOLEFE IS MY BAE thando.typing error.sorry So this corrupt MPs and ANC officials were called special projects? He want to speak as if his speaking to his boss Watson. Hot babe molefe 😂🤣😂🤣The gossip is burning him up. he can't even contain himself. "@MrMoyoT you are late KING STAY AWAY FROM HER SHES MINE 
1:14:27,1:15:21, IM GONNA PUT A RING ON IT This one is an eager beaver ! SIPHO WE WILL BATTLE IT OUT SHES MINE "You guys MoyoT your a newbie here I had my eyes one long before your birth @thando .I sat on it Vincent Smith again @JS Bach I think I remember that too 
1:15:37,1:16:31, at the end of the day project jones Zizi kodwa is there? Yes Amanda Molefe is going on tea too😭😭?? KING LOL YOU SICK FEAK ADV IS NOT YOUR TYPE N YOU ARE TOO OLD FOR HER Kodwa waiting for his name to be mentioned 😀😀 Zizi is surprised lols I trusted Vincent Smith...this is sad 
1:16:40,1:17:52, thanks number of ppl watching all Chanels.what an impact on ellection he thought his name will b mention @Zukile Ngwena trust no one Her voice........I am inlove........ no ZIZI uyosela iti ka Zondo @Nduduzo If the mention his name he will resign "@Zukile Ngwena At the end of that commission on the SABC @Maria Pheli Phumzile Tshabalala atye neza croissant 
1:17:57,1:19:07, Zizi maybe wants to bribe Zondo Sifiso ncwane!! Ufunani la Zizi looks concerned I dont live in sa why am i her Did he give any names we haven't heard before? @Zukile Ngwena I am sooooo shocked by Vincent Smith also being part of this. I didn’t hear wat about cele ? lols @kekana he rather call me on 0740940277 to pay my fees @4 7 you are welcome to LEAVE 
1:19:14,1:20:32, uzizi uzimele @sipho cebo I thoutht that he had morals... well no one is uncorruptible I guess "or did we just have a repeat of Grizzi @sipho cebo well whats it about im curious Yup @Zukile Ngwena nvm ill just look it up "@4 7 then tune and stop telling us you don't live here lold Agrizzi and the laming that sounded disrespectful didnt mean it like that my appologies 
1:20:33,1:25:42, @JS Bach I'm still shocked @4 7 accepted "ucele madodanaye hayibo ipolisa ayonyani bfore the inquiry his name was mention in City Press V Smith "kanti don't we also go for adjournment nathi Tea break? @Maria Pheli Phumzile Tshabalala asiyi ndawo free flashy funerals but not free education "@Bridgette Kekana things will change 
1:26:35,1:30:34, @ Cebo like me n u Bridget weeee your untruthful once a pirate always a pirate "front row seat check yes @Bridgette Kekana me and you 💛 @ Choma l m truthfull😂😂😂 you see morons how its done ? I just came now. are they on tea break This upcoming Elections is going to be very interesting yini ngathi utaP uyabuya 
1:30:43,1:34:46, OK ok don't worry. I'm just stupid. adv. refiloe molefe 😍😍🤗 "What’s the difference between a amateur thief and a professional thief?The amateur thief says @ Cebo ok HE valavulani swi swa mongo hayi ya ma kanyi kambe swiswo twala pela matsonga machangani hi kona lani they hv enjoyed the fruits of thi country Hohohoho Le roux what a disgrace and an embarrassment to a human being to have flashy funerals at the expensive of the poor living. it's disgusting. unhuhan like. it's scum 
1:35:25,1:37:57, So he has never carry a bag of money Zondo is doing someone's job @Desmond Masilela thats my interest too This guy is trying to hide something. @PHATHUTSHEDZO DEMANA whos job? Doesn't look the right body type for that. Too thin @Desmond Masilela​ So he has never carry a bag of money There goes Nomvula's name again... @Ewald Kruger.😂😂😂😂 Nomvula again 
1:38:18,1:38:42, i knew it Hai Nomvala oko Cash to pay the suppliers Nomvula is everywhere this is not telling the truth Zizi bribed him maybe Lool ANC will say Individual implicated Mama Action indeed!!! 😀 @Desmond Masilela​ Nomvula mokonyani again 
1:38:43,1:39:20, Le Roux Guys mamelani kakuhle ayisamnethi uNomvula lemvula Nomvula again EBANNA NOMVULA ! Nomvula again hayini 😂😂😂 watching live from Nkhahla nomvula she must be rich bafowethu 
1:39:22,1:40:08, i rst ma case Nomvula is a bad news Nomvula gape... Nomvula and J zuma shud go to the same prison cell she is a billionaire by now "This is the truth yhu Hai lo Mama ไอ้เวียตและอีกระเหลี่ยง นักโทษประหารชีวิต ควีนอังกฤษ พูดให้มีชีวิตได้ แต่กูไม่ได้ร่วมมือทำงาน หาเงินบิตคอย Zuma is not going to any Jail!! 
1:40:10,1:41:53, not only bad news but a disgrace to all south africans So basically Nomvula Mokonyane. is the IT GAL of Bosasa State Capture (Nomvula Mokonyane) don't forget Dudu Myeni must also go to jail. JZ said he is not going down alone Nomvula SIES waar is die shame "@Mickey Mark  l start to hate ANC Hi a and Mrwebi stalled all the NPA investigations into Bosasa...they must also be jailed 
