starttime, endtime,message
time,11:58,message Sound please Yor is this now a lip reading session? coz if it is .. i am sure this dude just said something a bout my momma Masbu Gebs i got sound SABC please help us with the sound sound is a problem Sabc icu 😂😂😂 
15:44,27:03, The guy is talking as if his running for something Fearfontein is making this guy fearful @Desmond Masilela perhaps the guy was warned that since you are leaving eskom and you know what is happening here if you ever expose us we will come for you where ever you are.. @Felix Muyoba. 😂😂😂😂😂 @Yin Yang i now agree with you on that where is the sound? sound is on the left ear peace something wrong I can only hear one side. @Yin Yang as soon as he discovered some anomalies at eskom he left..he is an honest citizen.. "Rama was the chairman of MTN when Iran charged the company with corruption.....FNB 
28:10,34:26, The sound is better now from my side The guy dont even know what to say sound in left speaker only my right ear is getting jealous with no sound ha ha yes "I think some people here need to reboot their PC's SABC tech will say he must speak over the mic and not from one side only. :) IEC to investigate anc for bosasa election funding @Myka'Al Daud Don't hold your breath - IEC is compromised @Myka'Al Daud do you think investigation can yield anything? 
34:35,40:39, we are waiting for Zuma's time "prisoner of hope Truth shall set us free ANC have breached about 5 critical laws which should have them removed from taking part in voting for 8 years. until they clean up there act. and ask Venezuela to keep the MECs visiting them. @Myka'Al Daud if the rural people were eating and drinking at an anc rally with that money from bosasa..do you think they understand that it was illegal? they dont.. PG refuses to be cross examined by Moyane Is he hiding something or just enjoying his rights? Do we want to believe that the entire ANC esp the NEC didn't know that the dealing with bossasa was illegal? "Why waist state funds on this  
41:21,43:11, I think those young educated man and woman took advantage of the fact that.the former head of state cant clearly read and understand the writings.even if down on the line we need pardon him. @Nelson Musoliwa they knew..just ignorance..typical of african ruling parties attitude.. Let bygone be bygone and start again with EFF .Please freedom fighter beware afrikaaners. ... Yin disagree Guys....No Pardon for criminals whatsoever....... Michael there is no excuse if you pardon one you must pardon all. He was clever enough to defraud the state so he is eligible to stand trial and go to jail. "@MIKE LOCK I agree - if we want to stop the rot Did we pardon apartheid agents ? 
43:21,45:41, @Musa Bakiti ...reckon u been nbrainwashed Bra I agree to in jail with the keys thrown away. @Derek Main ....spot on Daud should have locked up Verwoerd but a white guy shot him before that could happen. No mercy for any of them......SA needs this going forwards "SA is a forgiving nation which Mboweni again?? we must forgive him What I would like to know is if we taxpayers are going to be funding the legal defense for any of these criminals. I don't think we should. 
45:51,49:03, "@Myka'Al Daud  We must start exporting our criminals to overseas like China export its criminals to Africa. Musa they put a hole in a corrupt persons head in China "We forgiven sellouts who wrote letters to SB @Yin it is however difficult to believe that people who fought gallantly against oppression can do such a thing. all those who are implicated they must face full might of the law especial high profile leaders from ANC 70% of them are involved we also want forfeit unit "All this corrupt ppl of Eskom @Nelson Musoliwa ........brainwashed by the Commies Bra is't the same Tito? 
49:28,53:33, @Desmond Masilela ...spot on Pastor Mboro told us on Sunday service that Eugene Terrebranch is missing in heaven. "We gave apartheid killers 2nd chance forgave @MIKE LOCK. They are all corrupt to the core. @Myka'Al Daud ..absolute not true "@Yin Yang what homelands @Desmond Masilela ...too true...they all knew what was going on "Why divide the country 
53:45,57:10, Is this Yin oryt?? @MIKE LOCK. Now we keep on wasting time and money for this commission. Why cant they go straight to court and be prosecuted and send them to jail. This is just a wast. @Michael Michael imagine! Yang They were suffocated from the start not to develop to certain level by the regime as they were just spoon fed economically. "I knew what was going on but 34% unemployment  Julle kan lekker K@K praat hier ne. @Myka'Al Daud Let them come and confess their sins first and then we'll decide if they have revealed all and been truthful hau wena kobus!!! Moeinie kwaat wies is reraag 
57:36,1:00:40, so sad yin yang kobus dit klink jy het branawenkie ge goie bra @Myka'Al Daud ....No way bra.......can't live in the past...can only live going forwards......criminals Must be punished kobus is still dreaming about those olden days when all privileges were on his side haaaa......haaaa...jaaaaaneeeewat Derek yes lets uproot this corrupt practices but lets vote for justice n dignity for everyone Myka'Al - can't argue with you there BEE did not work but EFF is going to work @Myka'Al Daud ...they also pardoned ANC Commie comrades.....ne 
