starttime, endtime,message
time,3:16,message Audio? ​Audio? No audio no sound! Who is the witness? Suits me / With this Aunty 🤣 Agreed. This isn't the best advocate on the team. sound please!!! 
3:22,4:35, sound ? no sound "Sound sound in comes General Sphiwe Nyanda No “Men’s Shirt” today? Forget the chaps name who was so concerned about her attire 🤣 No Sound????? sound mani ANC procured another R8mil jammer for R45mil 😉 
4:36,5:58, # SABCNews Wakey Wakey 😴😴😴 Only a sound jammer I thought it's my pc #Dylan 😬 sound please No sound whatapp? To turn the sound on you must press alt + F4 "PLEASE DONT PLRESS AL f4 Who’s that in the Hot Seat please? 
6:00,6:57, 😀 SOUND PLEASE sound please? Alt + F4 for sound. General Simphiwe Nyanda SABC PLEASE SOUND "Dylan 🤣🤣🤣 On cellphone "tjo @Moira T Hahahahahahahahah!!!! 
7:07,7:48, #Michael 👍🏻 Ta NO SOUND The sound has been captured 😀 Sound . LOL HELLO GUYS @Thelsa 😂 #Thelsa - Not an impossibility 😉 
7:57,8:47, What happened to sound? sabc The witness has been silenced by SABC alt f4 se dinges what is wrong with sabc cant someone report this please "@john fagan "@Dylan Burden SABC sound please @John Fagan How are you able to say Hello Guys with no sound. Why dont you wave hello? 
8:53,9:41, What is wrong with you sabc.....fix the sound! Live Chat vs Lip Reading 🧐 Eish sabc you not broadcasting and now not giving us sound really What's right with SABC? LOL They are preparing us for World Hearing Day: 3 March 2019.😁 👋🏻 H E L L O lol 
9:48,11:14, i cant hear a thing is my laptop having a problem perhabs "@Mfundo Veerasamy hahaha...Close d chap is on extended WAVE WAVE @ Dylan Burden LOL I WAS JUST PULLING YOUR LEG 😉 Minister of Communications? OMFffffloppy hat 😱😱😱 the gentleman seems to be a tired man from his looks This lady and her filing. 
11:19,14:22, THIS ONE IS A CADRE How do these individuals get elected? Other than being Cadres? 🤨 "@ psyfrequency Techno "Mara eish @welton paulse perhaps she has improved now.. "Genl. Siphiwe Nyanda You can tell this guy is going to have a very bad memory 🤡 #Dylan 🎯🎯🎯 
15:08,16:40, "@Felix Muyoba who's grandfather is this? he must be @psyfrequency Techno he is just tired..these guys should move out and leave these things for the youth Hello all. who's this witness you will be one not long. @psyfrequency Techno agree Yussus my ears. sound is crazy 
17:20,19:31, No wax left in my ears - fo sho 😳 this guy has a puza face @Moira T hahaha Decent volume. Keep it up SABC spill the beans Baba we are tired of history. i have pressed ALT + F4 for you. thats the reason sound got loader "Don’t think he’s slept it off @Dylan Burden adjust the volume below 10 db how old is this chap 
19:55,21:29, Razz Matazz "@Felix Muyoba thanks man Muavha rolivhuwa but why did he agree to go to saxonworld then if he was upset about the news the guptas? #goolamv - Nah men - don’t do thet theng mahn - I didn’t recognaaz you! 🤪 exactly Felix @Moira T I thought I was the only one who sees this lol... 😬 Why do MPs not want McBride's contract renewed? 
21:33,23:10, There are loads of articles published in 2017 with tears make the news... Orrdaa 🤡 Burden bcz he want to do things ryt wy #Dylan - So that they may continue - unabated - me thinks. No!! Zondo let him finish you were in Durban yah..... "@Michael Michael @Moira T while i understand that if mbalula was clean he should have refused to be called to the gupta residences but the fact that he agreed to go there then he was part of the guptas #Michael 🎯 Why are we made to listen to this garbage? 
23:42,25:56, Michael Masutha= Gavin Watson. "I know about the grabber Fmr Minister Siphiwe spilt mustard on his tie. "#Dylan @Moira T I just don't want to wait 3 years to find out 😞 what is the deferent between crying load and tears. they suppose too.problem is that 20 people take decision for 50m.and they dont care.dont forget Minister Cele also not that clin. Totally agree 😉 mbalula the cry baby 
26:08,27:36, "Yes "They made him remove his tie - in case he ducks to the bathroom Guys I missed Trevor Manuela testimony! Is it worth watching again? @Moira T 😱🤣 Typo😂 "@King Vuka no King Vuka - He was in Automatic 😬 @King Vuka very boring testimony personally Vuka not much of him dont warie.similar no baba othethayo ngoku 
