starttime, endtime,message
time,3:52,message Probably would have taken the money. Easy to get away with it. Just deny everything. our evidence leader is stumbling. DCJ must baby sit now "some amongst you are very disrespectful myself being one of those disrespectful people 🤣🤣 hebaana why now do you think the Adv was a BBeee apointment? 
3:59,8:35, when are they announcing about the schools nt yet "i feel like screeeming "Oeps Bring Katie back....!!!! Remove the mask mama action lol Kevin 10 years too long edokotelle 
9:41,12:08, politicians in government positions are the best liars . this evidence leader is totally useless. how he got here we will never know. the line of questions ag "Adv: i hear you stole the money the adv is really letting us down What you live in your own house oe MARA!! i agree Derick this advocate it's useless 🙄🙄🙄🙄 this is a deployment of combrade adv She blame her husband! 
12:08,13:22, Blame the husban exactly Tlome!!! :goodvibes: Is she coming back tomorrow? We need a new adv shem "this adv is letting the commission down Shame.......now the dead husband......geeeez...... lol this guy Mokonyane using her dead husband as a way out..how despicable. Dead men cannot speak..she is wicked. im just here for the tablet 
13:31,15:27, I don't know comes up more often now. Expected. But the Chair is now leading the witness... love this advocate if you can't blame Apartheid then blame your dead husband. correct Shane!! She is blaming the husband @William Pieters i am sure if you are a husband you would know. @Val......my thoughts exactly.......this woman has no shame whatsoever........ lol 
15:33,18:01, lolol wasting our tax money with this bad questioning to found out how our tax money was stolen! dead or alive its the husbands fault "i know where this adv stays. 101 Silk street advocate please do your job stop being unprofessional 🙄🙄🙄🙄🙄🙄⛔⛔⛔😊🙄 next to leg break street "Zondo setting up a trap now "mama nkonyane nomvula  The Advocate does not look prepared 
18:10,19:38, this Advocate is also captured Mama Action!! She's acting dumb etc.....and CJ is schooling her big time..... Zondo has taken over. Uyaxoka! Gravy train!l Mama Action "zondo must take otherwise "What's new 
19:51,21:17, unprofessional advocate 😭😭😭😭😭 thats a white rhino we need a lifestyle audit on all the anc leaders A pregnant answer! ha and it was on one occasion 😂😂😂 pregnant answer 😂😂😂😂 "Yall are disrespectful of Adv Notshe SC pragnant answer pregnant answer 🤣🤣🤣🤣🤣 
21:21,23:10, DA didn't she refer to hersef as being poorer. sounds like she has oodles of money. security guards entrance. studies entrance halls... shew shame . the poor... 😅 @Buti Sipho ..who's DA now bro? I don't know lol she filled the lounge s TV supplied by bosasa adv. has a really silky voice. THE FACT OF THE MATTER IS THAT AGRIZZI VISITED HER HOME. 
23:30,24:35, dead man cant talk... Amen pregnant answer kkkkkkk "She is relying on the fact that her husband has passed away If he is really dead.... mr Agrizi was murdered abelungu aboBosasa Ng abelungu base bosasa 
25:04,27:09, when did her husband passed on guard house.... no register? @Luna Moose is that the same guy in the MVA on the R24/ SHe could have more than one house nonsense Agrizzi is still alive it's Gavin Watson who's dead the Chinese and Russians will help you don't worry haha "It is Watson who died they wrote a fake cell phone number in the guard book. trevor noah called it did they Check agrizzi cell phone records or car gps to see if he was in the vicinity 
27:34,29:38, Shane yes Can AGRIZZI STILL ALIVE BUT WATSON PASSED AWAY MYSTERIOUSLY IN A CAR CRASH abelungu ba se Bosasa kkkkkkkk wooden can be changed to tile stairs.....hayi boooo lomama lol tiled stair case? is it wood and tiled? Can't have wooden staircase because of health.. this advocate im allergic to wooden floors 
29:45,31:46, i have heard it all "The lights are on Many alterations could've been done since then.....can check the building plans and dates etc etc... The gravy train arrived. bar @Paul Ely 😂😂 she's allergic to the wooden floors the bar was stacked Bar empty no alcohol not allergic to the wooden bar 
31:46,33:31, Just call Zupta......and you on the train........ "She works under those conditions allergic to wooden staircase but not a wooden bar:elbowcough: wooden bar counter Where is Mr Agrizi? Kkkkkkk how can he miss a bar? ... a whole bar.. but ke asazi bar and alcohol goes hand in hand.. wow 
33:45,34:41, a bar stole and a bottle don't make a bar. "I'm very Catholic It depends on how many times he visited the house. he just started this from no where to say they were stars bar is an alter in this house😅🤣 "something that worrys me is this lady lives a white privlidge type of life but works for a political party Mmmmmm.....very nice Holy water...heheh Catholic with a bar😂😂😂🙆🏼‍♂️🙈 Plentu 
34:48,36:13, Hahahahaa🤣🤣🤣🤣🤣🤣🤣 plenty of communion wine 🤣🤣🤣🤣every wrong thing has an end mama action A Catholic Bar "@Danie Nilsen she was a minister 🤣🤣🤣 bar ... altar in the same sentence... unpopular hey😊 chief monour..... m learning new words.... chief what 😳 
36:15,36:51, she's about to drop tears oh je mama action is on top of issues Sedated 🤣🤣🤣 blah blah blah :goodvibes::goodvibes: Politicians and their lies where is agrizzi‼‼‼ @Petunia Ngxabani she was mourning the death of her Son how cruel can you be though. 
36:53,38:25, Talk English IT IS CERTAIN THAT EVERYTHING AGRIZZI HAD SAID 85% OF IT WAS ACCURATE OR TRUE. Sutely we have move competent people to lead this country! "catholics priest uses alcohol and nothing wrong with that but she is not a priest and she cant tell you because of the bar and sounds like zuma ""i cant remember""" she is talking her language @Mohamed Mia she is talking her language so far Advantage Nomvula!!:elbowcough: nkululeko she is a polititian....and she speaks like one... this baba advocate must retire and let potgieter take over 
38:25,39:45, Zondo being sarcastic. Maybe she is sipping Fire water in that bottle...... This hearing is in English lies all lies I thought they gonna ask her more about dt break a leg party kkkkkk hayi tatu Zondo... hogayi @Petunia Ngxabani does that mean she must be just fine when she looses her child I said l istern to lies guys i thought the adv will come dololo 
39:52,41:10, Gavin is no more to confirm this Discussed the mandate of the ANC to steal and rob South Africa to bankruptcy "Pure lies "The adv is really not acting like evidence leader check her bank accounts She is not going to help the commission get to the bottom of this. Eeeeeesh....this Mama got an answer for everything hey..........very well schooled I reckon... follow the money money talks her hate is deep. caught with the hand in the jar 
41:21,42:22, "let her go home  the mama knows her story well race card @ mike professional from one institute on a mattress? 😂😂😂 The adv I he only won cases that settled out of courts had a long time to prepare Agrizzi is desperate 🤣😂 wow wow 
42:28,42:47, lol these crocodile tears True ANC politician Mama...... 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 What a performance Tears about to drop "Playing victim now And the Oscar goes to wow wow 😂😂 politics is really a theatre show Crocodile tears 
42:47,43:37, So the only problem is that he didnt mention the bar. Everything else is correct? why would he mention these things. what has he to gain. he has buried himsef. what would be the point too late to cry crocodile tears they were about to drop 😂😂 follow the money I hope they won't fall for her emotional blackmail Agree @Barbara Sattler it resembles the other narrative from one politician i knew 
43:51,44:23, these comrades will never get my sympathy once they steal money from poor people like this hebaana kunzima Nkululeko is hurting your wishes r not being fulfilled crocodile tears.....where is the money that you and the combrades had stolen....#angazingempela "she is playing that motional game here delinquent director number 2 Agreasy is a product of apartheid yoh she is so terrible at acting fake tears 
44:28,45:07, Catholic bar true dat Shane Rule high walls 😂 @Cain Chunda once you loose a child only then you will understand. no agressi is a product of coruption like the anc Hectic leadership "She has really overused the word All these haters will never rule SA 
45:11,46:21, We don’t care about this bar just need the truth understand what? 🤔 she said due to health reasons there's no wooden floor.. but the BAR IS MADE OF WOODEN🤭🤭😂😂 Google mapist of note Agrizzi 😁🤣 How it feels to loose a child 🤣🤣🤣🤣🤣 this Google could be a dog's house desd man tells no story(Garvin and Hubby) liar!!!!!!! 
46:21,47:36, kkkkkkkkkk Africans siding with Agreasy are apartheid apologists "so is this not about Bosasa and the looting ? Why is she involving her family? Unless they were recipients of these "" alleged"" looting..!!!" Mara Mme o maka She was coach very well lying under oath "It is very heartbreaking too Loose a child what is it that Agrizzi will benefit from talking lies abt all these ppl Luna....ecxatly....interesting 
47:45,48:46, who can lie better than Oscar Pretorias Acting is not her thing...she is even struggling to get them tears🤣...she never stops talking about her late son seeking sympathy zajika zinto ANC guys entitled to lots @Dada She can kkkkk uyanya anything spectacular happened whilst I was working? now the no's starts "@dada ngova So Africans cant have an informed opinion ?..So they must see corruption and keep quiete 
48:55,50:01, nothing lone just lies nope all boring lies Ncandla Days of Zondo is the best SA made soapie ever made. @Luna Moose that could be true and also the bar? or was that gavin Provided burglars 🤣🤣 South african police force:goodvibes::goodvibes::goodvibes:sapf umama action 
50:20,52:23, @lone...u missed nothing.. still in 💫 let Aggrizzy provide proof that CCTV was provided by BOSASA.. Yipe.........well schooled answers.... Shame anc says jump you jump blixem Bryanston vat my saam aantie ek wil ook jou tjommie wees "it's a simple question ma'am "@Dada ngova windgat with the papers "This advocate is pathetic 
52:43,54:35, deployment adv The advocate is very poor our combrade adv carona corona virus @Rian Minority has been killing our people for too long..and now it's it doesn't matter the colour. I disagree. pursuing people because they are in power does not give anyone big balls @Abel Matshidiso whom who alleges must prove white folks plz allow a fair trial even if you hate a person how come you accuse a leading evidence officer as being on her side? the chair is not coughing inside his elbow 
54:41,56:37, "I don't have time to listen the lies of Zuma camp minister  ginger Zulu... akward @Masixole Sizani - This is not a trial dude.. this is a show of how anc cadres evade prison.. expect a Mpshe like finding when all is finished Where is adv Hofmeyr 😭😭😭😭 50 50... no confirmation on both side... yi film Masixole spot on @Thulani Ndzuzo don't suffer baba poor husband is a scapegoat 
56:57,58:16, @Thulani Ndzuzo I thought they called her biscuit lady 🤣🤣🤣🤣 lies you mean the taxpayers adv Hofmeyr come help "My dog ate the neighbors hamster Lindiwe ginger Zulu quiet spot on actually kkkkkkkk lies lies @Dada mokaka Please protect me from your ignorance. You know very well who is doing the killing. Unless you have been living under a rock the last 26 years. You sound racist adv. Hofmayer come and help 
