starttime, endtime,message
time,13:52,message """ SENIOR COUNSEL WILL LEAD EVIDENCE AS 2 HOW 2 KEEP 2 'JOBS' AT DE SAME TIME""" who is gonna lead the evidence today? chaos "More stories Lord help me to be patient in word and deed. is tyi9s another waste of the whole commissions time? no they adjourned coz linda mti was not available Lets hope the Judge says no for once 
13:52,20:50, Again "@Person I with you commision is opposing this application Barbara 👍🏾 "Chairman "I want Dudu Myeni and her friend Yakhe Kwinana to the stand Musa yes indeed why are these miscreants allowed to play yo-yo and waste time and our money !!!! "Lol they won't bring Dudu Myeni yet 
21:31,27:05, These criminals use the law as a weapon against justice @Hubert Maphumulo Exactly. two weeks and nothing happens "don't trust this Zondo thing @Norma such valuable time "Fraser is just threatening theres nothing explosive @Hubert Mr Zondo is very much aware of the ultimate consiquences if he allows Fraser to testify They must just stop this thing cos it is going no where and just waisting our money Wish the Judge will now come down hard on these shenanigans and this rambling on 
28:11,31:07, Yes grill him Mr Chair She could've watched the recorded evedience. The postponements are too much and costing South Africans too much. The chair needs to put his foot down. Postponement not medical related then show up. "@Wendy Greeff lol Oh really want to do with it That is that a delaying tactic "exactly mmmmmm the guilty always try run away. Who wants postponement here? 
31:19,33:13, we want blood. I have now lost all patience with this rambling idiot rotten from the top Zondo is upset with the judge. i smell a rat Send the judge an Uber - now. """ DCJ MUST SUMMON HIS COLLEAGUE They have not acted diligently! is it treasonous to say that the ANC is the worst political party that ZA has had in the past 400 years. if not then I say it. 
33:47,36:36, kuyadlalwa lies of high note Lies has become a hobby for thieves nowadays. hahahahahah lies this guys is lying in the eyes of zondo why not just say the dog ate her notes. zondo take not this lies wow wow wow NWO is alive and well. Hehehe they taking the Commission for a ride...her car got a tire puncture 
36:37,39:20, who is the SHE being refered to here please help? Uber xse. "honestly now Judge Makubela All these witnesses are either sick or have punctures.....UNBELIEVABLE !!!! Who's this person referred as 'she'? A female JUDGE> Zondo must precisely deal with this inappropriate conduct and punish them accordingly...amanga wodwa lawa a corrupt Judge. will get interesting. 
39:22,43:25, Who's that judge? "who is ""her""" She cant give evidence because she had a wheel puncture and is traumatized?!!!! Please.... these excuses are ridiculous. Makubela. all lies """ IF SHE DOES NOT COME HERE He’s given her no option but to come. "If she doesn’t 😂 😂 hectic 
43:56,55:57, Hope she is ready to be grilled without mercy for her failure to be present. Is it teatime as only logged on now Bev. The Judge is scared of Zondo and does not want to come to the Commision. Scared to death for sure Is it tea time. yes tea time "Bev They'll be back in a minute "Makubela will be summoned to appear monday 
56:14,1:02:18, Zondo ordered her counsel to contact her. Scroll back in tape later to see how lame it is "she will attend today "The only people that need to be scared of the Inquisition are heretics. You aren't a heretic Judge ​Makubela? what is she thinking with that lame reason that she cant be there as long as you don't expect anything to be done on time. A calendar or hourglass maybe but not a watch Just switched on. Are they on break? How dare she disrespect the Commission by being absent with such a lame excuse I wonder if somebody threatened her not to appear? Why wouldn't she contact the commission? Can't understand a judge behaving like this. 
1:03:04,1:08:07, Wasn’t it a 15 minute break kanti ? It was.... "aybo asinaxesha bakwethu her phone is switched off because she's getting a brain scan maybe... Supposed to be back at 10.55. Something going on. 😂 @Peet Venter "Shakoane waste of tax payers money. This Will go on for ever with no prisoners. like everything else with the looting gangsters Hello..its not about you answering not excuses after excuses 
1:08:32,1:11:48, I'm gatvol with these people! we are taken for fools here LIES LIES LIES Ridiculous she is scared of something I didn't ask 🙃 makes sense at all. i didn't expect that from a judge A so called freedom fighter is soo fragile to appear from a mere tyre bursting. WHAT A LOT OF RUBBISH. this Shakoane character??? 
1:12:01,1:14:16, she is guilty and she took part in corruption apparently her brain is connected to the tire "Shakoane SC is at pains to defend the indefensible hogwash hogwash hogwash Is senior counsel a relative of hers? Why is he so tentative? What kind of lawyer doesn't ask such important questions? @Siyanda Ntloko it does not make any sense this commission needs to bark and bite More than 5 months she has known! 
1:14:55,1:21:04, The witness {A Judge} has such scant regard for the commission. The accident is a cover up and a layman's manipulation of processes. LAME. This is the biggest joke .... welcome to ANC rule of law the judge is riding the commission Another sad day in our country "@xolani. Nothing is going to come out of this commission. Waste of tax payers money like the rest of the anc theft . Till today not much progress """ JOHN PUBLIC COULD HAVE BEEN DRAGGED KICKING & SCREAMING 2 APPEAR ""!!!" @ yoga . Halala Maybe she wished the Tyre bust had killed her...:virtualhug::virtualhug: Why can't McBride have her picked up and taken in for questioning? Is there a legal person here? 
1:21:56,1:25:03, I didn’t know you can buy minister by whiskey and chicken @ Sam i think the same too. Why does she think she is so important that she can show Judge Zondo a middle finger? High Court Judge !!!!! What is her first name @ William showing the middle finger is the norm I hate her and I don't even know her. SHE KNOWS HOW IMPORTANT IT IS AND SHE ALSO KNOWS HOW TO ACT. WHAT SHE KNOWS ALSO VERY WELL IS THAT NOTHING WILL HAPPEN TO HER.🤷🏾🤷🏾 She has a nerve.....!!!!! 
1:25:11,1:27:22, What a disgraceful act. Now DCJ is mad. Can this dcj not issue a warrant summons She must get a 4 ball "William - me too """ 2 SECURE HER ATTENDANCE This guy is very relaxed. I would have list it by now "She must come we still waiting for Zuma's day in court. lol 
1:27:31,1:29:26, Who captured the country and who sold it Outrage would be better The commission should and must operate on summons henceforth. The rules permit and the circumstance around that also necessitates such. ANC sold it to China "@ William yes would like to see that day. I don’t remember “Why did she accept appointment to chair PRASA when she had already been appointed as a judge?” it might still happen Siyanda. 😂😂😂😂 This guy must get his backside kicked 
1:29:30,1:31:21, she knows that this commission is a spaza Shop "some lawyers are useless  Excuses excuses excuses blah blah blah When the commission has totally collapsed? @William Pieters And this is senior counsel incompetent She is on drugs Shame no one be blamed the lawyer reminds me of a prophet in some funny church. 
1:32:10,1:33:36, "Lol @William Pieters  Prophet in training I don’t know what are watching here any of them with Prophits. @ shumba listening to two waffling What did Plato say? 🤣🤣🤣 what? bla bla bla blacome on....going nowhere slowly.... Can the network be disrupted please 
1:34:02,1:36:18, a whole judge! she had an accident yesterday and crashed the car and is stressed today and can't make it. this commission is degenerating into a tragic farce High court Judge Zondo just making sure this all goes on record. William - ALLEGEDLY Is this man really senior council or a flipping law student?!!!🤔 "she never intended to come to the commission  weak and lame and feeble 
1:36:32,1:38:46, lol Person there is a lot of in-activity to this character This Senior Council got his training on a puppet show. Shame my brother he is not a live wire lawyer at all """ SAW A TERRIBLE ACCIDENT & NOW SEVERELY TRAUMATIZED ""!!!" we all need to go back to Botes testimony and do our homework for Monday where is Hoffmeyer?? 😂😂😂😂 
1:38:51,1:41:29, "That much is accepted @William Pieters  useless unprepared lawyers here @Duduzekile please go get her quickly Mr Softvoice is very low energy. I don't think he likes his client. Zondo not accepting this bs Come on judge its almost 2hrs @ Njabulo i think I should check the google maps for her address 😂😂 how much has it cost the country so far for this BS? it getting to be life esidimeni 
1:41:49,1:44:37, Google map her adress. let her come tomorrow DCJ is not playing games "Yay! Action 😂😂😂 yebo tomorrow😆 Tomorrow please YOU ATE YOU ATE TELL THE TRUTH AND BE FREE LIKE A BIRD let her come tomorrow 😅😅 
