author,message
bongile sango,@Nkosinathi Ngidi it's Aggrizzi who is in the hot seat Takie Moses he is back to finish them off Elliott what if he's got nothing to say about Ramaphosa? we ready for the show Aggrizzi must come and show us flames what's the hold up now? Slindile I'm going to check ANN7 now I can see by the looks of Deputy Chief Justice he don't like what they telling him now. we only start now but already we about to adgen Dudu Myeni is soo disrespectful of the law but let's hope they not going to come back and telling us that they are continuing tomorrow. who is Haka Motorosi now? Derek long time they are criminals Police and they know nothing is going to happen to them.Look now they using a police tow truck for their personal gain.Making lot of money.
Slavic Peter,Welcome back Agrizzzi Spill more beans Aggrizzzi >>>>>>>>>>>>> Where is the feed ?
Takie Moses,wecome back our resourceful agrizzi this time finish them off sango lol leave them 30 sec guys let the game begun what the delay still tryng to bribe our agrizzi that one cant be bought jones send him a msg we cant be waiting forever lol after today we want to see who's death will be staged I had to reschedule my appointment with my lawyer can't mis agrizzi phela watching this guy its like watching wolves vs man city live
Johnny Williams,VUVUZELA is going to be blown Uncle Gaving is in Dubai
Eliot Chauke,i will take Agrizzi serious when he expose Ramaphosa... wassup??? @Ndlovu nice1 Leave Dudu Myeni alone
Jabulile Mazwane,Grizza lamagrizza will start at 10:15am never
Kenneth Jones,Takie Chief I'm trying to call Zondo but he's not picking what is the delay mara?
Lorraine Naidoo,mornin6 resumed till tomorrow Gavin Watson is alive this guy got crutches that's why so late no sound
SM,"Agrizzi is eating his breakfast He is in Seychelles with Hansie here we gooooo
SNENHLANHLA VILAKAZI,morning alles
SAM STORIES,Agrizzi is back "Agrizzi reminds of the song Papa by Sankomota ""You're waiting for your name to be called. Your body's shaking with disbelief"""
Sticknbkid,so far Agrizzi is the one who has given evidence with visuals and cannot be denied "mic check 1 2 1 2 "@SM Stories
Slindile Ngcobo,ANN7 has it live now.... adjourn
skeetpetegibbs,Agrizzi and Zondo eating a pig and 400 eggs for breakfast.
Jedidiah Rantho,Newzroom Afrika not ANN7
Paul Buchel,@Slindile Ngcobo​😎😂😂 "@Derek Main​ "This is ridiculous now "@Derek Main​ "Correct "@Mbuso Ndlovu​
Nkosinathi ngidi,thanks Jonny yebo what does this mean?
Derek Main,Morning all @Eliot Chauke You sound worried. @Paul Buchel Well hopefully we don't cross swords. 😁 "@Concerned South African Dudu Myeni has always shown the law the middle finger. If you or I had done the same "@Concerned South African Since the law is no longer serving us @Paul Buchel That's what I'm talking about - we're on our own and need to deal with our own issues. Our government is unable or simply doesn't care to administer justice fairly or competently. @Paul Buchel Criminals are running amok in the vacuum. @Person of interest ...and making sure it's bolted down. @Paul Buchel The cops ARE the criminals. @bongile sango Yes - the cops now are as bad as they were during apartheid. It's difficult for law-abiding citizens to know who to fear more - the criminals or the cops. They should fetch Dudu Myeni from her house and drive her up to her court case in the back of a police van. @Eliot Chauke Eish! You love all the criminals. You must be ANC.
Celuthando Celuthando,morning guys what happening it not started yet? welcome back agrizzi🙋 👂 wt...🤦 nazoke🕺 this man is very slow and taking so much time no more time out anymore understood 😕 😂😂😂@tikvah olam ...loud and clear#tikvah olma
Lorna Kavanagh,Myeni says she has no money to appear in court. No money for hotel or travel What happened to all the money looted from SAA Shem poor Dudu The reason for late start was the lawyers were meeting in chambers with Zondo.
Smart Guys,why the delay
Mandla58,Morning Have they started ? dEPUTY CHIEF JUSTICE ZONDO Back where guys
Mike Moja,Have'nt they started?
Pheladi Lamola,Myeni is arrogant. Always has been. Remember how she treated parliamentary committee when they called her to account? Who's your source Tikvah 👍
wendy hardy,late as per usual
Vic SetheMasewawatla,"Can we raise transport money for Dudu Myeni pls She's unemplyed and she's not working #Habashwe! aagh "@bongile sango They can adjen @Concerned South African maybe all hearings shud be at her house "Dudu Myeni ke bosso
Samuel Mann,WTH!?? it just started
Yolo More,"Why SABC
Bas Mdaka,@Paul Buchel useless
Kevin Simon,Pheladi Lamola ​Myeni is arrogant. Always has been. Remember how she treated parliamentary committee when they called her to account? Dudu NEVER appeared at any of those Parliamnetary sessions!!!!!!
Isaac Muchavi,"avuxeni vanghana. pls help me 2 understand ds
ben maruping,when is Makhulu 'Zuma' comin back.
Lerato Sebeela,our justice system _bad judgement always late and now we waiting for the SA time im going to make my coffee
Brian Robins,....10am new SA time = whenever ...!!!
Tash,in the mean time we can listen to Haka Matorokisi
