author,message
Diane Louw,Ms Daniels should have legal presentation at this enquiry. @Heather Durr the only thing that i can assume is that they know she did not write those reports/memos and they are trying to find out who did and hopes she reveal it oops know must be now... Brian M name seems to pop up alot this morning.... hmmmm yip wb this was very very rushed this desicion prepayment in cash nogal welcome here ahhh there it comes who made changes hello all late arrivals yes @Andre Gerber @les gp she did minutes ago hi @Edward Baloyi well thank you and yourself @Edward Baloyi yes @les gp thats why they are trying to find out who actually wrote those letters she just fowarded it... true @les gp i agree with you... @Naledi Barron you ....in offering drinks lol @Naledi Barron @Margareth Waterboer hence all the questions about who made the changes... @Heather Durr we learn daily of these changes - mind boggling.... and why was she then sent to a meeting to take minutes if she is a company secretary - thats then beneath her..... imho all i hear is she convenes meetings and forwards emails to all - what legal work did she do.... there we go pre purchase that next day was changed to a guarantee - did i hear right how can Mr Singh just change what the board agreed too...... yes DCJ yes theres that smile...... bingo Adv Seleka @Lionel Smith that is what Adv Seleka was trying to find out when asking who made the changes etc.... Well done!! yes @ Heather Durr she looks like she wants to cry cause it all sinking in now..... wee break plse DCJ4 100 agree % so she has dealth with him before as she knows his personal email address - digging her whole bigger thanks @Heather Durr DCJ you reading my mind define close DCJ has joined the dots.... Did she bring all this to the Ministers attention?? yes @gugulethu dube lol @Heather Durr yes implicate more people..... well well welll look at her..... gosh woman what are you doing adv c had a haircut Mr Holden is the witness "he is our ""figures/money trancer"" guy" @Naledi Barron he is talking about Mr Holden updating file @Minnib Prince you welcome globe trotting.... yes yes @Nemabubuni Geoffrey pleasure its not useless @hwb017 have to pay so does that mean we still owe them?
Heather Durr,@Diane Louw Not sure what they are getting at-that is standard wording for a minute/submission. Very often not 100% accurate esp in non essential matters wonder if there have been complaints re Koko and that she is not being handled strongly enought @Naledi Barron 3 December Evening session Mentioned under Koko @Diane Louw Lets see-apart from the heading thee is absolutely nothing wrong with that resolution *there Looking for draft resolutions/submissions Oh a round robin-can take several days to get to each one @Sal SA Happens all the time in corporates save for meetings which require all to be present per Company's Act They can sound a round robin in counterparts i.e. everyone signs one copy and they are then all added together and treated as one document There is a recordal in the resolution itself Cant find a permanent job for a number of reasons so working from home @Sal SA 😂😂😂 @Jacqui Baumgardt Are you on Twitter They need to test her version against what Koko said. That is only fair to him. He is back on Friday. They will then put her answers to him @Jacqui Baumgardt I am on Linked In but I cant even get an interview-its soul destroying @Angelo Doubel keeps minute book vets and prepares legal contracts depending on her level Apologies I cant shut up-the round robin is never signed in a particular order especially when signed in counterparts. Some directors want the most senior person to sign first @les gp Cosec has NO powers to hire-she is not an executive. She is a senior member of staff @les @Diane Louw I am stunned by all these obligations and powers Cosec has @Angelo Doubel A claim for damages depends on many more things than resolutions-it depends on fraud or negligence @Naledi Barron @Cooler Cat Yes they can be as they are two separate functions @Sal SA Exactly-you have a Group/Senior Legal Adviser and Cosec only sits in board meetings to take minutes and not give advice @Angelo Doubel He has overstated the role of Cosec to that of a Board Member @Angelo Doubel I explained it above @Sal SA 100% must she now advise on the law relating to everything and every Act that we have @Angelo Doubel No unless they prove fraud or gross negligence on her part and even then the Board is the responsible party as they sign off on it @Brightwell Kunene @Sal SA Has she agreed-maybe she does reminders and files them-he did not say she drafts them @Brightwell Kunene Did he say she drafts the contracts @Brightwell Kunene I did watch it and I know what he said and she is not implicated @Naledi Barron Yes Seleka has a point he is working towards When Koko comes on Friday Seleka will say. 'Now this is what Miss Daniels said..............What do you say? So approved before agreement signed @Sal SA Correct a rubber stamp Was there a resolution for the conversion of the cash to a guarantee PFMA infringement-shareholder approvement needed *approval @Diane Louw So that was the point To nab Koko and Co COMFORT BREAK DCJ Koko must start preparing for Friday now I am not sure that my client is completely innocent🤔 Oooooooooo Evening Session-when do we see Kate and Myburgh with the ears again @Naledi Barron Did you see that Webinar on 405 last night-30% THIRTY PERCENT of our GDP was looted @Sal SA She outsourced it to Law Firms @Diane Louw Drafting is an acquired skill and only certain lawyers will draft commercial agreements-often outsourced esp if high value and risky. CoSec does not draft Comp Commission takes 3 months and need PFMA Approval. Notarial Bond 3 months to register It is a standard form used throughout the industry-she has overseen many of these-I did at least 10 based on a one line instruction "She Knew DCJ Can I have 30 seconds with my client please-it wont take long I object Chair-Tell my client to stop lying "You saw Koko the arrogant Friday with Koko will be such fun @les gp Not at all consistent with what you said about all the responsibilities of a Cosec Is this Transnet I am waiting patiently to hear the name of the person in South Africa who fixed the Locomotive Contract I need to read that Rogue Unit Judgement. Did it find there was no rogue unit and that any unit was lawful Oh these are the subject of the urgent application tomorrow as the Guptas want to take the kickbacks out on the basis that it is money owed to them @Naledi Barron We have trade and industry deals with them and they supply PPE to us I was just telling @naledi what contracts we have in place When will we find out who was responsible at Transnet for these contracts-Patience is not my forte "@Louis C I do metal goth Evanescence House Music Grunge Kurt Cobain and Heavy Metal i.e Linkin Park "@Lorna Kavanagh Yes @Louis C oh dear-what did you think-I do like Abba "@Louis C 😂😂😂 1976 Mama Mia Yes all of the above @Naledi Barron and PJ altho I did not like her music @Naledi Barron Yes I do -many years ago @Naledi Barron I still love Journey and Steve Perry Live and 'Run to the water' and 'Lightning Crashes' @Naledi Barron I liked the Eagles-but Henley was my absolute Favorite Barry Manilow........................... @Naledi Barron I cant stand Jim Carrey and that type of humour-never saw the movie. The Matrix (I see version 4 is out now) had great music. I like dark movies like Silence of the Lambs @Louis C Eurythmics no..to Annie Lennox? "@Louis C All Cool Has he got nail varnish on @Louis C She is haunting @Louis C Like Amy Winehouse-what a talent @Naledi Barron @Louis C Very distinctive and powerful voice @Naledi Barron Will do. Everyone (I think) knows Amy's song 'My Immortal' . It was a huge hit here and Bring me to Life All that work-I hope they can use it "This is huge Just tell me who authorised the contracts Surely you keep this on a disc-to print out..............again Bollywood Actress LOOOOOOOOOOOOOOOOOOOOOOOL ^snorts with laughter if it weren't so ghastly SARB We want to hear this !!!!!!!!!! BOOM Excon infringement picked up BOOM BOOM There it is-money laundering HSBC-Did they just close their eyes I wonder if they are going to try and charge the Gupta's with International Money Laundering via FAFT I dont know if we are a party
Naledi Barron,"@Heather Durr I missed the ""kerfuffle"" with Koko. Can you recall what day it happened Thank you @Heather Durr !! x Hallooooo everyone. Still waiting .... 😀 True Dat @Sal SA ! Hi Hi my skattebol @ALTA Bwah haha! Rockin' Robin (Michael Jackson) Hi HI @Santa Kriel @Santa Kriel It was the name gifted to me by my S.A project friends. I wear it with pride! "@Richard Evans As is the case for many of us @Richard Evans Welcome to the chat 😀 "@Richard Evans You're most welcome! It's fun @Sal SA TY for doing the honours! Eish @eliasmnisi72 😀 @Santa Kriel This lockdown has some positive consequences - we can all let it hang out (hair-wise I mean!) @weaverbird b Enough already! She's a human being. @weaverbird b Thank you! We are all one here. @Roza E Halloo skat! "@weaverbird b It means that one will be blocked from the chat. It is in every individual's power to highlight a message @fuzile dazana !! There you are!! "@Heather Durr I feel for you my dear! It's crushing @Angelo Doubel xx @Khanyi Age.gracefully Lady K!! GTSY!! Greetings @Edward Baloyi @Temz @Diane Louw And greetings to @Canis Africanis and @Cruda Bex ! @Cruda Bex Thank you! Luvvies back for you! Oh sheez @Diane Louw My bad. G & T anyone? @Roza E No worries! Mango?Orange? Apple? @ALTA Coming up skat! "@Roza E Fresh for you @Cooler Cat Is that a given? Can a Company Secretary NOT also be a lawyer. @Heather Durr - your opinion please? Thank you @Heather Durr x "@Sal SA Exactly Well said @SanFran Arnold "@Cooler Cat A succinct difference. But I hear you @gugulethu dube Succinctly stated! "@nicholai Draai I hear you. but I reiterate WOLFY! Hello! "And @Zinhle Big Daddy Dee I see you @꧁༒Wolfy Cs༒꧂ Hello friend! @M4L TV - Free Downloads Daily Adv Seleka is building blocks in the foundation. Patience! @Jenny Whitewaves GTSY. A nd your point is noted! "@Be True. However @Santa Kriel Amen! "@Mpho Ndabambi I'll be here @Heather Durr Bingo! @Richard Evans Are you up to speed now? 🙂 @Khayelihle Xaba Agree. And respect must be given to those who don't have English as their mother tongue. @Richard Evans No worries! @ALTA @Louis C Room for one more? @Sanele Mthethwa Then we just block them. This public forum and chat is informative @ALTA en @Louis C I come bearing chocolate sauce. "@Louis C Seeing Ma later "@Lionel Smith I always thought that there was a line beyond which the donor's ""donation"" had to be declared?" Bazinga @Diane Louw and @Jenny Whitewaves !! "@Roza E This is a sad My head really hurts to hear these massive numbers plundered from our people! @Roza E Huggies!! Imagine how DCJ Zondo feels! "@Angelo Doubel If our Madiba was still here Shame on you ANC! Shame! Shame! Shame! @Pastor J.J Spot on! "@Mfundo I hear you @Mfundo Where is our Thabo Mbeki> Where are our genuine leaders? @Angelo Doubel I so hope so! And not lining his pockets.... Bring me my umshimi wama. Zuma and his cronies must Go! @eliasmnisi72 Going to view now now. @Pastor J.J There are some things that can be forgiven. But the theft of a oountry? NEVER! @Louis C LOL! The Final Countdown (Europa) @Mfundo Then let's send Thabo all our strength! Zuma must be defeated! @Sal SA Shaggy! @Ismail Petersen Stop perving! 😀 @Sal SA The damage they have done! It beggars belief! "@M4L TV - Free Downloads Daily . A valid point. So "@Ismail Petersen I thought I was being specific. You KNOW what you wrote. She responded to you DCJ Zondo ALWAYs hones inon the critical points! @ALTA You ok? @Diane Louw Indeed he has! I am so impressed be his intellect! "@Ismail Petersen I hear you "@Ismail Petersen And pardon my spelling @ALTA @Ismail Petersen Please make it up and be friends? @Louis C .. Indeed! With a glass of Frozen Orange Juice! @Pastor J.J Which is why this Public Commission is SO important!! "@Andre Gerber Please pardon spelling. Fingers are cold @ALTA and @Ismail Petersen Have you made up? Apols @Louis C What Brit? "Ah! Ok Euuuw! All the way to England! @Louis C and @ALTA Hmmm. Locomotive Breath (Jethro Tull) "All I can say is never @MIKE DURBAN You n me both! @Louis C Yup! That's the cover! "@Minnib Prince Yes! I refuse to purchase anything made in China. I always check @Louis C Right with yoiu there!! "@M4L TV - Free Downloads Daily Yes @Quinton van Eeden Agualung was it's own album. Songs from the Wood are from another album. Kudos to you for appreciating J Tull! @M4L TV - Free Downloads Daily Correct! Been a size 6 for yonks!! @MIKE DURBAN You got it!! @Quinton van Eeden I thing being stoned was a prerequisite!! LOL! *think @Heather Durr I have my own PPE. NOT from China! @Nemabubuni Geoffrey I hear you. But who are the wealthy now??? "@Nemabubuni Geoffrey Perhaps in the past - Oppenheimers. Rembrandt... but now @Louis C @Heather Durr You really got me going 9The Kinks) @MIKE DURBAN Which one? Rod Stewart? Or Christopher Cross? @Heather Durr LOL! Remember that debacle! @MIKE DURBAN Still Foreigner? @Minnib Prince True! And let's not forget the children!! @MIKE DURBAN You're becoming a legend! LOL! @Louis C I think your question was more about Who the F*** is Alice? "@Fredy Pummer It's sunk in @Heather Durr PJ Powers? "And Oh yes! @MIKE DURBAN and @Louis C ! @MIKE DURBAN Amen bro! Also loving Neil Hannon. @Heather Durr Remember Taxi Man? @Heather Durr eVoid "@Heather Durr Yes @Louis C Yes! I do!! "@styx ndlovo To all @Heather Durr We're on the same page! "@Louis C. Crossroads @Heather Durr Take it to the Limite (The Eagles) "Isn't it awesome that so many song titles and lyrics epitomise this drama now playing out in the public forum (dor which I am very grateful - this is a kind of catharsis @Heather Durr Don Henley was awesome!! @Quinton van Eeden S'okay. Your rep remains intact! He's solid. @Heather Durr The Mask - remember the soundtrack? @MIKE DURBAN We;ve gotta keep 'em separated..: (Outcast) Nice one @MIKE DURBAN Made in Japan - Pink Floyd. Big in Japan - Alphaville. "@Heather Durr Agree! Hate Jim Carrey's stupid honour. I also like dark @Val Speirs You got that right ! @Richard Evans You rock! @Heather Durr Love her voice! @Heather Durr Listened to Passenger lately? @Minnib Prince With you there !!! Dear G*d! $187 million!!! @Heather Durr Please give Passenger a go. He was originally just a busker in London underground. Give his pioneerting sog a listen - Let Her Go. Pardon spelling all! @Louis C Yup. Small chunks. x @Heather Durr Know them both! Used to play them at full belt on my drive to Carletonville mines! @Gugulethu Xhosans Yup. HJong ong Singapore Banking Company... OOps! Hong Kong Singapore Banking Company. @Gugulethu Xhosans xx "@Lynn Barnard I used to make that Sandton-Carletonville run every week (lovely B&B down the road!). On project "@Heather Durr and @Andre Gerber and @Lynn Barnard Just feels like deja vu for me. Same s**t "@Andre Gerber NEVER @Lynn Barnard xx "I still remember - on project for DWP and DSS - walking through Eastern Cape townships "In my lowest moments Ok @Louis C You can have the Turkish Delight. Just give me an umshimi wama!! Absolutely concur @Thabo Maake. "@MIKE DURBAN Ja @Minnib Prince Boom!! 😀 @Nick LOL!! Any sympathy for the devils that looted our country? @Nic and @MIKE DURBAN You're both ricking! Argh! *rocking!! How the F*** did Sunnyside get this through???? @Heather Durr It seems theyb did just that! "OMW!! These amounts are making my head hurt "Oh @Anne M. I'm sooo angry
M4L TV - Free Downloads Daily,It's up to her to seek an attorney to try protect her from hanging herself with the rope offered by Zondo and Seleke. The perjury that she's committing here will lead to her being arrested for perjury The actress is busy rehearsing during this break - but she's still gonna forget her lines "Lies Let me use this break to eat umdoko wamabele Suzanne Daniels you are going down today Why is Newzroom Afrika not streaming this? @KayOw253 fireworks from Koko on FRIDAY Her agenda is to throw Koko under the heavily loaded truck "Stop the greetings the so-called patriotic whistle-blower will crack and crumble today and on Friday Koko will deliver the final blow to her fabrications She so much hopes to not be asked extremely difficult and self-implicating questions - and she's currently winning. @Ndivhuho Maxwell And Shamila Batohi will help save her skin - she will not go after her - the colour of her skin makes her deserve to not be further investigated There is a financial deal that went wrong between her and her fellow crooks - and now she's paying revenge by trying to come clean in the guise of a patriotic whistle-blower. Wolf in sheep's clothing. @Russia Magezi Yes he (Dali Mpofu) is a brand of celebrity lawyer with a soft and fluffy mind Where is Seleke going with this? He's just wasting time - just cut to the chase Mr Seleke - stop the chit-chat. Dali Mpofu very much knows the law - he must start a law school. He just can't use his knowledge of law to convince judges. "Can we force the court to open the sealed CR17 campaign's bank statements via the constitutional court and the ""promotion of access to information act""?" Romeo Khumalo also corrupt? @Lionel Smith there is party funding and idividual personal funding. CR17 funding is personal/individual funding ​@Lionel Smith Nkosazana Zuma ain't President - but I'm willing to subject her to same scrutiny as Ramaphosa "Talk from your memory - stop referring to your affidavit. She keeps referring to her affidavit so as to stay ""in-script"" for safety against self-implication." She ain't answering with such vibrancy and confidence no more - look at her worried face - and her sarcastic laughter @ZAG Consultants ADV Muzi Sikhakhane's report on rogue unit was not tested/challenged in court @ZAG Consultants When? @ZAG Consultants never lie - provide links to such story Pravin Gordan is special - he does not attend personally at the Inquiry - he is questioned via cameras and screens. Some people have to attend in person @Angelo Doubel a distant grudge against Jamnands Gordhan - the man run a rogue unit to spy on political opponents and also allow friends to perpetrate tax evasion Does Pravin have bodyguards? I want to talk to him using body language. @Angelo Doubel ​ @Ismail Petersen that old granny - sies. @Pastor J.J I'm always calm - for your information If Zuma or Ace goes down - Ramaphosa also goes down - they all participated together in everything. Just Ramaphosa is protected by his White Monopoly Capital masters and media propagandists. To prove how Eskom is addicted to corruption - they hired a tsotsi in their board - Zola Tsotsi. @Kerry van Schalkwyk exactly - he's a puppet who was trained from a young age by his colonizer handlers "@Kerry van Schalkwyk Rupert @MIKE DURBAN Colonizers stole our land and used us a free/cheap labour to build this country @Kerry van Schalkwyk please don't get me started caught in a web of lies @Kerry van Schalkwyk only if you and I were face-to-face I'd engage/indulge you further "Suzie Danielieee @Roza E Side chick Soon she'll start crying - fishing for sympathy. @ZAG Consultants I have clean hands - I use a sanitizaer every 60 seconds Closeness as lovers Scared her reputation has no fuel The script she rehearsed is out of memory now Only if Koko would apply to cross examine you tight as a small condom - they were lovers cheating on their spouses Pillow talk and dates Koko and Suzie If she had a brown skin all of y'all defending her would be villifying her. Skin colour politics. She made millions and has offshore accounts Sorry for my insulting utterances Koko will prove himself innocent on the eleventh She is so relieved but she will be watching Koko's testimony on the 11th and preparing another opening speech Don't join the Koko hunt - follow the evidence @Louis C That's my MILF Hlophe is being framed here - open your eyes and ears Hlophe was and is a man of integrity @Naledi Barron I won't excuse the pun @Angelo Doubel I need not indicate my satire and sarcasm @velaphi msimang are you related to Velaphi Mjongeni? @Ismail Petersen Satire and sarcasm @Angelo Doubel Satire and sarcasm need no explanation "Pink noise The state capture inquiry staff failed to capture certain documents - so we're kept waiting like in the morning. The real kingpins of state capture have white/pink/pale skins (no offence with the colours) - The relized early that Radical Eco-Transformation was a threat to their dominance. Nicking it in the bud. NDZ is not President - but she herself never refused to reveal her funders - she did not ask for statements to be sealed. Unlike Ramaphosa @Rahab Takalo A country that would expropriate land without compensation - Ramaphosa will always dodge the issue of land expropriation for his whole ten years of presidecy @Sal SA the PP did not receive a complaint pertinent to NDZ - only pertaining to CR17 by Maimane @Cooler Cat the PP did not receive a complaint pertinent to NDZ - only pertaining to CR17 by Maimane @Sal SA Someone should have alerted her on NDZ "@Naledi Barron Some clothes from China are labelled ""made in Lesotho"" "" made in Zimbabwe etc" @Naledi Barron So for years and years you haven' gained or lost weight to necessitate buying new clothes?
Sal SA,Restart scheduled for 14h10 "We waited 10 years for this @Heather I think round Robin is common in SOE's "@Alta my apologies didn't mean to ignore u @Heather Durr Ta @Richard Evans. That's Heather's client on the witness stand @Richard Evans. Welcome to the A-Team. Please share your valued input on proceedings @Naledi &2u2 @Richard Evans. Yes can get very interesting at times. So I'm a retired Bank Commercial / Operational Risk Manager @Weaverbird C. That's not nice. As a country we moving forward on such issues. @Roza hi ya @weaverbird has apologized. """Boss"" is a friendly term used between buddies." Koko will gogo to prison in 2021 @Bongani. Dreams do come true. Anyway he's been implicated by so many @Santa Kriel. Noted Verified by Gupta's I suppose Why was she meeting people if she was Company Secretary In my opinion a CS is not the legal advisor to the Board. Even if he/she is a qualified legal person @les gp. Legal opinion is not a CS duty as per the Companies Act @Les gp. yes only in implementing the law @Brightwell Kunene. Definitely not "@les gp. I definitely don't agree @Les gp. Companies Act clarifies the CS role @Les gp. yes Now we moving closer to understanding the CS role. @Les gp. Let's leave that for another day. Need to listen to this testimony now bro @Les gp. noted "So Pat Naidoo was a spin doctor for the Board This was a rubber stamp approval process Anoj Singh went beyond the mandate to issue a Performance Guarantee in favour of Tegeta n not Optimum in any case Gtee needed special Board approval too What were terms n conditions of the Performance Guarantee? "Cash n guarantee ultimately have same result "Sorry it did matter who it was issued in favour "Ngubane first Sorry Molefe Strange why Singh n Molefe are not in orange overalls Adjourned to 16h15 "@Pastor hope u well my brother. Totally agree Wee break until 16h15 (+/?) It wasn't me 🎼 So she assisted Execs with drafting documents. No problem with her @Heather Durr. For sure @Mfundo. Alias for Salim Essa for sure. @Louis as long as u don't sin again! @Louis C. I know Sorry but she had no back bone as a CS And she met Salim Essa at Melrose Arch. She is starting to appear implicit in these shenanigans @Kopana. No he's doing a fantastic job n previously She needs to spill the beans @Sharon. you on time for the late show. Talk Missy As CS she shoukd have stopped emails to outside parties @Sharon. Welcome my friend. "She may be a whistle blower "In 2016 it was too late DCJ she was working with Koko. She's tying herself in knots now. Concede Ms D "Was Ms D on the Gupta payroll CS failed in he duties. Koko was the king pin n go between with Salim Essa I suspect she made millions. Did she go to Dubai with Koko? Asv she was captured. Period @Louis C strong possibility Ms D will not sleep tonight (Lion King) @M4L. Please respect others on this chat and avoid blonde comments. Go easy bro "@Alta we have a responsibility to stop all forms of discrimination Follow the money! Adjourned for 5 minutes to get some document I think DCJ has enough evidence to make a finding n identity the king pins of state capture "The PP should have investigated funding made to all parties. By limiting her scope she was not treating all candidates fairly "@M4L exactly "@M4L - no that's her job. If she finds a problem with one person in a government department
Lizwi Sambudla,when is this starting????
ALTA,oops they late again @Sal SA hi @Naledi Barron hi hi @Naledi Barron 🤩🤩 @Aubrey De Bliquy refresh they're back on @Sal SA at last hello thought every 1 are ignoring me @Santa Kriel:virtualhug: @Jacqui Baumgardt hi @Naledi Barron vape ready 😁😁 @Richard Evans hi @Richard Evans im glad @Naledi Barron you see dtrolletjie🧐 @Edward Baloyi if you wish that i leave the chat for sure i will there's no 2ways about it @Sanfran Arnold im gatvol for being insulated elias thank you so much @Canis Africanis hi @Angelo Doubel hello @Roza E catch 😁😁😁 @Andre Gerber .... both🤔 Khanyi hello this corruption from a to z are actually so sad did these people not think about schools hospitals do they have a conscious.... how do they sleep at night😞 @Cruda Bex hi @Sanfran Arnold exactly @Naledi Barron a tripple pleeeeeeze @Naledi Barron 🤗 @Louis C ek soek ook so werk very nervous laugh maam Wolfy 🤗🤗 @Louis C ignoreer jy my 🤔🤔🤔🤔🤔🤔🤔🤔🤔 @Louis C nee ek en Wolfy like ons soetgoed😁😁 @Louis C wag vir my eks nou daar @Naledi Barron yip 😁😁😁😁 @Louis C naledi gaan saam maar sy sit op agterseat hoor😁😁😁😁 @Naledi Barron oh yessss @Naledi Barron that as well😁😁😁😁😁 @Sal SA thank you im blond and not dumb thank you for comeing up for our woman 👏👏👏👏👏👏👏 @Sal SA thank you again @Louis C mona lisa are smiling
Antoinette Meyer,Hallo my new found friends "3 yearz ago
Yonds Athini,Ohsh let me finish m pap nd spinach I'll be back now now Yhoooo Phendula umbuzoo Maybabooo😂😂 Kokota Koko kokota hay kokota Koko🕺💃🕺💃🕺💃😂😂😂 Wabanjwaaa mpunkanii😄😄😄 Yazirhintyela lo mama Iyazika le nqanawe ..inyembezi uzibambe ngenkophe😝😝 Uzawlila lo mama soon Yhooo akaxoki marn yerrrree Khulumaa😄😄 😂😂😂 Mr Seleka
Aubrey De Bliquy,10 minutes late. should have been 14h10? speak of the devil. They are going a few minutes already. We will have to watch the first 10 minutes on enca
