author,message
Vukosi Doug,🐄
Maxwell Sibiya,What time does it start? "When discussing Transet deals Why is it not 10am already? In Other countries 10am came and passed ynotlol1 Thanks. I noticed. at first I read what the SABC said it will start. but later got it that it starts at 10am Oh Yeah!! 😄 Advocate seems to be in a hurry and not patient. Or maybe I'm just having a slow Monday "It might be the 1 ear sound sad
ANWAR KAJEE,10 am as per sabc
Madelein R,😀😀😀 @Maxwell Sibiya - here you go! we are starting and on time SABC
Ayanda Manci,wish to know how long this will take
S Nompozolo,VOLUME Couldnt hear him guys please help Zuma is number 9 bcz?
Lindokuhle Mnisi,The sound is only on my LEFT ear. Please rectify Servants. @Granny Mokwena 😂😂😂 Abishaik Merra. @Granny Mokwena you are talking about Tanu's husband. Purab's best friend. Aliya's big brother and Pragya's ex-husband. Let's confuse the Mojave TV viewers. 😂😂😂 *MojaLove TV The sound is back on one ear. "Thank you for the Sound Ahhh come on! Which other channel is broadcasting this on Youtube?
Yolo More,"Yes Black book No9 😂😂😂😂 There are still people who say WENZENI UZUMA!! Are they for real?
Granny Mokwena,twist of fate😂 "@Lindokuhle Mnisi you forgot his other name @ Lindokuhle Mnisi he's actually Pragya's husband! Plus now they share a beautiful daughter Kiara😂😂Tanu is doomed. drop names Wena baba
sam Mokobane,Sound please SABC
gert mosokotso,sound please please lol lol
Ditiro Mawai,whats going on here? what more evidence is required now??? to me this is enough evidence to jail the implicated ppl
S'upu Kgaphola,"Ba bang ga ba patele TV-license
Maanda Manyatshe,Visas approved within a day
C Mek,Visa approval so quick 🙊
makhosi nobhatyi,This is going to expose Zuma We are starting to the Guptas whistle blowers now this month everything will be out I agree @Magda Seguin Zuma and Guptas were looking quick money to enrich themselves with tax payers money "@Zikhona Zondani money is in Dubai "They are fighting those who are against corruption like Gordhan Nothing "@Zikhona Zondani exactly that is my problem I think we should support those who stand to defend the country from corruption "No one should steal from us I love wat is been revealed here I am waiting those guys who run away for 2 years to hide after they expose them "@ Keith S. Dinabantu 😃😃😃 we must protect the sitting president @Magda Seguin I think Zuma courts everyone in surprise coz they didn’t expect this to happen but were given him to much space to do whatever he wants so were too scared "@Keith S.Dinabantu he read everything old man knows that going there is like supporting Ramaphosa "They are attacking Gordhan because the man is a machinery to fight corruption and state corruption Manyi buy new Age "@Andries kgwax Gordhan he spoke out when there was allegations level by NPA This state capture mustn’t divide us instead unite us to fight any action of corruption and state capture no more that we allow to happen "I was shocked and seeing as embarrassing report PP findings @Andries kgwax watch the space "We voted ANC not to defend but expose corruption and those whom done wrong bring money back and sentenced because they belonged in prison "@Derek main I said to you b4 elections we are not voting for individual Here we are talking about the cancer which is eating our country which is corruption whoever does that we should rebuke them and must go to jail "All Money was channeled to Guptas companies  Share holder Zuma
Rushay Booysen,Gigaba All Zuma's Pawns at play @Gerry Roman Duduzane and Jacob they learned to work in tandem like other African leaders where their kids was doing the work in the background The father of Radical Economical Thievery sold this country out. The hangman in the olden days would be waiting at the gallows for the traitor. @0Sweetgal0 no this is not days of our lives "The Guptas Human trafficking Duduzane
