author,message
Diane Louw,waiting.... she just chips in does not signal she wants to talk ...... thats illegal is it not  "he keeps referring to ""her"" when he talks who love to know who he is referring too" im beyond frustration with this.... Chair is confusing the whole matter..... Seleka is trying to stop Chair but he is not listening lol @Alta we at the stage where the DCJ is confusing... spot on kevin1
Ishaad Mohammed,DCJ is always on about time but yet they are always late. just saying
Lalitha C,Shush heksie 🙄 Heksie must put fingers on the lips and sit quietly Anoj Singh is a slimy snake 🐍🐍🐍🐍 yooooh this woman is loud and irritating 🙉 @Lerato 😂😂😂😂😂 Is there another witness after Anoj tonight?? Guys watch Anoj's nose and upper lip grows bigger with every lie This lady's voice yooooooh🙉
Howard #,this is one rough lady this is a slime ball S is for skelem stinky sly singh how come singh doesn't get covid ? the judge is a sharp man  the goat is the house  lying is in this singh`s blood 
S V 1,Liewe Heksie need'nt shout .. DCJ must tell her to tone down a bit !! @Celeste haha yes she could be hard of hearing if you look at the state of her ! I'ts time Chair let's Seleka do his job jirrie he's allowing Singh to run the commission ! "bottom line is all of these agreements  123 go @ALTA there you go easy as pie I appreciate Zondo's proffessionalism and knowledge BUT a nasty judge that takes no crap and hates corruption is what we needed !! @ALTA Arlo Guthrie Alice's restaurant @Louis C fog on the Tyne is mine all mine this crook has wasted a day .. but he's made it crystal clear why SA is in this mess !! this is what happens when you talk too much and try to be too cleaver !! If he had stayed with yes or no he would have been better off ! chair is now supporting Singh .. hoe nou ?? @Louis C learned friend is actually pathetic ...lyk my meeste van hulle het baie min geleer en hulle is niemand se vriend nie ! @Louis C ons het n hardegat judge nodig gehad vir hierdie kommissie wat korrupsie haat ! Dan sou dit nou al alles oor gewees het ! "@Louis C ek stem Zondo probeer om te veel legal arguments te explore .. ""it may well be"" kom te veel op en die gelag is onvanpas miljoene mense suffer as gevolg van hierdie diewe !" "@Louis C hierdie raak nou vervelig het jy geweet die Iere het in 1866 Canada binne geval ( en die beste deel is hulle rede ) ""we had nothing else to do at the time"" goeie styl !" imagine liewe heksie (terrible image) in a bikini catching a tan next to the pool .. jirrie sorry if that keeps you awake tonight:elbowcough: @Louis C ek ook my beste vriend hier in die verre is n Ier en hy besit n kroeg .. hy was deel van daai tyd en ek love sy stories ! @R Bauer haha yes the last thing anyone would want is a spell put on you by heksie .. could be lethal jirrie heksie is grasping at straws now or maybe her witches brew is ready at the haunted castle playing tired games now ...liewe heksies strategy ! @bruinman goeie naand ek is agter wat julle doen al die pad .. maar realisties die anc sal dit nooit laat gebeur nie .. dit sal hulle ontbloot ! @ bruinman ek bid jy's reg vriend jy het my ondersteuning
Thabo Ntsoko,"here we go again can't find the juc judicial committee
Lerato Moleke,This is one is too confident just jumps in as if its her family meeting at her house Am in-between meetings that I can’t dodge😭 but it looks like I’m not missing much  Thanks @Roza E - just missing chats cause I have to turn video on🤨 Yuuu are we still on pages nangoku Ei @Moonchild - DCJ is like that rich educated uncle that runs family meetings and no decision gets taken if he’s not there  "So Anoj is competing with Suzanne for the ""most appearances"" title?" @Walter Moloto do they (NPA) have the budget. Remember they said no budget for Steinhoff hence the company offered R30M or something along that amount "@Waheeda Khan "Oh ok then Shamila can't spin us a budget story "Mhh @Akhonamandla Gala & @Lalitha C andithi the other gender enjoy such compliments make them feel in charge @Lalitha C no info on their Twitter page re: another witness tonight Ai even SABC data is feeling this energy  So how did this play out in these guys heads. Did they think they won't have to account and live merrily ever after "hozwit @Code Zulu stay safe @dude cool  @Kevin Davis shuu that story is hectic. No parent should bury their child *bury their child who died from suicide - it's too painful "@Sanjay Maharaj @Walter Moloto mara Seleka is always smiling - I dont know how he does that esp. on bad days "Oops @Walter Moloto sorry *a long "DCJ your house "@Akhonamandla Gala 🤣😂 and when he went to the vaults @Akhonamandla Gala u@Valencia J is like this at sunset 🤣😂 @Divlinked i know right and they are still expected to wear work shoes not even GreenCross-nyana @Pastor J.J 😆🤣 "Ai it's cramps thank you @Pastor J.J - right back at you ai akuna too tired la DCJ - 30 mins it is now he's chowing into the 30mins with non existent light stories i heard that too @R Bauer  🤣😅 @HeatherDurr what did you say/write. Koko & Mbalula are the Twitter Kings of blocking people ei that dandruff  "what does ""Para"" mean @Zinhle Big Daddy Dee. There's 1.4M people watching live" Evening @Antoinette Meyer  "tomorrow @Antoinette Meyer - am crossing fingers & toes Are you back @Kevin Davis  "@Zinhle Big Daddy Dee thank you @Kevin Davis  @Kevin Davis old enough to have a teenage son in grade 10 @Zinhle Big Daddy Dee I haven't thought that far Yup @Kevin Davis in September he'll be 16 Hee banna @Zinhle Big Daddy Dee  @Kevin Davis I'll see you in 2022 in melrose arch when i go back to working from the office "yeah @Zinhle Big Daddy Dee I'm astonished by you saying ""you'll take my reply as a yes""" "@Zinhle Big Daddy Dee Melrose Arch has been cleansed of those people "I'm not wealth *wealthy "He banna @Zinhle Big Daddy Dee i dont hook people up with jobs but if you are in Joburg you can make a turn - only in 2022 *in a rush Stay safe everyone. I'm over Anoj for today "aaah @HeatherDurr that's so sweet cheers @Akhonamandla Gala shlobo sam
Cerebis,Big increase in house robberies in Johannesburg – these are the areas being hit "As an ex Director myself DCJ is laughing at his stupid attempt to exclude himself from any blame. Slim vang altyd sy baas....hehe A little haircut on top and an orange overall and this guy will be ready to go.
Danile Ngubenyathi,flip flip flop laaaaag 😂😂😂😂😂😂 pout while speaking hamba Anoj Singh what was the question 🤔 where's Adv Seleka @Woodman I even forgot that is an EL something is not right to this lawyer of Mr Singh.
Quinton van Eeden,"Anoj: ""I once thought that I had made a mistake he wasted several years before coming to the commission - screw him
Celeste Breytenbach,@Lalitha C heksie 😂😂🤣🤣🤣😂😂😂 @S V 1 agree the shouting is ridiculous unless she is deaf herself ...
TheQueen V,@Danile its Au Naturale @Eleanor what is it about? @Eleanor oh his being his normal bly self. Why they put him in positions like that is beyond me @Vines? my profile? @Vines not sure @Eleanor did he say that? "@Eleanor oh let him score his political points yes seleka niggie hou van praat @Kevin1 luckily its just your opinion and not really based on facts @Sanjay go read again before you ask me crap @dude stop using the N word 😂😂😂😂 @Heather let him go open a case against me 🙄🙄 "@Sanjay is jy lekke? Please i know youve been attacking me since you came on here 2 days ago @Teunis dankie me eie wow in a corner now anoj niggie gan nou weer intercept @SanFran exactly. voorbarig. Waars Kevin1 nou wat gese het hy wen vandag @dude sy lyk hoekal soos casper @Kevin1 agree sighn is dancing now @dude jy moet glad nie slaap nie. Casper lyk evil😈 the perplexed look on his face😂😂😂 @Kevin1 i am waiting in anticipation 😂😂😂😂. @Teunis 😂😂😂😂😂 sabotage @Gala i hope it will be broadcasted live 😊 if dodgeball was a person cant believe you guys still have code zulu as a contact here Anoj you are ageing rapidly from all the lies @Sam 😂😂😂😂😜 @Junior a break for who? For the what 😂😂 hello madam alot of people work overtime i think heksie is tired they were already late this morning you should know @Gala 🤐🤐🤐🤐🤐🤐 @Zungu 🤐🤐🤐🤐🤐🤐 says the 2 minute noodle
Eleanor Woodman,"i am trying to find judicial commission live "@Valencia J 32 judges positionsto be filled @Valencia J Zondo sd have disbarred him @Valencia J I am saying so "@Valencia J thry all s scared of him. Bully of note @Sanjay Maharaj who is not certified? @Danile Ngubenyathi can't see Seleka "@Sanjay Maharaj McKinsey occupied an entire floor for green bank "@Sanjay Maharaj and just before Mckinsey scandal broke green bank quickly employed on of them permanently "@Mangalani Mangalani they all ""helped"" the green bank "@Sanjay Maharaj @Mangalani Mangalani yes who is watching judge selection @Xoli Mvundla a lot of tennis going on @Sazi Zuma thank you!!!!!!!!!!!!so much "@Donald Mokwakwa I think he is a bit slow today it's toooooooo slow...arguing about pages Judge..............whatsup today??????? @Abongile Xhantini eish!!!!!!!!!!!!!!!!to much arguing about pages and files "@Kevin1 wide awake he is "Paul @Lorna Kavanagh far to aptient @Lorna Kavanagh patient I mean "@Abongile Xhantini yes "@Sanjay Maharaj Brilliant stealing Jesus last supper At last we sorted pages @Moonchild very arrogant @Moonchild Seleka will sort it out Judicial committee heating up with Julius now @Louise Roderick absolutely
