author,message
WareWolf,And then? why so much latency? eish
Diane Louw,should be either from WC or even Judge Mogoeng Mogoeng as new President of South Africa!!! 3 lol Barbara who do you nominate then hi heather hi martha got everyone awake i see lol hi pastor JJ lol Akhonamandla Ms Daniels wandering how the 3rd tea party went this morning hi Julie sound plse hi celeste no celeste there was not hi lerato /where is ms daniels zooming from hi stix hi sergio f oooo another avadavat earlier this morning. hi lynn i might be wrong Kevin but i thought due to covid we were one of the countries not allowed entry to USA .... 845 watching now hi aubrey hmmm hi shirley lol shirley said to myself earlier she is showing grey ... yes he just said it too in LA not me stix hi teunis is her back of the hair blonde??? hi andre she just realised she made a booboo hi melds shirley it looks 3 toned to me now lol hi precious any more loadshedding expect soon? sounds like she has sinusitis. bye bye melds wow they had a lot of cash sjoe hi naledi oh yes please Naledi make it a double' hi sal sa there is that smile..... ooo la la Naledi yes please Andre got 1 litre of Amarula for R149 at PnP Liquor shop FYI or blueberries Naledi yahoooo Andre i dont have the time..... hi Anne M ooo Andre have you tasted the new chocolate etc andre 1 or 2 eggs thanks andre hi Louis C bye Naledi thanks for my drink check kokos twitter account Heather hi tommygun BOOOM oh dear oh dear not could of you SHOULD OF she was the legal person weejy she in previous sessions said she was part of legal and drafted some papers etc ditto teunis Louis C she slipped up at the beginning with regards to guarantee and payment and then DCJ went on the questioning spree Hi Antoinette hi ANgelo
Heather Durr,"@Diane Louw Hi there @Stix Mtolo @Pastor J.J @Lerato Moleke  I think I heard she is in the UK due to COVID regs but before you jump on me I dont know DCJ it takes you more time doing this than the IT guys-will you adjourn after 30 minutes @Teunis van Ree Hi there  @Naledi Barron now I feel like some ice cold Gin Tanqueray and Tonic-and I dont drink. It is smouldering hot @Louis C Hey there-where you bin @Lerato Moleke Repaste that screen shot Oh spare me Ace-a televised apology to the RET ards whom you could not address @Louis C You WHAT ?????????????????????? 'flubberghasted' There were 5 emails as I recall but that may have been the Trillion lady The emails are there people-Koko will now meltdown again as this was a HUGE issue for him. That Trillion lady has them in her bundle Oh shut up DCJ -You make people wait yesterday for IT then have a platz and today yo wont shut the heck up and let Seleka do a more effective job than you Why is that Thug having a special AENCEE News conference 'Wake me up when September ends' "DCJ we have been thru this a gazillion times-if you with the GREATEST respect just stfu every so often it would be finished This woman has the patience of a Jesuit Priests wife NDZ is a vile reptile @Kgabi Nyao CRap she is in the USA @Kgabi Nyao She has been there 4 3 weeks-any more lies @Kgabi Nyao wants attention people Yes I know exactly where she is so what's your point This climate crisis and this heat and that useless ANC municipality at the Vaal creating poisoned water for people to drink "Hey Texas DCJ you are seriously making me the moer in now "Here we go :Lest We Forget: ""Star witness"" Daniels made claims back in Sept 2020 that she was offered R800 mill by Gupta associate Salim Essa to reinstate Eskom’s former acting CEO Matshela Koko." Koko is now fully engaged LOLO she has answered this at length before DCJ Asked and answered!! No No No  Asked and answered before NO No Not Does Companies Act not Law of Contract NO NO NO Asked and answered  "I as a lawyer with a BA LLB and 30 years experience accept her answer unequivocally. No magic required *Not What kind of legal advice-you mean she can draft mergers and acquisitions the way I do as well as make Forex applications @cliffy my point exactly-cant the execs read English She was Cosec NOT legal Cant disagree with you Koko You need approval from the Dept Mining and Comp Commission  Comp Commisssion Maybe Resolutive not Suspensive conditions Looks like Bongo is going to be hopping out free as Judge Hlophe says evidence does not add up Oh yes PRASA next week yum
WC,What did I miss ?  Ms D is cornered now ...
Ndumie Ndlovu,Andile Lungisa future President 🤪 Aaaaaceeee!!! Aaaaaaceee!!! Aaaacee!! "honestly speaking I'm disappointed in Zondo Awuuu Zondo refused the Guptas to testify via link from overseas but Daniels is allowed🤔🤐 @Akhonamandla Gala no tell me if he didn't deny Guptas the opportunity to testify? Guptas are at the centre of this commission but Mis Daniels is allowed to testify all the way from overseas 👿 @Tommygun yes they did ask to testify and Zondo refused because they were not in SA but look what is happening today @styx Ndlovo angazi ukhuluma ngani bhuti @Akhonamandla Gala no I'm not supporting the Guptas but I'm waking those who say Zondo is not bias @Arthur Mashingo no thank you.. your Ship is slowly sinking @Arthur Mashingo what's the difference then and now? @Lalitha C because miss Daniels is allowed to testify whilst overseas but the Guptas were denied that opportunity @stix Mtolo naaah I hate people who pretend to be Holly Holly and painting others as corrupt but they themselves are more evil than what they portray @Arthur Mashigo awwuuu she was here last month @melds melds I'm discussing the fact that she's in overseas that's evidence p @Akhonamandla Gala I don't hate him.. I just want consistency @Martha Sello both to testify via Zoom and cross-examine that snitch Jonas @akhonamandla gala facts like? that CODESA killed our true leader because they couldn't corrupt him like the rest... Chris Hani whilst we busy with state capture they are using our money preparing to live in MARS they've already landed there @martha Sello he did and today you calling it state capture @Anne M. the WMC was being slowly sidelined hence we have this now @Anne M. ABSA took that money given by De Klerk you seemed fine about it @Sal SA all of them must pay... what we are against is this selective justice "@Martha Sello we don't have a prblm with Ramaphosa white ppl fired live rounds in court burned the police cars and he did nothing about it.. you were all quiet bout it bt they attacked EFF for simply walking in Capetown Zuma didn't come to this commission and you say he must be arrested but he didn't storm the court with guns but I guess it white privilege "@Dee Bee selective justice is what we are against black Gogos @Dee Bee it is our black leaders are being Lynched here and humiliated they wasting time why we treat allegations as guilty verdict Angel with Horns🤔 miss Daniels where are your friends now @Martha Sello do you really think the current president had nothing to do with all these things that are happening BEE was meant to politely correct all evils @Aubrey @martha Sello I'm talking about court cases.. have you heard or saw Ramaphosa in this state capture or anyone from his corner @Aubrey De Bliquy Apertheid government gave white every opportunity that was there to give.. I'm not sure what on about and until today.. we are in this condition because of their mess they caused "three hours talking about one transaction okay let drop it now Zondo we wasting money end this and go resume your duties as Chief Justice @Russia Magezi I'm not sure I follow allegation:A Judge who decided PP vs PRAVEN received R270 000 from CR17 but I'm sure nobody cares Duduzile Zuma mentions the Judge by name on Tweeter @Russia Magezi I'm sure u are one of those uncle Toms @Angelo Double Im just a nobody trying to wake everybody.. but I knew you ppl not seeking the truth but an Agenda... I'm looking for real evidence.. it so happen that she has evidence Google "@styx Ndlovo kulungile believe what you want to believe but iqiniso linemienze emfishane @Akhonamndla Gala I wish I was but Cha ngikwami baba Google the judge w okay scream it okay but the brainwashing that's done to some of these uncle Toms makes me feel sorry for your grandchildren... voluntary modern slaves @Angelo Doubel are you guys disputing what I'm saying or you don't want the truth to come out UK/USA and the west this ppl are not looking for criminals they are pushing an Agenda now you attacking Judge Hlophe who committed no crime I'm sure you were aware of that R270000 bribe it just that your problem is that the judge is not black🇿🇦🤐🤔👿 @karel gulston I thought judges are a part of legal matters unless u thought I was talking about Idols judges stay safe be a brother to every black men out there.. let love one another.. peace👍 @lerato you welcome
Barbara Sattler,you must be joking which land?
Martha Sello,Minister Ronald Lamola for President hi Diane what is she doing overseas? ran away 😂 @Celeste I think he's the only one who is still honorable so far! @Lerato that exactly my point what is she doing overseas? "if I remember the Guptas wanted to question Mcebisi Jonas but didn't want to appear to give evidence how come butternut head didn’t fight for economy when he was the State President he wants to fight now? "its really mind boggling that the are people who think Zuma is innocent Molefe is coming back and Ramaphosa is coming to appear why the other one must be treated differently @Andre that's the reason NDZ was supposed to replace butternut head so that they can complete looting whatever is still left of this Country NDZ was to complete the mission! That's the reason Ramaphosa is not acceptable to Zuma supporters. @Ndumie how is he going after Zuma cos this commission was set up by Zuma himself and Madonsela? @Louis Advovo is going for the killer with the email trail even dcj was getting lost 😂 @Lerato but dcj is waisting time he got lost on the email trails @Lerato agree dcj is enjoying it those are serious allegations that needs to be reported to the police for the fact that you are scared to name the judge yourself on this platform that says a lot so UK/USA and West used the Guptas in Saxonwold to capture our state? @Heather what do you expect from Judge Hlophe? Shoo @Lerato it reminds me of one anc member who said they will defend butternut head ka dibono! @Lerato today she drive around with Aston Martin at the expense of the poor they claim to represent cheers Lerato
Pastor J.J,Ali Baba 4 President @Stix Mtolo Heita Bra @Heather Durr Greetings Dearest Heather @Lynn Barnard Greetings Dearest Lynn @Cruda Bex I have already broken the Guinness World Record doing just that Bra. Thanks to the ANC I am now a Record Holder. Greetings Cruda @Catherine Dillon Why not @Stix Mtolo Same Pic of a Pig at the trough. No difference @Teunis van Ree Greetings Prof @FieliesSA Suzanne Danielsa.k.a Cuz Suzie @Andre Gerber Greetings Bro @Lerato Moleke Does Cuz Suzie have a crash helmet on? @melds melds Greetings Dearest One @melds melds Its the same one
Akhonamandla Gala,"afternoon everybody @Diane Louw thanks "@Stix Mtolo mhlekazi wam @Stix Mtolo le uZondo ayimva tu uAdv Seleka ingathi ngumntu lo owake wamtyela before. Jonga ngoku ufuna umsokolisa nge page numbering @Ndumie Ndluvu so you are here to support the Guptas? lol #shocking @Lerato Moleke Greetings 🤗 "@Lerato Moleke 😂haibo Sisi khawusimele ngochuku @Stix Mtolo lol please sort Ndumie out for us 😂@Koko's snitch "@Ndumie Ndluvu come up with another reason why you hate Zondo "@Previous Nkopodi the main man "@Martha Sello you are correct we are also learning some Venda here in the chat room @Lerato Moleke awuva wena u@Stix Mtolo kudala ekunqanda 😂 the country will be broke at least for the next coming 15 years because of these guys @Stix Mtolo 😂😂uyandigqiba @Lerato Moleke unyanisile uStix uyayibaxa ngoku lol "@Goatee no my brother Lerato is already taken @Lerato Moleke uStix is a born again now usindisiwe waziyeka izono "lol @Kevin W I'm trying to concentrate as much as i can @Valentia J 😂are you Mrs Stix? "@Valentia J don't allow to be hidden 😂😂😂😂😂 @Valentia J 😂 @Stix Mtolo 😂😂eita da Advovo Seleka is pressing the right buttons now he must ask Zondo for extra time eish Zondo what is it now? @Ndumie Ndluvu go to the police with that information maybe they can assist maybe Ndumie is chilling nice with a case of carling black label 😂😂😂😂 @Ndumie Ndluvu were you in Bloemfontein today? @Ndumie Ndlovu cool ask for 2 hours Seleka first week of March ziyabuya
Julie Petersen,yes. Adv Seleka in Los Angeles dcj just said certificate of authentication signed in LA she is in Los Angeles people
