author,message
Ricardo Abrahams,M.. this guy has a hearing prob
zip reeper,"2015 was a very lean year financially "alta "alta "di Sa soap opera about probe into state capture yes but the top crooks like cyril are scarce alta yes pse they buy coal from foreign indians? hyt don maclean gepaint i saw a naked cowgirl she was floating cross the ceiling z z top put on your sailing shoes - little feat al wat jingle jangle in my sak is IOUs zuma and cyril would make harmonious cellmates peegee pretorous can be cyril's 5 ster fixer zondo thinks his mask is the black cap he must put on his head when he passes the death sentence R1bn later
ALTA,@zip reeper jou lunch enjoy😁 @Sal SA i greeted you but you did not greet back @zip reeper lekker lekker dis heerlik @zip reeper im making cottage pie now Kerry hi there internet very weak @Minnib Prince snap😁😁great minds Kerry yes hope you as well my dear friend @zip reeper want some cottage pie @Louis C presies dit moet smelt in mens se mond @zip reeper special for you😁 @Minnib Prince 😁😁 very rude adv lawyer are an angry man😁😁 i dont recall again snap @Heather Durr 650million what?????? arrogant lady now she recall 2nd hand coals Walter im flabbergasted forgotten??? @Louis C 😂😂 jy sien @Louis C @zip reeper Kingston town Lerato😂😂 recall yesssss Adv @Louis C don Williams lady becauce of you and the guptahs eskom are bankrupt @Louis C briljant money talks @zip reeper ek het gedink hys n skilder @zip reeper 😂😂😂😂 @Minnib Prince brilliant Antoinette hello Antoinette 😘 @zip reeper when @Louis C dancing shoes @Louis C silver coins that jingle jangle....dancing shoes @zip reeper 😂😂😂😂 for this docter this song ... jailhouse rock yes DCJ yes i trust no politician i vote for miss Madonsela DCJ EXCELLENT billions???? jy mag nie drink nie @Louis C 😁😁😁 tjips ja kreef nee @Louis C jenny exactly @Louis C ek volg nie reels nie this lady's got no respect for the adv 😂😂😂 i can't recall @Diane Louw 🤣🤣 @Louis C 😂😂😂 @Heather Durr i agree power electronics... @Louis C are our friend we stand together... who are you to point a finger 4 are back to you @Louis C we all stand together power electronics are you a troll @Pastor J.J for sure @Riaan DW hi enjoy your day you all see you tomorrow im hungry @Louis C ignore the goat @Diane Louw 😘 jenny 😘 Antoinette 😘 Minnib 😘 kerry😘 Riaan i will😁 @Heather Durr 😘 @Louis C altyd... jy ook
Sal SA,Chats not showing on my side Ok fine now "@ALTA. Sincere apologies sis There's definitely a buzz "@American Nomad News. Its when the government is controlled by external forces Definitely not like Trump n Twitter Nomad He's standing Nomad Red tie is the attorney Nomad "@Heather. yes "But they didn't own Optimum at that time Who is 'we'? She sounds hesitant Medium term mandate was a shuttle service to push business deals @Blake. Congrats on your acceptance. All the best in your legal career. @Diane. Correct you always take subject specialists to meetings n negotiations @Heather. I became suspicious yesterday when she protected Koko in one of her answers. I wondered why Koko is waiting in the wings And u didn't take legal with you Such large amounts n nothing presented in writing from the applicant supplier "@Diane Louw. No tender involved Strange "The pre payment was for a different deal with Optimum mine "So effectively Eskom became the Banker @Jenny. Exactly 💯 "As a retired Commercial Bank Manager This so- called Doctor is not fit to be in any position of responsibility Banks will not lend to an entity that is insolvent. This information is gleaned from their audited financial statements Private company / unlisted hares have little to no value shares @Heather Exactly 💯 Proper due diligence required "Who approved the pre payment "Offer letter Collected brown envelope over weekend Ms Daniels was seemingly Salim Essa's close contact Adv did very well today Get the Gupta's to pay for a lawyer DCJ do u really need the Doctor again? @Pastor JJ. Now for the academy award winner 🏆 Zolled So Koko is doing the night shift @Pastor. Yes n sometimes 'zonked out' @Diane Louw. What regulations affect Banks? Ok 👌 @Diane Louw. ATMs generally have sanitizers available but probably need to controlled by someone "@Herb Tuck. Dief ( Afrikaans) Yes 👍 Irritating tone This guy is now overstepping his rolr role "DCJ please ask this guy to sit Koko is innocent in the eyes of his soldiers n beneficiaries Chuck Berry is in the house "Chuck Berry sit down please Chuck Berry So.... and....but..... This fool must follow developments on the commissions website Yes that was stated before DCJ please stop the chit chat He's trying to justify his fee "DCJ please close this guy Irrelevant questions "Roof leaks "Koko hold on man Koko trying to shake Adv. Seleka @Thulani. Another 10 lost years if Koko becomes President Well done DCJ "@Kerry van Schalkwyk. Do the 1 Hail President Block Yes Guys let's focus on the hearing. Race issues are divisive and left for another forum where solutions can be found yes Shocked because exposed Koko But Koki had the relationship with suppliers. Daniels if I'm correct was legal n company secretary Orange overalls please "Prove it Koko Email address can be verified for sure. Wow this guy is sliding Adv Slow Poison has done it again. You go Sir Cool off break for Koko Super intelligent and thinks we super stupid "@Brian Butale. No he's shocked "Koko sold our country to the Gupta's for designer suits Adv Seleka braai master Supreme @Kerry yes and we have top guys in the SIU. "@Kerry. In the Bank I worked for 3 tears ago years "Private emails for business use is a No @Tommy thanks What about private emails "Irrelevant Koko Hahaha getting worked up. Slipped up almost said Salim Essa Relevance??? Bring him back DCJ. "He's now at Beir Bridge Beit Yes we believe Susan No go get your orange overall "History will get u behind bars Dreamer Eishkom power to Koko "@Banzi Ngubane. 1 "Yes do the 1 Koko loves this topic of dismissals The engineer is singing like a canary "Your strength is that u an engineer Oh Mr Matshela ' Victim's Koko @Bongani. you in zol bru on @Ismail Adv Seleka in not called Slow Poison for nothing "Company Secretary is a senior fiduciary position But Koko can't be trusted DCJ We judged you Koko. Finish n klaar @Mosa. Corruption is definitely not a race issue. "@Mosa if only you followed the evidence from the start Chuck Berry again
Diane Louw,i cant remember eisch thought ms daniels took minutes had homemade chicken soup - im a soupaholic even in this heat sounds like someone building where is mr koko legal team i think chair wants more info from dr nteta ditto minnib and kerry bye bye why was she rafting it  drafting grr sorry im lying down trying to type dit is omdat sy uitgevang is Louis c is there minutes of those meetings how can you have talk with another company who is not on record on the contract....... illegal dealings!!!! hi blake hi antoinette well done Blake Yogi why wasnt legal at those negotiations Dylan they do it very softly and minutes of all negotiations should be made - where are they???? me too Heather... me too they should look into all her dealings negotiations he is coming later tshilio why to tender committee if this contract was not gotten thru the tender process so why did it have to go to the tender committee for approval to pay the monies - does not make sense very very strange bingo Heather i dont recall sorry but as this was her first negotiation - where was her boss and why did he not take control sjuut Louis C my mond water behoorlik hope mondi is taking notes..... snap Alta always Koena first its for reopening of a export mine and now its for coal  so they did not have the coal yes heather without any security  ignore hi quinton and new arrivals and that is why she was suspended i think - they did an investigation 4 5 6  lekker eet oh now there is an offer ???? this girl is so so deurmekaar you cant Danile haaaaaa she knows she in the thick yes Pastor JJ he better deliver on his 2 huge things that he has promised seleka giving scary eyes heather what am i missing lol yes charlie why must she be so so close to the screen jinne lady sit back sjoe the sun is shining bright where NDZ is - no respect DCJ must just control him new regulaltions at the banks?? there must be sanitizers at the queues at all atms..... otherwise  so banks will have to employ people to stand outside of the queues at all ATMS..... no koko is sitting there with his laptop and back back.... Sal SA some outside shopping centers dont have oh for heavens sake Mr Barry he thinks he is Gerry Nel this guy is showing no respect at all!!! how can you dictate to what the commission must do and investigate!!! court rules appear here too so respect the Chair all this to delay Zuma from appearing before the end of Commission wow wow wow the commission was closed and only just opened hellooo they want ms daniels telephone records.... ask him who is businessman lol thats too much Food time nite nite all be safe oh food can wait a wee while ditto Pastor J J oh no u dont use wrong terminology bull dust bye bye
mafuta,"yip gonna short mondi right now exactly..... should have done this hours ago. ugh @Lesley Musawenkosi is on SABC at the moment koko= suza ntutu
Heather Durr,Here we go 'I dont recall' Hurry up MAKE UP YOUR MIND Jeez HURRY THE F****UP You take up all the time talking jeeeez Just hurry up-you are wasting time This disgusting attorney-like Ace and my ex-mate Hodes You forgot the American troll @Sal SA  30 minutes later.............. When she says 'I cant recall ' she is on the way out bye bye give my best to Donald here we go 'I dont recall' again #Koko's summons said he is to give evidence on Tegeta and McKinsey A two week stand.. @zip reeper He painted the picture @Blake Yogi Hi Oh dear here we go...... @Diane Louw That is what makes them so fishy I was so sure she was innocent yesterday The guy who was in charge of Housing? but had never read the Housing Act was a fave of mine as was JHB mayor who was arrested yesterday And that guy from Denel...'with hindsight' @Pastor J.J Mayor of Jhb as I read it but please Google it @Pastor J.J Oops North West Province She spoke about this yesterday but the terms were different Oi LOOOOL So now we go to 2008 precedents as justification-.........thats a new one Her behaviour was inexcusable-you cannot handle this situation without involvement from senior management and legal Mondi must microchip her "HAH-Koko has tweeted ""I expect to take the stand at 16h00'" She is annoyed becoz she has been caught is Seleka's web Why did she say-'initially it was all about coal' "Cele runs the South African underground world What-clearly I have not been paying attention. Eskom gives them the money upfront Trying to drag Daniels down -cession in securitatem debiti Ah so everyone else was to blame @Quinton van Eeden Oh.....Now I see Their shares are worth nothing if they are insolvent Here we go 'there are 2 aspects 1..........?????' @ALTA Lekker slaapies "I relied on my psychic You wasted time. Is there a picture somewhere that I cannot see Post a link Oh gawd NDZ in all her finery-teef NDZ reading the new regs on CH 405 with her doek and dark hlasses on *glasses Koko/Zuma trolls  No loud talking or singing NB Koko is just ironing his shirt  Come DCJ the Zuma brigade is boring now So Koko is scared-he does not want to give evidence-that is why his lawyer is raising issues Koko wants to give the info about looting he was not involved in DCJ just take Mt Mbanjwa out Koko is too scared to give evidence hahahaha Zuma zombies all over the place @Rene Ngwenya @Morewane Sebesho Rene all Zuma fans use the same language -bias etc etc just ignore them Then there was Pravin's attorney..... What PROATIA He is an Ace type lawyer Nice try jou p**s Oh boy here we goooooooooooooooo 4000 watching Let the show begin tada Its a 'TRUST' issue That has convinced me that he is innocent........................sure??? Koko is such a toss "So So sad-no Trust @Brian Butale He showed an extract from financial statements of profits-irrelevant in terms of innocence Asked and answered now STFU @Esme Van Heerden lololololololol Now the sparring match of the decade-anyone placing bets @Phakamani Gazu He recited a book the last time while we all listened @Kerry van Schalkwyk Totally agree And so it begins..... DCJ the psychologist Now Now play nice gentlemen @Kerry van Schalkwyk Is is the standard excuse for everything and everyone who does not worship Zuma-they are owned by White Monopoly Capital or white mans capital-i.e Cyril Ok time to block these Zuma zombies Oh the mysterious Businessman email handle Say No! DCJ @Thokozani Nala Zuma's worshipers  Did he just say 'FLubberghasted' @Sal SA Correct this man's arrogance and hubris will sink him That email address.................................... LOOOOOOOOOOOOOOOOOOOOOOOOOOOOL she just became 'stubborn' @Sifiso Sonjica LOL "And what pretty eyebrows private emails-ask Hillary Clinton BOOM BOOM BOOM DCJ I am very impressed!! So as an example email. Dear X from your trusty Y I get 'worked up' lollllll Relevance .....I will wait whut Oh no he is aggrieved.................... @sandile nzuza Where did you get your law degree "Forgive me  @Kerry van Schalkwyk Block people who justify deliberate corruption as adults and leave their people homeless @MOSA AUBREY Most of the others are not trained to understand @Tebatjo Malaka Relevance. I will wait... @Tebatjo Malaka Its about the evidence which we lawyers can follow -the merits are weighed at the end of the commission @Tebatjo Malaka @Louis C Tebatjo I think we have concluded that your opinion is not of interest "Exactly "Their complaints are all so boringly similar and repeated over BOOM There goes Austin Powers Tomorrow is Anoj ???
Moonchild,There is so much background noise! That's why these people should appear in person. Hi @ALTA 🙂 hope you had a Happy New Year! This Mr Barry attorney of Koko's is the most unpleasant individual - rude & disrespectful! "@Lerato Moleke - unbelievable! There are so many capable Advocates (Black & White) & I cannot understand why he would choose this unpleasant @Louis C - you are so right! 🤣 Awesome @Blake Yogi - well done! Bye @ALTA  @Fred Desrosiers - exactly & it's all our tax-payers money that they have stolen & squandered!! @Danile Ngubenyathi - click on the smiley face icon below & it will bring up the picture icons that you can insert. What a repulsive little man!!! @Heather Durr of course! @S V 1 - absolutely He's crossing his arms as a show of aggression. DCJ must put him in his place "@Helene Nortje - yip The Commission is completely entitled to issue letters & now this clown is objectiving to the tone of the letter! What an absolute idiot!  "@Godfrey Maumela - must be He must shut up when DCJ is speaking!!! DCJ should not allow this disgusting character to keep speaking over him! @Elaine Pridgeon-Alberts - yes @Power Electronics - rather take your racism & go elswhere. It is easy to come to a livestream under a pseudonym & make racist comments! Please get off. "He is just a disrespectful DCJ must now allow him to carry on with these delay tactics!!! *Not allow him @a b c - agreed "Come on @S V 1 - are you talking about the Adv? @S V 1 - absolutely & so is Koko "This Koko is the slimiest character This is so pathetic. Poor Koko - the big victim @Phakamani Gazu - these corrupt individuals have to come up with an excuse for their criminal activities. They will use any means they can to try & divert their own guilt. @Tommy Kernaghan - my thoughts exactly! "@Thulani Sokhela - yes Tell him to sit the f...... down!!!!!!!!!!!!! @Hloni Mofokeng - I think the commission has done a sterling job in light of their resources & the amount of corruption they have to get through "@Power Electronics - yes & I don't agree with it @Sal SA - huh? what does that mean? @Hloni Mofokeng - Adv Seleka eplained it clearly but they will hand over all the records I have such respect & admiration for these Evidence Leaders & DCJ for having to be on top of such huge amounts of information & lead individuals who are clearly corrupt. "@Quinton van Eeden - yes In his R20k suit using our money to live in the lap of luxury!! @Ngubs Ngubane - who is WMC? Pray tell @Teunis van Ree - 🙂 I get taken in every time!!!  "@Heather Durr - yup "@Pieter de Villiers - yup "@Pieter de Villiers - 100% - they purport to care & act for the poor Adv Seleka is an extremely accomplished lawyer & I hold him in the highest regard. The problem with lying is that you always have to remember what you said! The cracks are starting to show Mr Koko! What I can't understand is how these top IT tech guys could not identify the Businessman email address with absolute certainty @Sal SA - very strange @Tommy Kernaghan - is that why they haven't been able to uncover to whom the address belongs to? @Tommy Kernaghan - I would think so but that's why I find it strange that they haven't found the email owner yet. @Bongani Njapha - I thought it was WMC? Obviously they won't use the normal salutations in order to avert suspicion!!! Liars always slip up eventually Here we go - go off on a tangent to divert attention from his guilt @sandile nzuza - if you think that then YOU are the clown! @Bongani Njapha - do you support corruption then & the patronage network that has brought this country to its knees? "@Ismail Petersen - ha ha "@Bulali Pepeteka - Correct "@Pastor J.J - yes "@Pastor J.J - ha ha @Bulali Pepeteka - I was a child & lived through it so that is my direct experience. Most whites were kept in the dark while the NP elite ran the country. Now it is just reverse apartheid @Sibusiso Mbhele - Salim Esse @Sibusiso Mbhele * Saleem Esse "This slithery snake thinks he can outwit DCJ & Seleka "@Bulali Pepeteka - no we were not & I've already said it was wrong! The problem is that our democracy is slowly deterioriating into communism & a cleansing of all minorities @Martha Sello - DCJ is anything but!! Koko is the clown. "@Heather Durr - yes "@Nick Matyida - that is hysterical Bye @Nick Matyida - I respect your opinion & I would appreciate you to respect me. How I choose to engage has absolutely nothing to do with you my friend. @Heather Durr - 😅🤣😂 hear hear Everyone else is lying but not me Chairman 😪 Go Seleka! Yes!!!!!!!!!!!!!!!!!!!!!!!!! """Honest "" - he doesn't know how to spell the word!" "@Bonginkosi Lucky - no man @Valencia J - absolutely! 😅🤣 No!!!!!!!!!!!!!!!! Not this disgusting individual "All of a sudden
lunga zazini,We can hear her clearly :virtualhug:
sammy sammido,Now its very better
sillky silk,hello
