author,message
DJ Sbu,👀
Refilwe Harvey,Volume please
Gift tman,kuvela banike namhlenje?
Slindile Ngcobo,Welcome back DCJ....missed you ZUPTA 2009-2016 @Chiang Mai Springbok REFRESH you confusing her accent with English @Lorraine Naidoo ...you need to understand Financial dealings in order to comprehend what she is saying...which you are unable to comprehend
Thandeka Ngidi,DCJ how did the state capture be about eff wow they must always be on your minds ey
Yanela Nokhele,yha Slie
Daud Musa,Welcome back all. molweni CR17 / PG18 Springbok captured I don't know exactly why but this lady she seems to be honest Commission will not create jobs and bring back the land to the rightful owners Malema is black Trump said if you don't like it here you can leave. Malema is African not Afrikaaner CR17 -Malema "Wind of change cannot be stopped GUPTA "@Hloniphani @Simon come to Soweto and see people starving Black people iet us starve but have our own means to feed ourselves. White people we can still say thanks for feeding us for so long The son of the soil will rise and the blood with save black faces just like blood of Jesus to his people. "@Thando Please don't blame our brother too much Those who hold the land will pay any amount to our leaders in order to keep use them to oppress their own people We need military youth league of EFF or ANC "CR17 in court again In ANC can someone love South Africa and rescue it from this hyenas? Within ANC there are women and men who can bring true change to masses not grant. Please stand up and do the right thing. Zuma is corrupt not CR17 Rugue unit I miss Agrizzi Chair it's enough let this woman go bring Nomvula Mkwenyani In South Africa we only have politicians privilege @Mbuso She is apartheid wife Simon if you really don't hate Thando kiss him That's the spirit Simon Davies killing apartheid in your blood if black and white we can learn to love one another we can be able to produce more coloureds Simon behaviour wathinda indoda wathinda induku Thando money can buy President Ramaphosa not love
Lusi Gcwabe,hi all
Jabu Nhlanhla,Hi all yes volume is to low thando no one mst hate other is lunch break plz imbhokodo
Johannes Shaun Messelaar,alo all volume is a bit low please increase
Chiang Mai Springbok,no sound
Prince Makhubela,"39 years of service ... ""EXPERIENCE"""
karabo ramusi,Sound please
mo B,piet rampedi....ace and tom moyane's mouth piece she knows her story....u will hear later....shes white and hates blacks lol
Smart Guys,increase volume please Thanks Goolam Bhai volume is better now all those who looted state funds must be sent to prison forever
Ntuthuzelo Zondeki,🤑
Kabelo Katjedi,Mo B u said that and im happy some 1 hv noticed that "Ryan u know u knw its funny how Malema forgot so easily "I feel sorry for our poor communities whom r used by individuals as spin-doctors to serve their own interest 
Ermek Bermek,в风格健康绝口不提 疯狂看不见经济哈哈会不会
Simon Davies,👍i agree Ryan
Jaques van Rensburg,I am the rightful owner of my land Mr gardener K
Derek Main,@Daud Musa Technically he's brown. Malema is SA's Trump. Blocked @Makwa Choma Exactly - you must be a complete idiot to vote for those crooks after all this evidence of their corruption. "@makhosi nobhatyi If the cap fits The entire ANC is corrupt - from top to bottom. And we SAfns suffer the consequences.
Thulani Bukani,I've missed you guys "her English is poor but we can understand what she is saying
Mfanafuthi Gama,people need to be civil on this chat line. it's not a rant line. @Ryan Smith Mr Malema is not in question today. Focus...
