author,message
Talent P Sibisi,Morning guys how u doing it Dlamini time today let's go.💪💪💪💪💪💪 Khuluma Baba Dlamini silalele Zuma need a interpreter as well thank u wiNdoda Dlamini someone send a SMS to Dlamini look @him now he's not the same he's viewing some SMS there and look @ him is not the same wiNdoda Dlamini wiNdoda Sibalikhulu. @Lance Crawford I agree with u about Sign Language @Damaking Alie what's wrong with people this Dlamini guy's he the one who telling us a truth here Mr Dlamini u in danger Boss It a video but the guy was driving never took he's face South Africa Police are not a Police are Thugs mnxn Dlamini u the man 💪💪💪💪💪💪💪 wiNdoda Dlamini phezukwabo. Mandela was in jail for many years but he came out to be a President that's our first mistake mnxn @Greg Rowles true look what's happening now @Neo Senkge our second mistake is to put Zuma to be a President without Matric Police are always undermine Black people why? @Neo Senkge what's I can say is ANC is playing with us since Mandela @Awe ness Am asking my self and u can go anywhere but Black people are nothing and they don't care wiNdoda Zondi ngiyakuvuma @Buyiswa Mnyani Mr baba Dlamini he's the best Zuma must did just like Mr Dlamini to clear the name Ace and Zwane must be in jail by the end of the day please please please @Neo Mongale South Africa is very bad man Mr Dlamini I salute u Sir if u die Ace and Zwane must be pay the price excuse me we not here for Donald Trump so please and what's this guy name again @rohan barnard he's goner be straight just like Dlamini Thank you Rohan I like to say this people some of educated people some of them are Corrupt mnxn 2 Top Big Boss from ANC are killed yesterday hmmmm Saze salithwala iDombolo abantu bakithi bafela ubala Am also need a interpreter cause some of u I don't understand here what's they trying to say
rohan barnard,let's hope* "Zondo comission who are they speaking of? mkhwebane? ooohhh! 💩's getting real now @greg correct i don't even trust our current PP. bring Prof. Madonsela back 😭 @Greg Rowles I read yesterday one of the beneficiaries was murdered @Thando Nkutha she is Adv. Leah Gcabashe @Lorraine Naidoo mafia state.... 100% agreed Can we please keep Mr. Dlamini safe? Use my tax money to protect him with 100 body guards and 10 snipers "@Edwin Arthur no ubaba ka duduzane is in big 💩 Please send Mr. Dhlamini and his family to a safe house that no one knows about. Do it secretive I just pictured an assassination when the camera showed him like that 😭 Do we know who the next witness is? Possibly another beneficiary? @Masewawatla Masewawatlasethe #rememberVBS @Masewawatla Masewawatlasethe there's a lot more to that story than meets they eye..... @Musa Bakiti because there is an international audience who is this Adv.? I need Gcabashe back 😭 @Musa Bakiti why in the heavens do you have to mention the race? I simply asked who it was. Keep your race agenda to yourself please trump is not human @kevindbn007 and what about his concentration camps? It is 2019 for crying out loud can we please focus on South Africa? @Talent P Sibisi Mr Meshack Mpaleni Ncongwane Yes I did. But it's over now. I'm trying to focus on our own country now @Talent P Sibisi it seems that way. He also needs to be protected. I think he is going to lay a few cards on the table....
teboho ramolotsi,morning everyone
funicanz,"Morning everyone "Apart from Busisiwe Mkwebane being implicated here "@Thando Nkutha  Ingaba PP uyawazi umsebenzi wakhe na? This guy is Aggrizzi (ng) uyapiqa. "@rohan barnard  "I felt sorry for PP on Monday after the Concourt's judgement. Manje My word "Ministers of police Konje uZwane is Chairperson of what now? "This man has guts "@Kay Kay  DCJ's memory is on point. "@kagiso mathole  "@carnoth ngomane  "@kagiso mathole  DCJ is consisted and partial. I am proud of him. "@Zaahier Adonis  I can only imagine that they have indeed lost interest. "@Lorna Kavanagh  "@KEITH SINDILE DINABANTU  Siyatranslator nalapha? Is it Miss Buthelezi? Eish "@melikhaya zagagana  "@KEITH SINDILE DINABANTU  Mchana??? Balance me "@KEITH SINDILE DINABANTU  "@Mrs Anderson . like I said "@Megan Lacey  "@Michael Wild  Niyahlupha. from race now to tribalism. "@Mthobeli Farm  "@Mrs Anderson  "@Mthobeli Farm  "@Kay Kay  "@Mrs Anderson  Thanks Chair "@x. .x  That's Chair for you. "@Bedazzled  @Bedazzled 😉
Simphiwe Mkhatshwa,Morning guys I always thought she’s a hippie jenalist "@Beddazzled he is a native swati speaker "Greg Afrika magic baba 🔥🔥
Siphenathi Mbombo,Morning everyone yes 😭😭 so that is the video or audio? thanks fikile 🙏 "Greg i think the court is gone address it's decision before the 4 of August why the interpreter don't let the guy respond directly from the legal team as he seems to understand English then interpreter translate his response to the legal team
Jimmy Polelo,mrng i like this man is very brave guzo shuba "we need the peoples like this man 
Jabulile Mazwane,morning Zwide manje manje hawks must give back their copies of their statements mxm Hawks the chair is very 😔 the PP Cry the Beloved country they are not scared shocking salute Sbalukhulu ms Buthelezi thank you Mthiyane
Sebation Nantsika,Molweni Is very funny when Malema was ANC member he was not fighting whites but now zijikile izinto Zuma is not ANC @melvict do you know stomach politics?
Nielan Nagan,arrest someone should the commission rather investigate paralysis in the Npa Hawks and police this is going nowhere
Siegfried Molutsi,😞 I feel form our people 😞 😞 😞 😞 😞 😞 your anc messed up 😞 I am hurt I am embarrassed Guys this is bad BAD BAD BAD Mr Dlamini will be killing people I say Mr Dlamini @Gary Wood style they nominated and she elected them J Zondo @ndivhuwo thukhutha what Tamn we are all not safe 😞 Guys this is too much y'all
Greg Rowles,the hardcore chick is a translator!! FINALLY revealed "here's a man who has weight on his shoulders he is talking about not trusting who...? Yes Mkweb PP but his trust issue is purely opinion; more important formed by what facts? "okay so he wasn't part of the choir 😀 so PP made little effort to investigate or hear his evidence/input on Estina... "@Born free it sounds like it yes "ha ha Obviaasly PP accepted a briefcase from Zuptas at her secret meetings; Dubai baby!! "@rohan barnard yes @Zama Kubheka this interpreter is sexy "@Pastor J right; i thought he was ""also"" a pastor @Thando Nkutha she is hot! What is she wearing in her hair up-front? @Kabelo Katjedi 🤘 "Lol "@MONKO ONKO yes @Thando Nkutha perhaps the politicians know this and use this to make problems go away? ...#Ace WHAAAAT 3 dead "@XhoiXhoi GrandSon sure @XhoiXhoi GrandSon who is? @XhoiXhoi GrandSon why so angry?? @XhoiXhoi GrandSon you're starting to sound like one; everyone here is civilized... @XhoiXhoi GrandSon that is my real name; not anonymous so we know 3 beneficiaries of Estina are dead; we don't know why/how this witness could be the brother of the actor who play Shaka Zulu let's consider the location of the police station + hawks he visited; Free State?? "@Buyiswa Mnyani NO @Dominic Przybylski we will survive; we need to have faith in our patriots! it's no longer about ANC vs DA vs EFF if we want to make it @Dominic Przybylski we need the right leadership; HERO + PATRIOT @Talent P Sibisi huh? what? what does RET mean? I don't know it So maybe that Louse Meyburg author is not far off... @Talent P Sibisi only agree abut mistake with Zuma RET means what? "@Talent P Sibisi NO @Bas Mdaka thanks @Edwin Arthur in FS only?? this is all in and around FS anyone know when PP decision (from yesterday) will be made? @Minoctar Sithole that will become a racial circus; everyone will turn it into a race issue @Simphiwe Mkhatshwa Thx "@Akani Akie if they touch him now for weddings @Cantango Matt don't forget the rotten corrupt mafia who stole this project from the ppl will have blood on their hands @muwanga soul roy sunflower
Khutso Malope,Correct Your Worship "non of the beneficiaries trusted her Bab Dlamini’s reason for not trusting her is sleep slightly an emotional one I pray for this man”s protection "Speak Chair Tea break @Christopher @Bekezela lol "@Bekezela Williams  @Keith @funicanz leave the lady alone toe "@Keith @IamFree we are not sure @Kagiso Mathole I don’t know why they’re going on about Trump "@OG Sinatra Wow "Jimmi Alli  I vote they are not "Just focus @Jimmi Ali "lol "Miss Buthelezi focus "@Muwanga soul Roy "Muwanga  Thanks @carnoth ngomane "Can the Originals of this group come back please X.x. Why you doing that mara
kagiso mathole,Morning foks...... morning xo............ yerrrrrrrrrrrrrrrrr.........the whole of anc is involved man.....what a mess... Keith were u at today buddy.....you r my ecyclopedia my man.... This interpreter is the best i have ever seen drink water baba.....you deserve it unlike some other guy..... Give this man his airtime back..... this man even kept his cell information....wow.....my brother is on point... no difference....they both have teeth mate and u get the same treatment... If i were mkwebane i would find the nearest cliff and jump jong....... Its raining with names today at the state capture..o baba is even wearing a rain coat... welcome back Lorraine.....were u waiting for the boss to go out... Jabu must write a book man..... unlike some other guy who can sell ice to the eskimos.... Thats not the way to leave......shame...... MAFIOZO O baba must sleep with one eye open from now on........ Mkwebane is a wolf wit a sheep skin.... The poor lady is scared for him... Robert i ageree...met eish....... Mkwebane must come sit her advocate behind on this chair.... Funicanz i cannot wait myself.....she thinks she is Gods gift to that office......an apple doesnt fall far from a tree... Leonard u need to check the highlights on you tube baba....a lot happened today......lots of name dropping... Put this man on exil...... Thank you sir........very brave indeed....... As long as it has a heart beat......u cannot trust it....... ROUND 2..... My goodness......whats with the physical address....... Keith..were have u been baba..... The man understands esilungu....... she is getting tired..... were does trump come in to this..we r chating about african matters for african people.....so please.. "i want ace what do u think keith......i like the way u keep saying your pp..... its not a nice tune but sometimes we have to dance to tunes we hate buddy..... we need to understand that this translator ha been at it since 9 oclock this morning so she is bound to make mistakes.....somebody give her a bells she deserves it.. I am free......i dig that....nice one... They are not saying that cause they stole from them.....wouldnt you remember someone who takes food away fro your family... sorry buddy.....am watching from botswana... Brian it will take a whole year to explain boet.....check you tube highlights Whats with this none english speaking thing....whats special about english.... This chat is getting ugly and personal guys...lets focus at the matter at hand not insults... Thank you mrs anderson am hear too mrs anderson.....am just waiting fo these guys to finish their ranting.... Mrs anderson just ignore them......otherwise they will insult u my dear.... Mosco i second that buddy....
fikile mbokodi,what is happening i hear PP's name okay its not crime right remember guys that the cases are not the same so you cannot mix them please then we must beware of every party in South Africa if you listen yesterday when malema talked he said the case about absa that the pp published they told her that she was wrong anyone remember that? again guys be sure what you say here in this platform please ypu cannot accuse the eff about supporting the pp in every case she does which is not true do not generalize the eff please as I dont want you to do that with the ANC please they must arrest mazot then if he is guilty what is stopping the police in doing that go and search in the internet what did he do then kabelo is kalbelo @jabu go and search it your self 2jabu dont be lazy @jabu i know and i did my research nawe please do yours @jabu many which you cannot finish it here in this platform @jabu the public protector is an office do you know that? this is deep yoohh lobaba usenkingeni i think its audio uzondo ufuna ukuzwa kahle yoooh lotata eish lotaat uyacula yah nam i dont understand the 3 months\
Linda Pretorius,i really admire this man's use of idiomatic zulu. He is so determined to get his story across Is this guy the previous man called a liar?
Xolani Sqa Nxumalo,morning kg 🤣🤣🤣🤣🤣 kg @Sydney its true
Lalee Magxunyana,@ fikile the PP had a meeting this year with the beneficiaries.
Liberty Shone,morning guys Busisiwe Mkwebana PP
KOPORAL SIEMA,Incompetent pp pp yes
Yongama Mdleleni,"how give this man his airtime pls uyindoda nyani uZizi le ndoda uyindoda Dlamini
Bheki Tembe,Sibalukhulu
Niek Cape Town,"Ousman proof Ousman!!!!! Ahhh. Trump knows everything huh? Trump even is an inventor. He created a new country named NAMBIA Trump is the most idiotic president the USA has ever had. EFF is just a puppet of the Zuma faction of the ANC I can mix whoever Iwant "Ousman Who cares wat jewelry she is wearing EFF IS A PUPPET OF ZUMA'S ANC FACTION WHAT DIFFERENCE DOES IT MAKE TO BE BITTEN BY THE DOG OR CAT "I LOVE THE AUTOMATIC TRANSLATOR USED: ALIBABA MUSIC VIDEOS AUTOMATIC TRANSLATOR......READ BEFORE YOU ANSWER oBAMA LOL
Kevin Simon,"Ousman Njie...........more vigilant and not be complacent For airtime to get this mention shows it is a significant cost incurred to communicate with the PP who didn't appreciate their challenge to even call her.! People were seriously let down in this matter. Gordhan represents a risk to the continued malfeasance by connected EEF acolytes This was the Hawks during Bernings time. Get him here. Now! Subpoena the Hawks... First one. "Guys muwanga soul roy ​@Mbuso Ndlovu YOU MEAN ORANGES ARE FREE IN ORANGE FREE STATE. HOW DO ORANGE FARMERS BENEFIT FROM GIVING THEM FOR FREE: Go read your history!!!!
Nonzy,"Its quite hard to separate fact from emotion. His testimony makes my head hurt the guy behind advocate is hot. Lindiwe is very cheeky. Now I understand why he is so emotional "I've just looked at Msebenzi Zwane's picture What kind of Zulu is this guy speaking? Sure Hi Umuthi baba we really need to know the nyanga "People voted for Zuma stretch marks are also called mnyama I was close mara )
Mandy,AUDIO IS 100% FINE Y'all need better ISP's 😂
Ben Cole,"Outman Nije "Ousman Njie "Catango Mat Zwane now a portfolio committee chairman and Mr Ace M the SG for the ruling party. How ironic. "But in spite of all the brokeness "Catango Matt "Even if many of us don't sleep soundly at night "Lots of political education and opinions on this group. Thanks guys "More political education and opinions. It doesn't stop "No
Rakatsinyane Tsolo,"This PP is a flop "REC to loot state money
Born free,Freida. Is this witness one of the Farmers who should have benefited from the Estina project? Yip.. beware of the EFF This project was meant to help 80 farmers. What another shame. Zuma can only doodle Is that her third eye on the Translators Forehead?? True story Jabu We have an EFF patriot on this chat. Mazotti is Malema's china. Malena rents his house. Gordhan did nothing illegal "Gordhans Intelligence Unit raided Mazotti residence and business he is a tax evader and owes SARS R34. 95 million. Mazotti is Malema I think NOT The EFF will be knocked off one by one. The Judge will make a ruling on Monday about Gordhan. Scorpions were the best but Zuma got rid of them and put all his corrupt comrades in the Hawks. Then they tried to frame Colonel Booysen and one other. Jabu must be an EFF supporter.. can always tell. PP is also protected by the EFF thugs This man was an employee at Estina farm Sorry Benificiary Dangerous to whom?? WOW SURE IS A GANGSTER STATE.
Reply Mahlangu,"WOW...this is the public ""PROTECTOR"" that EFF is supporting "EFF has lost it this year This is how we(blacks) treat our elders "ZWANE "can EFF please tell us what Gordhan did
Isaac Mantsha,pp will reap what she was sowing "the old man must be protected by the police otherwise we are going to loose him Zane will pay
Ousman Njie,"I meant to type the word"" electromagnetic wave particles"" otherwise known as Laser pointer. equipped in a surveillance camera to infect us with Cancer"
Zama Kubheka,This interpreter is on point lol @Greg Rowles @Greg Rowles are u interested perhaps?
Kabelo Katjedi,EFF just claim to protect pp knowing very well that they are doing everything for themselves. "Agreed Isaac  him Greg she myt b a traditional healer They even took a church choir to india hoping to train them as farmers "Honestly i dnt have faith in our justice system  "Eff its eff so there is no way we cn not generalize if their leadership is in friendship with mazzoti's. We dnt any proof "Dream on  U will be sleeping on top on the roof from today bcs we dnt know the involvement of police and the hawks in this matter I just feel for this guy after today he should consider buying a cap and sun glasses to b nt recognized. Unless they target his family "U will be killed by the same protection u r to be given "U dont even need millions to have saps members to u camp "politician have their ways to get u nomatter u r protected by soldiers or nt "All the guys mentioned r smart  Ace is untouchable "Zondo which police r u referring to "Lets hope all the people mentioned will face the full hand of the law "The guy is Zuli ZULU "Politicians dnt give u a day b4 u get killed "i dnt trust this witness
Lutha,"Can we request another translator
Pastor J.J,@Greg Rowles He is a Pastor. Lawyer I dont know @Thando Nkutha .You have lost your touch Bro. The Bots have survived for too long now. Th extermination must start NOW @I Am Free .My Dear Friend. I disagreed with you yesterday and in the process I may have hurt or offended you. If I did so please accept my humblest and most sincere apology. @Thando Nkutha .Thats discrimination. We must report it to PP now.hehehehehe @Leeroy Mketiwa Happy and Blessed Birthday to you my Brother. May you be blessed now and always. @Michael Wild .You are being suspended and soon to be fired.Hahahahaha @Thando Nkutha @muwanga soul roy . Muwanga must fall or he must stop talking nonsense. 60 seconds baba and u gone @Thando Nkutha U see how kwikly he changed. @Melvict Melbourne .You are becoming deeply offensive. Please leave the chat or stop. We do not appreciate your humour or insults @Melvict Melbourne When u talk down to our woman you are offensive @Melvict Melbourne .Shame on you man. @muwanga soul roy .No but she is already my girlfriend.Sorreeee baba.Hahahahahahaha @muwanga soul roy .I said sorrreee for my mistake
Nkunz'emnyama,I airtime ye Grootman mayibuye Bacishe grootman @Bedazzled lol same here Bathakathe Dlamini
Phelelani Gambu,He must get backnhis airtime
Lungisani Mabaso,down with Magashule "Down with Mkhwebane "EFF is supporting the Fraudulent Public Protector Jabu Malinga Mkhwebane hasn't and will not resign bcoz the Stupid Red party is fighting for her Bantu Sfiso what proof do you have that Gordhan is a Racist? "@Jabu malinga don't mislead us Where is Ace Magashule these days?? he has been commenting too much on other people's business now it about him and his Authorities threatening Innocent people of his own provinces Sies! "@Jabu malinga i also would like to hear from the big Ace as well "if something bad happens to Baba "@Neo _ please bro "@Neo stop with your fancy terms
Thulani Bukani,this interpreter is brilliant best one in the commission @Mkhaliphi she takes alot of care to put it like the witness says it almost word for word. the other translator summarises what the witness says. the other guy doesn't even take notes
Mkhaliphi Dlamini,this translator is well articulated in English yooooh Dlamini sbakhulu wena wendlovu uyindoda
ndivhuwo thukhutha,she look like inyanga he deserve a bell dont forget VBS Mr ZONDO my people in VENDA want Answers Two ANC members in Limpopo shot yesterday
Ernest Ndou,we cant see it nicely wat she wear im trying to look let dose guy leave he tells all the truth nt hiding anything hawks were doing wat dey suppose to do as dey instructed diz guy nid fully protection from the gorverment de way he is broking all
Bongani Sibiya,i see people say EFF NGABE INGENAPH IEFF KULENTO EKHULUNYWA LANA asking for a friend @niek tabl iEFF INGENAPHI?
Johnny James,Msebenzi Zwane played with the farmer's.
