author,message
big one,what time does this kick off He is already in witness protection I they did he would never hace started the commision
Tamaryn Petersen,10am usually
Aubrey Moloi,ANC IS KILLING SOUTH AFRICA "Terrible brother. our people need to show politicians that they are in power not politicians
Desmond Masilela,@Aubrey Moloi. Yet people are still voting them. @Aubrey Moloi. They have power of the vote. 100% agree. look at the ANC now. Some people still believe that Zuma is still the president of the country. they dont regard Cyrial as our president. Where is the video? I dont see anything interesting here did Agrzzi accept any bribe while he was still there? Thank you @Robert Russell. I wonder what made him to come forward to testify? Is the any gorvenment people involved in this Bosasa. the likes of ministers? "@The Jack-all. Okay okay........ Now i understand. There are politicians as well
Cassius Mngomezulu,The word ANC can't kill anyone People deployed by the organisation made those mistakes and people died as a results where are u know You never made any mistake in your life #Siba Mfabe Thats y you talking like that Were you judged by anyone Who Judged you "Thats where u wrong The country is gone with the ZUPTUS "You said that  Who was punished in life esidemeni and Marakana We going no where Who killed who Vote ANC Shame EFF is going to give DA your Votes again We can rule natal as we are in majority "You see now we fighting black on black "Why can't we all the people Zuma allowed this not the ANC "That small money for the Top 6 Guys that makes very afraid of the ZULUs Ne "If someone is not powerful  I am not answered #Yose Human-Go to Natal and Tell Them That "Julius said we do not need whites to develop Noted- I am an ANC Man
Eugene,Tell ANC they are fired stop paying taxis
Thabo Modiba,"I'm so speechless I am nowhere Terrible
Siba Mfabe,"@Cassius Mngomezulu  "@Cassius Mngomezulu I have made mistakes "@Cassius Mngomezulu 
Lawrence Mopeli,I am here to listen 👂
Patrick Kgoale,"when relations sour up
Thabo Nlec,🤔
Tembeka Makonco,i'm waiting to see who's face show in the video
Derek Main,@Cassius Mngomezulu We have to judge our politicians - that's how we know whether we should vote for them or not. I'm not a politician I don't kill people either "If I did "This is ridiculous - if you know of anyone I killed @olga mayeza pull the other one - they're all corrupt just words @Khalid Mather Exactly - politicians are more trouble than they are worth
SMP :SHELTZ MEDIA PRO,zim has no internet
Maphike Gloria,We loosing our country bits but surely 🤔 True Stephen in the name of poor why rich people always get way even they broke the law but if it was poor guy this was not going to happen he was going straight to jail.. viva anc viva Tata madiba
Masilo kolobe morudu Kolobe,save SA
Jonathan Palivili,Well done Siba Mfane.. You talk absolute sense... will a judge listen to a day to day criminal saying he made a mistake... Whether a crime commited was a mistake the culprit MUST be punished
Bhuga ZA,i hope everything turns out wel wth dis testimony of Agrizzi... no1 is gng 2 get arrested u shall see.... "i wonder if VBS is also part of dis ""party"" coz i wldnt be suprise if dey also implicated on dis matter Eskom is suffering financial yet dey claim dey dnt hv money which resulted dem 2 lend it 4rm da world bank n yet we see sch bng happening ages...🙆🏽‍♂️ wow so mch money yeeii dis country of ours mara n dey be claiming we on 'recession' yet look how money is bn wasted....😐
Lisema Mosese,Mngomezulu is busy comparing apples with bananas. We have to judge our politicians by their action.The oath of office they take is not for show baba. *actions Peole your losing focus people.The topic today is this man's testimony .Mr Gumede is at it. Sindiswa Moolman am wondering if any of the ANC top 6 will be named. Moer!Mr Gumede the chairman ai!😂 Thando iplazana iyathandwa.😂😂 I want that black book.I wanna go through it just to check something 😂😂😂Andrew cardboards will have been used anyway. 😂😂monopoly to play with people mmmhhh!now I know how a stacked million looks like.😱It can fit in a refuse plastic back. 😂😂interference /signal jamming David Mahlobo style. Sindiswa Moolman I also would like to know.Watson always had 4 to 6 million in that safe. Auti Mjita we just saw a million at close range for the first time in our lives.Am shook.😱 Not wasted used to fill politician's pockets.Am waiting for names of beneficiaries Auti Mjita just one stack of those notes I will be sorted Buyiswa Mnyani that seed has been planted in your little head.Sorry we can help you with that captured mentality your on your own.Malema is on the right track shhhhh!he is counting the stack 🤤 🤣🤣🤣😂 why chicken?😂😂 @Fils de I'homme I don't talk to pigs.Go play in the mud.😏 Am on it Auti Mjita "Sino Msane uyamthusa @Thando Nkutha noted fighter.😉 @Thando Nkutha awe! Sebastian Danze it came from the same monopoly money we are seeing here. Can some please direct me to the block button.🤔 *someone Thando Nkutha thanks broer 🤙 @Robert Russell thanks Whe is he dropping politicians names? hi!Elliose Desmond I believe they did.Rember the R500k that went to Ramaphosa for his alleged campaign?
