author,message
Jacky,Here we go again
Rapule Koalepe,lord save South Africa what the jamming? maybe the gone Hlaudi come on thanks
Yiwiti,this is what happens when you don't pay employees "probably gonna blame this on a ""internet glitch""" lol
mochaki kenneth,"Angelo Agrizzi
Antoinette Meyer,or sunspots whaha waiting for digital news SABC??? i have an add and we are luve we have winds in CT @FF in the eyeconract line of the sender "mr chair WHYYYY...? a touch of chaoz oerhaps@desmond This is Africa! Moratorium on black books. what is wrong with you people talking about voting we can hear its not only AA speaking in racist terms listen to ghe CONTEXT as well "Thando Forgiveness starts at home too UHGGGGG whistle blowers are NOT protected.
Talloolah Moon,Tick tock Luve ❤️ Is Hellens says guptas unfairly considered? Not sure what’s going on Guptas tjanking? Anc only hope 🤣🤣🤣🤣🤣 Food tshirts and poverty The grey bag full of money What was it about the watsons Rats rat Freedom of speech from anc. Eesh delusion Dmitry 👍🏻👍🏻👍🏻 anc started death of SA and eff will finish it off Who cares what the eff says about anything The web of corruption and theft is throughout the SA system Eff pfffft Anc gangsters Zizoh who mentioned US The continent!!!!! OMF 🙈😳🤣 Yah but he’s fun. Play him African dignity!!!!! All the effs are on the channel. No jobs to do Eff 👹 Hey effs why isn’t juju shouting anymore. In anc wind tunnel 🤔 Craig is spot on Short life ne Anc eff same thing Waiting long time 🕛🕗🕗🕜🕡🕡🕛🕛🕗🕗🕗 Eff wrong way Eff beeeg noise and dancing makes a party Cope 💪🏻 Eff is just noise
zeneath van der nest,patiently waiting
Neaven Moloko,waiting to hear this There are a lot of hidden things that our people are not telling us. Just waiting for the cross examination @king 😂😂😂😂😂 @rohan taxpayers money being chowed
Sendo Sityebi,its reported that that the sabc staff have not been paid yet so please dont be suprised enca is angry cz their jernos are implicated thabang he is guarded by 2o people day and night his house has 4 police cars on standby @Thando its a little bit too late by doing that at this stage they'll only be signing or proving the testimony as valid zizho on behalf of the EFF ur statement is is urs and urs alone we support n we welcome the the support hillip masago for what exactly? phillip masago malema is not mentioned in any vbs report but only gernos who themselves cant show anything or perhaps u hv something new? Phillip lol but ur being stupid on purpose mos lol whose this pinky? is she on Twitter if yes someone share her handle plz yandi masina ur always ahead
T F,Sound is so low today Thank you
Yandi Masina,👀 @Desmond Masilela Gupta wants to cross examine Trevor Manuel. Trevor Manuel. House keeping??? @King Vuka 😂😂😂 my Mom loves Kwesta. @King Vuka Will do😃😃 @Jake Ellis They're very ambitious @Linda He said no. "@Jake Ellis I think it's taking them long for it to click that things have changed "@Desmond Masilela SA didn't have an Extradition Treaty with the UAE until late last year "@Jake Ellis And what happens now It was signed late last year. Zondo is short. @Lee 😃😃😃 "@rohan barnard True @Jake Ellis Money. Their deep pockets gets them protection. Mr A channel People usually pick who they can afford or those they think can better represent them. "@Linda ERASMUS They are @Eslon Eslon No one knew. It was Ghost Money. No traces of it anywhere. So they did as they pleased. "@Desmond Masilela He went underground long ago. No one knows where he is These people really hurt Agrizzi's feelings. 😂😂😂 sober. @Mzalwane Mzala Thought I was the only one who caught that. Recordings @jeevan singh Knowing our Hawks and NPA I wouldn't be surprised if the man is at his house or job. No one bothered to go look for him. They release criminals to go sort out people. @Prince Ziwa Stop😃😃😃😂 @Charlie Komape My sentiments exactly. 👀 Zondo 🤦‍♀🤦‍♀🤦‍♀ "He knew because he's recorded people so many times Agrizzi knew how it went down etc. They just caught him on the wrong day and sadly he thought he could handle like he always does but he wasn't of sober mind. The R-word🤦‍♀🤦‍♀🤦‍♀🤦‍♀🤦‍♀🤦‍♀ So Pistorious wants to pick the damning clip?? "@Vicky Kgoete He is This recording has been out since forever. And it's not like Agrizzi didn't know it would come up. What's the relevance of this clip? He's a racist. I don't care. Doesn't change anything. Dudu Myeni cannot justify her actions by hiding behind this man's racism. @Eslon Eslon I copped that too. Now they're going to push the racism issue and forget the corruption. Pistorious is forever going on about Relevance etc. What's the point of this? @Moria T Thank you. Racism is wrong. But we're not there. CORRUPTION!!! "@Asanda Yes @Ndumiso Mavuso Exactly. We've known about his racism. "@what? That's how they always get us @Eslon Eslon True. And he always cuts him off everytime he wants to give context to things. @Sendo Sityebi Pinky Khoabane @pinkykhoabane @Sendo Sityebi Check her tweets from yesterday. She was also pushing the racism thing. @rohan barnard She did. @michael mbatha She was freaking out. @Eslon Eslon Pistorious does my head in🤬🤬 "Agrizzi thought they would just blackmail him
Amanda Bentsile,Where is the chair? Wasnt Agrizzi going to continue namhlanje? Okay Michael Abagogo for they might be amused by Zondo's voice Gavin yinja straight @Khumbuzile Khumalo maybe useza The departmen of health's building ngahle uAgrizzi asithi tsuphe ngalo the one that was burned down last year @Prince Ziwa Monster and packet of chips Andisathandi kengoku uSgrizzana wam makesethetha kanje Zondo yazi uyaphazamisa no 6PM Thought Zondo was saying fishers kanti uthi features The chair is very rude today he must calm down if he says he knew from the start ...how do they want him to answer We want the whole three hours But lets continue I dont know why ppl act shocked when they hear a white person spitting racial slurs we know that they all are racist qha qash qwaba Zondo khona lento ayicingayo emphazamisayo akazi noba siku August 2018 @zukisa msudukwa 😀😀😀😀😀😀😀 @Tebogo Mothiba hayi hayi sujonga amantombazane😀😀
michael mbatha,They wanted to start early but even for later start time they start late. And resume late from tea and lunch. Agrizzi will continue at 10h30 "Man of the Moment "@King Vuka - EFF is funded by the Italian tobacco smuggler Khumbuzile - They didn't know then but they know NOW that they were funded by a thug. @King Vuka - So you agree that the EFF funder is a thug but you assume that a thug gave EFF clean money? You want proof that they didn't donate from dirty money to EFF? Is some of Bosasa money clean? "@King Vuka - Earlier you agreed that EFF got the money from mazotti Pretorius has an agenda to discredit Agrizzi "This Pinky went mad even yesterday when Agrizzi mentioined her name. Her tweets are all over since yesterday
Lee Majiya,"morning please do something about the sound take it easy Agrizzi on that medication I still thank Mr Agrizzi for your testimony it doesn't change anything Our government is corruption @Phillip Moshapo agree @Precious Ntshangase👏👏
Nodz Heunis,test
Jake,"JA guptas were lucky "@Desmond Masilela  Trevor is the dodgy guy zuma used and got out of jail for a sickness!1 "@Desmond Masilela  "They were very arrogant "@Desmond Masilela  "@Yandi Masina  "@rohan barnard  fingered! "@Yandi Masina  "@Desmond Masilela "@Yandi Masina  "@Desmond Masilela  "@Yandi Masina "@Mr A channel  there lawyers are sitting behind behind and to the right and left. "@Eslon Eslon "Hardcore Angelo! He has brought out the truth "@jeevan singh  "@Bridgette Kekana  "@Caiphus Bomela "@Benny Moja  The corrupt Jurnos are still busy using their money that they were paid for! The whole of SA is corrupted!! I don't belive in giving bribes for services! Tipical lawyers twist and cry and make things like they are not!!
pretty selogadi,sound pleas
Desmond Masilela,"I have adjusted my volume to 100% but still the sound is low. @SABC Digital News please assist in regards Guys PLEASE assist me. What is going on here??? @Yandi Masina. Thank you Yandi. Who is this Trevor? @Yandi Masina. Thank you Yandi @Jake Ellis. Thank you Ellis. @Jake Ellis. This Zupta they think they smart. They must come back to give their story thereafter we put them behind bars. and throw the keys in river. @Jake Ellis. so warrant of arrest only exist in SA only. They can't take it to Dubai and arrest them right there in their country? @Jake Ellis Thank you so much Jake. Thank you @Yandi Masina @King Vuka. 😂😂😂😂😂 Where is this Mr Watson? is he around SA? @rohan barnard. I believe so. I would do the same if my name could also be mention in this commission. LOL @Yandi Masina. They need to get excavator and look for him. We want him alive and sober. @Yandi Masina . YES!!! or you want him drank??? @Violet Legodi. dont run away Violet. LOL This is the last kick of a dying horse. After this his gone. @Prince Ziwa.😂😂😂😂😂 I hope Agrizzi wont divulge all this and thereafter leave SA and go to Italy But they just took 10 min break just now. I'm lost now. about this 48hrs This man is willing to give all evidence he has. Proud of this Legend. He might have some mistake there and there!!!! but this guy is giving everything he has. Wow!!!!!! K... word guys "Now people will forget everything Aggrizzi has said
