author,message
holylady1000,12:00????? what is he? who was he buying chicken for my word!!!! he is flowing with the information why scrutinise the logo house renovations??? huh Nomvula must go MS Makonyane i buy my own chicken.....what is all this....hai hai i fly my kids at my own expense so why should i vote for the ANC????????????????? awu agrizzi maaaaahnnnnnn!!! "they must protect this man dairy farm issue is next hospitals analyses this is all verbal no tangible reports....hai hai hai Bosas never got paid for the reports so who got paid? Nomvula?????? hahahahahaha noooo STOP IT CICA.... GEEZ I am having a heart attack right now!!! they screwed us ANC must go all the se old men and women should not get their pension they must retire without compensation
Brian Maleka,why so late?😕
Desmond Masilela,What is happening now? is 12:00pm SABC can you update us what is happening inside Here we go with the beans @Ewald Kruger. Yes it is live @Ewald Kruger. always my pleasure. Here's Mokonyane coming in And Mokonyane is rejecting all this allegations. That is how ANC ministers operate. She must step down with immediate effect @Srini Naidoo. hahahahaha I like this man he answers questions is if it happen yesterday as She must resign before the sunset I cant see Mr judge Maseko is he available did anyone see his face? I trust this man Agrizzi because his got evidence of what he is saying. Old greedy people @Patience Mosa Before the elections. I want people to judge and vote for the right party. @ERNEST MOKOKO. We need young and educated President to run the country. Is this man well protected? I can smell rat here after this. did not give any tenders @Mfundo Veerasamy Agrizzi is honest. This is tricky really Who is Seopela? @Sindiswa Moolman. Thank you Sindiswa. @Mfundo Veerasamy. I knew NPA was capture. Why did NPA drop the case of Zuma. Why are they hiding the names? @Mfundo Veerasamy. hahahahahaa @Mfundo Veerasamy. I think this Inquiry is also trying to hide peoples name. @Mfundo Veerasamy. I'm not sure why they dont mention the names. But lets see if they not gonna give us the names. Another name came in. Tom Moyane and Watson should be arrested by now. Sound is irritating me. @Houws Houlinou. Bosasa has Captured my sound. @Houws Houlinou. hahahahaha........is it my sound here or everyone? @CICA - Crime Intelligence & Community Awareness . My point. @Lady T. Lets hope so. SABC please assist with the sound. Much better now. thank you SABC
Pitso Mosetlhe,🙄😌🤓🤓😪🤒🤒 is this live ??? 👏👏👏👏👏👏👏 show us the cake too ☢☣
Jake,"@Brian Maleka
Frederick Monyepao,We've been waiting! What's happening manje? Here we go!!!! Cake Boss 😂😂
BALOYI JUSTICE,more beans from Agrizzi Guptas watching as well Nomvula is skelm Now I believe she was involved in corrupt activities with Mabala noise Ramaphosa must fire her..sies Mabala noise Defend Zuma ka dibono
Ewald Kruger,Yip @Pitso Mosetlhe​is this live ??? 👍 @Desmond Masilela """For the ruling party Sika lekeke 😀 😀 😀 @Lucky Luvhengo ​A white man came to save south africans. "Where is the BEST chances of services delivery @Victor Malaka? ANC 😀 😀 👍 @True Tech​ dont eat the white people in protest. "Huh? @Nqwato Mmatshelane​ This guy knows his stories What are you not following or why you say so? @Rejoice musrurwa ​this guys story does not add on He hates bribes that didn't deliver anything in return @Rejoice musrurwa "Agree You are not getting the guy...listen to what he says..@Rejoice musrurwa All what he is saying is that there was NO NEED to get business through bribes. Huh? 😀 😀 😀 @DoNot Lie ​@ewald Kruger you are lying and you know it.
Mfundo Veerasamy,Hi guys are we live now? ANC N BOSASA CAKE N ANC CEO GAVIN WATSON "NOMVULA MOKONYANE IS GONE 8 LAMPS WOW ZUMA`S BIRTHDAY PARTY Deceased FAMILY Members FUNERALS AYI AYI ANC😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎 HIRING AUDI A3 FOR THREE MONTHS 🤣🤣🤣🤣🤣🤣🤣🤣 SMASHING THE CAR OVER AND OVER AGAIN Politicians ARE THE MAJOR PROBLEM TO ECONOMIC DOWN FALL "@ Innocent 😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕 BRYSTON HOUSE AND ROODERPOORT @ramotodi DID YOU HAVE TO MENTION GROCERIES IN THIS JANUARY YEARS OF 50K SHUUUUUUUUUUU BOMB THIS GUY KNOWS HIS STORY TO THE POINT "@ Tuneful MusiQ "@ Thabani Mthethwa IT PAINS ME TO SEE OUR YOUNG AND OLD PEOPLE BEING MisLEAD BY THE COLOUR OF OUR SKIN AND THE ESCAPE GOAT OF APARTHEID 😕 "HE IS CONFUSING ME NOW @Desmond Masilela OH THANKS UNDERSTOOD @Sindiswa Moolman SO IT WAS FOR PROTECTION VERY SMART @ Samantha William USE GOOGLE 🤣 WOW ZONDO IS VERY CLEAR "AGRIZZI IS GOING TO BE AN UNRELIABLE WITNESS "YOU ARE IN AFRICA DO AS AFRICA NPA IS CAPTURED BIG TIME "@ Desmond Masilela HE WANTS TO GIVE THE NAMES OF NPA HIGH RANKING OFFICIALS "@ Desmond Masilela @ ​LADY T ask SUNDAY TIMES THEY HAVE IT ALREADY @ The Gambler​C HE IS NOT Snitching ITS CALLED Whistle BLOWING 😫 "@The Gambler​C  "@ Sindiswa Moolman NAMES ARE COMING LADIES AND Gentleman ENCA IS CLEAR STILL NOT THIS THING OF SABC "@ Sindiswa Moolman USE ENCA GUYS LOL AND WATCH HERE ON SABC 😋 "OH YOU GUYS ARE SORTED NOW LOL
Sindiswa Moolman,Who is the appointed Acting Secretary? Show us the cake foto please I need some renovations in my house. I wonder if Bosasa can assist. Agreed @makhosi nobhatyi I can see you have moved @jeevan singh Where is he @makhosi nobhatyi ? That is about to change @Tuneful MusiQ He nearly died @ERNEST MOKOKO "He had a brain tumour that brought him into a comma. When woke up Definitely @ERNEST MOKOKO. I think he means she protected Bosasa in return @Mfundo Veerasamy Can they give him a short break to collect his thoughts? Do as African!!! Yhooo. What is this saying about us? A middleman for Bosasa @Desmond Masilela He is snitching to save his own skin @Mfundo Veerasamy. This man didn't come here out of his conscience. Whistleblowers have some ethical fibre in them. Not this man @Mfundo Veerasamy. I agree @Mfundo Veerasamy No wonder Tom has so much money to waste defending his case You have a point there @CICA - Crime Intelligence & Community Awareness So Mr Moyane got at least R250K more My Maths say so too @Andre Gerber
ST James Rama,Smallanyana skeletons are running around i see 💀 Agrizzi is speaking the truth just like someone who is about to die tjeer... He must be given a plea bargain after this.... He has revealed a lot The big one was the Siyanqoba Rally obviously I don't buy this whole Ramaphosa story about cleaning up corruption! He justs wants us to vote ANC again Tuneful i hear you! they can eat the money but they must also look after us not just themselves and their families... What made Mr Agrizzi to come out and spill the beans SA must change the way we elect the President! Sindiswa! So they tried to kill him? Is the President following this Inquiry... That OR Tambo heist i also heard that government officials were involved CICA 🤣🤣🤣🤣🤣 I agree Jeevan Chris Hani was killed by the ANC Did everyone just get disconnected or was it just me? "Me and my big mouth
luzuko masoka,let th games began
Diketso Moyo,And we back on. Greetings to all "Apparently Mickey Sholtz want to give Angelo a warm klap on his ""fat face"". Is he talking about Mokonyane of the Thiba ka dibono fame??" "This oke did everything from packing and counting money to designing cakes Thiba ka dibono .......
lucky Molepo,hello Moyo he must go to Jail after this bathong Nomvula she was paid so much money wow even the details of the bag eish very disturbing sound we dont like enca fake news enca fake news hahahah fied fixed
Brian Bhara,what is yr view guys about Agrizzi is he talking lies or not about other things ANC money
Mpumelelo Lindani Mchunu,is he going to criminal after this "i meant is he going to criminal court What's Monopoly money "beautiful view 
makhosi nobhatyi,🤔🤭🤫 listen carefully This people must face the law I don’t care who is now they sold out our revolution comprised for their self interest Zuma benefits at bosasa and earn experience there hw to do corruption and invite his family and friends to circulate this 😀😃 that is why threatened people that he would speak 😳😳😳 "No Anc doesn’t sponsor any individual birthday "Individual must face laws the Anc doesn’t send any one to break the law Instead of the majority benefit they present themselves on behalf of people of this country to take wat it suppose to go them 😳😳😳 Zuma talks about economic transformation wat does he mean when we hear how they done things 🤔 He blinded Anc to hide his shenanigans and mostly ANC believe him laying because law was not functioning at him Ramaphosa is trying to get things in order to clean up those wrong doings which happened individual executives abused and broke laws State capture inquiry is 🥵 "They tried to kill him but failed please let us support him President is following this inquiry it will help him to his cabinet reshuffle
The SA indian,frozen chicken yoh "Lesson...always keep receipts yoh this mans memory is gud "Well the EFF doesnt like you jeevan
