author,message message
Kgosietsile Makau,The Time Is Here Hit It Agrizzi! Mr Agrizzi Well Get Our Land Back! "psyfrequency Techno Like Or Not CIC EFF Briefing in the coming 5min!
Sendo Sityebi,they like to keep us waiting abazi thina syasebenza nha do not in anyway associate cic malema to this capture here he is not in anyway involved n let me alert u being that may some of the anc official are coming here they can try to discredit him agrizzi is tired im also tired so cic say the protection of agrrizi must be edded cz everyone wants him dead and he is willing to protect him
Sofia Sofia,Morning ALL ! All evidence provided by Agrizzi has already been audited. Zondo will not be here if he was implicated.
Joe Lesibe,morning guys
Kagiso Mokadi,Morning Cdes
Lehlogonolo Seoketse,morning
thando cezula,Greetings fellow South Africans! Kudos must go to Petersen who would not give in to pressure from BOSASA Samkelo my brother please let's not degenerate! I'm sure you're better than that... Eita Desmond phahamang we're at the interlude... NPA was rendered ineffective because of its politicization - I'm sure this is a provisional withdrawal I'd buy Agrizzi's album over Zuma's anytime... This man can sing... Phahamang they're busy shredding evidence by the bucket loads!
Dams daily motivations Madamalala,Morning Fellow South Africans Welcome "Stop talking about land u need money for work the land  He charges was unethical He didn't Bribe Jonas he was only present Zondo we are waiting Zuma didnt know how Bosasa was making everymoth tht why he allow them to loot for R300 000 every Month She is an Idiot bathabile Dlamini
Bongani Sondlo,Morning
Samkelo Zwide,am starting to doubt MR Agrizzi remember he is white after all... cezula I understand you MR NPA to drops Duduzani's Charges...
jeevan singh,Morning Bongani
dumisani zangare,mng
Desmond Masilela,Morning guys @thando cezula. Sure bra. @Mfundo Veerasamy. Yes we are I'm awake Seated Im tired to When are they finishing? @stanley sifiso. hahahahaah........I'm not sure if that will ever happen. And now what is happening? my screen is black SABC is it tea brake? Yeban!!!!! what is happening. Is Bosasa capturing SABC now? @SABC Digital News. you welcome SABC Is this Bosasa still existing now? even after changing the name? "@Magda Seguin . Oh!! I remember that As much as im exhausted I can imaging how Agrizzi is? Yes @Michael Michael How many pages do we still need to listen? I would rather vote this corrupt ANC than DA. Viva EFF viva. time has arrive for EFF to lead the country. Watch the space. EFF leading the country we are going to rule this country Leopard never change its spot. DA NEVER!!!!!! I wont rule the country my party will rule. ViVA EFF VIVAaaaaaa........ @Thando Nkutha. Will mash all over the country. Will demand recount. "@Thando Nkutha. Just imagine @Thando Nkutha . They must just forget. No white will ever rule in this country. They must forget and accept it. Because it wont happen. Hi Evelyn
Mfundo Veerasamy,Are we live Hi everyone lets do this GIVE HIS COMPUTER LOL😁😁😁😁😁😁😁😁😁
john john,South Africa - The Mob Rules
Huettəson Mokgosi,Hola Everyone
Mercy Mamabolo,"Morning Everyone
Phahamang Thakudi,morning morning sorry im late... what track are we on now to finish this Grizzi album? studio time still allows us to finish this recording azishe Grizzi Konje why are Bosasa offices still not raided? "Thando "And the Hawks will only make a show of the raid later in the year I think people would more forgiving to a party that steals 10% and give 90% to the people and not this vice versa that the ANC is doing but hey ANC stays winning kunjalo 🤔 Not that they should be stealing to begin with As i said - Not that they should be stealing to begin with @Houws Houlinou in an ideal country (world) it shouldnt be like that but here we are. What else can we do "@Kevin Davis you will be surprised @Houws Houlinou ideally that's what I would like see as well - what do they call it? coalition? "ANC is a rural party and unfortunately it plays on emotional blackmail on our fathers "Please search for ""The 1994 South African elections"" a perspective by Phyllis Jordan. You will understand why we are where we are with the ANC" """The 1994 South African elections"" a perspective by Phyllis Jordan. It's a letter written by A.C Jordan's wife @Michael Michael lets hope the PIC inquiry will get to that too @Titi Pitso 😂😂😂😏 I can tell you now no party in SA is worth our votes but unfortunately we can't all stay home and not vote. Ideal election outcome is to not have any party with majority vote. They must all govern hand-to-hand maybe just maybe that way they will be able to guard each other "Blood brothers Agrizzi is sleeping 😂😂 @Samkelo Ngema he was 😂 did you see him waking up? 😂 where is this Gilleingham (sp) guy they talking about? Is he still employed by government? Hau kanti we still not done with the affidavit? Cula Grizzi cula boy 🎤
velaphi msimang,Sanibonani nonke Itumeleng is correct "Linda Mti had the time of his live with Bosasa
Zoyisile Mbaba,mayivele gca! inyani okomvwe bhokhwe
tienienel,Gerrie Nel is waiting for Dud. "thando cezula I see forward to the 12th of February.
Ngqapheli Mchunu,The state capture inquiry reveals that corruption is more about money than race. The urge to make corruption a 'black' trait has always been untoward.
Blacks Whites,guys is me Nkosinathi is sing
Orapeleng Tawana,WHERE ARE THE EFF IDIOTS TODAY?
