author,message
Desmond Masilela,We back guys. Where is Adv Maseko guys? @Tumelo Moruthane. I also think so. 😂😂😂😂 Mine is fine @Precious Ntshangase "@Precious Ntshangase. I'm using earthing earphone... @Thando Nkutha. Nami ithanda ukunginyayisa manje le Lawyer. Ingabe ubani losisi @eskimo_za. Eish bra dont even say that. she's killing my eyes. @Thomas Phekonyane. 🤛 @SABC Digital News. what is this black out now??? Family business
MSG Rules,boom
Dams daily motivations Madamalala,Last day of Bombshell leave Zuma Alone Vote ANC
Yandi Masina,👀 @Enrico He's explaining that he didn't lie yesterday. That the paper didn't afford him the 48 hours. Zondo. He didn't give an incorrect answer. He replied and said he will answer their questions after 48 hours. And they didn't give him that. They rushed to print before the 48 hours. "@Mpura Carlos They asked Agrizzi if the paper gave him a chance @Beril Carey I covered my nose reading it. @Eslon Eslon Pistorius doesn't like Agrizzi. He's shown it from day one. He gets irritated and annoyed and always cuts him off "@Nthabiseng Malebo True. If whistle blowers get attacked like this @King Snitch He's not white. @rohan barnard Wings😂😂 "@King Snitch Was reading his comments "@Eslon Eslon And yet everytime Agrizzi gives his personal opinions @King Vuka Stop 😂💀💀 @Thando Nkutha I wish he loses his voice and we get someone else. @Amanda I'd also sit still if there was a bounty on my head😂 "@Mooks689 Reminds me of the guy/chair at the British parliament. Their ""Baleka Mbethe"" The one who screams non stop. Google him." @King Vuka Is he/Viewing not that Human guy? @Sendo Sityebi You still alive Sir 😣🤔🤔 @Eslon Eslon The news outlets are leading with the race issue now. Nothing that was discussed this morning is even mentioned. @Eslon Eslon Yesterday's naming of journalists got under their skins. 👀🤔 Blood Money. 👀 It he done? 👀🤔 Can Jacob go in next please🤷‍♀ "Grizzly Bear
Julia Ndudula,where is everyone?
Njabulo Khuzwayo,Nene is reacting to every word Whose going to be a president of this country after this whole mess? Viewing is drunk Why innocent? @viewing I don't care about the guns you load or not load King indeed @ @viewing shouldn't be listened I'm blocking viewing his stupidity is of another level @thando nkutha is viewing For these guys it easy to attack the whistle blowers but are failing to catch criminals to ever run this country called ANC That lady lawyer is hooot🔥🔥🔥🔥🔥 guys I'm guilty as charged Who is this guy with his bad hair Mahle loyamtana ngathi uzothi Baba Maka mansion akho okugeza ❤️❤️❤️❤️🔥🔥🔥😔😔😔😂 Yea crcly the jackpot is 170 mill guys😔😭😭
Malopo Rathobela,"Viewing I love this Agrizzi guy "I think it's time we respond using our own home languages "@Thando Nkutha  Also blocked Viewing "@david cele  "Viva Agrizzi "@Nthabiseng Malebo  "@S Ntapane  Thank you Mr agrizzi
lucky Molepo,are we back
Bas Mdaka,@Viewing rubbish Well done Agrizzi We are proud of you Agrizzi @Pitso Mosetlhe when? @Bridgette Kekana are you dom? History will remember you Agrizzi - you love our country We need more people like Agrizzi in this country - people who are honest WOW Agrizzi
Myka'Al Daud,Viewing is ICC not waiting 4 De Klerk and his ppl Land thieves must go to jail in Australia "How can you pay 4 what belongs to u "No Viewing u got it all wrong Foreigners will obviously pay if they want to use our land Stop your fear mongering propaganda Viewing I don't pay 4 what belongs to me but a racist like u must pay Without any bloodshed land will return to rightful owners No shooting Viewing u ll peacefully surrender the land And u ll surrender your tractors too Viewing Stop joking bloody land thief U came with nothing and u ll leave without nothing thereafter kill original inventors Viewing are u an ANC member? Stop lying u r ANC u won at nasrec Viewing
Mpumezo Haka,On twitter are ANC and Journalists roasting him for lying to discredit him loool This Zondo sounds stuoid naye...he did not lie because he did not respond to questions
muneri rembuluwani,it's like I missed out a lot
Kusta Freddie,"but how is this ""responding to ST or not"" relevant to state capturw?" I think Pretorius is trying to discredit Agrizzi's evidence because he implicated the commission's secretary
Chris Langenhoven,zuma must go to jail Hy Viewing stop jou K4@K @eskimo_za don't go there I am I white Man
Talloolah Moon,Yes. Orange for jz Grizzi being grilled Looking forward to Trevor King snitch! Hardcore
