author,message
shadrack mokomatshidi,come on im waiting ...I can't wait for logger than this
nhlayisi owen magayisa,They start at 10am
Mpumezo Haka,Loool funny thing i am laughing at the growing numbers of people waiting while i am part of them. joshua doore is also here in the commission
Tshilidzi Makuya,bazalwane so ready hle vhathu no view? ndaaah!!! lo lala ngeyo? murumba a u tambele tshanda
Lucky123 Thwala,woza nazo mzala
Joseph Thobejane,Gud morning guys she is the 1 who fired by zuma xem babra y zuma firing mrs hogan did zuma have any qualification from university no Patrick i just want to know "but politics is not fear thanks matji i miss some text message nothing "Jenelle SABC now want to reshuffle the people but cyril its keep quit now  # tag zuma
Desmond Masilela,Morning Bombing up Mrs Barbara @Thando Nkutha... LOL...😂 So the lady was also fighting apartheid? @patrick mukatshelwa. None. "@Lindokuhle Mnisi. And she was privilege to be in her own cell Yet she was fighting apartheid. Why is this lady testifying again guys? I thought when Cyrial Ramaphosa took over he would clean up all these rotten cabinet of Zuma and appoint his own cabinet. He still working with all that rotten cabinet. @Mr Q. lets hope so. @peter pott. Eishhh tricky on that one. I've never heard her mentioned anything so called Gupta. @Mpho Kgomo. I see that. @Thando Nkutha. This wheel is moving very slowly. "@Thando Nkutha. Wheel of 1400 bakkie datsun Haiboo!!!!🙄 @Thando Nkutha. Maybe is me. can you maybe tell me what have you heard so far? @Thando Nkutha. Thank you. Then some of question will not be answered. Like how this country ended up in Junk status. @Thando Nkutha. 😂 There are NO other witness that should come and testify? Who is testifying next guy? @Thando Nkutha.LOL😂😂 Pravin? "@Thando Nkutha. Thank you. we have Zupta Me too @Ndumiso Buthelezi . When is he testifying? @Lunga Mzimba Thank you Lunga.
Edward Buta,Morning morning
Tsireledzo Michael Mandane,ndi matsheloni hurini lo lala "yes Jacob butternut zuma was nothing but state wrecker very true
Deena Moodley,"in the mean time lol bombs away YOH GUYS the lady was deep withing the ANC
Nhlanhla Nene,"we have power outage in my area
dave east,what's this about guys right
frans pholoana,these journalists are tjatjaraag...
Mr Q,SA ikude.. you'll never see such things(transparent process) happening in our sister countries Wits is a varsity of Legends💪 Some whites also fought vele strong indeed ANC forever✌ present n future Amen. true He is so ungrateful Cyril is inteligent. after elections he will remove all that rot also reduce cabinet size.. its intelligence in politics He wants them to campaign for him for the 2019 general elections Yes.. SAA was making profits back then "Today
patrick mukatshelwa,Ja I think she’s going to drop bomb Dzo rahuha vhana vha mukalaha He fired her simply because he wanted to loot bro "Barbara hogan is so free n relax Bring it on Barbara Hahaha Joseph don’t start bro "He’s got PhD in umkhonto wesizwe Polygamy kwaaakwaaa "On a serious note guys Let’s vote them out then comrades
nhla xwale,bugebengu
joentsako,its on
Tshidi Rambuda,u rahuha ndi u itani
Marvel Ramatshela,Let the bombs out..
DJ DJ,more than likely a corrupt one 😃 Thats why he showers
K,Zuma has a PHD in Looting from the Tsosti University 😂😂😂 Now we getting to the “juicy” parts Gigaba again 👀 "@Marc if Cyril said something @Elson thanks. It’s true
Eslon Eslon,Y is she talking politics at these commission? Is this now her testimony or she is talking policies? Hopefully we shall hear real stories after this break When is Mrs Hogan going to start with her testimony? "@Kerryn ANC shouldn't in the first place made Zuma both party and state President... This state capture disease is the result of wrong decision made ANC in selecting Jacob Zuma as a leader
Melene Rossouw,@Tsireledzo Michael Mandane LOL for Bachelors in Polygamy
Monique Jones,It's 2:30 in the am but I'm in watching until I fall back asleep
Frank Malaba,"yes she's a strong woman.
Lindokuhle Mnisi,"If I was Miss Barbara
Joel Emmanuel,"People of all races
jjkrew,she is setting the stage sad but true the anc is corrupt but i have faith in cyril lol wanted man utd to win so liverpool wud go top of table] he took over the mess left behind and he has to being the party back to former glory all we can do is have faith and look to a better tomorrow he cant rock the boat yet before the 2019 election its called strategy did zuma ever pay back the money lol ok then know now wats to come of this inquiry
San Terence Manyike,ANC is the future.✊✊
Tlhogi Dube,Sitting in a double bed ? @Thando Nkuta have you ever spent 7 years by your self in a small confined space. Stop dismissing people pain chief just listen "@peter pott 2011 was the last time SAA made an operating profit "@peter post go check your facts Coleman was part of SAA in 2001 @peter pott do you understand the concept of going concern? @peter pott Im not her spokesperson you choosing to quote lies for no reason Andrew coleman chief!!! Dudu Myeni tried to throw around that lie @Thando Nkuta chief google the financial statements dude @peter post its not sad the business model of airlines now requires them to lease aircraft. That way they able to use the best aircraft every 2-3 years without sinking millions. @peter post you can challenge the cost of the leases and whether they are favourable to SAA. But the concept of leasing is standard in the industry. @peter pott Boeing releases new aircraft every 5 years imagine having to spend R10billion every 5 years to buy aircraft it makes no business sense when you can reduce the risk. Lease = right of use chief owning something out right doesn't always make perfect business sense "@peter pott SAA collapsed because of bad management (especially cost)  @Mpho Kgomo she is giving background and details on her role.
Mark Carrier,ANC is so corrupt but EFF is communist !
peter pott,Mr katz is president CR personal advocate. hmmm! "masilela! he was the deputy president in this ""rotten cabinet"". meaning he must excuse himself too following your reasoning" Barbara now speaks like she at the bar. Here is just one question: was the lives of black people improved during the turn of Barbara Hogan as a public enterprise minister? yes/no Mr Q. which year? back then cannot be the answer "Dude. that was not profit. We sold our fleet "Dube. Here she is out of her own mouth Dube. don't attempt to be her spokesperson. this are comrades fighting their own personal battles in the public gallery. How Zuma treated kathrada is on the table here sadly is that we don't own majority of the planes we see at our airports. We are leasing them. for how much ? dube. You got to be kidding me. model of airlines?really Michael katz name comes so often in this discussion.lol "Dube. Now long ago SAA was in parliament. They confirm that they are paying R283m pm The is where out problem is. someone accept a role as a minister. And she goes to outsiders to help her understand her job. well done Judge Zondo adriaan lakay is looking for a job
hassiem fisher,its not easy to remove someone from his position unless due process have been followed.
Lin Chia-Hsien,but what is stopping him now @Mr Q black out ~
Mashilo Kotelo,Hope for meaningful testimony Hogan.
Tumelo Manamela,😂😂😂😂😂
General Mtungwa,Mr Q which year was SAA making profits and how much profit did it make . Please support your statement....
Sthakathi Khumalo,Maria Ramos white capturer of note President Pravin haha forces Mbeje giving us his digits I think Maria Ramos must also come testify what her role was she playing "Maria Ramos must come testify here The Queen of leafs Zuma was for black people to be honest but we blacks hate on him.. Inferiority complex here!! Today black kids go to University for example...
david dawood,I sense trouble in this commission today😞
Dimakatso Tshinaba,morningsssss. just got here
Kevin Davis,whatever Hogan says the zuma people will say nothing implicates him.trust me
Pule Monnamoncho,So ?
Sabelo Devaldo Nkwinika,kubi
Pink Panther Panther,She was not allowed to share a cell with blacks. the apartheid regime did not want her to mix with blacks
mlungisi khumalo,the question is why being white does not mean you are better but its just a skin colour why white privilege in a country with black majority yes Mpho it seems even we black people we are too submissive to the whites whilst we are in our own land
Paul Amoomo,"Hence called ""Apartheid"""
Huddy Makhaza,true that @Thando
Mpho Kgomo,"Yes Mlungisi I would like to find out why "True that this more of a lecturer about policies and corporate governance Corruption remember the SABC is also broke thats whats happening Auti Oh SNAP "Our Black folks should STOP messing with bigger forces "Marc do not depress me Ricky you can ask that one AGAIN its scary I know. PEACE Marc. Okay what now are back on. Siphiwe who looks aggressive Barbara? Please do share Andrew "Frans do not go there "Tladi and Marc count me in But Thando nothing ever translates into True JUSTICE. "BUT WHAT IS THE MEANING OF JUSTICE IN THIS COUNTRY Whats happening are we back ON. Thank you Thando does it exist here thou? Desmond we are being led to a fairy tale Island. This Lady is explaining NOTHING IN MANY WORDS Thando are you a Lawyer? Thando I was just asking cause Im pleased with your reasoning. "Hound do not say that
Robert Russell,@Thando Nkutha ......The white apartheid government put a fellow white person in solitary confinement for 7 years and you call that a WHITE PRIVLAGE?????? Gama is not the CEO of Transnet..... he was fired 10 days ago
NKANYISO BRANDON DUBE,This enquiry sounds like a lecture. Thanks@Mpho Kgomo Can someone educate me please. Did SOEs made profit prior to 1994? If yes how was the model and why was it changed? The giver The government is obsessed about creating jobs yet on the other hand is bleeding about public servants wage bill.
Nelson Musoliwa,Ministers entitled to seek professional advises in administrative justice or legislative imperatives
Andrew Mc Farlane,Basically your can wreck the place... as long as you are within the law I found a Meemo!!! its called a memo...not meemo.. 😃
Andries Kgwax,JOSHUA DOOR
Molatelo Rasebotsa,wen is she going to gv account of her actions not policies
david jacobs,A and C ? subtitles is so bad Bologna not benoni @motlalentoa letsosa -Zuma damaged the ANC Who stole the moneys from VBS? Who orchestrated theft from VBS
Auti Mjita,whats happening now?
Eddie Makhalemele,Maybe Gordan will give us answers.
Bulali Rawana,akubuywa na kule tea
Marc McDonald,"at the end of the day  Sorry Mpho 😞 "maybe @big one  @Tladi Maatla agreed! "Yes @Louis Maritz  "Cyril was complicit all these years "@jenelle chetty fact is that Cyril kept quiet for all these years and let the corruption "ANC will have 1994 results again now "yes agreed @Ernest Hobbs LOLZ @jenelle chetty ... i think not apparently it is expected to take another year and a half to conclude... so who knows "@Michael Mpagi it all goes back to the SARB  even sadder news @Michael Mpagi "so basically this lady is a victim herself
Ricky Rambau,are this really our leaders "@Mpho Kgomo qabanga zuma for which blacks wena? are guptas black?
big one,"Marc Nene is gone
Siphiwe Ntshali,She looks very aggressive this lady.
Frans Phala,"marikana mass murderer lol its gordan from willing seller willing buyer to willing investor
Jeffrey Magongoe,I still these commissions are a waste of time why cant they be tested criminally one time @jenelle chetty how do you separate the 2 He is ANC
Jngle Pssy,"South Africa dying a slow death … politically
Trucker Trucker,WHAT THINGS? BE SPECIFIC LET'S HERE THE FINER DETAILS! What evidence of state capture has been presented so far? "Joseph "Thando "Thando "Zamo "Somahash Janelle Chetty? LOL you have faith? Wasn't he the deputy while all this was supposedly happening> "THIS COUNTRY BELONGS TO JOHANN RUPERT "Michael Mpagi Go and read about Brian Menell and his links to Patrice Motsepe. He and Ramaphosa are BEE billionnaires. I wonder if white people used to complain about the apartheid government as much as they do about the present day government. Can they just call Zuma to this commission so he must end this once and for all. The jokers are wasting our time.
