author,message
Brandon Mphela,Is it done?
Jabulile Mazwane,I think it's lunchtime
Mali Mthimkhulu,isukile The ppl will liberate themselves no one else will "@Chioma Jonathan yep if money cant be paid back then Assets must be seized LOl the KFc though 😂😂 whr there is smoke there is fire myb its a joint of weed who knows no has ever been found guilty but does that mean theres no corruption? i guess not Only politician i rememebr who got arrested was Jackie selebi who was released on medical parole Politician get away with everythng including our beloved president Cyril Ya Shaik got arrested but Zuma did not @noko yamebetlwa yes no one will be arrested but the citizens will vote wisely commision of inquiry add value to the decisions made by the voters Lol KG share plz agreed @noko yamebetlwa lets keep out including our cultures to generalize
Marvel Ramatshela,"Guys they must come back from lunch now "17 mins later "let's not forget that this commission was Estimated to cost us R230M if run for six months not sure "According to my quick maths Already the implicated are busy selling off thier asserts and or changing thier ownership using thier cousins and what not. we won't get much from them "I hope the Chairperson is not poisoned like David Mabuza @Xolile - lol just saying hey. anything is possible in S.A. Zuma was also poisoned in USA remember..😀 Gama and Games - same WhatsApp group.. "Lot of corruption happened in Eskom and Transnet. Billions were wasted and stolen there. Denel now can't pay salaries I can't believe that 2 little brothers came and captured our country over curry. Disgusting and sad😢😢😢 Only Tony Yengeni went to jail for that stupid ML bought with corruption money "ANC MPs and thier executives in SOEs & Municipalities are ALLLLLLLL corrupt "@Russel "what a shame in your ruling party What if there were no Gupta email leaks..??🤔 "Our State Security Agency failed to protect this country "As long we still have Mokonyane "Was Sunday Times reliable then "We'll recover after 25 full years "Jeff Radebe a has been a minister for 24 years now "I wish to see Jeff Radebe's pension She's not the best witness but we appreciate her afforts. "@Desmond - I agree "Maybe it's because expected better from her L "Duduzane is barred from living the country until further notice "Yes "Ramaphosa My conclusion: Everyone seems to be implicated in state capture except the poor.. "@Timoty - If he can't fire Bathabile Are people allow to just linger around while judge is still on Chair? It's annoying hey @Zamo - Certainly but he mustn't abuse our support as it can be short lived. we need abl we need more actions than warm speeches @Zamo - but they had a consil they had a constitution and PFMA to guide them. not to take all of Zumas crap "They have no excuse to act otherwise The evidence leader is somewhat not the best I'll wait for Wednesday to hear what Gordhan has to say "@Joseph
Jan Badkamer,kfc is too nice
Clive Sibbs,its 206 pm.are they still at Busy Corner? Deputy CJ Zondo uzoshlekisa ngabelungu manje..he is way too late 😁😁😁😁Robert Russell
Musa Kgoete,probably McDonald wats that fat on her neck @Tamaryn Petersen .....lol....mybe shes diabetes or high blood pressure...we have an obesity problem in this country @Tamaryn Petersen ....ok....but she needs to work on her weight....including judge zondo by the way @Tamaryn Petersen ....no...no...no....there is no excuse here....people are lazy to just take a 15 min walk 3 times a week
Desmond Masilela,African time Chairperson had 1hr now his intending to take 1:30hr. "When chair person come back he will say ""I'm sorry i'm late"" watch the space." Is SABC being captured as well? @Clive Sibanda . 😂😂😂😂😂 Lift was also captured by Gupta SABC can you please assist us with the noise behind. Thank you SABC We cant miss any single word from this commission. Who are those who were found guilty? Who is this Gama. @Thando Nkutha. Do you know Gama @Thando Nkutha. Was he also one the Zuma? @Thando Nkutha. Oh okay thank you Thando. @Thando Nkutha. Are you on facebook? Thando is right. why was Gama put on suspension? because of corruption. I do believe Thando Nkutha @Thando Nkutha. And the indian guy of Durban I cant remember his name. Shabir Shaik. Thank you @Eugene Du Toit Because he was the President. @noko yamebetlwa. Exactly my point. "Life Esidimeni commission "@Keryn. Look the woman called Cedani Mahlangu This Equiry is it for ANC president to get vote from us or what? The will be time where Jacob Zuma will come and testify. He will deny all these allegation watch the space. and NO one will say no you liar. @noko yamebetlwa. 😂😂😂😂 @noko yamebetlwa. Put it this way Noko. Only his supporters will go on strike if he appear to the commission. @noko yamebetlwa. Thank you Noko. I believe Thando will agree with me. @KG Kagiso. hahahahahah........Shame old man "This lady is talking to much Because she seems like knowing everything even the dates. "Its the first time she says NO @lefty twala. No one will pay back the money. and no one will be arrested. Marikana @ Life Esidimeni. No one was arrested All this lady that is saying is it the truth and nothing else?? But she's saying lot of things and seems like she was perfect in her turn. @Marvel Ramatshela & @peter pott. precisely my point. Just hit on question and give straight answer. @Karabo Qokolo. kwaaaaaaaa..... I also thing wai dibala. She's even answering while they still posing a question on her.
Tienie Rabie,in 45 min time its tea brake
Chioma Jonathan,Have u They "@malibongwe as simple as ur statement is One could make an award winning movie from state capture...the only problem will be finding the actors/actresses to play the character of everyone involved. "@keryn thanks to u
Thabo Mabaso,They are back from Busy Corner Chairperson Zondo is tooth picking he's coming
skhumbuzo mahlalela,it happening in mzanzi
solethu matrose,eaWEDAsoiH USEZINTLUNGWINI LOMAMA YHUU @Marvel Ramatshela WHO SAID JACKING OFF WAS AN EASY TASK. i missed part 1 did he bring any evidence? i mean she @Clive Sibanda they say lots of work is behind the seen 25 minute @Josias Ramoraswi @Robert Russell nonsense being Late is not African time . if SABC died off now? @Marvel Ramatshela if there is evidence that anything was stolen 🐒🐒🐒🐒🐒🐒 what heppened 🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎 no email? lomama uthini this wonan make me wanna Dibala (dance) @Thando Nkutha noo why would it be broadcast if it was ment for zondo only
Aziz Makae,what what now? the guy who was transnet ceo
K,@solethu 😂😂😂 @Desmond the NPA is captured. @Desmond Eish! Let’s all be reminded that Mr “imagine this in your mouth” Gigaba succeeded Barbara Hogan as Minister of Public Enterprise @Chioma 😂 True! Barbara ! Jeff Radebe is a vulture. He is always close to the President (who ever it is) The Zuma Faction ruined this country @Hlalanathi Mbimbi true
Eugene Fray,its after lunch chats hahahahahhaahah I love that chair it looks super comfy and super pricy per case and per hour or per second these guys don't play with KFC guys these are Nandos guys where the chicken went to a model C school what is real as we are being made to believe so much and then they turn around and say its false we are being brainwashed while there are bigger deals being done behind the scenes Then its time for a clean up but who will be left to run the country? Seriously why does each party get a term and lets see how it goes but big decisions should be a combined decision Joseph they answer what they feel is the best without being trapped Joseph Its when you have something to hide but you not sure to what degree you can disclose the matter without being prosecuted yourself "these guys are whistle blowers and can't be implicated in anything or else their evidence is not credible Thando as much as I agree I also think coloured people also need the land ok you might feel that way but not all see it like that Eugene DT: thats a very important question
Charlene Botha,Mr Delivery was late.....give him a break...
Sthakathi Khumalo,Who is playing idibala in the background Maria Ramos again!! "Thando is making noise about stuff he has been reading and making them sound as evidence Twitter evidence leaders must be banned.. we need evidence put forth and not hear say. "monyane tumelo please tell them I hate it when people say black people need education about land. what education.. blackpeople can work the land. problem is wealthy land is only for select few!! "noko yamebetlwa fair enough bro Nlisi Thole indeed!! state capture smells like a factional battle to access resources!! The ANC are really not fit to lead us. We seriously need an alternative and not their graduates called EFF "Hlalanathi Mbimbi To be honest
Robert Russell,This is why they need two years to finish the Commission..... too much KFC at lunch times Yho...African Time SABC gone for KFC now Deal with it now...tea time is in 15 minutes "Chair..... it's 3 o""çlock.... is this a convenient time to adjourn for tea???????" @KG Kagiso they are her OWN state documents....FFS KG...... is too stupid to actually be stupid Sounds like a Netflix movie with all these actors.... @Eugene Du Toit .... tat least he had the balls to Fire Gama... She stood up to Zuma .....Lyn Brown just rolled over and denied everything.... HAHAHAHA.... funny that Gigabite pops up AGAIN
Trucker Trucker,"State Capture flames are now burning even those who fanned them. Nene
Andre Heydenrych,"""Burp....""" ifs a joke!!!!!! yes but there must be a weight on the seat.
Xolile Mqungquthu,smallernyana skeletons we want them out Maybe he met Msholozi on his way back guys haybo chair SABC recaptured now hey hahahaha I told you Msholozi and his crew r around Hayi Ranatshela maan nawe This Gama guy
Takalani Luthada,cga "the chairperson cannot be late
Josias Ramoraswi,he is till in toilet guys.....
Lucky Mavuso,Can the chairperson please come back data is very expensive. delayed by food of course the sound aaagh let me switch to eNCA
Avela Harvey,"state funds are being wasted on this
Jim Moloto,"can at least shift the camera somewhere hahahahaha stuck in a lift
Chela Brake,come back chairperson gama was hand pick by zupta to loot transnet Eugene why smthese ppl are all corrupt to the core thats why smt am bored to listen lol with zuma there was no profesional when ever you meet point taken @Eslon Eslon
Nomsa Mdhluli,Ya the Sabc ate Zondo that’s why his chair is empty Zondo was stuck in the lift
Mpho Mniki,whats this noise
Zolani Mnqika,LOL @ Lucky Mvuso
