author,message
Paul molane,when they said 10am they meant 11am yes kodwa is always there the comission can only refer the report to NPA The cases were investigated abd reffered to NPA which has to decide to prosecute or not. lawyers are not accountants as much as accountants are not lawyers lol fils she is cute fils are you eating fat cakes for lunch?
nkitsing montle,As we wait "Yeap "I like how this guy speaks
Delphin kapeta,Is this on today? 10am african time 🤷🏿‍♂️😁
Lucky123 Thwala,Zondo is wasting a precious time and he will call for tea brake just now. "Ace Magashule  At least Shaun abrahamse is no longer the head of NPA. Hey you don't know this people they will still say under Zuma there was wrong happened and no corruption ace ace "don""t forget Mosebenzi Zwane" Lol
Modimokoane Brendeline,"someone is breathing so heavy hahahaha oh ok
Wheels Club,kkkkkkl
Thiza William,heavy breathing from the judge
Nozipho Thembeka,It’s Mr Zondo 😁😁 Mmmm I’m so disgusted by Zuma andANC This amount are too big I wish Zuma can come forward and explain this and expose another’s we are tired They must expose provincials department in future 66m Months
Dominique Mudawini,any problem with that?
Norman Zwane,@Modimokoane Brendeline Sorry someone's heavy breathing annoys you. @samuel molope From a commission? I thought only courts have that authority. @Ken Mojela Yep! It is him. Great spotting. @Paul molane That is what I've always thought. Which is why a joker like Shaun Abrahams suited Zuma like a glove. "@Cool Jazz By appointing the likes of Shaun @Paul molane I am convinced all lawyers are the devils' advocates "@Fils de l'homme You quite observant  @Fils de l'homme I think you are race baiting Fils. Guys please ignore this baiter. Just no we will be vloeking each othrer. @Harry Consu You and Trump seem to hear the same thing
ANDRIES TEBOGO MAREBANE,@ University of Limpopo
samuel molope,whose gonna go to jail after all
Ken Mojela,Am i seeing Zizi Kodwa?
J Ganasan,bless you sweetheart oh he's a bean counter @Paul molane - brilliant observation @Fils de l'homme - so what?
Elton John,is Tommy Lee Jones involved? report > hate speech "SQL is a programming language for Database applications "Harry "Harry Ramaphosa will likely drag the issue and forget about it after the election most things in SA end up in racial issues so probably your next alert will be more about it computer illiterate guy obsessed with the language used to query the database rather than the actual information thabo the white lady is not in the same league the black lady ♥ these people are stealing a living... slow af 🐌 the entire state needs serious reform but at the same time it's volatile to reform "I can't see a future for the country when the state enshrines racist laws and questions property
Mbuyiselo Breakfast,lol @ elton John. Awe Fils...its a fish gap .. lol.. @ Fils..awe ma se kind..hahahha There will never be a civil war in RSA Harry 😀😀😍😍 very nice Eish Sylvester...
Bandile Mhlauli,"Hi guys
maud thabethe,"Yoh when did the enquiry start today
Fils de l'homme,"hello my bantou a Caucasian being questioned by a bantu does this bantu lawyer lack front tooth? "this caucasian is quiet tanned hahahah @breakfast u killed me "@maddluphutu is the light shining on the skull on the bantou lawyers head the bantu lawyers head reflects light in the room "@norman "@desmond they had to have a Caucasian bcz we r capable of reasoning whereas the Bantu is abit slow "@desmond "exactly the lawyer is confused okay there is alot of bantu here i was in a new informal settlement called mafikizolo "so guys silverster u smoked nyaope that jugde is fat like oros @jack that's how they run the country hi i am back today i will only speak to human beings n not to Bantus bantus are 3/5 human beings "kill the bantu "@david kill the bantu awy awu the tsotsie eff will ruin the country but Bantus will not understand "@sabelo "@force
Thabo Kganyago,"@Paul molane  "@Fils de l'homme  "@Sylvester Tyhali  lady @Elton John 😂😂😂😂😂😂 "@Fils de l'homme 
Louis Germishuizen,@fils de l'homme...what's your pluck? @fils. ..is jy n dokter dat jy vra? @thando...who's accent? @thando...you lost me "@thando "@thando
Masapho Thabo,rosetshishonga@gmeil
Madluphuthu,@Fils de l'homme yes he lack some of the front teeth. You on the other hand lack the whole brain.
joe gils,All we want is justice for our nation powerful pa system even the sound of Papers
Nkosinathi Sihle Shange,😀
Desmond Masilela,I think I must just do the same @Mbuyiselo Breakfast Please lets just ignore him once!!! I'm not gonna respond to you. and please phuma kimi @Fils de l'homme "I think many people need to come and give their evidence in regards I think CR is just waiting for next election thereafter he might do some JZ cabinet and select his new cabinet. @david jacobs reshuffle cabinet "@david jacobs @david jacobs. In my view David I think the man (CR) is waiting for next year to elect his new cabinet. So the judge want to tell me that when his finish with this witness is over for today? he only started 10:00am and he wants to finish now at 13:30? it cant be. 😁😁😁 @david jacobs. You correct @Tiny Nontulo. He was there and he did nothing. even when Malema raised all these in Parliament they all kept quite. It doesn't matter where CR is the president or not. I think he also need to come and testify. Zondo wont have question I think his hungry now. He said sometime this week.@Thando Nkutha
Krishnendu Mondal,nice talking
msobho omnandi,"prod of Zim cabinet
Nhlanzeko ninela,Thuma mina lol😂😂😂😂😂😂 ANC is the people who selected it if the honest people select corrupt people they'll demote em but corrupt people select corrupt government! so its working wekl
Mpumezo Haka,This is just the waste of time....Report will be referred to the NPA to open case then another investigation.
Harry Consu,so.. I'm in Australia & hear stuff is looking borderline civil war/genocide - any u guys there in S.A got a comment?? uh huh... is censorship heavy over there...i.e like Europe? ok I'm pleased to hear things aren't bad.... usual media sensationalism ok.. thanks Elton and others.. this Just popped upon my feed.. dunno why...ok thanks all
T.S Mokoena,"@Harry @sylvester u right it is Zizi isn't that taking it abit too far @jack Race card is a card they dealing to us so that we don't stand united in fighting their corruption @street....that's how it starts! 😔 lol zondo mpho how do you know because they only mentioned FS and KZN? Thanks Creighton "FS paying big bucks to TNA FS administration(1) =No service delivery(0) +(1) increased looting of public finds.. aaah mara Zondo n numbers "lol but Maleka has already established the amount was 5.6 million But I do agree with you @marvel how many weeks is this commission planned for? guess we in fact have red a long wait for judgement if it's a year + in for a long....
Jacob Ditsheho,FYI SQL is a structured query language not a standard query language
Sylvester Tyhali,"There is no civil war here The war is between Roets vs Mngxitama vs Malema Who is this guy? I am late? "is that not Zizi Kodwa "Database administrators "That girl with a curly afro Her lips 😍 Zondo was at the reed dance 😂😁 Zondo's mind is still at the reed dance @Thabo Kganyago racist I smoked weed last night...after a long time "Smoked weed last night "nah
Carl Schmidt,Who's the heavy breather?
ZOLILE INNOCENT THOMBENI,lol all of this was not possible.. but then we have EFF ..making the right noises... The whole ANC is corrupt ..
gladman chikosha,What has got SQL have to do here ??
Manana Matlawe,The volume is weak
makhado tony,@zolile indeed the whole ANC is corrupt they protect each other you are full of corruption and arrogant the whole ANC is corrupt from the Top 4 .. dont tend to ignore who we talking about they all the same yeah it was a fake payment all they did is just take the money why would the pay media same amount more than once he just said he is not accountant a lot of money @Thando i think the great family Guptas zondo he is high
bonjo nolo,yhaa nheee🤣
Victor le Ruth Mokgatle,Zizi attending ITU opening and the Commission simultaneously?
Barry McCockiner,hahahaha that judge I think that judge is on weed permanently...lol Where did they get that judge from? He's a moron. They should have an enquiry to investigate this enquiry! lol "At this rate 
Kiren Thathiah,at least the fat is on his body rather than in his head like yours Fil of racist nonsense!
makhosi nobhatyi,These company which state pay media seems fake it was a plan to sucked state resources "Makhado tony we are in real world now "I pray for the sake of CR we must vote for him but he is working with wrong people "ANC was trusting Zuma too much and scared to face him Son of the former Premier Magashule was working for Gupta so fs pay in order for ace to get kickbacks "Desmond Masisela Ramaphosa is not a stupid guy won’t do that coz there is records after wasting money so if doing that he has to answer Agree with Marvel Lol agreed with you Twala that one he must come really Shame our best president CR has carryover all Zuma budon in his shoulder it is not on guys Nontulo nothing you can do alone many people with majority surounded president and hawks and NPA was control by Zuma and all branches of the ANC in favor of Zuma what else you may do Mushavhela you can’t do that just leave someone who run away is cowards if he did that Zuma was going to have more control and we can now have another Zuma such as Dlamini-zuma to defend him
Creighton Schlebach,R220 million.. jesus "Prior to August 2017 "the Gupta family’s investment vehicle (35%) from Wikipedia seams like they were using taxpayers money to build their own media enterprise aka propaganda machine hahaha - listen properly @T.S Mokoena - they show an slide on the screen @david - then he shouldn't have been President true - can't dispute that "@A.A. DOS LOBITOS Google ""state capture south africa""" phew
TG Swartlane,🤣😂😂🤣Thando
Agent Mabatane,guptas
Ena Swart,eege
Samviation,Those were paid by who? Sorry I just got here
Cool story bruh,"1 euro = R17 South Africa is a sinking ship.
Siba Mfabe,"@makhado tony  "@david jacobs  "But we are reliant "@thubalethu  "@Tony Pannack "@thubalethu  We need a law to prosecute for involvement in fraud btwn Gov and private business that imposes a 20 year fine for 10K and 40 years for 20k per offending party. Amounts musn't change over the years. @david jacobs How so? I am sure Faithless Muthambi must be thinking about dying now. GCIS for DG's are coming through next. "@Marvel Mushavhela  The falling of Ace continues. "@Desmond Masilela  "@Marvel Mushavhela  "@david jacobs  "@Fils de l'homme  "@Force mohokare 
A.A. DOS LOBITOS,Shana Tovah. Happy Rosh Hashanah @ Craig swanepoel.... you can move to the USA What’s the news on the plot to unseat the President???? Like we say here in USA always ...follow the money..and who benefits ... and which political leaders have sold out at the expense of the masses The Question is who is Backing this... what out side country or countries? what international group have their hands in this as well...you have to think wholistic when your dealing with political @ nokwazi shongwe ... so that means your corrupt.. since you stated that “Everyone “ is corrupted... Who is Gupta?
BORE ESAU Motsoso,this is our Tax that is being deducted each and every month from our hard work earned salaries impilo inzima kapandle
DALUXOLO DINISO,pule mabe uyaphika uthi ayikho lonto
mike stone,"remeber what the anc said? ""we didnt struggle to be poor"" they're a bunch of thugs"
