author,message
bubbles2675,were the proceedings not going to start earlier than 10 today?
Kwame Okyere-Boateng,Twas supposed to start at 9.30
Desmond Masilela,Judge Zondo is late with 5 min Kwaaaa @Jackson Mpala
Alex Mbontsi,Yes @Jack&Amy
Febes Escorial,ISA NANAMAN TONG WALA KWENTA
Terrance Phala,🤣
Fils de l'homme,"Hello to all my Bantu I like the level of intelligence in this cross examinsatin btfl ppl are speaking These two peopl r so bftl caucasian are so btfl Can a Bantu lead a nation or a tribe @Tony Jantjies give ma succesfful country run by a bantu? @welton paulse give an example @Tony Jantjies Kagame is not a bantu "Kagame is a Tutsi @welton paulse u r wrong @welton paulse My bantu maid didnt come as she gave birth so she is on leave so its hard times @Mosimanegape Bapo u r sick in the mind hi @Monique Jones i saw u on twitter yes @Monique Jones "@Monique Jones u r very kind "i know @Monique Jones @Mosimanegape Bapo venezuela is damaged "@welton paulse I love bantus @Mosimanegape Bapo u r sick "@Monique Jones u r not black @welton paulse Bantu cant survive without the caucasian @Mosimanegape Bapo why do bantus in SA have such an issue with caucasians? "@welton paulse Not at all "@Mosimanegape Bapo twenty four years that bantus are running the country "@Mosimanegape Bapo u must know that the bantu is incompetent bcz unlike the other ppl group on earth I just saw Peniaza Lizufi talk crap on TV These Bantus have a romantic connection with racialism @Mosimanegape Bapo do Bantus have high IQs? @Mosimanegape Bapo do u mean the pyramid scheme or 411 scam? "@Kingsley Mathe the reason they do it like this is to avoid social unrest if a political leader seems to be persecuted @Jackson Mpala u r a racist "@Kingsley Mathe it is not about Zuma only ? @welton paulse @Peet Venter is of higher quality than u @Kingsley Mathe No we dont but the inquiry gives to ppl the idea that there was a problem n Zuma will not have an argument to mobilise ppl @Mosimanegape Bapo if Caucasians didnt come u would be in jungle @Monique Jones why did u do it? "@Kingsley Mathe Today they are talking about Guptas and dudzane Gupta @Tshepo Mahlatsi nobody missed u so go away @TheChannel kuluma @Tshepo Mahlatsi I understand ur pain @Henry Mmbando u need to improve ur vocabulary and sentence construction @peter pott do u still smoke ur pot? "haha peter "Hello my Bantu @sakhile mtshali u huys have simple minds. if u dont see the picture being drawn than no body can help u I can prove that Bantus have no sense of the future I can prove that Bantus dont think about the future I can prove that Bantus wil not imporove the lives of S.Afrians in the next 10 years I can prove that Bantus only think about food and sex I can prove tht Bantus have no sense of No sense of future @Kingsley Mathe Bantu is a disctinctive word which separates u from Nilotics @peter pott No I dont smoke @nhlayisi owen magayisa Integrity is a white thing n not black @peter pott what was the question whenever Bantus need an expert they will look for caucasian @Kingsley Mathe The bantu have no plan for the future "@peter pott No I dont lol @Trevor Rolfe u know that I am right "@nhlayisi owen magayisa nothing @peter pott we also built the land @Trevor Rolfe u just dont want to be adamised but u agree with me @peter pott without us there would not be water "@Mkabayi kaSenzangakhona u r right Bantus must understand their limitations @peter pott r u the only one who is unaware that SA has water issues ? @Street Cred that is why white ppl have a burden to help Bantu so that they can improve "@peter pott gee @Street Cred u r right we need each other U guus know that Bantus have no sense for the future Bantus only think of the sex n food @Street Cred u fuuny "Guys I am back
nhla xwale,ya alot problem ya look the future gwede the know what is happen it's true
Frank M,Gwede Mantash Gwede is a very dangerous snake. he appears t be a very important in front of us who know nothing. O rite. @Tladi Maatla i think all the top 5 ANC exc. should come forward and stop acting as if they were not in this world. I DONT THINK HE KNOWS HE HAS SEVEN WIVES. @Fils de l'homme man people like you really i think we dont need people like you in this kind of group. we are here to correct the ANC that we love so much. if you still in the vir wooerd world lets start here right now. 😔😔🗨
Pumla Mtyeku,Gwede Mantash😱 am so crestfallen🙈
