author,message
jackisto jj,we are waiting lol
Lunga Mzimba,am sure they are still looking for the ON button somewhere
Fhumulani Steven,There we go... The sound is very bad... On eNCA the sound is better
michael mbatha,Baba Sthenjwa
Siyabonga Dladla,@SABC Digital News sound quality yenu comrades
Gert Bester,Sound is terrible?? Can someone there pleeese do someting about the sound..it will make me go insane!!!!!!!!!! What channel on the DSTVV app?
Canaverde2,"aS USUAL
Nozipho Thembeka,Sound is very bad
Lucky Sibanyoni,terrible indeed yep. enca is great
Xolisile Mbhele,FIX THE SOUND. WE WANNA HEAR THE LIES IN HD NEVER WATCHING ENCA AGAIN LOL NO
Slindile Ngcobo,switch-over to ENCA
Given Muzi,Sound is Terrible
Victor Litabe,Please fix the sound.
NN2017 UTHANDO,the sound is terrible
Kopano Pabe,The sound is terreble Ohh thank you SABC!
Edward Buta,Whats wrong with this flipin sound!!
teboho mohlakoana,Yah ENCA is the best unlike cash strapped SABC pls guys lets all switched to ENCA and leave this SABC this are the result of being cash strapped maybe they owe sounds or maybe sound is retrenched....lets go to ENCA is the best
Sekgololo Johannes,what is wrong with the sound now?
thulani miya,Sound Sound Sound Sound
nhla xwale,sound something wrong "please help us  take out sound bad
Walter Cole,"I’m representing but not sure how long with the poor audio sounds
Lebone RATSHOMO,Pls fix the sound yeses
Desmond Masilela,Guys switch to ENCA Why @sibu zwane But I see everyone is reading what his saying. So whats the use of reading? Eishhh his eyes is scaring me really.. Thank you @Thando Nkutha This is waste of time. what happen with Life Esidimeni @Lwandile Damane . Thats my opinion. Considering the Life Esidimini out comes. Qedani Mahlangu was re-elected at her position. And no one was arrested for the lost of our people. Kakhulu @Mpilo Mthiyane I fully agree with you 100% @Lwandile Damane LOL...@Thando Nkutha Why not?
Siya_Map,eNCA better!!!
Loyiso Ndika,the sound is very bad on live streaming. Sounds better now
Tyamie Lundi,watch from ENCA you tube channel guys. it's way better there. "search ""State capture inquiry"" on your you tube search engen and you will see the ENCA option quickly."
Mkhuseli Freddie,no ENCA live streaming
MASIPA ITUMELENG,this sound I think I'm gonna switch to eNCA maybe we wouldn't be suffering petrol hikes could he have bought the refinery
PATRICK MALESELA,I TRHINK IF POSSIBLE YOU MUST TRY SABC TV ITS MUCH BETTER
Keaton Solomons,No sound.
Marvel Mushavhela,Let me use my DStv app
Elliot Mokoena,"the eNCA stream is clear
david jacobs,"Morning All  lol lol
Mathonsi Mathonsi,"why is it happening today
Jerry Sigidane,Ngoho zwinwe zwithu zwia bora as specially u chi toda u pfa vhungoho ha kha zwe zwa itea
siphelo tshotyana,The sound is okay.....
Boitumelo Mahlong,no sound has some noise...
lxole,geez now i have to watch it through enca 😑
Bitso Paul,Wow! Courageous! The sound is poor! The sound is ok now!
Paul Bakane,sound pls
Maimane H. L. Lekwane,"The poor sound is killing us
Relebohile Bosaletsi,Sound is very poor. Please Please adjust ASAP SABC sucks nxa
Walter Mercuur,the SOUND is poor
Hiltonw111,Is it intentional to have poor sound. Doesnt sound like a cure. SABC wants to know why no one wants to pay TV licenses. Quality of broadcasting is at all time low Incompetence at its best.
Corus Mabulwana,Tune in to SA FM to deal with the sound issue "I'm viewing the footage here We actually work and can't take our TVs with us to work Phindile.
Beja Kalimbo,sound please
Thuso Sebete,"sound better now 
lufuno Justice Ramashia,now the sound is okay
Jared Lee,nice
Phindile Mazibuko,if we all pay the tv licence sabc can afford better technology for our benefit i can tell that all of us here dont pay the tv licence because enca are privately funded like koos botha if we the so called literate can pay our tv licence .it can go a long way in assisting thr poorest of the poor "@sibu zwans not the minister the whole anc cabinet .if i may ask can u trust ace  ramaphosa is very dignified .ubaba and his gangsters nearly killed the anc no wonder why ace and supra are organising the mafias to fight back its because Zuma have got some dirts on him zuma is the worst president ever to come out of my Anc its only hitting him now that the guptas have stolen so much billions all the did is to give his kids crumps and they ram away with the real bread the parastatals have collapsed because of him .so where must we get the money ask the guptas what they did at denel and the shelve company in china where they diverted the funds to dubai usually a benefector of corruption will fight to the better ends at the expense of their poor @thando nkutha all u are trying to say is that mcebisi.should have taken that evil money for us not to label him a liar all i knows is all in all someone would have had a courage to say no to the guptas .the anc of mandela would never have accepted what the Gupta's were doing in Sa.thanks to jonas
Lookingroom Pictures,shame sabc now we all have to find alternative to watch this....#Sound
BEE-llionaire Okwacha,Do we have Vuvuzela guys checking this audio thing? Did they ask him if he was ever at the Gupta Compound before he became the minister and after "No This is not a soup. he should have let him answer
Azola Mgquba,"eNCA is much better
Asanda Lamba,Someone is trying hard to sabotage SABC
Lucky123 Thwala,spill the beans baba sound Guptaz have stolen the sound
sibu zwane,I'm disappointed at this minister
Link Maseema,blah blah corrupt no 1
Sphamandla Ndaba,No sound
Lwandile Damane,"after all is said and done "@Desmond "Inquiries are useless This inquiry also shows how uBaba was a REAL G😂😂😂
Xman Mkhulu,Truth and truth alone will set you free. Also truth in this case shall set this South Africa free. "This time SA law will act accordingly
Mpilo Mthiyane,Ai Kanti were wasting time.
Mpumelelo Nkosi,"@Desmond Masilela  uBaba is an operative...a great leader. the corruption allegations just taint him. The inquiry is not a court...it recommends... @uBaba is the real OG!!! @Thando Nkutha uthini? "Lol hey @Lizette van Greunen SABC cash strapped so let's bare with them lol. "on face value SOE were never meant to be profit making...their purpose to to meet the nation's needs of Employment and infrastructure without concern of profit margins... Anyone with a crack of Filmora?
cecil thurston vanreenen,"ubaba was the best president we ever had people is paying huge money to taint ubaba image then block me "He was better than mandela
MAGIC THAKENG,enquiry is waste of money
Sihesenkosi Mtimbane,@Magic Thakeng but we have a right to know the truth regardless of the expenses..
Lizette van Greunen,Sound very bad!
CataclysmZA,"prediction: Nene will be found to have been complicit in state capture "It wouldn't have been a R600m transfer Gives you an idea of how much money was taken out of the country through the Gupta's antics. "Also Today's meeting probably finishes at 5PM. The commission itself might take another month or two to finalise their report.
Pumlani Mkotyana,@cecil thurston vanreenen ubaba was not and will never be the best president. Zuma damaged his name not people
Keatlaretse Phetwe,They said he's all over them but yet nowhere... He was 1 of the best.. Noe we have to approach IMF... Who cares about you....I dnt.. So thando is scared and a dictator??? And he's emotional??? Using appartheid tactics and has no balls??? I dont need ur comments sir.. Now back to business...I say under JZ there were no petrol hikes....I can barely afford.. Cyril enriched himself since 94... Prooof??? "We r still getting ther "All you guys know is the word state capture See????Phindile cant think beyond state capture.. "Do you know ""Bidvest???" Thats the budget of GCIS???? So he wanted to buy us a refinery??? He wanted to buy us a refinery from some arabian dude.. I thot I heard so... Or from Saudi or sumthing... I think so... S blind people always say... "Now atleast ppl r beginning to say JZ's decision was not so bad Is NENE boring so far or is it me??? So Nhlanhla wasnt fired for not refusing to procure nuclear?? So u guys are disappointed??? I told you guys...It doesnt mean you are right just because you are a group???It just makes you a foolish group... "In fact Its just ppl are not listening...Or just are obssessed with damaging Zuma's name.. "THats not the point Mogorosi The intention was the point... "And another fact "Thiza 1. nENE WAS FIRED FOR THE REFINERY DEAL... What facts do u bring MASAMBAG.. Why was he fired? I know it would.. By saying wat MASAMBAG? "Avoid being emotional "We know that MASAMBAG
Khalid Mather,spider-web :O 600 million? thats a lot of money... 600 mil wow Whats the story with PetroSA and state capture? some Arabian dude? "take a look at Operation Phakisa
Viral Videos,Mourinho Out --- Agree?
Maanda Manyatshe,I enjoy clarity of presentation by Minister Nene "They wanted to buy Engen Refinery No..the refinery was being bought by Petrosa...so it was going to be a national asset....it was actually not a bad idea except for the fact that we wanted to pay 2X its value...overpriced that is Engen= Petronas ......Mobil sold long time ago in 1992/93...... "The proposal was not bad at al...in fact Thinks are not so clear now... We should blame the petrol price to the government that adopted the ZAR/USD exhange and international crude oil price ...with this formula adopted by parliament .. it does not matter who is the presi
Linda Sydney Mnisi,some people are exposing themselves on understanding on how politics affect economy
sikhumbuzo vilakazi,the truth shall set you free Mr Nene from the red berets onslaught
Ishmael Lebo Makua Jnr,y PLO was deported from Zambia?
Mlondolozi Msimango,can someone assist me as to when is this inquiry suppose to finish on
Lerato Reffly,msimango apparently it will take 2 years
Thiza William,what's wrong about Cyril enriching himself if he broke no law or committed any crime Some attack people for their success driven by vitriolic jealousy of ones success if there's any information compromising against Nene avail it to the Judge or open a criminal case than to play politics Anyone in possession of incrementing evidence to Nene present it to the Judge or forever shut up with gossips To defend Zuma says a lot about you but don't drag us to your level "I for one will defend my intelligence from being abused and insulted by those who saw Because facts are in front of us and if Zuma is of higher intellect let him appear before the commission or courts to clear his name Birds of the same feather always flock together if you're in possession of facts come before Zondo and subject yourself to cross examination It's not a debate but discussion and the difference between is debate deals with untested opinions that never matter while discussion is driven by facts
Masha Mogorosi,"Procedure was not follwed  @Keatlaretse Phetwe procedure was not followed
makofane tshepho,@PHETWE thing is that we dont know who was going to own the asset government/Guptas. who knows the asset could have been bought at high price and sold to Guptas at price which is below market value. "I GUESS SOON WE WILL KNOW
Zikhona Dayimani,sound
Xolile Ndlovu,sound
mzwandile ramaphakela,Sound? Where is the sound??
Glads Mehlape,sound please!!!!
Lesego Mahasi,sound
Asanda Jacob,sound
Baitse Mosete,What happened to sound?
Erika Brown,eeeeek sound
Samuel Monyepao,sound thanks
LUNGA GOODMAN,Audio
MOTION MASANGA,i'VE GOT SOUND HERE You can get better sound on NEWS24 Live stream
Thabang Malibo,@ SABC can you please sort out the sound.
