author,message
Floyd Bafana,Here wego waste of state funds after this anyone will go to jail??? guys just imagine if we can become together as a nation stop this racism and the thing of white seperating themself from us @Madluphutu the things they are posing outside the country they are making us look Bad as individuals Yesterday i watched some DOCUMENTARIES they say they wanna move out of SA
Mathete Maeteletja,🤷🏽‍♂️
Vukile Racaza,Waiting patiently If you understand technology you will know these things happen. You can prepare as much as you like slowly closing in on Zuma and the Guptas IamBlackHouston: I see you are very intelligent hence I am letting you figure it out "@IamBlackHuston @iAmBlackHouston : I care a lot. Some people here are not interested in talking about the subject at hand i.e State Capture. I am hear only for that not for racist statements @Keryn International experts in the subject of State Capture "@Ramushasha Naphtal Takalani no need to be paid and the other witnesses as well are not getting money I wish I could block everyone here who is here to talk about racism. @iAmBlackHouston attention seeker I thought you had blocked me. Ewe makathule You guys are still talking about race?Wow "I managed to block this AmBlackHouston guy
Ishaad Mohammed,🤔i wonder wots the hold up
Lunga Mzimba,they still trying to set up Skype for the video conference
Thiza William,@Floyd then what needs to be done ??? "Some of us fought against white domination and paid with life "South Africa is like a zebra you hit a black spot it dies "our struggle was for a non racial country based on equality Arabia concept is not even an African nbing east Africa nit the continentame but Arab descri Azania Only if black South Africans can travel the world and witness how privilege with opportunities and will stop complaining Life started in Africa so it's a continent of humankind not race Racism its for ignorant or outright stupid people consumed by entitlement mentality You'll never be factually when using race as a defence tactic in a debate black defining themselves by propagating for African nationalismis not new but everytime it failed because it turns to backfire with time Steve Biko advocated for a non radicalism. His struggle was for black emancipation not to dominate whites During decolonisation process in Africa. note what happened after liberation. Once whites left we turned against each other based on tribal affiliation This bull about black must end About blackness Marcus Harvey was a disaster just learn more about him Garvey Know and learn about your history not selective but holistic
Edward Nndwamato,😨😨
Vlerkies,😃 melktert that's evidence of our education system right there "less typing more listening Freedmen "You right i don't "oh i found a block button
Thabang Malibo,Were they not to setup before lunch?
Orefile Macheoane,Whats taking our chairperson so long? The last piece of steak? Wow DC in the house I thought we told Trump and the USA to keep their distance. @Ramushasha Naphtal Takalani its the chairperson Eish its the colour conversation again. Lol What is state capture? When they capture all the information about the country. Cute man 😀 @iAmBlackHouston I am taking you to all universities in South africa to educate our kids Ok @iAmBlackHouston I hear you. We are all slick in a way. But we need to rise from our ashes. We cant still be hosting pity parties in 2018. Solutions > problems Well political affiliations are a topic for another day. Lets see how we put ourself at the mercy of the Guptas What do you know about them? Fill me in.. Lets listen to our experts and find out. They about to unpack it for us. "@iAmBlackHouston But the professors are giving you a definition You are a star. (*) "Great stuff Experts are everywhere in life. They happen to give the comission guidance on the subject matter. just as a ballistics expert would give evidence in a murder case. where is Maleka to guide these professors. This is actually very informative. All private entities wish to twist the hand of the public sector. "This  This will be a foundation for the judgements. Expert advice will give the Chairperson guidance and an approach. We have never had a case of State capture before. This will set a precedence. otherwise this has been a case of the blind leading the blind. Asking who did what and where is all circumstance. Very true @Steemit OneAzania "Before Penny Sparrow you cant even prosecute a human being for a labour matter. even if they put you through a lie detector. We cant even prove that money was stolen. All we know is that conversations of influence were had "People were offered minister jobs "i stand to be corrected you cant tell me skin only comes in two colours. i would start to think you are also captured @iAmBlackHouston "@Steemit OneAzania If it was that easy @iAmBlackHouston i honestly believe you refuse to renew your mind. I fear for your children. Well we are doing just fine. We just had a rough background but we are getting there. With knowledge the paradigm of the country will shift "We are doing fine. There is air to breathe 😉 @Steemit OneAzania couldnt agree more. that is why cases like this will help us in this democracy. South Africa has a very solid legal system. We need to find ways to regulate and avoid state capture. May Black Excellence prevail We need to independent operating bodies to regulate government. Thuli Madonsela and her team did well. Scorpions did well. "May we be reminded that no one is above the law "she was slightly conflicted "now im starting to think these guys either love the sound of their own voices This guy would make a great comedian. May you all have a great weekend. Be safe. I pray we all make it through to monday in one peace. piece
