author,message
Buyani Mhlongo,Are expecting Zondo to make him comfortable in a way that might make him tell the truth just like Hlaudi LOL LOL LOL "I meant ""Are we expecting""" He is the first person to have guts to ask questions to the commission LOL @ I Am Free me too @Yin Yang Monring @Yin Yang 😘 @I Am Free LOL LOL LOL LOL Smooth Criminal which I doubt Zondo is ready for This guy wants to go back now What is this guy tring to do now. Come on guys this guys is trying to go back @Raven Penny Yes Zondo is asking about food very smart "LOL LOL LOL Zondo asking about food  Zondo looking for details "Duduzane shaking hands  "Most of this people show respect  Its even hard to get this funding because they behave as if its theirs
Noluthando Khumalo,"Morning guys @Johnza gp no we still waiting "Let hope Mr Mokeona his fit today It 10:10 now.... His better than Mr Mokoena "Ncoah ""I never taken an money when they coming back? I was out @Martha Motuba 1988 is 35....Ayibo
Jongithemba Kobza,Mxm family of zuma
Rob Nel,"Madonsela reckon he lied re opportunity to respond to her report. They offered to send investigator to Dubai No they trying to get Zondo hand out of cookie jar @Reinette Raubenheimer yEAH i READ ARTICLE. hE WAS GIVEN ALL OPPORTUNITY TO RESPOND His council He is 35 and now called a poor child heheheh Is there an off button for Zondo? "Similar to daddy "The Peacemaker Uncle Fana was involved in the arms deal PBHS This guy is wasting time "His memory is back So why did'nt he sue Jonas Tea time!!! The cakes fillings are melting "Whether you are pro or anti DZ Why is he very short? She should have questioned the Zuma boy "These guys waste so much time So it will be in court. All the guity parties will challenge
Lawrence Mogale,morning all
Isaac Phumudzo,Morning everyone
Tracey Larsen,I am free... please dont talk about race issues on this platform.. this is about the state capture commission. beside we are supposed to be building a better unified South africa... Love you guys no problem my dear... anyone on here that is part of #I'M STAYING GROUP #I'M STAYING .... anyone from that group... let us stand together people because we have and still are suffering because of greed... the perpetrators of this need to be arrested Muzi Dube... its not fair at all
johnza gp,Morning Family! are we live maybe is my internet playing games with me @Noluthando Khumalo I thank you nazo
Thomas Muremi,morning guys...business as usual
Smart Guys,agree Tracey
Damon Radebe,"Morning everyone There we go! That witch called Thuli Madonsela was abusing her powers and her office They have been abusing this poor young man for so long "Tea!! thank you
Eric Singo,@Buyani Mhlongo 👊 @Masoul Mt THEY DONT LISTEN! @Zolani Chos I thought Zondo was appointed by CJ Mogoeng DZ lies are catching up with him now He was prepared to interfere on allegations about Fana & Jonas BUT doesnt want to interfere when Jonas & his Father are implicated. DZ why does he wants office if he was prepared to meet Jonas in Hyat Hotel? This boy is lying tooth & nail his attorney*
Alexandra Wiggett,"@I Am Free "That story of Eban Estabeth is not true
Johnny Williams,Morning. Sorry for the delay Judge Zondo is drinking Tea ​Duduzane IS A THIEF Dudu STOP LYING YOU THIEF
