author,message
myqueenkiller,these boys are clever ...they change the name of video title continuously making searching for commission live more challenging ...hiding something ...???? noooow the fun starts ! Tino blocked! plenty lawyers = plenty of BS coming ... im running on 144p...sound just about audible ...
Jay Cole,Has it started? Im definitely ready for the ride. @Cristian W who would you suggest the masses vote for? @I Am Free Where were you during apartheid?
ACE MABEKA,morning morning why so many lawyers Lol zwaai Comfort break my foot
SOTECK,Has Thabete finished? Thank you @Ann M
hlokwa napoleon,hope he will come out clean
Anne M.,@Tommy Mty I think Thabete is going to do another affidavit and come back some time in the future. 👍 @Pastor J 😀 You may need more than one can 😀😀😀 Not yet @SABC Digital News The sound is out of sync. Please sort it out. @Pheladi Lamola Kevin Wakeford who was named by Agrizzi "@abinetoshumba That's why there's over 3 @Ta Ras I don't think he's that stupid to be drinking 35 Born 1984 - makes him 35 @Niek tabl No he wasn't. It was a different Zuma @Luntu Jonginamba Don't be fooled by the advocates calm voice. He is a very sharp advocate. "@Luntu Jonginamba There's a saying @Tshwane Yamošate Yes "@Mlondolozi Msimango No @SABC Digital News Sound please @SABC Digital News Sound please @Gcina Mkhize They're back. I can see the picture but there's no sound. I did @Fezile Matsebula @Sabelo Zulu Yes he is. I am also amazed at Judge Zondo's excellent memory.
Amanda Bentsile,Morning pp guys fix your technical problems Can we pass coz he said he cant comment Signs he is drinking water while trying to lie lie Its all that water his been drinking
Johan Peens,why are they waisting tax money on this swine lock him up dont waist tax money on this criminals he is going to lie agree with you hang the criminal agree why waisting more money on the swine corrupt ANC there is still people who vote for the ANC shame rotten to the core all the Anc government this commission is a waste of time he is as thick as a plank stupid swine agree with you waisting tax money on pig he had no mother he was born from a pig agree with you lock him up let him then defend himself in a court off law agree in s@t now dont know will have to ask his mother he is a Zuma he is allowed to drink anything yes Dubai water well say this man us a liar that is a lie the inmates in prison are going to enjoy this criminal agree with you 😀 agree shame if you belief that then there is no hope for you agree send the swine to prison the im they waiting for him it is arranged 300mil waisting tax money nothing will happen agree agree
Mandla58,Hope you had a wonderful weekend What do you mean this crap ?
Pastor J.J,"@I Am Free And those that you miss to block @Anne M. That should jot be a problem. I bought a 3can special. @Rob Nel Maybe Tea and Samoosas. That will delay me too.hahahahahaha That is the water from the SANGOMA @Niek tabl That was Khulubuse Zuma. The fat fella @Niek tabl Why would you think that. I am retired. @Anne M. I fully agree with you. I think the beeeeeg one will come soon @Derek Main You are being extremely generous today my friend.
watson mutanga,"China is now a super power. It took the introduction and implementation of tough measures on corruption to get them on the right path "@Derek Main: Without drastic measures "For them
Alhadiah Khan,doom is not strong enough i think sangomas yes many many many money
Brighton Ncube,EWN live now
Tshotetsi Tlatlane,t This a.. holes are playing with us. Nothing makes sense here
Thulani Bukani,"I was wondering. Who do you guys think the Zumas spend more time with Tino blocked how many lawyers do you need?
Derek Main,"@watson mutanga As much as I'm opposed to the death penalty @watson mutanga I agree - we need a drastic solution. We need to get the corruption gene out of the gene pool. Tino blocked Does Dudzane still bend for the Guptas? @Jacob Selematsela I don't recall saying anything the number of lawyers he has - but I will say that an honest man doesn't need a lawyer. I was just wondering what he does for his blessers. Dudzane is a crook - like father like son. We all know full well that JZ just uses Dudzane as a front. He's a token businessman. @Jacob Selematsela Yes - that's because the entire ANC is corrupt to the core. @Jacob Selematsela I don't need to - it's all coming out anyway. @Johan Peens True that - they are beyond saving. Dudzane only has eyes for the Gupta brothers. @Samkelo Nxele I don't need to - the evidence is all coming out anyway. "@Damaking Alie If you can't see the mess "@Damaking Alie So @Heather Cotton It doesn't matter - he will never have enough. @Buyani Mhlongo Don't worry - Zuma is going to jail. @Buyani Mhlongo OK - you're on. @Buyani Mhlongo Either that or he'll pull a Watson and do us all a favour. @Wilhelm5381 ...if you're a Gupta. @Rob Nel Yep - the apple doesn't fall far from the tree. @Regina Phiri You must be a 30%er @Tshwane Yamošate Thando is not alone in that wish. Every thinking SAfn would like to see that happen. @Tshwane Yamošate I will - Zuma day is coming. @Tholithemba Ntsele Because we knew that a long time ago. We are not fools. @Tshwane Yamošate Yes - true. And soon my tax money will be paying for his jail stay. @Tholithemba Ntsele It's Obviaaas. @Tholithemba Ntsele By the mere fact that he is so closely associated with the Guptas and made all his money through them. Wake up! "@Thando Nkutha While I agree RE Ms Hofmeyer @Talia Owen You must be a 30%er. @Gcina Mkhize Except if he was ducking and diving and not making himself available. @Mvuzo Vundhla Even Agrizzi came across in the same way and look at what a criminal he is. Duduzane is just as guilty. @Keith Din At least you are thinking wisely about your vote - unlike the fool ANC voters. @Keith Din I also had the same thought but my ballot paper jumped up and slapped me. 😀 "@Bonang Sithole As Keith said
TUMELO NKWE,Aaaaagh this is just formality none of this guys is going to jail the sooner we accept reality the better
Hugo Kruger,are we live?
Christy,I already know Duduzane has been advised from his father not to remember or recall anything.
Rob Nel,"Are these guys EVER on time No money to pay techs He has this superior expression on his dial More like royal water The advocate is wasting his time. This guy is as slippery as his dad @dada ngova boarers?? "He is confident Wants to chat to his council
Smart Guys,not yet live now hang father and son guptas stole the pages😁😁😁😁
Andy Selepe,there we go this boys doesn't just say yes.. so he is now asking questions lol hahahahaha
babette fagan,on now
jackisto jj,Nazo
Margareth Waterboer,"@HlokwaNapoleon.. Come clean. They never do... his father had long story to tell
Person of interest,here we go... yay mokoena! "mokoena is astute lawyers there to keep witness out of trouble. if you are a Zuma always plenty trouble he was at gupta house How judge will sort out what Jonas said against this sophisticated witness will be a wonderment to me. "we support our parents if you watch 🎾 you know what a comfort break means
Muzikayise Mtshali,news24 live its on So Jonas jumped not knowing where he was going??? Ive owned an accounting firm and some of my clients were grade 4 people.. much braver and smater then most of my employees "Education is everything
Blaze 613,I don`t mind taking Dudu straight to prison after he is done here today selective memory this one people are not intelligent if they get caught out
Tumi Monnamme,it's on
Giovanni Redcliffe,"sound out of sync at least he can read lets see if he find page 735 Yes! he found the page! why is he making sure the water bottle lable faces to the front
NoLimitsEnt The Wall Edition,Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma Viva Zuma
THEMBELANI ARCHBOY Zuma,AW Nxamalala Madoda AW Nxamalala madoda. aw wena KaLugaju
teboho lebenya,power to the Zuma lol Haaak Motorokisi
cindy johnson,the voice and mouth don't are not synced
Mike Moja,@Tino Vusi Nkwanyana what rubbish are writing?
Robert Russell,@Derek Main ...ditto
Pheladi Lamola,Thank you @Anne M So did uncle Fana ask his mchana to arrange this meeting so did mchana do it out of the goodness of his heart? Thank you judge Makes no sense at all You or your uncle🤣🤣🤣 I just wanna point out that when men talk about us women the way people are salivating over Duduzani we call it sexual harassment and objectifying women. He has some arrogance I agree @Eric Singo He's even contradicting his uncle Fana @Eric Singo. 😂😂😂
Muzi Dube,Lol @ Derek I thought I would see Adv Sikhakane @Walls.. @Nomfundo....No lomfana uyashisa...Hunk of note.... This must be Ubaba's favorite son!!!!!
Mbe M,let's wait and see
Jane .Blamire,Timo first troll blocked only the guilty bring so many lawyers lawyers are dictsting mbuso don't be rude Jacob you make no sense hold chairs for blessers the Zuma family always shrug and say. what was wrong with working with the Gupta's? explain this....why did the Gupta's run away and hide.... if the Gupta's at innocent why di they run to Dubai
Trevor Martin,Tino you have a stuttering problem
Mahlasela Kilson,Duduzane is represent by WMC while his father tell the people to use black lawyers
wendy hardy,Zuma must have lots of money to pay all these lawyers!! Madumetja Moagi Why? This guy Zuma is so arrogant.
Deon Meyer,Let him speak for himself.These lawyers must go right NOW "Before Zuma begins "Zuma is a shareholder in the SA economy
makhosi nobhatyi,He must be asked questions Judge should not entertain objections question must be asked without fear or favor "@ Mzalwane Mzala we are interested to know @MSFviewer his mother passed away He started lying ngoku Uyalazi isela xa sele libhaqiwe libonakala limsulwa kodwa ngaphakathi kulo yingcuka We eat carry that is what I know about Saxonworld #mbalula Duduzane has no business deal except government? Give him a lecture DCJ
Ozzy Ozzy,Mr Zuma protected by white males haha drink some water my boy lol
Clinton Van Rensburg,waste of time... He's a Zuma
Tsepang R,@wendy hardy duh..he's a billionaire
Mbuso Ndlovu,YOU ALL MUST SHUT UP HE CAN HAVE MANY LAWYERS AS HE WANT LET THE TRIAL BEGIN dectator is unreliable 🕡 Waisg time with rebbish🕓🕓🕓 @Mzalwane Mzala He is a chair holder @MCEBISI MBUSI are you related to Mcebisi Jonas?? @Nomfundo Gcaleka yo look beutiful
