author,message
Michael Michael,hi everyone Fine self Who is on stand now.just arrive now? ok worked for which company I think the advocate is handling old man carefully with respect.keep up adv. more money
Mashao Mohale,Hi
Thabo Ndlovu,How are you
fuzile dazana,sukile ndaba slayza tsotsi when you lie you get confused hebanaa forget to remembers zumanism the pot is coming to dish nw yhoo big aceeeeeee aceeeee aceeeeeee i like the sofa of dpcj this commission it will take years it comfortable sofa i enjoy this singer is gifted you must wake up stoep stoep stoep meting i can see he would love curry
benjamin sifundo,gud
Anne M.,Ms Elder Mtshiza "Mostly in their Mercedes Benz - ja nee *doesn't sound particularly impressed They brought this farmer in as a consultant and then proceeded to ignore his advice. Proves they were only in it for the money they could suck out of the province. @Pandy london He mentioned the name earlier but I can't recall it. @Roza essack Are you joking or serious? @Arnie Naidoo You're right about that "@THATO MOFOKENG No
Zamankwali Ngema,Elda mtshiza I doubt... Other wise she wouldn't be here today
Jane .Blamire,Lots of fancy plans...but was it all done? Agree Heather....he was handled with kid gloves! "kinda funny....knowing your face on tele and you trying not to look guilty Shame we judging him and he hasn't even spoken yet This advocate is absolutely beautiful Ok Mabuso...Why Dear old man of the earth I just love this guy... In for a big surprise... we have listened to all the people giving their fancy take on this Estina project and this simple farmer has put it all into perspective "....Was there any dairy farm experts actually used in this project???? Kind of like how this country is run. Lots of ministers Stupid project!!!!
Mbuso Ndlovu,Hi all!!! Who is this granny????? "Who is ELDA?????""??????" So i see this😂😁😀😁😂 mama is here to implicate Mr Thabethe more @Tommy Mty Never!!!!!!! "We SHOULD ALSO ESTABLISH COMMISSION OF ENQUIRY INTO LOTTO Hlaudi was the best character in this enquiry. Zondo was laughing all day What will happen if someone can implicate ZONDO????😂😁😀 "@THABO NTLALETSA If someone can implicate Zondo Who is this corruptionist??????😀😁😂 @Tammy Walls You want her??? This advocate is dating Duduane Duduzane @Itumeleng Motse are you related to Itumeleng khune????? THIS ADVOCATE MUST BE ARRESTED @Jane .Blamire She stole many people's hearts THIS MADALA WILL FORGET WHAT HE SAID TOMORROW 😂😁😀😀😁😂 When its rain PAP you must bring Meat😀😁😂😂😁😀
Tammy Walls,Has Deputy Chief Justice zondo Retired judge A retired Judge Of course they did Well done my springboks This lawyer is very well spoken Something to do with agriculture Why does he need N interpretor Can he not speck English Oh ok Yes I am deaf but I can talk I wear hearing aids He looks very unfriendly And angry I wouldn’t want to mess with him This advocate is so gorgeous No I am a woman Ha ha Why do they call him chair not Justice No she’s not @ Mbuso Ndlovu Wow very abrupt
