author,message
Alasdair Knox,"@thulani it only starts at 10 you will kill for? then you can be his cellmate lol true that... all these people here claiming to live Zuma couldn't be bothered to show their faces... Nice @Yin Yang hardly the support he had previously though... lol SA people need to travel more... if they compared the cost of living in other countries I think they'd protest more... @magda tell me more... "@magda I remember working in Sierra Leone "yeah... n we get ripped off on Chinese imports lol he had nowhere to hide true "ok @mariki true
Innocent Mthethwa,yoooo we love drama check how early we are "state capture this is a waist of tax payers money even more than what we have lost
CLEMENT SPALDING,typical smoke screener. says alot without actually saying anything. yes. the cost of living gets higher and higher each month. he can't answer simple question 😂😂 this guy refers to Jacob as MR president.....strange @Happiness. totally agree👏👌🏻 yip no audio. need a microphone 😂😂 Ace you Joker is this a gay chatroom? 10 bad years Zuma. we can never get that time back. he doesn't remember the visit but remembers who wasn't there. he's lying.
tabze,clown or not we love him to bits viva Zuma💪💪 @ lidia benade covering what @Collin sekgobeka💪💪💪 @precious mantshangase thats y you not in his position @ fidel nemavhidi your hatred is GROSS bro Zuma is a living legend viva @TINASHE CHIRINDO go back to your zimbabwe @TINASHE CHIRINDO there's plenty jobs in your country @TINASHE CHIRINDO zanupf needs you✊ @nkosiypha dlamini respect bantu yoohh 11K & LITHANDA IZINTO SHEM!!!! does it mean 11K has stopped working 11k proves JZ is a lovable person in SA @ yose human your comment is confused about Zulus
Musa Khoza,Lol its already packed here Azishe LOL HAW🤣 @Thabiso Gumede 💯 People here don't understand the seriousness of political killings... until some1 really dies. @Thembeka Tshazibane true SPEAK NXAMALALA Ok Zondo stop these KHUNE tendencies Lol @Sizwe Gabela ey the reaction must speed up @Lebohang Leanya YEBO!!!!! Lol the funny thing here is that ZONDO got this Gig from Zuma... hehehe... I still wanna hear uTata though. Master Chess Player le😎 "The Advocate looks scared today Laphuma iFayela madoda @FIDEL NEMAVHIDI Yup CAPITALISM MUST BE DELT WITH. BABA YOU CAN START TODAY!!!!! GIVE US THE NAMES AND THE SIGNALS BABA YA!!!!
vogani hendrick maluleke,i hope today they ask him questions related to what he was saying tolo
Derrick saperstein,"Yin Yang
Mpho Molefe,WHATS GOING ON HERE HERE WE GO mmao lies as well
48 400 TK,hope people are working not just stirring on their phones/computers at the office throat throat throat throat throat please clear your throat throat throat give us the name of the biggest spy we have on our government. lol anenzani amaZulu aningitshela yose that not true if you give a man a fish......................................... YOU'LL be the president of UDM. lol everyone be careful of what you comment you might be fired from your jobs. one of you give me a date of any 3 calls you heard last month and the details of any calls content. Zulus are not Zuma. anisyeke Bo. STOP WHISTLING WENA "Yose Human "@Yose Human "the whole of the ANC has been ruled back to work people "WOLA MAZULU "ngisacela niwasukele amaZulu nibuyele nganeno still on tea break yekani amaZulu. that would be easier if I was still young. we have no neighbor who speak any other languages. that where the problem starts. "all I pray for as UMZULU "@Yose Human. you saying all this to come up with that. we are the least educated according to you. sit down and relax. Malema is not Zulu mshini wami umshini wami!!! lol lol Mandela did so many things wrong hidden by the glory he was given. "EVERYONE BLOCK YOSE HUMAN "nop you can't compare Trump and Zuma. Zuma is a theif I also wish Rupert would come here for answers. "some people are full time employees of some organisation's we don't know No lol there is an ear piece reading all our comments for Zuma "king Zuma mawphelelwe amadata find work baba. venda people are busy studying and sorting out their home. Zulus are busy bragging about who captured the Nation. @Ntokozo Ngema skhathele uwena😂. 1 2 3 4 5 6 Zulu Omnyama sengikhathele ukuba UMZULU. ngsayofunda itshwane ngibe umtshwane next year. give it to me lol maningi amaZulu angasebenzi la
Magda Seguin,"Zumas lawyer Mantsha was chairman of Denel "@Alasdair Knox you are right "@Alasdair Knox "An ordinary restuarant meal here cost less than 5 euros The DCJ should have evidence of the threats "Zuma has paranoid persecution complex He brouggt the country to economic ruin If SA was any other democracy Zuma and his looters would be in jail So many 30%'s in this thread "He can say anything now "Liar The plot thickens Zuma clearly violated the constitution and his oath of office...he just admitted it He admitted he gave the name to the New Age now he denies it.. I dont answer to Zupta paid trolls But you admitted the Guptas are your friends The questions are more straightforward than any of the other witness questions yet he cant answer "SAs should be ashamed tgeyvtolerated thus man for 2 terms as president "He has no morals Zuma is contradicting himself whenchis lips move...goodness me He is vilifying a dead mans legacy Chabane's death in that car accident must be investigated That witness eho is now ancambassoder is also a liar Funny how everybody is against him Delaying tactics @Sofia Sofia exacly Zumas lawyers are something else...Pretorious is only verifying and wanting to hear his side The DCJ is too soft "All other witnesses answered questions "He was in constant contact with the Guptas These lawyers will cause a civil war This is another long speech...why dont they just walk out AND Agrizzi had proof...videos and documents Attacking Pretorious is a strategy to obfuscate I think Zuma must back to his wives abd hus kraal at Nkandla...we kniw what he did "Remember Mr Pretorious iscwhite "Zums was so close to the Guptas Sit down you are losing it Shouting solves nothing I cant stand raised voices and shouting "I am going no This guy wants to instruct a Chief Justice by shouting and talking bull @David Tuer...its obvious that this lawyer is given preferential treatment by Zondo and on top its wasting time Tell him Mr Pretorious...no charge sheet Zuma refysed to be interviewed Zuma delayed for months to come testify That loud shouting again Why must the commission ho to Nkandla?What a joke!! This guy is slandering Zondo Send Zuma back to his kraal
Calvie,"Well folks "America has Trump
Chadd Baker,SOUTH AFRICANS TALK MORE THAN THEY DO! 1 0 0 P E R C E N T @ Milton "@adam we will have none of that lad so does this mean Rupert will appear before the commission ? MR ZAMA ZAMA!!! BEST PRESIDENT EVER WHAT IF... ZUMA WAS THE CLEAN ONE AND ALL THE OTHERS ARE GUILTY @Kids Collie IT SOUNDS LIKE IT TO ME... GUYS... HOW DID ZUMA GET PROMOTED TO CHIEF OF INTELLIGENCE DENY DENY ACCUSATION ACCUSATION DENY DENY
