author,message
Innocent Masangani,hlaudi
Hansie Tladi,no jokes today?
selaki Mokhola,not guilty at all
postmaster,"if Maleka was there
Zamankwali Ngema,😂😂😂😂he can't wait himself... Both.... @ Michael Michael 😂😂 Heeey! What's funny 😂😂😂😂@ Yoko more "Yolo more Who's Doctor.. 😂😂😂 Berry funny.. Let's eat... The chef is here😂😂😂 Chair persen😂😂😂 😂😂😂😂🙉🙈🙈🙈Dr chaos minded Stooory stooory!!!! 😂😂😂 Have been since 😂😂😂@ andiswa 🙈🙈🙈🙉🙉🙉🙉😴 Point taken chair... Cos he seems to forget easily Since morning @sasha😂😂😂😂 N resurrected 😂😂😂😂 "😂😂😂😂😂😂.... Had a greatest of time with killed
lekau phalama,can someone tell me what happened to adv. Maleka Does it mean Mzwanele won against him? Ok EXPILLIT "the doctor is talking "Ho thaaaaaaaata banna @Joseph 😬😬😬 that is raorao 😬coming 😬😬😬😬 I am the most cherperson 😬😬😬😬😬😬 oh come on @Nel Hlaudi is clamaratizing Zondo 😬😬😬😬😬 Yes she is weak that is why Zondo is taking over "thia adv seems to be enjoying the presence of Hlaudi sure CIC "He was an icon who cared less about the citizenry "Hei batho thusang you have got mine CIC Hlaudi's eeh eh eh eeeeh is better than that of Bathabile Dlamini 😂😂😂😂😂😂😂
MSG Rules,"what you call "he acting like a young zoomer. talking in the 3rd person so when they lie it is the ""3rd"" person not themselves" the only reason to hide anything was to keep away from the voters. not to maek the cANCer look bad "fearless one what is a test. not I never do any tests eh eh eh eh eh (thinking of lies to tell) eh eh eh4 wonder if he will be feared in prison @rox choclates you say. he going to be selling choclates in prision he thinks denial is that reeva in the egypt @rox yes true. so sad there is so much evidence here from the horses mouths but nothing will happen all the tons of evidence is miss leading and lies bull scheizer liar because they are lying and using the double negative argument BS Julius is scared the Hawks going to nail him with the AK47 @Julius 30% what i she saying he is complete idiot really this is the attitude of many...because one guy has something we must all have it explains way too much making him look very guilty and stupid because I am guilty Yes why a zimbo lawyer you stole too much money from sabc that i swhy no one wanted to touch it ann7
Rox,Adv Maleka is out there making money "Hlaudi is making sense in some issues hahahah @Lekau "Hlaudi is right True @Mokone "Muthambi needs Hoffmeyer hahahah I don't mind having Hlaudi at a braai for the whole night """ I am very tough"" 😂😂 no lies detected here" @MSG no one is going to jail here... only those who stole chocolates This commission is a telenovela... "hahaha @MSG no jail for these people "By the time this commission's report is implemented 😂😂😂😂😂 "The ""language "" 😂😂😂😂🤣🤣🤣" only Hlaudis will believe Julius Malema is here "it's only you "" Feladi"""
Simon Buthelezi,Never mind his English at least you can understand what he wants to say.
Yolo More,Maleka left the commission for greener pastures. "Lekau Phalama no Expilit "Amen Lihlanya eli. CHEF😋😋😋 But who can take Hlaudi to jail. He is a Life Esidimeni case this one. He is a likeable hlanya. "Shame That Jimmy Matthews was a problem South Africa Thando Nkutha "Sindiswa Moolman there was a question Struggle!!!! Huh! He is telling the truth though. He never disrespect Ramaphosa as well. "Rob Nel This glamouring is difficult 🙄🙄🙄🙄🙄 They took advantage of his stupidity and used him. fake CIC account fake Is Hlaudi married? "Sindiswa Moolman He must be forced to testify on multichoice. Zimbabwean He said he does not trust his counsel. Tavern statement "Zumaist ""I'm in your hands""" He must just pay back the money and be free. I don't want him to go to jail. I like him. 😂😂😂😋😋😋 """I lecture the judge""" """I am a thinker""" 😂😂😂😂 Content Still coming back? I am in your hands Thando Luckas if it was not Hlaudi.
Tshamaano Makuya,"yep
vhahangwele arthur,😀
Khanya Nobumba,Cheee-person🤣🤣 🤣
Michael Michael,talking rubbish now wn u pocket 11m must be put under the carpet.nonsence he need his lawyer he is lost. ask him were he is.tarvern or watching rugby only him telling the truth about sabc Moody the man cant c the difference between wrong and ryt?? Thanks for multi choice for rewarding him a doctor not even an animal doctor Waste of time really.nothing gd u can get from this.
funicanz,Hlaudi is given an opportunity here to state his side of the story. @Khanya Nobumba ndiyamazi no Cheeee-person. 😆 RAURAU 😆 😆
Rob Nel,"Desperation "So hiding the violence Suicide is not same as burning shop #Rre Wa Mokone . "@Rre Wa Mokone  "If he did the job as COO "RSG "@Rre Wa Mokone so on TV you just play the audio "This advovate is poor. Hofmeyr or Pretorius Like Robin Hood? "If this advocate
Sbo Gumede,very true Hlaudi "💪💪 viva Hlaudi but Zuma is more intelligent than u with your metric "if Zuma ""the dumbest ever"" became President what does that make u 🤔🤔" "zama kubheka you are correct dankie Mangethe Sasha withdraw your statement
Pakamile Mangesi,This guy is a real clown
musyoki joseph,can't understand the questions 🏃🚄💨💨💨coming! common law in common wealth countries
France Maphosa,Chairperson! Expilit. You see the relevance of matric!!
Toibo wa Toibo Antimba,"But u hlaudi played part in not viewing Eff events Eeeh chairperson "let's block this fake CIC u took wrong advice to state that u passed matric
Cache Computers .David Pigeon,Matric would have helped !
Magaboke Mohlatlole,EXPILIT VISUALS 😂😂😂 DOC LOL HE WANTED TO SAY CHIEF HAHAHAHA 😂😂😂😂😂😂😂😂😂😂😂 AND HE COMPARES HIMSELF WITH RAMAPHOSA 😂 GLAMORIZE ENGLISH IS NOT OUR LANG WHEN IS ZONDO NEH?? IRONIC
Rre Wa Mokone,@Rob Nel even some european countries limited coverage of youth suicide "@France Maphosa ask The English to just say few Sepedi words --and hear how they will brake them...so "@Rob Nel suicide @Rob Nel news about burning were not stopped- but images were supposed to not be shown...
teboho ramolotsi,when is HAWKS invistegsting him??
Cerebis,"Adv Maleke The World according to Planet Zog....shame....he is mad. hehehehe.......racist! Rau Tem This is the real Agenda of the Zupta and EFF Gangs. No rainbow nation in SA. It was a huge lie. This is Zuma's lost Son. Now he is starting to sound like Trump!!?? Malema is at the private country club with his comrade VBS Looters. When you put off the sound.....this cloudy man is even more funny Perfect Kruger - Dunning specimen.??? Planet Zuma a KZN pastor linked to former president Jacob Zuma has been thrust into the spotlight following a string of anti-foreigner posts. "Bishop Timothy Ngcobo
free way road,how Dow I answer that 🤣🤣🤣🤣🤣🤣🤣🤣 Trevor Noah should feature this man am telling their comedy movie video 🤣🤣🤣🤣🤣today is the day for #state capture inguiry for laughing enjoying the best ever comadian man called hlaudi motsoeneng 🤣🤣🤣🤣🤣🤣 "he was the image of sabc without knowledge and he call himself the best while some things were done underground without being informed repeat again how can they complain about you when their using you to loot sabc cic
Abe Molefe,dr hahaha ichuuuuuu raorao dr issue motsoeneng no PP she rao rao hlaudi bulldoze dr bulldoze motsoeneng
Ntokozo Ngubane,Hlaudi is always high 😂😂😂 why are they wasting time with Hlaudi hai 🤣🤣🤣 waste of time and resources nje Hlaudi is just making jokes 🤣🤣
Raymond Mabilo,wa kula wena waste of time indeed.
Andy Selepe,lol Doctor Hlaudi i can just deny raurau Dr Raurau Motsoeneng Lol Zondo Awe Juju lol in ua hands "SABC Chair
Ntokozo Nhlapo,it's funny that this man sees no wrong here! What visuals is he talking about????
michael mbatha,😂😂😂😂😂😂 Dr Hlaudi Handing the GCEO over to the Guptas This guy is really on nyaope.
Granny Mokwena,Dr😂😂 RSG every radio station has an agenda just like the newspapers read the Sowetan and Beeld every day for a month and see rau rau Ireland 😂😂 island please count us out i won't even say anything about Bob i think investigations are going in into some of this allegations
Tukullo Trevor Monyai,Lol doctor
Bongani Ntuli,Dr loool
Nobuhle Ndaba,dr hlaudi😂😂😂😂😂 chef from doc devil 😂😂😂😂
Tshepang khoza Bafana,Dr boss doctor row row rau rau😂
Solomon Ndubane,"mad man on the stand "hlaudi & the truth chair that paragraph is misleading😂🤣😂🤣 "hlaudi mara
osm ttt,objective or subjective test!!!!!
Lungisani Ntshonga,Chef Molo juju
Andery Shoba,DR HLAUDI😂😂😂 where is ADV kate hofmeyer
pius194,shapa hlaudi as a black person
Tsimane Kau,Dr HLAUDI MOTSOENENG Phd in SABC research😀😀😀😀😀😀
Buhle Nkosi,hlaudi mara😂😂😂😂💔 hlaudi is here to make jokes phela😂😂✋ he doesn't Bragg about it✊😂😂😂 @Pheladi true. sizowa the day he tells us somethings CIC ❤❤❤ mulungu mana✋✋✋✋✋✋ @Nathan okay I take back what I said net
Conny Zulu,Dis doctor Hlaudi mara Kkkkkk Rau rau
Pandelani_Insights,"This is a waste of time
Richard Malinga,lol unento rua rua U will respond in counrt zondo enjoy this Mr Rau rau
NKSN I M nkosi,lomuntu
Ka Fuze,This Hlaudi guy is a joke....I dnt think he understands what he is here for....
Mondli Lutyeku,uthwele lobaba hahahaha ow no...plz...not prof maguvhe
Olga Hlongwane,"YOH
NKULULEKO BILA,SA government is wasting our money. this commission is a waste of time. is dead dead end
