author,message
Sindiswa Moolman,Just speculations@Thando Nkutha
Tlhogi Dube,Why debate rumours when you going to find out in 50mins
Hester Ferrezuelo,sound?? the sound has been captured please protect us from yourselves and give us sound!! thanks
Bazilla Moffman,sound please
Sne Mdletye,Sound please S SABC is failing us @Thando he is 53 ya he does look young... but i was wondering how old he was when he started at NT and what he did before that... his age and work experience for the majority blacks he was lucky... "@Thando he mentioned his few qualifications in the beginning yep He also mentioned some other studies with certification and others without certification... hard working brother Currently he is Chief Executive & Executive Director of SBSA... It puzzles me why ANC keeps recycling and deploying old and crooked people where they have such talent... mxim @Thando 🤣🤣🤣🤣🤣 Reshuffle? @Thando 🤣
Sthakathi Khumalo,GUYS OPEN ENCA and Pop out the chat there you could watch and keep up with the SABC live chat hmm "Bafethu "This is just boring and a dragg Does anyone have latest gossip from Juju regarding reshuffle??? Pravin was noot asked though Maleka
Russel Manuel,I have sound.
johannes maaka,"Yo tube 
Alan Hall,isnt it strange how many other live feeds are happening on you tube at the same time. The politics of distraction.....
oscar kubayi,sound bit low he's a bit young baby face
Desmond Masilela,I also thought he was contradicting him self. What is he doing now? is he still in the ANC? Ey!!! guys I'm just watching Juju revealing big secret. @Valencia Makola. SABC its live. type: '2019 Election'' Malema Reveal The Big Secrets From ANC
lucky ndlovu,he's got a baby face lol
indeed,does look young yes
ANELE FELIX POTELWA,54 years old Has a Masters Degree
AFRICA AZANIA,cabinet reshuffle at 15h00 ha this ladies lk this man ladies what about maleka?bbyface? beyonce and kelly kelly manyisa dont ever say that again 'nice legs'she is my wife this is not court time to pray
Simphiwe Dube,he looks younger than 54 years
roberto wilco,His head of standard bank i believe Yes very straightforward too
Bruce Andrew,"Fuzile is a Master of Commerce graduate. Began his career as a school teacher
Olefile Mookodi,"He's got BComm
Hein de Wit,I have hope when I see people like Mr Fuzile
Camille Burger,Mr Fuzile is really an impressive man!
John Cloete,this guy is brilliant can now understand why he is in such high demand
Bibby AGOUTANGNI,The ANC is full of people like Fuzile. Just that the system keep them at the backgroung and put some half baked people at the front "All is not doomed with SA. When we look at people like Mr Fuzile
Nelson Musoliwa,So far Mr Fuzile is the type of servants SA needs Unfortunately Thando zuma was and is not competent in this type of matter he is just best in singing to whip gullible people emotion to blindly support him @Thando it actually disgusts me to use freedom songs for sinister purpose No Thando we are many but others are unable to express their view because of fear or lack of resources
Singi Mathebula,agree with you Bibby from Monday we will do things in accordance with the law. that was power Fuzile. is there anyone of us who still take malema serious 😘 I am talking about black monopoly capital not me.
Lolos Mccall,@Desmond Masilela CEO Standard bank @Desmond Masilela where
Mahlasela Kilson,hands up Fuzile you are one of the people south africa needs in hard times
koos mosimanekgosi,🤣
Speckled Trim,So was the state captured or not? When was it released again? "Leon yes it was rhetorical "👍 no stress #ReleaseTheState "agreed. More like it's done for entertainment purposes
Leon Van Zyl,"@Louis Eloff  hehehe jokes pal hehe "Commissions are misplaced  this is too warm and fluffy yup "@Thulani Bukani  "We are footing the bill for this and then we are going to do it again criminally  or after this they will just be asked to pay back the money and say sorry... all's forgiven I'd be surprised if anyone ever goes to jail for this yeah it is. some day.... in the last 10 years we can't see the Forrest from the trees i wish gerrie nel was asking the questions err it should be scroll up and read my comments for some context 1996 hehhe hehehehe "@Syanda  "All i can say is toe the line my fellow south Africans if we tolerate this then your children will be next. really? props "Thando The more we fight the more we loose. 456 guys you guys sound reasonably intelligent ... act like it. i give up.
Thulani Bukani,If anyone is following Cyril. Please let us know when the show starts. He’s pulling a Zuma. Zuma used to make us wait now this guy is doing the same.
mandla motsoeneng,m missing a finger
Rengqu Tulani,it has not startes yet watch the space sthakathi
Rouha Rouha,volume please! let's all remember that this enquiry platform is here courtesy of the EFF.
Marco Sorsa,You guys have all the fun. Watching from Portugal.
Tebogo Maromu,Portugal... you follow South African politics
Sibonelo Duma,who wishes that EFF was asking the questions because these people are here bcz of them
