author,message
Simba Zithuta,utii gaga ahwina
Mohau Rampeta,They were talking like Radio#Mr Jonas
Goël,state capture is a bad
komane maphake,someone gonna rot in jail... they should be fetched wherever they are @soulma she's zuma's daughter
archiford zhanje,nonsense leave old man alone
Pastoolio Poggempoel,"yeh the poor old man no they won't they won't come back to SA "@komane maphake : there is no extradition between SA and UAE my friend @Colanesh Shongwe : thank heavens that doesn't matter to anyone Yeh the will of the people is to be governed by corrupt leaders "sorry then vote for mmusi maimane like the EFF's will be soon @Colanesh Shongwe : just as useless as the EFF @Donald Chodeva : They are just trying to be relevant
Colanesh Shongwe,Pravin & his cohorts The Guptas will also testify That cud be unfair on their part I see no truth in Jonas testimony I'm glad they are listening and Zondo is now pressing the right button Clearing the narratives Mmusi Maimane?????????????? What is SACP after all? "@Pastoolio Poggempoel you 100% correct.Under Blade Nzimandze
Fumanekile Phamba,let him go to jail. How did your make him a president
Thanduxolo Mgca,they must do what he like to do ladies around him in the name of wives and culture "Zuma must drink his own medicine why can't he be a man as president of the country and say Thuli madonsela didn't want to open everything for money and keep queit "John block run away all this funny to announce the free education but you have taking all the money
APHIWE SKIBI,State capture began with N R Mandela a sell out Last ANC CR7 captured State Capture Inquiry - Mcebisi should also focus on CR7 It all started with Mandela and now with CR7 aNc President "All are Sell out they don't represent the the will of the people We need real leader not business ppl Watch Trump and CR7 ARE ALIKE wHILE we suffered in TINS Zim Should be the Capital City OF sOuTh AfRiCa ShOuLd ReTuRn To Sa peace
hilton modike,we south Africans still owes mbeki an apology .mbeki knew how week zuma was and we thought he was wrong .now we sing his name @thanduxolo the worst part is that he is taking advantage of the less educated by playing a tribal card because he is caught in his hands within the coockie jah.he was people to fight for him people like sihle are busy confusing the people of kzn just to shield a guy who is a thief
lordsoja mayor,wishful thinking that atul & ajay are coming back to s.a cr7 is mr weak
Tebogo Metswamere,is not about what u see is about wat the commission hears!!! 😃
dlutu kamva,@colanesh : we don’t care about what you see or can’t see🌚🙄
Sammy Tlhapi,Zimbabwe is joke
Patrick Esau,leading the witness "if truth be told
Richard Kabvure,Zanu pf they do what they want
simanga sibanda,we are waiting
Guylord Muredzo,On my way to SA relocating from Zim ZIm concourt ruling postponed to 1530hrs @Musa Ngonyama My apologies your worship!
Josphine Mhute,haaaa my Zimbabwe nooo man
Musa Ngonyama,@APHIWE SKIBI WHO IS CR7??? "@Guylord Muredzo  "Mr Jonas require proteection from both Zuma & Gupta families "@APHIWE SKIBI By the look of things you are been influenced by the EFF
Mpumelelo Hlatshwayo,cr is cristiano Ronaldo CR17 is My Pres
Matebello christina,I think so
Nduduzo Zondi,Jonas must increase his security means in these critical days...the state severely needs him... "say this inquiry produces positive results which will compel the prosecution of perpetrators
Tobo Lwandile,this was not necessary 😂😂😂😂😂
ordain Riba,“Doggy” tendencies..SACP🙈🙈🙈
monyane tumelo,ordain Riba...lol
Mathias Sithole,is this SACP's best?
Kudzi Leveni,munangagwa he was liable president
Nkanyiso Mbatha,SAPC have blade Nzimande who is busy looting universities
Simphiwe Nhlaks,The SACP is irrelevant in these day and age its existence has long reached its sell by date
Soulma_n Soulma_n,who is the young lady assisting the commission????yellow bone has a haa
Donald Chodeva,can someone school me on the relevance of what was just read from the SACP?? political grandstanding? @Pastoolio Poggempoel surely they have reached their best before date like decades ago
ryan ryan,these Guptas are MAHDIRS
Geschenk,viva Land expropriation without compensation Viva ✊🏿
teboho mohlakoana,what do u knw about the Eff wena? leave the Eff alone and focus on Afriforum and your Grandfather Trump
vuyolwethu majobela,Best Judge for the job..
