author,message
Noreply Internet,I hope this process prevails justice for this country.
Nelson Musoliwa,Prime Minister by default continues with his testimony at Zondo comm Vavi malema blade and others played a prominent role in zuma ascendancy to power bt t consequence might have less to do with them Owen Pravin is trying to explain economic vicious circle SA was subjected to by clumsy zuma decision as he got no clue about economy It is obvious that Collective Leadership history in ANC never saw the light of the day during Zuma era. It was only about him and his friends guptas included
Darren Danield,Morning all
black chorra,✌️ he looks like he's on meth
Owen Nyilika,Morning Darren "Tday we watch state capture b/couse of Mr Nzimande "They not get tenders in eskom  Will take 20 years to recover for south africa to normal place in business
Eduardo Trindade,ok o berco do vudismo a correr na lei magia maldita da África disgraça
Tafara R Tsikayi,m
Peter Sant,what put eff and blf together against pg yet they were enemies Owen nyibilika that's true @Trucker if pg is devil what is Zuma and Malema? @Trucker you mean Guptas sometimes it's useless to use racist statements to defend corrupt people Thando nkutha its true he must be blocked
Bongumenzi Nxumalo,"Let me watch for 10mins and if he continues with preaching Enjoy beautiful people.. Malume Joshua Door is just on his preaching spree! I am not missing my lectures today🤙 "So today There is nothing amrt abotu hiding certain information for memory loss..
Zipho Nxumalo,I hope he clears his name today i am sleepy whats this explanations..I want to know about state capture baba
Rouha Rouha,ramaphosa involved? am curious!
solethu matrose,@Owen Nyilika WE WATCH STATE CAPTURE BECAUSE THULI WANTED TO SETTLE SCORE WITH FORMER PRESIDENT why is he talking 2015 economy we want state capture not history lesson @Job Mokolutlo do you seriously believe Zuma is illitarate load shadding again what the f@#K is he talking of now? why PG not giving evidence we do not care what he fears or if he is for sale or not we want evidence to state capture Zuma is not Gettting any younger if I knew more-than him I will not waste my time listening to State capture. whats your point @Athmanand Singh can you point me to evidence of those tenders please dont pull a fakey *Mentor* on us @Mfundo Veerasamy we do not have 5hours of how things work. if he just gave evidence in a well prepared manner he would have done so by last month @socabonita the ministers are outsourced to do that "@Mfundo Veerasamy the is a investigation that will be done by commision I sure the evidence will save lots of DATA so now PG is saying Zuma appointed him even though he(PG) was not fit? @Thando Nkutha we can afford nuclear we can pay Russia with enriched uranium @Aaron Human drive it' @Thando Nkutha stop it with west propaganda russia is one of the country that are(is) unlikely to screw you when you have a deal @peter pott government is a scam the energy is regulated so that everyone pays the highest price were the airlines leased to guptas? @Athmanand Singh even if he was on struggle before universe came to existance all we need is evidence that guptas captured state the only time PG mentioned guptas was when he said He is not for SALE. 1997? @Blessing Mabena if it as imported as coup of country we would all remember @Thando Nkutha evidence that Zuma promised Russia anything? @Blessing Mabena if they were not in his department he should not give evidence about things he doesnt know @Sivuyile Myataza this thing is expensive lets finish with guptas first @Sivuyile Myataza I know that but lets finish this commission first the go for another family but is we extend it we wont see that . lets finish this one then go to others @ thoko worse than yesterday but chats are better @Glorify Gumede you did not miss a thing PG is now in 1999 @A sermon on saa @Glorify Gumede they say if you play with your ding ding you wont feel the heatwave😂😂😂😂😂😂 this PG testimony is dropping the price of bitcoin did sahara acknowledge ownership of disk? Why is he teaching economics 098(extended programe) ? @Fort Free he has to earn it like everyone else through VOTING @thoko we already know it we need state capture so PG i going to talk about media report? @Lony Lou no when ANC took power things were already messed up now PG is cross-examining DCJ? and PG did not bring the text book? where are the questions ? what did they ask? @Mondli Mfeka its always like that with religion 27 question. 53cent ft PG i thought Zondo asked what the question said not "7 Did the minister of finance receive the KPMG report? If yes "5 Kindly explain why Sars re-employed Ivan Pillay for three years and then extended his contract to five years. In short
Makwa Choma,"This state capture we are watching today is because of Blade Who elect a president such as that one to lead a country such as ours Job u have the fact I agree with you Eff and Blf have problems with indians We should hold our frustration PG is not corrupt as EFF like as to believe National party brought and architected apartheid and practice it on us n was not given opportunity to reform it. Anc brought corruption but given opportunity to reform it "we have no problems with Mmusi but I don't trust mulungus There is nothing wrong with Mmusi but the mulungus surrounding him I like Mmusi too but white people have not done enough to convince us that they have change "Daniel wanya Lony Lou jojojo mosotho okgona kelekgowa Daniel ij praat strond ou maan Daniel leave me alone with your Afrikaans is Ur language fortunately you don't know Sepedi Leave politicians there is nothing wrong with them is how we give them too much power for long time
Mkhuseli Freddie,@Makwa Are they the ones who told Zuma to allow Guptas to use him?
K,Zuma’s 1 decision costed the economy 100s of billions of rands. What a joke "Steinhoff too
Khalid Mather,what happen to Omotoso?
KD bokaba,"Omotoso lesteriosis
Blaze 613,"I was very busy with wmc Are the Parktown Prawns outside the building today?
