author,message
Marvel Ramatshela,Morning Guys Is Gordhan still drinking tea I can't believe we waited so long for this crap "What a boring proceedings Gwede Mantashe will be mantashing on the 27th
Live Digitals,kwaaaaaaaaaaaks
Glorify Gumede,Sanibonani endlini Dumelang kulungile sizolinda nje ukuzwa ukuthi ngabe umphathiswa usilandisa uthini ngololudaba lalezinsizwa zakwaGupta i'm simply confirming that we are eagerly awaiting the appearance of the minister on the issue touching the Guptas but we cant wait for too long "they must start now "Please stop telling us about DA this is not the platform never interpret anger towards ANC OR EFF as a way of endorsing DA @Siyabonga Dladla try to change your position lol where is Pravin? Zondo is too stiff too serious for our this reality show lol zidedele zibulalane mnumzane Zondo qeda baba uyanensa @Norman Zwane commissions in general are just reality shows Zondo again @Norman Zwane of course i'm generalizing and deliberately so .... @Norman Zwane often commissions discover what is already in the public domain and in most cases nothing happens after @Norman Zwane it's a pity you can't grasp sarcasm in this context "@Norman Zwane indeed thanks for pointing that out reading too much "allow for cross examination the chair must direct this process "Pravin is trying to win hearts "This is too much now Is he presenting a paper .......? Guys i'm lost "i'm really lost here who is he reading to? shouldn't this info be shared and let the lawyers lead evidence? kindly advise @Norman Zwane maybe you know? what is this ? is this a lecture or presentation ? "the most boring session so far
Amanda Watson,Heita I see on Twitter Min Gordhan is unpacking his tea Why is BLF protesting tho? "It's not the people I wouldn't vote for the DA if you paid me too. @koena mabotja But why though? This whole CoI is because of the ANC? Even Ramaphosa has admitted now Lol Justice Zondo couldn't remember Moyane's name "Give it a rest @John Isaacs  Gordhan is the henchman... bwahahahahaha Altho I dunno why that's supposed to be insulting 🤓
Mali Mthimkhulu,We in silindile Today must be interesting. Gordhan must be careful what he says otherwise it will backfire Lool Finally Loo his face 😂😂😂 SaBC like a family owned business
Sne Mdletye,"there has been a lot of lying amongst the top leaders in ANC usa vunghula uMzwai "no Roy
Desmond Masilela,Morning guys. African time 10:30 @Norman Zwane. State capture time. @Norman Zwane. LOL Is Pravin here guys? The peoples Advocate. Eishhhh....@koena mabotja. @rono @ronin 187 So what? Pic fine His sitting there @Tikvah Olam. 😂😂 Jabladas Jamnadas Full names. Pravin Jamnadas Gordan His talking as if his reading the budget speech. @ronin 187. How do you highlight the name when responding to someone's comment? please assist. @ronin 187. Really thanks couse it doesnt show on my side. This man is like his reading bible. Nothing will come out of this testimony today. There are so many jokes and laugh going around here. Is this Trevoh Noah show or what? @Trucker . This SABC journalist. Gorrrdaann... I dont see where this is taking us to. This man is walking all over Zondo's head. he must just tell us if he has meet Guptas. thats all we want to hear. @Sthakathi Khumalo. My point. "One question "I've been sitting here for more than 2 hrs @Ewald Kruger. Eishhh... is like im watching Days of our lives. @Glorify Gumede. Lecture. Pravin is lecturing Zondo and at the end Zondo will write his final exam. "@Chioma Jonathan. He will Zondo is struggling to understand who we are to understand. @Sthakathi Khumalo. 😂😂😂
Andre' Van Zyl,morning everyone.
Tamara Mbopeni,🤣🤣🤣 who do you think we are Michael Holmes... we wont dare vote DA... corruption is the same as Racism
koena mabotja,WHAT IS THE DIFFERENCE BETWEEN ANC AND EFF COME 2019 WE VOTING FOR ANC The peoples advocate representing the corrupt "EFF outside protesting agaisnt Gordan who implicated Tom Moyane lol their superior logic is amazing We need a commision of inquiry into Limpopo Capturer by On-Point Engineering looooollll Is it the very Pravin EFF and other political parties were defending? Interesting question by Gordhan Which politician doesnt have business interests in South Africa? "Vusi Gordhan is well composed BLF is the only party consistence with their call for Pravin to go When is EFF coming to present its story "Since EFF knows the truth Pravin must tell
Joseph Thobejane,did privin Godan appointed by Gupta family to become a minister of finance 90% of the ANC minister are appointed by Gupta family @sandile i get it from EFF where is EFF outside which money after this commissioned who is going to in jail or their just waisting tax Payer's money
Sindiswa Moolman,A very important moment. Gordhan is the very important witness to both his enemies and friends alike. More so to South African. "We have Moyane's lawyer Thank you @Bheki Mdletshe Pravin is a tough cookie @Martin phiri What is a problem @Thato M ? Being a member of Investec board and funding SaveSA... is there a problem in that? I want to know if there is a problem in funding SaveSA by Investec and the fact that the witness here is a member of? @Thato M ? Shiny @Dragonblazer24 ! It is strange that those who work hard against corruption are accused of being corrupt by those who are alleged to be corrupt Politics of distraction @KEITH SINDILE DINABANTU I agree @KEITH SINDILE DINABANTU Yaaa... @KEITH SINDILE DINABANTU Thats exactly what these people are doing @KEITH SINDILE DINABANTU I can see Gordhan presenting for 3 days. "No @Makwa Choma "Furthermore Surely the Guptas are watching this testimony. He is breaking down the State Capture Project Team Listen and learn @Marvel Ramatshela. We all agree that State Capture was a project. He is outlining the project plan and the framework of this project. I agree @Ewald Kruger Wena @israel nkuna must join your friends outside the Commission venue and let us listen to this man. Some people just want throw shades at him @Ewald Kruger
Sandile Steer,Lets address the Land issue first. WE WANT IT BACK. I wonder whr do u get your STATS from Joseph
Martin phiri,In DA are too much whites...... in EFF are too much... black..... ANC mix Vote ANC in 2019 EFF they ignore everything it has started already Parvin will resign in few days time Zuma's government was most stealing one in the country when u in politics but u don't know anything about it
Wesley M,Martin lol!!! Michael DA wants black vote withwhite rul. not gonna happen. there we go! all politicians are lairs. even Julius is liar. liar. Tikvah. true. lol!! "do you think that Gedleyihlekisa will give his cooperation when he comes. i think he is just going to laugh at everybody. but he must come Norman. i also think so. he will dodge this inquiry. people when you what ro respond to someone specific on this live chat. how do you the orange mark on the name???
