author,message
makhosi nobhatyi,Where is people "Kaklego Person PP has no case to charge Gordhan you would be surprised this is a fight back Eff is using wrong attempts to attack Gordhan I am not saying if there is a case they can’t do it but look at this as squabble "Malema always criticize Anc and even going beyond with ANC affairs saying Ramaphosa won’t finish his term once he started to chase people who did wrong "Malema still angry for ANC I don’t get you guys however we may be different from views but that doesn’t give anyone a space to attack someone whose not black by color because she or he has point out problem "@ Robert Russell exactly what the man did "All these parties have interest what is happening with ANC and talk about it  "I think Anc understand people better and they respond "Welton paulse I understand frustration you have Ramaphosa is trying to fix administration system by hearing what really happened how deep it is You may fix it McBride was been attack by those whom close to the man "Ramaphosa doesn’t need any Zuma help right now "Mzalwana mzala I don’t worry about whom call who what We may come back to ask what happened beyond 1994 Elson Elson if that happens they must know that country will stand still and kick them all out If Anc can fire Ramaphosa I can assure you alliance splits and Ramaphosa becomes president to SACP and cosatu merge "Zuma faction won’t win hearts of South African they know that "@Elson Elson I think we have a break down in secretary as party Musa Bakiti lol he must join another party and see if he can win Do you know Ramaphosa was our secretary before his deputy was Zuma "Don’t worry Zuma will be arrested at the end "Batohi is working very hard Ramaphosa will win "@Quinton Jacobs DD Mabuza won’t do that
Magda Seguin,Waiting Gauteng burning protests and total shutdowns Nothing this side At last thank you Poignant statement! The Zuma captured did all in their power to get rid of McBride CR promised a million houses in Alex yesterday yet there is NO space @makhosi ANC never did anything in Alex for 24 years and yesterday CR had the gall to talk about sewerage flowing in he streets...the ANC must do serious introspection I know gentleman but The way the ANC are taking South Africans for idiots is off the charts @welton that was a definitive apartheid strategy to keep people enslaved @Be @Ndim your words are so significant in the context.Are you a writer? @Robert 😅 Imagine here state capture succeeding in putting honest people in jail @welton it is still happening as we speak Every "Everybody should read the Daily Maverick investigative article The IPID Papers @welton many do not understand what happens in rural areas and farms..The reclusive nature lends itself to abuse by farmers.Farmworkers are the most marginalised in SA "@Clark Kent you are overreacting Having a rotten government don't reflect on the people...SA is an amazing country with the most hospitable people.Come to France or the UK and experience the stony faced individuals on a daily basis The foreign election observers already arrived a few days ago...wonder what they make of the current situation I am cutting off all people electioneering on this thread @Chris Welensky who is crying? You obviously don't know anything what this commission is about Why do you say he is crying...it's derogatory..he has the courage to talk truth to power unlike the looters It is exactly this kind of discourse that prevent people from coming forward to testify.Whistleblowers must be respected as they get death threats.A bit of respect please @Mathew Red Ants are ANC incapacity to govern with integrity You are obviously overlooking the evil deeds of apartheid...listen and learn.BTW O am NPT your 'auntie' Robert McBride is a freedom fighter the ANC started an armed struggle due to to the systemic and deliberate killing of our people It is people like you who conjure up memories we would rather not think about "Your Apartheid government was murderers There are people not knowing where their children's bodies are buried thanks to your beloved apartheid regind6 *regime Blocked the racist How are we going to get of racist apartheid apologists in South Africa.Forgiving them didn't work. Werksman is a leh Werksmans is a legal firm of attorneys in Sandton Zuma had lots of help from his proponents at Polokwane including Malema and the ANCWL And all the other Zuma appointees? If Mc Brides appt was not apt then ALL the SOE state capture was not fit Thank Mr Pretorious your line of leading was making me nervous that you are partial "@These we all know apartheid history...tell us a bit about Vlakplaas Apartheid trolls here today...blocking them.I really do t know why they are interested @makhosi correct @Eben only when people start to learn about the apartheid history will they understand.Thank you for your insight. @Even McBrides books are very informative too Zuma faction always use 'spying for the imperialists' to get rid of someone or maybe they have something else to smear CR with @Peter pott a day after CR spoke to the farners they had a by-election in Stellenbosch and they voted 99% DA @Eslon there is a viral video where CR tells those around him that Ace is his boss pointing to him @Cerebis it was some on the thread calling McBride a murderer...Apartheid apologists No electioneering please @Siyela Mkhakabele everyone votes according to their own information.You will not convince me to vote EFF The Steinhoff papers are in the pipeline..it is a fallacy that Steinhoff is being overlooked Markus Boosts WILL be prosecuted...remember Steinhoff investments was in foreign countries too The Commission has powers to subpoena Deadlines were not adhered to before by many others I am very disappointed with CR He is towing the line with the others in the NEC...he warmly hugged Zuma (who came late) at the political school launch yesterday "Zuma should present himself to go to jail or keep quiet Cry the beloved country "NPA and State Security was completely captured I read that he was there too True Eslon do you mean Thabo Mbeki? "@Peter pott I agree They are surprised only when provinces need to back put under administration ages the AG reports
Edwin Arthur,this comission is still asleep
Musa Bakiti,It's tea time already @John Fagan i am corrupt and how are you? @John Fagan we have dark President and he is going to bring use darkness😂😂😂 EFF is bring Pravin back to the commission.Viva EFF They call it state capture Viva EFF It's Friday let us not talk of black and white.Can we spend time on smoking and drinking @Derek Main Comrade McBride killed for ANC .He is for ever ANC on face of earth and heaven @welton paulse please it's Friday don't kill my vibe @Derek Main You are a member of ANC don't fool me @Kapn Krunch tik is the pills for stupid "@welton paulse That was your past  @Ndim Mavuks Derek is the ANC member "@Derek Main Kindly teach me here @Myka'Al Daud Cyril killed poor black people not us rich black people Mandela was not a hero in South Africa JG Zuma is the hero and will always be. @Jack Sparrow i differ @Jack Sparrow who is everyone.I am empoered by Zuma and he is my hero so is my comrades F W de Klerk and J G Zuma pick one hero Ramaphosa cannot win election without the help of J G Zuma master mind. @Thelsa we did it in order to our freedom and we will do it for the land @Mzalwane Mzala those who call blacks killers they do not know the history of the white man in Africa and North America @Mzalwane Mzala easy baba its Friday Mbalula can be a better person for ANC leader "@makhosi nobhatyi J G Zuma is got nothing to win  If you want to see blood arrest Zuma @manoj balachandar South Africa talking @manoj balachandar South Africa talking about Indians in South Africa Called Guptas .Did you see them there? @makhosi nobhatyi Stop dreming Thank you guys it's time for me to go and start drinking and smoking after Muslim prayers.Till Monday
John Fagan,Hiya guys how are you all heheheheh same hey my Brain has fused Musa you made me laugh...I needed that 9.30 is what they agreed to I see there are loads of protests again today I heard yesterday that Load shedding is going to smack us in our faces very soon after elections I see ...Musa
Salathiso Sidali,when is the commission starting? when is it starting
funicanz,???? Weren't they supposed to start at 09 :00?
Wallace Mandimutsira,its now 934
Madelein R,Twitter say they start at 10.00. But we all know Pretorius doesn't like early starts 😀
Ngatetsang Makitla,What time are they starting?????
