author,message
Odin Ponzi,What happened at the Vrede Farm?
Legae Nyalungu,Gwede mantashed😂😂
Fils de l'homme,im back there was a bantu on my gate @greg its the Bantu way @greg steward bantus are like children ashlee what u talking about what would you like m to call ppl? just google the meaning of bantu "ashlee i speak of ppl in terms of the cultural belongings "nope.The Bantu peoples are the speakers of Bantu languages it could have a négative connotation but it shouldn't be négative "abongile rakeep so u think u r smart now "The Bantu peoples are the speakers of Bantu languages ntokozo r u laughing supposed offer made to you??? wow the advo is bought by the Gupta if she was a chair of parliementary for four years than the président would have known her attendance register hum zumanine the anc must handin all their minutes of their meetings for the past 14years they looking at the credibility of zuma now "if Zuma says he never knew her n the minutes show otherwise "nnltokozo "ntokozo "zumamine will need to explain himself "philani yes silverster "godfrey godfrey r u lawyer? she is fine the court allows for human failings "@godfrey the Zuma n his group will try to attack her credibility by diverting n not deal with the issue "i dont agree zanoxolo being ready with lies ofcourse "godfrey vitjie is definitely not a bantu name lorna bantus r racist ntokozo recollecting times n datez is not th same remembering ppl "2010 "ntokozo "The Bantu peoples are the speakers of Bantu languages "women in SA should support this woman remember kwezi "silverster silverster is gay like u noko "@silverster madau yes it is auti call other gay "auti @noko @silverster likes men "auti @noko u seem to be finding lots of guy lovers today "@auti "@millicent ofcourse she can masilela "madau it shows that something is up she is crying bcz she knows that she is dealing with dangerousmen "@noko "@noko "@noko dont be silly n.write stupidity here
Thobeka Mbatha,truth or dare plz now don't confuse her nw wislima wena thula u are
Greg Stewart,"typical case of ""dont take responsibility"" report a problem and dont follow up - I did my part" okay🤔 akakhoni kufunda Mentor - lamafarikigi afile sad but anc sounds totally rotten agree subtitles horrible
ashlee ka ndlovu,so this guy Fils de l'homme is calling people Bantu as a replacement mechanism- we see through your BS the meaning on google and the way you use it are not the same "no one said you are racist
S Oliphant,mentor doesn't want to commit to her answers I observe that white people in general suffer from a superiority complex fils what is bantu?
Tobo Lwandile,"block fils he's crazy
Sofonia Lethuba,cross examination will liberate us.
TP Muofhe,eish why are we still calling him the president!!! leave hr alone ey theres a somithing making a weird sound
Auti Mjita,Fils has no idea how racism manifests itself in south africa "We should not miss what the terms of reference for the commission are; this is not a court of law O dom 😃@Sofia Sofia 😉 That pretty boy might enjoy it @noko yamebetlwa I am gay "why Fils "Im not a girl I still don't want you though 😀 And the rears flow.... "She has to cry How can you guarantee that @Norman Nelufule And are you a lawyer boet? @Norman Nelufule "I doubt that chief
abongile abosh,if this commission is honest former president should be arested Fils de the information found in this commission is going to use in court of law for those who committed crim
ntokozo mncube,@abongile if evidence was beyond any reasonable doubt then we wouldnt have needed a commission to start with. "with what has been presented so far This is a funny democracy @Fils de l'homme yes i am. "@Bongani Zondo is boss How does he know an offer was made if it hasnt been established and tested that it was? "@Musa im saying her story will be thrown out of court @Arthur S'fiso Gumede wenzani la mkhulu? Zuma was always ahead of time. anikaboni niks. "H edid not say he doesnt not know here I'm no lawyer but i can tear this woman apart in cross examination. "Kudlawa ngo Nxamza la Follow where the money goes to in govt then you will knw who captures the state. If this woman would be allowed to have so many memory lapses then Msholozi will also be allowed not to have ant recollection of her she also has lots of issues with people as well.
Niematullah Rakeep,So on my FB oage I predicted Vytjies evidencecare all based on her FB page postings?
Philani Madlala,Just block that Fils Fils is racial understooded? 🙄🙄🙄
Chris Chauke,let the commission make a recommendation for arrest ! "@Ntokozo  why didn't she ask a copy of her handwritten statement then?
Eddy Mokwena,be deceive on your dates
Orefile Macheoane,Social Media is binding in so many ways. Even your VISA is linked to your facebook account
Ayanda Manyeku,it is clear now if why president Zuma wanted a period of 6 months when the ANC tolled him to resign volluntary.........He wanted to cover his scadals with the Guptas
NN2017 UTHANDO,She is getting drunk of this Mp 4. 6.1 issue Do i see a ring on her finger.... is she married? I am just wondering what the husband will be doing and thinking by now.. Duduzane..how is he anyway? Thanx Paul & Marvel lol. it became loveseeking platform. 😂😂😂 😂😂😅 Drop the numbers members of the chatroom. 😎😎😎👀👀👀 Yes please Zake complete the number She must tired by my now She must be tired by now... Luxurious life truly Okay Physical security not emotional security 😂😂😂
Sadaam Cabdi,alshabaab qarax
Vinolia Keitumetse,so they can't b arrested then y are we having a stateCapture?
Mashaku Tumishang,@vinolia they will be arrested
knowledge Moyo,kkkk ziya kubuyela cc wat goes around will come around
Winston Paul,this is not madibas democracy he invited her to china how come he doesnt recognice her i think there is a lot that she is saying is true i am not white do you want to propose to her remember she has to recollect what happened in 2010 give her a chance we are all human thank you i think she is a brave witness well said nomthando dudu is a billionaire dudu is 34 she needs security she should be saluated for coming forward to this commission
DaMtho Vele,we want o know what is Maybe Zuma does not recognise her anymore
Duduzile Nhlapo,advert now ...
Pholosho Malema,eix
Bongani Mchunu,Why is this advocate interrogating a whistle blower like she is a criminal? This will discourage anyone with information. unokuphaphanyana yet incompetent This advocate cannot interrogate a lay person. she speaks like she is talking to another advocate.
Yahya Akoojee,.
Mongie S. Dlamini,she will find it hard to cope during Question TIME...
Musa Ntika,"please note: there's nothing that you do in the darkness that won't be revealed in the light "ntokozo
Clarah Mundenda,ĺ
Arthur S'fiso Gumede,All those asking for inquiry will end up regretting it -JGZ "@ntokozo mncube Credible witness? Kwaaaaaaaa kwaaaaa aii
Mzalwane Mzala,The ANC is the people @Greg Stewart @Thando Nkutha There is no mnister gere No minister here @Thando Nkutha She was never a Minister
DALUXOLO DINISO,LOMAMA UNYANISILE INYANI IYACACA NJE ZUMA WAS CAPTURED
thandi TtMAK9,this witness implicated lots of people.and they all have to come and object. Thando i agree.tsunami is nothing compare to what is coming
Philani ngcobo,U people must be careful for what you are writing here because you might have to answer about it in the court of law. do you not agree or do u agree with me Fils? I am still waiting for someone who will say he/she was successful appointed by Gupta family.
Nnomiki William Mosetja,gigaba was denying many things. now vytjie revealed him. he is such a big liar she is credible 😂 did she hv affairs with jz? msholozi asked for preparation time 2010 I only remember chabala's world Cup goal and few fascinating things😁 @millicent. I'm a Gupta friend.. I'm here dear😍
Sylvester Tyhali,Zondo is not on facebook I wanted to add him @Fils de l'homme Can I add you on facebook? Your facebook name? @Fils de l'homme Leave this thing SABC is 30 seconds late as compared to News24 Let us go to News24 ONE minute late actually Leave this propaganda channel We are ahead of you @ News 24...Check for yourself 😁 SABC is an EFF channel Its a communist channel for Mpofu & Ndlozi SABC employees do not even watch their own channels 😀😂 SABC employees do not take their employer seriously 😀😂 somebody give me a phone call 0664004805 please Call me Milicent "somebody just called me "No I just want us to talk about the inquiry over a phonecall "@Fils de l'homme call me "Dont bother whatsapping me No Stop it. this chat is not for hook ups 😡
Godfrey Tshisamphiri,"for anyone on the testifying list @Fils i doubt no bt the witness testimony is not credible enough to lead prosecution @Fils 🤷‍♂️ i think u just biased n dnt realy care abt the credibility of evidence presented.
mhlonipheni jeffrey,"i wonder how she's going to copy under cross examination the way she keeps confusing names im scared she might mention mine intentionally loo @masilela why u reminding me that? cos real thats what's she said lol "i think today shes better than yesterday @Sofia spot on lol @Marvel i find very strange in her to remember every single details o fb but struggle here she's crying now!!!!
zanoxolo duncan mbekela,"she isn't coping well  @Fils I doubt. Let's wait I feel Zuma is ready trust me lol home statement in her comfort of a her home hehehehehehe "why didn't she record the conversation marn @Shozi uyeza ubaba don't worry. she isn't marriage type she is unstable statement airlifted hahahaha statement in Private Jet hehehehe. "I she doesn't include me
Lorna Kavanagh,i find her credible and please remember she has to worry about security all the time. does it matter her race or ethnicity? so impressed with the advocate.
clint moodley,i agree that she is a credible witness
puregemdiamond,statement at home hahaa must be joking haha she is guilty as all of them Vytjie is a boer or colored ? thanks Mosetja no lorna i was just self curious lol 😃 desmond lol "i dont care for zuma he can walk free  who is vytjie what did she do ? or who does she want spy out ? lol Jef
The K K Constructions,I think it's sad that political parties are fighting whilst all this is happening. Could deviate public interest in this case
monyane tumelo,Sis V might be unsettled here at the commission but that doesn't mean she is lying in her testimony...
ThandoAM Xaba,No Desmond Masilela 🤣🤣😂😂😂😂 Can we fast forward to the interesting part....where people are found guilty.😏😒🙄 Avuziwe I know that. I can’t wait for Zuma to be summoned hey.🤔 She wa nervous yesterday 🤷🏽‍♀️ Read a book called The indentured: Behind the Gupta TV by Rajesh Sundaram. 🤔 @Thulane Lawrence I am great and yourself? “And they klapped with Denel together” -Mentor 🤣🤣🤣🤣😂
Ryno Razor,pink colour and come frm mars -- reli people asking dumb things
Desmond Masilela,Break fast and lunch... this lady she likes food really Here body says it all about food. she don't have to tell about break fast and lunch. we can see our self. It sound like someone is snoring behind. Or is it my imagination or what? hhahahahahaha.....@Pastoolio Poggempoel LOL@Mutswana Mudau Yes she has problem with names. like yesterday confusing Hlongwane and Hlongwa... She need to write down all the names in front of her. When she was traveling all around the country she never say anything about the Jet flight. Yes private Jet @Nomthandazo Ndlovu The advocate yesterday she says she will need only half day today. but she almost took the whole day. I supposed even tomorrow we might wake up with her> LOL@Isaac Phumudzo .....hahahaha How does she know the statement they brought to her was corrupt. because she also keep on amending her own statement. It should be easy for her to sit there. she use to sit with Zupta''s @Marvel Ramatshela I wish they re-instate RAPE case... I'm still trying to find out what is going to happen when this state capture inquiry is over? "@Nomthandazo Ndlovu "@noko yamebetlwa @Millicent Shozi our tax money "the Inquiry stated 10:00 they only work 6 or 7hrs Come on guys lest stick to this Inquiry and not Gender inquiry. We are loosing shape now. @Marvel Ramatshela. LOL She can not read what she wrote herself.
zamo Maluka,WHY DO PROTECT EX PRESIDENT AND ZUPTA FOR LOOTING AND ABUSE WOMAN REMEMBER ITS AUGUST HAHAHA NTOKOZO TRY AND LE SEE😎😎😎
Thana Ndlovu,@Zamo ...Thamk Thank you..the tendencies of undermining women must stop..This woman went through a lot yes Sofia you are talking nonsense lol Ishmael yoh statement airlifted private jet it worse there ..was there HAWKS😎 Sofia ..I would adviy you to watch more and listen. @mhlonipheni🤣🤣🤣🤣 @Auti😂😂🤣🤣🤣 @Winston on point @Millicent ..then I will conclude and say Msholozi is not ok ..up there This time .. there is no way Ajay will be arrested @Sofia...not really @Winston...indeed!!...woman power @noko...true 😂🤣🤣 @Desmond ..Ajay and Jail ..same WhatsApp group I'm not afraid 🤣🤣😂😂😂 @Desmond ..Eish the life Esidimeni is a tricky one guys @Pastoolio thank you for explaining to Sofia. Poor woman was threatened and yesterday she said .. should anything happen to her SA must know that it Zuma lol the advocate..she knows her story Mentor looks tired she is tired
Isaac Phumudzo,😀 what wrong with Vm she doesn't speak English? "Member of Parliament Vytjie Mentor's book Vytjie Mentor separated from her husband after accordig to her post of April 2018. The name of her husband is not in the public domain. holla Millicent the name that doesn't appear even once at the bible lo @Desmond Masilela mrs VM is so slow like a crab lol @Millicent Shozi I wonder how mrs VM was going to call your name LOL the way she cant pronounce names maybe ……...
Pastoolio Poggempoel,Msholozi's home is Polsmoor my friend A lot of takeaways ye @Philani ngcobo : Gigupta will be here soon He won't come Minista Gigupta @Sofia Sofia It's called being honest and under oath. Weird Western concept I know. You can't go to jail when you live in the UAE @noko yamebetlwa
Avuziwe Mkefa,@ThandoAM Xaba we need this such important evidence before that
Sofia Sofia,its the CHAIR he breathes heavy A primary school child will be more of a minister than this ! THERE ARE ALOT OF THINGS THIS WOMAN KNOWS ... AND LOTS HAPPENED WITH HER.... LEAVE WITH STRANGERS FROM THE AIRPORT .STRANGERS GO TO HER HOME ... All of which she allowed..AM I missing something ? @Nomthandazo Ndlovu thanks 😃 cheating there reading her answers @Auti Mjita - Thanks 😃 @Desmond Masilela ---- Amen ! How many of you remember the 2010 World Cup ? in 2010 We wer the MOST UNITED @Nomthandazo Ndlovu are you a TROLL @Kingsley Mathe question is ...is this the truth ? WHY IS SHE TELLING THE TRUTH ? WHAT DID THEY DO TO HER ? IS SHE JUST WANTING TO DO THE RIGHT THING ? DOES SHE REALLY HAVE INTEGRITY ?
Mutswana Mudau,Desmond yaz uzofa😂😂😂
Millicent Shozi,where is msholozi to defend himself? strong woman must say lot of courage does anyone know the qualifications of the lady questioned bye thanks Isaac father of twelve tribes "im wondering now if msholozi claims not to know this lady tv propaganda "need a blesser @sofia it called virtue @desmond whose money? do you pay your tax? @sylvester lonley im so lonely..... 😂😂 love boat 😂 thanks to Thuli madonsela last puch.....we here aunti i specialize in councelling Thando what wrong with u the one who feeds you controls you. THOMAS SANKARA @desmond we the same my handwriting is terrible i also cant read it need money desperately can i also be one of the witnesses "woman @norman it more about exposing corruption what comes next let it be
Soulma_n Soulma_n,uzakunya lo baba
Vumile Mqungquthu,u know there's lot that is gonna came up from this commission led by this honarable Deputy Chief Justice
Cecil Chimbuna,I can't wait for Zuma n Dudu
Itumeleng Mmutloane,"fly it... jerrr
tententenist,guys a whole statement taking a plane ride
Charles Nemadzivhanani,"Her testimony is not convincing... she leaves much to b desired.. if cross questioned
dee berms,who is typing these subtitles - hilarious. inventing words
noko yamebetlwa,haha❤ hello everyone who like Gupta's family Paul she knows everything there is no need to recollect here in 2010 when we r busy watching world cup this people were busy eating curry n Zuma was carrying the bag for this lady .jupta D Masisela nothing will happen after this inquiry n no one will go to jail is just to established the truth to show the public same like marikana inquiries life esidimeni they got money bra they r now rich yes man with Marikana the they spend more than R300 million for nothing duduzane must go to jail in Limpopo so that he get strong man hit him at the back Sylvester want ladies only neh to call u hahahahHaha in Limpopo jail is not only Limpopo who in there there is lot of prisoners from different places N Ndlovu true I used to work with in Arbitration she is great Sylvester u like ladies or men nna I like Thando Thandi ur digit pls she must answer question until she tell the truth hahahahaha they have wrote for her At Masilela guy the witness is my gf pls don't b too hush to her ndaa vhomudau iyooo she is crying for what now is true for Mudau I'm here to look after her chairperson n I will give massage I can b her security for this evening Fils I'm a real man papa I'm coming tonight Mentor homme hai real man in woman curve
Marvel Ramatshela,I don't think it easy for anyone to sit there. at least the poor lady is brave enough to come on board to give us her own testimony though it possesses some discrepancies. 7 years is too much "Msholozi is a mafia "Duduzane is even worse @Ishmael. he should be 33/34 now "These women at the inquiry as so fine 0810305090 I'm real ma fro "from Venda "We are fixing the country. Some of us are lonely @Maake..🤣🤣🤣🤣
Thobile Nxumalo,@ntokozo mncube you are being very naughty with that last comment 😂😂😂😂😂 "This is what paranoia looks like She waits until the very end of the day to address matters about her security? Who does that? And she says she didn't tell her family??? Ai Miss Mentor no
Siphesihle Mvundla,"""... I wanted to trick him..."""
Louis Oxford,🤣Will the old man duck and dive as he has done so many times Will the old man duck and dive out of this one as he has in the case of all the other situations. Just asking
Mthobisi lindokuhle nyandeni,It would be interesting if the Guptas appear before the commission
king tihosi,lets commend her for coming out with this crucial info
Thulane Lawence,@thando xaba my learned friend from Unisa ..how u doing?
Samuel Makgeru,"@Nomthandazo "@Nomthandazo Ajay must be arrested. "I want this in an argument manner
Mxolisi Nzama,shocking tjooooo
Nguluvhe ya Luonde,south africa nearly became a Guptastan
Bulelani Mhlahlo,@Sofia Sofia they threatened her
Mveleli Madlanga,As long there is Spice in our government there will be always (serious) corruption in this country.........the major spice has been in government sinceThaabo's days....even now m worried about SOCs
ABRAM MAAKE,@Syslvester..lol they stil try to remember what to say. lol this has turned into gender Inquiry @Marvel Ramatshela ....lol at least wen state Capture or Gupta name is mentioned ul always b blashing
ammie ndlovu,stop gay thing no to sexism stop this gay thing it has nothing to do with the inquiry
